ORF_ID,Resistance_Mechanism,ID,genome
EGR46096.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,GCA_000167675
EGR46137.1 predicted protein [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|587|hsp_num:0,GCA_000167675
EGR46237.1 predicted protein [Trichoderma reesei QM6a],antibiotic target alteration; antibiotic target replacement,gnl|BL_ORD_ID|2506|hsp_num:0,GCA_000167675
"EGR46254.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_000167675
"EGR46265.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|1842|hsp_num:0,GCA_000167675
EGR46291.1 glycosyltransferase family 1 [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|120|hsp_num:0,GCA_000167675
"EGR46301.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|1948|hsp_num:0,GCA_000167675
EGR46329.1 sugar transporter [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|580|hsp_num:0,GCA_000167675
EGR46344.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,GCA_000167675
EGR46381.1 predicted protein [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|587|hsp_num:0,GCA_000167675
EGR46396.1 predicted protein [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|2123|hsp_num:0,GCA_000167675
EGR46420.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR46430.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR46462.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,GCA_000167675
EGR46533.1 acetyltransferase [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|1123|hsp_num:0,GCA_000167675
EGR46554.1 predicted protein [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|1630|hsp_num:0,GCA_000167675
EGR46616.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2326|hsp_num:0,GCA_000167675
EGR46618.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2328|hsp_num:0,GCA_000167675
EGR46627.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|1340|hsp_num:0,GCA_000167675
EGR46685.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_000167675
EGR46758.1 hypothetical protein TRIREDRAFT_122909 [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|1723|hsp_num:0,GCA_000167675
EGR46760.1 hypothetical protein TRIREDRAFT_65530 [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|2092|hsp_num:0,GCA_000167675
EGR46763.1 predicted protein [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|1697|hsp_num:0,GCA_000167675
"EGR46783.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|1125|hsp_num:0,GCA_000167675
EGR46854.1 predicted protein [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|2123|hsp_num:0,GCA_000167675
EGR46891.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2278|hsp_num:0,GCA_000167675
EGR47004.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_000167675
EGR47048.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|555|hsp_num:0,GCA_000167675
EGR47074.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1948|hsp_num:0,GCA_000167675
EGR47123.1 predicted protein [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|2560|hsp_num:0,GCA_000167675
EGR47133.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_000167675
EGR47188.1 histidine kinase [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,GCA_000167675
EGR47235.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1352|hsp_num:0,GCA_000167675
EGR47270.1 predicted protein [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|1928|hsp_num:0,GCA_000167675
EGR47298.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2326|hsp_num:0,GCA_000167675
EGR47334.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,GCA_000167675
EGR47381.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2553|hsp_num:0,GCA_000167675
EGR47390.1 beta subunit of DNA-directed RNA polymerase [Trichoderma reesei QM6a],antibiotic target alteration; antibiotic target replacement,gnl|BL_ORD_ID|2406|hsp_num:0,GCA_000167675
EGR47393.1 hypothetical protein TRIREDRAFT_79229 [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|1911|hsp_num:0,GCA_000167675
EGR47443.1 hypothetical protein TRIREDRAFT_63935 [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|2130|hsp_num:0,GCA_000167675
EGR47544.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|610|hsp_num:0,GCA_000167675
EGR47577.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_000167675
EGR47690.1 Hypothetical protein TRIREDRAFT_63503 [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|154|hsp_num:0,GCA_000167675
"EGR47696.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|1065|hsp_num:0,GCA_000167675
EGR47908.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR48036.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1948|hsp_num:0,GCA_000167675
EGR48063.1 predicted protein [Trichoderma reesei QM6a],antibiotic target alteration; antibiotic target replacement,gnl|BL_ORD_ID|2406|hsp_num:0,GCA_000167675
EGR48192.1 lactate dehydrogenase-like protein [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|165|hsp_num:0,GCA_000167675
EGR48216.1 predicted protein [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|2292|hsp_num:0,GCA_000167675
EGR48223.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1141|hsp_num:0,GCA_000167675
EGR48244.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|2302|hsp_num:0,GCA_000167675
EGR48246.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_000167675
EGR48356.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR48378.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|821|hsp_num:0,GCA_000167675
EGR48387.1 histidine kinase [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,GCA_000167675
EGR48403.1 glycosyltransferase family 1 [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|120|hsp_num:0,GCA_000167675
EGR48423.1 hypothetical protein TRIREDRAFT_62470 [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|2125|hsp_num:0,GCA_000167675
EGR48428.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_000167675
EGR48450.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|2302|hsp_num:0,GCA_000167675
"EGR48465.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|980|hsp_num:0,GCA_000167675
EGR48468.1 ABC-transporter [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,GCA_000167675
EGR48472.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2342|hsp_num:0,GCA_000167675
EGR48491.1 glycosyltransferase family 1 [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|120|hsp_num:0,GCA_000167675
EGR48499.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2328|hsp_num:0,GCA_000167675
"EGR48503.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|2244|hsp_num:0,GCA_000167675
EGR48505.1 galactose permease [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1065|hsp_num:0,GCA_000167675
EGR48510.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1065|hsp_num:0,GCA_000167675
EGR48623.1 histidine kinase [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,GCA_000167675
EGR48627.1 histidine kinase [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,GCA_000167675
EGR48643.1 hypothetical protein TRIREDRAFT_78049 [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|1911|hsp_num:0,GCA_000167675
EGR48776.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2326|hsp_num:0,GCA_000167675
EGR48778.1 hypothetical protein TRIREDRAFT_48146 [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|2129|hsp_num:0,GCA_000167675
EGR48781.1 hexose transporter [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|580|hsp_num:0,GCA_000167675
EGR48850.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|772|hsp_num:0,GCA_000167675
EGR48887.1 mitochondrial translation initiation factor 2 [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|1222|hsp_num:0,GCA_000167675
EGR48932.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR48939.1 glycosyltransferase family 1 [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|120|hsp_num:0,GCA_000167675
"EGR48940.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|478|hsp_num:0,GCA_000167675
EGR49018.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_000167675
EGR49049.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2278|hsp_num:0,GCA_000167675
EGR49078.1 acetyltransferase [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|1528|hsp_num:0,GCA_000167675
EGR49112.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR49132.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1981|hsp_num:0,GCA_000167675
"EGR49146.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,GCA_000167675
EGR49236.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_000167675
EGR49251.1 histidine kinase-like protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,GCA_000167675
EGR49338.1 predicted protein [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|2130|hsp_num:0,GCA_000167675
EGR49354.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2326|hsp_num:0,GCA_000167675
EGR49489.1 formate dehydrogenase [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|165|hsp_num:0,GCA_000167675
EGR49492.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2328|hsp_num:0,GCA_000167675
EGR49503.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_000167675
EGR49589.1 predicted protein [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|2556|hsp_num:0,GCA_000167675
EGR49690.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1103|hsp_num:0,GCA_000167675
EGR49693.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|751|hsp_num:0,GCA_000167675
EGR49712.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR49765.1 response regulator receiver [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|425|hsp_num:0,GCA_000167675
EGR49825.1 glycosyltransferase family 2 [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|1983|hsp_num:0,GCA_000167675
EGR49857.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|2279|hsp_num:0,GCA_000167675
EGR49861.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1872|hsp_num:0,GCA_000167675
EGR49883.1 major facilitator superfamily transporter [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,GCA_000167675
EGR49892.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR49894.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,GCA_000167675
EGR49905.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_000167675
EGR49915.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1531|hsp_num:0,GCA_000167675
EGR49942.1 glycosyltransferase family 1 [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|120|hsp_num:0,GCA_000167675
EGR49956.1 histidine kinase [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,GCA_000167675
EGR49958.1 maltose permease [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1531|hsp_num:0,GCA_000167675
EGR49970.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2244|hsp_num:0,GCA_000167675
EGR49982.1 translation elongation factor 1a [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|2092|hsp_num:0,GCA_000167675
EGR49983.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1839|hsp_num:0,GCA_000167675
EGR50035.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR50092.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2475|hsp_num:0,GCA_000167675
EGR50135.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|504|hsp_num:0,GCA_000167675
EGR50196.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_000167675
"EGR50200.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,GCA_000167675
"EGR50239.1 histidine kinase, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,GCA_000167675
EGR50273.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|153|hsp_num:0,GCA_000167675
EGR50274.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|2085|hsp_num:0,GCA_000167675
EGR50293.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|2187|hsp_num:0,GCA_000167675
EGR50300.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|2085|hsp_num:0,GCA_000167675
EGR50434.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|460|hsp_num:0,GCA_000167675
EGR50435.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,GCA_000167675
