Gene	interpro	PANTHER	MobiDBLite	Pfam	Phobius	TMHMM	GO	PRINTS	Gene3D	SUPERFAMILY	CDD	SMART	ProSitePatterns	ProSiteProfiles	SignalP_GRAM_POSITIVE	PATHWAY	PIRSF	Hamap	Coils	SFLD	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	ProDom
maker-NODE_1_length_404280_cov_47.690922-snap-gene-0.13-mRNA-1	IPR014001	PTHR24031:SF421;PTHR24031	mobidb-lite	PF00270;PF00271	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	GO:0003676;GO:0005524	NA	G3DSA:3.40.50.300	SSF52540	cd00079	SM00490;SM00487	NA	PS51192;PS51194;PS51195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_112_length_76101_cov_46.500066-processed-gene-0.133-mRNA-1	IPR026183	PTHR16127:SF13;PTHR16127	mobidb-lite	PF09728	NA	NA	GO:0019905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_98_length_85391_cov_52.776365-processed-gene-0.18-mRNA-1	NA	PTHR13251	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_172_length_51276_cov_47.937516-snap-gene-0.12-mRNA-1	IPR011701	PTHR23524;PTHR23524:SF1	NA	PF07690	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0055085	NA	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_45_length_126150_cov_49.100569-augustus-gene-0.319-mRNA-1	IPR029039	PTHR10799;PTHR10799:SF821	mobidb-lite	PF00176;PF00271;PF00258;PF13920;PF04055;PF08608	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	GO:0005524;GO:0003824;GO:0008033;GO:0051539;GO:0010181;GO:0051536	NA	G3DSA:3.40.50.360;G3DSA:3.20.20.70;G3DSA:3.40.50.10810;G3DSA:3.30.40.10;G3DSA:3.30.70.2330	SSF52218;SSF52540;SSF102114;SSF57850	cd00046;cd01335;cd00079	SM00184;SM00487	PS00518	PS50902;PS50089;PS51194;PS51192	NA	MetaCyc: PWY-7285|MetaCyc: PWY-7286|Reactome: R-HSA-6782861	NA	NA	Coil	SFLDF00284;SFLDG01071	NA	NA	NA	NA
maker-NODE_170_length_51717_cov_47.694127-snap-gene-0.153-mRNA-1	IPR000795	PTHR42908:SF6;PTHR42908	mobidb-lite	PF00009;PF03764;PF16004;PF00679;PF03144	NA	NA	GO:0003924;GO:0005525	PR00315	G3DSA:2.40.30.10;G3DSA:3.40.50.300;G3DSA:3.30.70.240;G3DSA:3.30.230.10;G3DSA:3.90.1430.10;G3DSA:3.30.70.870	SSF54980;SSF52540;SSF50447;SSF54211	cd16264;cd04090;cd04098;cd01683;cd04167	SM00889;SM00838	NA	PS51722	NA	Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	NA	NA	TIGR00231	NA	NA	NA
snap_masked-NODE_112_length_76101_cov_46.500066-processed-gene-0.126-mRNA-1	IPR029066	PTHR11482	NA	PF02784;PF00278	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	GO:0003824;GO:0006596	PR01182;PR01179	G3DSA:3.20.20.10;G3DSA:2.40.37.10	SSF51419;SSF50621	cd00622	NA	PS00878;PS00879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_50_length_122315_cov_15.896888-protein2genome-gene-0.0-mRNA-1	IPR020846	PTHR23502:SF34;PTHR23502	NA	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0055085	NA	G3DSA:1.20.1250.20	SSF103473	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_172_length_51276_cov_47.937516-augustus-gene-0.122-mRNA-1	IPR004552	PTHR10434:SF39;PTHR10434	mobidb-lite	PF01553	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0003841;GO:0008654;GO:0016020;GO:0016746	NA	NA	SSF69593	cd07989	SM00563	NA	NA	NA	KEGG: 00561+2.3.1.51|KEGG: 00564+2.3.1.51|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-6453|MetaCyc: PWY-7411|MetaCyc: PWY-7417|MetaCyc: PWY-7587|MetaCyc: PWY-7589|MetaCyc: PWY-7782|Reactome: R-HSA-1483166	NA	NA	NA	NA	TIGR00530	NA	NA	NA
augustus_masked-NODE_28_length_165981_cov_49.966302-processed-gene-0.37-mRNA-1	IPR000717	PTHR14145;PTHR14145:SF1	NA	PF01399;PF10602	NA	NA	GO:0003824;GO:0044237;GO:0030234	NA	G3DSA:1.25.40.570	SSF101262;SSF46785	NA	SM00088;SM00753	NA	PS50250	NA	KEGG: 00340+2.1.2.5|KEGG: 00670+4.3.1.4+2.1.2.5|MetaCyc: PWY-5030|MetaCyc: PWY-5497|Reactome: R-HSA-70921	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_35_length_146819_cov_48.030233-augustus-gene-0.356-mRNA-1	IPR006042	PTHR42810;PTHR42810:SF2	mobidb-lite	PF00860	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0005215;GO:0016020;GO:0055085;GO:0022857	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-196836	NA	NA	NA	NA	TIGR00801	NA	NA	NA
maker-NODE_30_length_161751_cov_50.696648-snap-gene-0.24-mRNA-1	IPR003439	PTHR24221:SF400;PTHR24221	mobidb-lite	PF00005;PF00664	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	SSF90123;SSF52540	cd03249	SM00382	PS00211	PS50893;PS50929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_215496_cov_47.709197-augustus-gene-1.85-mRNA-1	IPR009571	PTHR28019;PTHR28019:SF2	mobidb-lite	PF06687	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0005886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_118_length_70579_cov_43.888350-augustus-gene-0.9-mRNA-1	IPR000261	PTHR11216;PTHR11216:SF89	mobidb-lite	PF08226;PF12763	NA	NA	GO:0005515;GO:0005509	NA	G3DSA:1.10.238.10	SSF47473	cd00052	SM00027	NA	PS50222;PS50031	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_29_length_164962_cov_46.753942-snap-gene-0.384-mRNA-1	IPR014743	PTHR42101	NA	PF06772	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix		NA	NA	SSF81340	NA	NA	NA	NA	NA	Reactome: R-HSA-2672351	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_183859_cov_45.279597-snap-gene-0.351-mRNA-1	IPR002347	PTHR43296;PTHR43296:SF3	NA	PF13561	NA	NA	NA	PR00081	G3DSA:3.40.50.720	SSF51735	cd05369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_128_length_65099_cov_46.687311-processed-gene-0.126-mRNA-1	IPR033809	PTHR43985	mobidb-lite	PF02148;PF00443	NA	NA	GO:0000245;GO:0006397;GO:0008270;GO:0016579;GO:0036459	NA	G3DSA:3.30.40.10;G3DSA:3.90.70.10	SSF57850;SSF54001	cd02669	SM00290	NA	PS50235;PS50271	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_66_length_105285_cov_44.640617-processed-gene-0.63-mRNA-1	IPR001289	PTHR12632;PTHR12632:SF6	mobidb-lite	PF02045	NA	NA	GO:0003700;GO:0006355	PR00616	NA	NA	NA	SM00521	NA	PS51152	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-2426168|Reactome: R-HSA-380994|Reactome: R-HSA-381183	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_215955_cov_40.277522-snap-gene-1.177-mRNA-1	IPR003392	PTHR10796;PTHR10796:SF116	NA	PF02460;PF16414;PF12349	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	GO:0016021	NA	G3DSA:1.20.1640.10	SSF82866	NA	NA	NA	PS50156	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA
augustus_masked-NODE_65_length_105409_cov_48.274805-processed-gene-0.9-mRNA-1	IPR032816	PTHR12677;PTHR12677:SF24	mobidb-lite	PF09335	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_87_length_89869_cov_45.216454-snap-gene-0.150-mRNA-1	IPR022237	PTHR10067:SF9;PTHR10067	NA	PF12588;PF02666	NA	NA	GO:0004609;GO:0008654	NA	NA	NA	NA	NA	NA	NA	NA	KEGG: 00380+4.1.1.105|KEGG: 00901+4.1.1.105|MetaCyc: PWY-3181|MetaCyc: PWY-5290|MetaCyc: PWY-5473|MetaCyc: PWY-581|MetaCyc: PWY-5877|MetaCyc: PWY-6307|MetaCyc: PWY-7936	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_219_length_35608_cov_44.908853-processed-gene-0.62-mRNA-1	IPR023606	PTHR45583	NA	PF02515	NA	NA	GO:0003824	NA	G3DSA:3.40.50.10540	SSF89796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_198_length_41783_cov_43.744455-snap-gene-0.25-mRNA-1	IPR002293	PTHR43341:SF4;PTHR43341	NA	PF00324	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	NA	G3DSA:1.20.1740.10	NA	NA	NA	PS00218	NA	NA	NA	PIRSF006060	NA	NA	NA	NA	NA	NA	NA
maker-NODE_317_length_15180_cov_49.003454-snap-gene-0.44-mRNA-1	IPR005828	PTHR23500:SF340;PTHR23500	mobidb-lite	PF00083	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	PR00171	G3DSA:1.20.1250.20	SSF103473	cd06174	NA	PS00216;PS00217	PS50850	NA	Reactome: R-HSA-189200	NA	NA	NA	NA	TIGR00879	NA	NA	NA
maker-NODE_6_length_241765_cov_47.318621-augustus-gene-0.158-mRNA-1	IPR031157	PTHR23115:SF228;PTHR23115	NA	PF03144;PF00009;PF03143	NA	NA	GO:0005525;GO:0003924;GO:0003746;GO:0006414	PR00315	G3DSA:2.40.30.10;G3DSA:3.40.50.300	SSF52540;SSF50447;SSF50465	cd01883;cd03705;cd03693	NA	PS00301	PS51722	NA	Reactome: R-HSA-156842	NA	NA	NA	NA	TIGR00483	NA	NA	NA
augustus_masked-NODE_264_length_26368_cov_42.559201-processed-gene-0.2-mRNA-1	IPR003660	PTHR45339	mobidb-lite	PF00672;PF00072;PF02518;PF00512	NA	NA	GO:0007165;GO:0016021;GO:0000160;GO:0000155;GO:0016310;GO:0016772	PR00344	G3DSA:1.10.287.130;G3DSA:3.30.565.10;G3DSA:3.40.50.2300;G3DSA:1.10.8.500;G3DSA:3.40.50.12330	SSF52172;SSF47384;SSF58104;SSF55874	cd06225;cd00075;cd00156;cd00082	SM00448;SM00388;SM00304;SM00387	NA	PS50110;PS50885;PS50109	NA	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_191130_cov_47.991796-processed-gene-0.135-mRNA-1	IPR000760	PTHR20854;PTHR20854:SF4	mobidb-lite	PF00459	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0046854;GO:0008934;GO:0046855	PR00377	G3DSA:3.30.540.10;G3DSA:3.40.190.80	SSF56655	cd01639	NA	PS00629;PS00630	NA	NA	KEGG: 00521+3.1.3.25|KEGG: 00562+3.1.3.25|KEGG: 04070+3.1.3.25|MetaCyc: PWY-2301|MetaCyc: PWY-4702|MetaCyc: PWY-6363|Reactome: R-HSA-1855183	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_185_length_46513_cov_50.306881-processed-gene-0.11-mRNA-1	IPR003959	PTHR23077:SF27;PTHR23077	mobidb-lite	PF00004;PF17862	NA	NA	GO:0005524	NA	G3DSA:1.10.8.60;G3DSA:3.40.50.300	SSF52540	cd00009	SM00382	PS00674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_121_length_68883_cov_50.303523-snap-gene-0.46-mRNA-1	IPR002219	PTHR24356:SF240;PTHR24356	mobidb-lite	PF00130;PF02185;PF00168	NA	NA	GO:0035556;GO:0007165;GO:0004697;GO:0009272	NA	G3DSA:1.10.287.160;G3DSA:3.30.60.20	SSF57889;SSF49562;SSF46585	cd00029;cd11620	SM00109;SM00239;SM00742	PS00479	PS50081	NA	KEGG: 04070+2.7.11.13	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_11_length_219827_cov_45.592399-snap-gene-1.78-mRNA-1	IPR036390	PTHR12619:SF5;PTHR12619	mobidb-lite	PF02257	NA	NA	GO:0003677;GO:0006355;GO:0003700	NA	G3DSA:1.10.10.10	SSF46785	NA	NA	NA	PS51526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_170_length_51717_cov_47.694127-snap-gene-0.148-mRNA-1	IPR027443	PTHR10209;PTHR10209:SF216	NA	NA	NA	NA	NA	NA	G3DSA:2.60.120.330	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_170_length_51717_cov_47.694127-processed-gene-0.141-mRNA-1	IPR000133	PTHR10585;PTHR10585:SF30	mobidb-lite	PF00810	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0006621;GO:0016021;GO:0046923	PR00660	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_91_length_87614_cov_38.084321-processed-gene-0.149-mRNA-1	IPR010987	PTHR11080;PTHR11080:SF33	mobidb-lite	PF00857;PF13532	NA	NA	GO:0016491;GO:0055114;GO:0003824	NA	G3DSA:1.20.1050.130;G3DSA:2.60.120.590;G3DSA:3.40.50.850	SSF51197;SSF47616;SSF52499	cd00299;cd00431	NA	NA	PS50405;PS51471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_261062_cov_48.596903-augustus-gene-1.80-mRNA-1	IPR001680	PTHR15271	mobidb-lite	PF00400	NA	NA	GO:0005515	NA	G3DSA:2.130.10.10	SSF50978	NA	SM00320	NA	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_284_length_22549_cov_43.728526-snap-gene-0.73-mRNA-1	IPR007248	PTHR11266;PTHR11266:SF23	mobidb-lite	PF04117	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_88_length_89743_cov_48.178350-processed-gene-0.157-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_231_length_32299_cov_47.388816-processed-gene-0.0-mRNA-1	IPR008504	PTHR20994:SF0;PTHR20994	NA	PF07019	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0005783;GO:0016021;GO:0072546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_121_length_68883_cov_50.303523-augustus-gene-0.43-mRNA-1	IPR023753	PTHR42817;PTHR42817:SF1	NA	PF07992	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	GO:0016491;GO:0055114	PR00469;PR00368	G3DSA:3.50.50.60	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_77_length_98477_cov_47.632872-augustus-gene-0.52-mRNA-1	IPR000719	PTHR24343;PTHR24343:SF307	mobidb-lite	PF00069;PF16797	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	GO:0004672;GO:0005524;GO:0006468	NA	G3DSA:3.30.310.220;G3DSA:1.10.510.10	SSF56112	cd14081	SM00220	PS00107;PS00108	PS50011	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_51_length_120223_cov_47.134501-protein2genome-gene-0.125-mRNA-1	NA	NA	mobidb-lite	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_62_length_109588_cov_47.045514-augustus-gene-0.39-mRNA-1	IPR013861	PTHR13377:SF3;PTHR13377	mobidb-lite	PF08551	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE	TMhelix	GO:0006890;GO:0016021	NA	NA	SSF144091	NA	SM01160	NA	NA	NA	Reactome: R-HSA-6807878	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_80_length_94230_cov_46.496860-snap-gene-0.179-mRNA-1	IPR000719	PTHR24351:SF29;PTHR24351	mobidb-lite	PF00069	NA	NA	GO:0004672;GO:0005524;GO:0006468	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	cd05574	SM00220	PS00108	PS50011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_183_length_47154_cov_42.531950-processed-gene-0.43-mRNA-1	IPR005818	PTHR11467:SF90;PTHR11467	mobidb-lite	PF00538	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	GO:0000786;GO:0003677;GO:0005634;GO:0006334	PR00624	G3DSA:1.10.10.10	SSF46785	cd00073	SM00526	NA	PS51504	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_247_length_29276_cov_42.032969-augustus-gene-0.0-mRNA-1	IPR000340	PTHR23339;PTHR23339:SF27	mobidb-lite	PF00782;PF14671	NA	NA	GO:0008138;GO:0016311;GO:0016791;GO:0006470;GO:0004725;GO:0004721;GO:0007096	NA	G3DSA:3.90.190.10	SSF52799	NA	SM00404;SM00195	PS00383	PS50056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_62_length_109588_cov_47.045514-augustus-gene-0.46-mRNA-1	IPR040062	PTHR24089;PTHR24089:SF377	NA	PF00153	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0022857	NA	G3DSA:1.50.40.10	SSF103506	NA	NA	NA	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_241765_cov_47.318621-processed-gene-0.165-mRNA-1	IPR031127	PTHR11685:SF165;PTHR11685	mobidb-lite	NA	NA	NA	GO:0004842;GO:0016567	NA	G3DSA:3.30.40.10	SSF57850	NA	NA	NA	PS50089	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_144_length_60064_cov_51.525819-processed-gene-0.99-mRNA-1	IPR027417	PTHR12131;PTHR12131:SF1	mobidb-lite	PF00271;PF12513;PF18147	NA	NA	GO:0016817	NA	G3DSA:1.20.58.1080;G3DSA:3.40.50.300;G3DSA:1.20.272.40	SSF52540	cd00079;cd00046	SM00490	NA	PS51192;PS51194	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_327_length_13184_cov_44.403692-augustus-gene-0.6-mRNA-1	IPR000719	PTHR24056:SF39;PTHR24056	mobidb-lite	PF00069	NA	NA	GO:0004672;GO:0005524;GO:0006468	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	cd07840	SM00220	PS00107;PS00108	PS50011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_191130_cov_47.991796-snap-gene-0.122-mRNA-1	IPR004837	PTHR31503:SF14;PTHR31503	mobidb-lite	PF01699	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0055085;GO:0006816;GO:0015369	NA	G3DSA:1.20.1420.30;G3DSA:1.20.58.1130	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-425561	NA	NA	NA	NA	TIGR00378	NA	NA	NA
