Gene	interpro	SUPERFAMILY	GO	PATHWAY	Gene3D	TIGRFAM	Pfam	MobiDBLite	PIRSF	Hamap	ProSiteProfiles	SMART	PRINTS	Coils	CDD	ProSitePatterns	SFLD
maker-SPDT01000010.1-snap-gene-1.3-mRNA-1	IPR042099	SSF56801	GO:0006629;GO:0030729;GO:0003824	KEGG: 00280+6.2.1.16|KEGG: 00650+6.2.1.16|MetaCyc: PWY-8058|Reactome: R-HSA-77111	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	TIGR01217	PF00501	NA	NA	NA	NA	NA	NA	NA	cd05943	PS00455	NA
snap_masked-SPDT01000001.1-processed-gene-29.36-mRNA-1	IPR000891	SSF51569	GO:0003824	NA	G3DSA:3.20.20.70	NA	PF00682	NA	NA	NA	PS50991	NA	NA	NA	cd07938	NA	NA
maker-SPDT01000001.1-augustus-gene-33.191-mRNA-1	IPR018106	SSF101447;SSF101278;SSF69340	GO:0000902;GO:0003779;GO:0007010	Reactome: R-HSA-428890	G3DSA:2.160.20.70;G3DSA:1.25.40.330	NA	PF08603;PF01213	mobidb-lite	NA	NA	PS51329	SM00673	NA	NA	NA	PS01088	NA
maker-SPDT01000007.1-augustus-gene-28.225-mRNA-1	IPR017252	SSF109925;SSF50978	GO:0005515	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-2565942|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-5663220|Reactome: R-HSA-6811436|Reactome: R-HSA-68877|Reactome: R-HSA-8854518	G3DSA:1.20.960.30	NA	PF00400	mobidb-lite	PIRSF037647	MF_03141	PS50082;PS50896;PS50294	SM00320	PR00320	NA	cd00200	PS00678	NA
maker-SPDT01000003.1-snap-gene-4.277-mRNA-1	IPR005828	SSF103473	GO:0016021;GO:0022857;GO:0055085	NA	G3DSA:1.20.1250.20	NA	PF00083	mobidb-lite	NA	NA	PS50850	NA	NA	NA	cd17364	PS00216	NA
augustus_masked-SPDT01000008.1-processed-gene-4.182-mRNA-1	IPR013087	NA	GO:0003676	NA	G3DSA:3.30.160.60	NA	NA	mobidb-lite	NA	NA	PS50157	SM00355	NA	Coil	NA	PS00028	NA
maker-SPDT01000003.1-snap-gene-5.6-mRNA-1	IPR003163	SSF54616;SSF48403	GO:0003677;GO:0005515	NA	G3DSA:3.10.260.10;G3DSA:1.25.40.20	NA	PF04383;PF00023	mobidb-lite	NA	NA	PS51299;PS50088;PS50297	SM01252;SM00248	NA	Coil	NA	NA	NA
maker-SPDT01000006.1-snap-gene-11.195-mRNA-1	IPR002908	SSF55387	GO:0008199;GO:0016226;GO:0004322;GO:0005739;GO:0055114	Reactome: R-HSA-1268020|Reactome: R-HSA-1362409	G3DSA:3.30.920.10	TIGR03421;TIGR03422	PF01491	NA	NA	NA	PS50810	SM01219	NA	NA	NA	PS01344	NA
maker-SPDT01000008.1-snap-gene-12.256-mRNA-1	IPR022158	NA	GO:0042578	NA	NA	NA	PF12456;PF02383	mobidb-lite	NA	NA	PS50275;PS51791	NA	NA	NA	NA	NA	NA
snap_masked-SPDT01000003.1-processed-gene-33.132-mRNA-1	IPR000504	SSF54928	GO:0003676	NA	G3DSA:3.30.70.330	NA	PF00076	mobidb-lite	NA	NA	PS50102	SM00361;SM00360	NA	NA	cd12614;cd12619	NA	NA
maker-SPDT01000004.1-augustus-gene-38.34-mRNA-1	IPR002347	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF00106	NA	NA	NA	NA	SM00822	PR00081	NA	cd05233	NA	NA
maker-SPDT01000007.1-protein2genome-gene-14.83-mRNA-1	IPR001705	SSF57829	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	G3DSA:2.20.28.120	TIGR01023	PF00471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-46.19-mRNA-1	IPR004827	SSF57959	GO:0003700;GO:0006355	NA	G3DSA:1.20.5.170	NA	PF00170	mobidb-lite	NA	NA	PS50217	SM00338	NA	NA	cd14687	PS00036	NA
maker-SPDT01000007.1-augustus-gene-8.31-mRNA-1	IPR013087	NA	GO:0003676	NA	G3DSA:3.30.160.60;G3DSA:3.40.50.1460	NA	NA	mobidb-lite	NA	NA	NA	SM00355	NA	NA	NA	NA	NA
augustus_masked-SPDT01000004.1-processed-gene-6.58-mRNA-1	IPR001002	SSF51445;SSF57016;SSF54556	GO:0008061;GO:0005975	NA	G3DSA:3.20.20.80;G3DSA:3.30.60.10;G3DSA:3.10.50.10	NA	PF00187;PF00704	mobidb-lite	NA	NA	PS50941	SM00270;SM00636	NA	NA	cd00035	PS00026	NA
maker-SPDT01000004.1-augustus-gene-36.20-mRNA-1	IPR019734	SSF54277;SSF48452	GO:0005515	NA	G3DSA:1.25.40.10;G3DSA:3.10.20.90	NA	PF00564;PF00515	mobidb-lite	NA	NA	PS50005;PS51745;PS50293	SM00028	NA	NA	cd06408	NA	NA
maker-SPDT01000003.1-snap-gene-32.168-mRNA-1	IPR041679	SSF52540	GO:0000398;GO:0005681	Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-72163	G3DSA:3.40.50.300	NA	PF13087;PF13086;PF16399	mobidb-lite	PIRSF038901	NA	NA	NA	NA	NA	cd18808;cd17935	NA	NA
maker-SPDT01000010.1-snap-gene-16.257-mRNA-1	IPR005828	SSF103473	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	G3DSA:1.20.1250.20	TIGR00879	PF00083	NA	NA	NA	PS50850	NA	PR00171	NA	cd17356	PS00217;PS00216	NA
augustus_masked-SPDT01000013.1-processed-gene-13.4-mRNA-1	IPR021369	NA	NA	NA	NA	NA	PF11204	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000010.1-snap-gene-5.259-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000001.1-augustus-gene-13.6-mRNA-1	IPR013126	SSF53067		Reactome: R-HSA-3371453	G3DSA:3.30.30.30;G3DSA:3.90.640.10;G3DSA:3.30.420.40	NA	PF00012	mobidb-lite	NA	NA	NA	NA	PR00301	NA	cd10232	NA	NA
augustus_masked-SPDT01000003.1-processed-gene-33.173-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000006.1-processed-gene-12.81-mRNA-1	IPR000182	SSF55729	GO:0008080	NA	NA	NA	PF00583	NA	NA	NA	NA	NA	NA	NA	cd04301	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-12.8-mRNA-1	IPR011044	SSF50969	GO:0005737;GO:0006886;GO:0007033	NA	G3DSA:1.10.150.780	NA	PF04840;PF04841	NA	PIRSF007949	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000001.1-augustus-gene-21.253-mRNA-1	IPR035984	SSF47027	GO:0000062	NA	G3DSA:1.20.80.10	NA	PF00887	NA	NA	NA	PS51228	NA	PR00689	NA	NA	NA	NA
maker-SPDT01000002.1-protein2genome-gene-13.73-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-19.240-mRNA-1	IPR006683	SSF54637		Reactome: R-HSA-77289	G3DSA:3.10.129.10	TIGR00369	PF03061	NA	NA	NA	NA	NA	NA	NA	cd03443	NA	NA
snap_masked-SPDT01000002.1-processed-gene-28.15-mRNA-1	IPR036869	SSF46565		Reactome: R-HSA-3371453	G3DSA:1.10.8.840;G3DSA:1.10.287.110	NA	PF16717;PF00226	mobidb-lite	NA	NA	PS50076	SM00271	NA	Coil	cd06257	PS00636	NA
maker-SPDT01000007.1-augustus-gene-52.138-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-SPDT01000006.1-snap-gene-15.101-mRNA-1	IPR005024	NA	GO:0007034	NA	NA	NA	PF03357	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-SPDT01000001.1-snap-gene-31.9-mRNA-1	IPR000594	SSF69572	GO:0008641	NA	G3DSA:3.40.50.720	NA	PF00899	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000006.1-processed-gene-7.185-mRNA-1	IPR013805	SSF58014;SSF51064	GO:0000774;GO:0006457;GO:0042803;GO:0051087	Reactome: R-HSA-1268020	G3DSA:2.30.22.10;G3DSA:3.90.20.20	NA	PF01025	mobidb-lite	NA	MF_01151	NA	NA	PR00773	Coil	cd00446	PS01071	NA
maker-SPDT01000007.1-augustus-gene-58.81-mRNA-1	IPR023395	SSF103506	NA	NA	G3DSA:1.50.40.10	NA	PF00153	NA	NA	NA	PS50920	NA	NA	NA	NA	NA	NA
maker-SPDT01000004.1-snap-gene-15.24-mRNA-1	IPR007955	NA		Reactome: R-HSA-6791226	NA	NA	PF05291	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000006.1-snap-gene-2.111-mRNA-1	IPR023631	SSF75304		KEGG: 00970+6.3.5.7	G3DSA:3.90.1300.10	NA	PF01425	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000013.1-processed-gene-0.79-mRNA-1	IPR005999	SSF53067	GO:0004370;GO:0006072;GO:0005975;GO:0016773	KEGG: 00561+2.7.1.30|MetaCyc: PWY-4261|Reactome: R-HSA-75109	G3DSA:3.30.420.40	TIGR01311	PF02782;PF00370	NA	PIRSF000538	NA	NA	NA	NA	NA	NA	PS00445;PS00933	NA
augustus_masked-SPDT01000013.1-processed-gene-3.120-mRNA-1	IPR000705	SSF55060;SSF54211	GO:0004335;GO:0005524;GO:0006012;GO:0046835;GO:0005737;GO:0016301;GO:0016773;GO:0005534	KEGG: 00052+2.7.1.6|KEGG: 00520+2.7.1.6|MetaCyc: PWY-3821|MetaCyc: PWY-6317|MetaCyc: PWY-6527	G3DSA:3.30.70.3170;G3DSA:3.30.70.890;G3DSA:3.30.230.10	TIGR00131	PF00288;PF08544;PF10509	NA	PIRSF000530	NA	NA	NA	PR00959;PR00473	NA	NA	PS00627;PS00106	NA
augustus_masked-SPDT01000013.1-processed-gene-6.105-mRNA-1	IPR018392	SSF54106	NA	NA	G3DSA:3.10.350.10	NA	PF01476	NA	NA	NA	PS51782	SM00257	NA	NA	cd00118	NA	NA
maker-SPDT01000006.1-snap-gene-13.162-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000004.1-snap-gene-23.30-mRNA-1	IPR037225	SSF142019;SSF142984;SSF140490	GO:0008137;GO:0010181;GO:0051539;GO:0055114;GO:0016651;GO:0051287	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	G3DSA:1.20.1440.230;G3DSA:3.40.50.11540;G3DSA:3.10.20.600	TIGR01959	PF01512;PF10589;PF10531	NA	NA	NA	NA	SM00928	NA	NA	NA	PS00644;PS00645	NA
snap_masked-SPDT01000006.1-processed-gene-38.56-mRNA-1	IPR008442	SSF53474	GO:0004185;GO:0005773;GO:0006508	NA	G3DSA:1.10.287.410;G3DSA:3.40.50.1820	NA	PF05388;PF00450	NA	NA	NA	NA	NA	PR00724	NA	NA	PS00131	NA
maker-SPDT01000006.1-snap-gene-47.165-mRNA-1	IPR010721	NA	NA	NA	G3DSA:1.20.120.1630	NA	PF06966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000013.1-processed-gene-15.4-mRNA-1	IPR000743	SSF51126	GO:0004650;GO:0005975	NA	G3DSA:2.160.20.10	NA	PF00295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000009.1-processed-gene-0.4-mRNA-1	IPR008030	SSF51735		Reactome: R-HSA-70635	G3DSA:3.40.50.720	NA	PF05368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000007.1-snap-gene-16.222-mRNA-1	IPR036395	SSF57879	GO:0003677;GO:0003700;GO:0005507;GO:0005634;GO:0006355;GO:0042025	NA	G3DSA:3.90.430.10	NA	PF00649	NA	NA	NA	PS50073	SM00412;SM01090	PR00617	NA	NA	NA	NA
snap_masked-SPDT01000010.1-processed-gene-13.163-mRNA-1	IPR012901	SSF53335		KEGG: 00340+2.1.1.22|Reactome: R-HSA-70921	NA	NA	PF07942	NA	NA	NA	NA	SM01296	NA	NA	NA	NA	NA
augustus_masked-SPDT01000006.1-processed-gene-39.50-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000002.1-snap-gene-34.174-mRNA-1	IPR020846	SSF103473	GO:0055085	NA	G3DSA:1.20.1250.20	NA	PF07690	NA	NA	NA	PS50850	NA	NA	NA	cd17325	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-37.16-mRNA-1	IPR029058	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000010.1-snap-gene-17.0-mRNA-1	IPR008313	SSF48208	GO:0003824	NA	G3DSA:1.50.10.10	NA	PF06824	NA	NA	NA	NA	SM01149	NA	NA	NA	NA	NA
snap_masked-SPDT01000010.1-processed-gene-8.46-mRNA-1	IPR000905	NA	NA	NA	G3DSA:3.30.420.40	NA	PF00814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000006.1-augustus-gene-37.315-mRNA-1	IPR003347	SSF81383;SSF51197	GO:0005515	NA	G3DSA:2.60.120.650;G3DSA:1.20.1280.50	NA	PF12937;PF13621	mobidb-lite	NA	NA	PS51184;PS50181	SM00256;SM00558	NA	NA	NA	NA	NA
maker-SPDT01000006.1-snap-gene-45.72-mRNA-1	IPR013830	SSF52266	NA	NA	G3DSA:3.40.50.1110	NA	PF13472	NA	NA	NA	NA	NA	NA	NA	cd01838	NA	NA
augustus_masked-SPDT01000006.1-processed-gene-49.253-mRNA-1	IPR004000	SSF53067	NA	NA	G3DSA:3.90.640.10;G3DSA:3.30.420.40	NA	PF00022	mobidb-lite	NA	NA	NA	SM00268	NA	NA	NA	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-41.227-mRNA-1	IPR001005	NA	NA	NA	G3DSA:1.10.10.60	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	cd00167	NA	NA
maker-SPDT01000007.1-augustus-gene-49.198-mRNA-1	IPR036291	SSF51735	GO:0016491	NA	G3DSA:3.40.50.720	NA	PF00106	NA	NA	NA	NA	NA	PR00081	NA	NA	PS00061	NA
maker-SPDT01000007.1-augustus-gene-45.37-mRNA-1	IPR002013	NA	GO:0042578	NA	NA	NA	PF02383	NA	NA	NA	PS50275	NA	NA	NA	NA	NA	NA
maker-SPDT01000006.1-snap-gene-20.37-mRNA-1	IPR017970	SSF46689	GO:0006355;GO:0043565;GO:0003677	NA	G3DSA:1.10.10.60	NA	PF00046	mobidb-lite	NA	NA	PS50071	SM00389	NA	NA	cd00086	PS00027	NA
maker-SPDT01000010.1-snap-gene-27.2-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-32.11-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000004.1-augustus-gene-15.66-mRNA-1	IPR007206	SSF48371	NA	NA	NA	NA	PF04064;PF04063	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000004.1-augustus-gene-45.39-mRNA-1	IPR001138	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	G3DSA:4.10.240.10	NA	PF04082;PF00172	mobidb-lite	NA	NA	PS50048	SM00906;SM00066	NA	NA	cd00067;cd12148;cd14653	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-16.26-mRNA-1	IPR019787	SSF57903	NA	NA	G3DSA:3.30.40.10	NA	PF12998	mobidb-lite	NA	NA	PS50016	SM00249	NA	NA	cd15505;cd16858	PS01359	NA
maker-SPDT01000001.1-augustus-gene-13.8-mRNA-1	IPR029063	SSF53335;SSF46785	GO:0008171;GO:0008168	NA	G3DSA:1.10.10.10;G3DSA:3.40.50.150	NA	PF00891	NA	NA	NA	PS51683	NA	NA	Coil	cd02440	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-21.203-mRNA-1	IPR002915	SSF51569	GO:0016829;GO:0003824;GO:0004139;GO:0005737;GO:0009264	Reactome: R-HSA-6798695|Reactome: R-HSA-71336	G3DSA:3.20.20.70	TIGR00126	PF01791	NA	PIRSF001357	MF_00114	NA	SM01133	NA	NA	cd00959	NA	NA
augustus_masked-SPDT01000003.1-processed-gene-5.40-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000002.1-processed-gene-13.17-mRNA-1	IPR001138	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	G3DSA:4.10.240.10	NA	PF04082;PF00172	NA	NA	NA	PS50048	SM00066	NA	NA	cd00067;cd12148	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-22.198-mRNA-1	IPR021056	NA	NA	NA	NA	NA	PF11711	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000010.1-processed-gene-21.31-mRNA-1	IPR001736	SSF56024	GO:0003824	Reactome: R-HSA-1483148	G3DSA:3.30.870.10	NA	NA	mobidb-lite	NA	NA	PS50035	NA	NA	NA	cd00138	NA	NA
maker-SPDT01000005.1-snap-gene-14.52-mRNA-1	IPR003034	NA	GO:0008270	Reactome: R-HSA-3232118|Reactome: R-HSA-3899300|Reactome: R-HSA-4090294	G3DSA:3.30.40.10;G3DSA:1.10.720.30;G3DSA:2.60.120.780	NA	PF02891;PF14324	mobidb-lite	NA	NA	PS50800;PS51466;PS51044	NA	NA	NA	NA	NA	NA
maker-SPDT01000007.1-snap-gene-10.73-mRNA-1	IPR001465	SSF51645	GO:0004474;GO:0006097;GO:0003824	KEGG: 00620+2.3.3.9|KEGG: 00630+2.3.3.9|MetaCyc: PWY-6969|MetaCyc: PWY-7118|MetaCyc: PWY-7294|MetaCyc: PWY-7295|MetaCyc: PWY-7854	G3DSA:3.20.20.360;G3DSA:1.20.1220.12	TIGR01344	PF01274	NA	PIRSF001363	NA	NA	NA	NA	NA	cd00727	PS00510	NA
snap_masked-SPDT01000010.1-processed-gene-9.55-mRNA-1	IPR036412	SSF56784	NA	NA	G3DSA:3.40.50.1000	NA	PF03031	mobidb-lite	NA	NA	PS50969	SM00577	NA	NA	NA	NA	NA
maker-SPDT01000009.1-snap-gene-5.0-mRNA-1	IPR002182	SSF48452;SSF52540	GO:0043531;GO:0005515	Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-6798695|Reactome: R-HSA-6803207|Reactome: R-HSA-8953750|Reactome: R-HSA-9627069	G3DSA:1.25.40.10;G3DSA:3.40.50.300	NA	PF00931;PF13424	NA	NA	NA	PS50293	SM00028	PR00364	NA	NA	NA	NA
maker-SPDT01000006.1-protein2genome-gene-14.89-mRNA-1	IPR036330	SSF103464	NA	NA	NA	NA	PF10215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000007.1-augustus-gene-37.22-mRNA-1	IPR004206	SSF55154	GO:0004651	MetaCyc: PWY-7375	G3DSA:3.20.100.10	NA	PF02940	mobidb-lite	NA	NA	NA	NA	NA	NA	cd07470	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-53.47-mRNA-1	IPR013892	NA	NA	NA	NA	NA	PF08583	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-SPDT01000003.1-snap-gene-17.12-mRNA-1	IPR029058	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	PF12697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-62.164-mRNA-1	IPR036770	SSF48403;SSF52540	GO:0005515	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300	NA	PF12796;PF05729	NA	NA	NA	PS50297;PS50088	SM00248	NA	NA	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-13.34-mRNA-1	IPR008928	SSF48208	GO:0003824	NA	G3DSA:1.50.10.10	NA	PF06824	NA	PIRSF028846	NA	NA	SM01149	NA	NA	NA	NA	NA
maker-SPDT01000002.1-snap-gene-13.39-mRNA-1	IPR020946	SSF51905	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	G3DSA:3.50.50.60	NA	PF00743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000004.1-processed-gene-6.53-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000002.1-snap-gene-28.80-mRNA-1	IPR019273	NA	NA	NA	NA	NA	PF10058	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
snap_masked-SPDT01000007.1-processed-gene-7.100-mRNA-1	IPR015943	SSF50978	GO:0005515	NA	G3DSA:2.130.10.10	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000010.1-snap-gene-12.222-mRNA-1	IPR019734	SSF48452	GO:0005515	KEGG: 00514+2.4.1.255|MetaCyc: PWY-7437|Reactome: R-HSA-3214847|Reactome: R-HSA-5689603	G3DSA:3.40.50.11380;G3DSA:3.40.50.2000;G3DSA:1.25.40.10	NA	PF13844;PF13374;PF13181	mobidb-lite	NA	NA	PS50005;PS50293	SM00028	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000013.1-processed-gene-3.114-mRNA-1	IPR036974	SSF88697	GO:0003723	NA	G3DSA:2.30.130.10	TIGR00451	PF17832	NA	PIRSF005067	NA	PS50890	NA	NA	NA	cd11609	NA	NA
maker-SPDT01000007.1-protein2genome-gene-64.34-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000006.1-snap-gene-14.67-mRNA-1	IPR001926	SSF53686	GO:0006520;GO:0030170	NA	G3DSA:3.40.50.1100;G3DSA:3.90.1380.10	TIGR00260	PF00291;PF14821	NA	NA	NA	NA	NA	NA	NA	cd01560	PS00165	NA
