Gene	interpro	SMART	MobiDBLite	GO	SUPERFAMILY	Gene3D	Pfam	PANTHER	PATHWAY	ProSiteProfiles	CDD	ProSitePatterns	Phobius	TMHMM	PRINTS	Coils	SignalP_EUK	Hamap	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	TIGRFAM	SFLD	ProDom
snap_masked-NODE_367_length_23138_cov_14.676937-processed-gene-0.17-mRNA-1	IPR036526	NA	NA	GO:0003952;GO:0005524;GO:0009435;GO:0006807	SSF56317;SSF52402	G3DSA:3.60.110.10;G3DSA:3.40.50.620	PF00795	PTHR23090;PTHR23090:SF9	KEGG: 00760+6.3.1.5|Reactome: R-HSA-196807	PS50263	cd07570	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	PIRSF006630	NA	NA	NA	NA	NA
augustus_masked-NODE_425_length_19091_cov_11.173856-processed-gene-0.29-mRNA-1	IPR001680	SM00320	mobidb-lite	GO:0005515	SSF50978	G3DSA:2.130.10.10	PF00400	PTHR19919;PTHR19919:SF0	NA	PS50082;PS50294	NA	PS00678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_67_length_67339_cov_13.219544-processed-gene-0.181-mRNA-1	IPR032472	SM00950;SM01163	NA	GO:0003676;GO:0005515	SSF101690;SSF53098	G3DSA:2.170.260.10;G3DSA:3.30.420.10;G3DSA:3.40.50.2300	PF16488;PF02171;PF02170;PF08699;PF16486	PTHR22891;PTHR22891:SF0	Reactome: R-HSA-1912408|Reactome: R-HSA-203927|Reactome: R-HSA-4086398|Reactome: R-HSA-426486|Reactome: R-HSA-426496|Reactome: R-HSA-5628897|Reactome: R-HSA-5687128|Reactome: R-HSA-8934593|Reactome: R-HSA-8943723|Reactome: R-HSA-8948700|Reactome: R-HSA-9018519	PS50822	cd02846;cd04657	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_366_length_23266_cov_12.934440-processed-gene-0.73-mRNA-1	IPR009057	SM00717	mobidb-lite	GO:0003677;GO:0042162;GO:0042803	SSF46689	G3DSA:1.10.10.60	PF08558	PTHR21717;PTHR21717:SF51	Reactome: R-HSA-1221632|Reactome: R-HSA-171306|Reactome: R-HSA-2559586	PS51294	cd11660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_192_length_37601_cov_13.170278-processed-gene-0.36-mRNA-1	IPR003439	SM00382	mobidb-lite	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	SSF90123;SSF52540	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	PF00664;PF00005	PTHR24221;PTHR24221:SF400	NA	PS50893;PS50929	cd03249	PS00211	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_296_length_27930_cov_13.807611-augustus-gene-0.54-mRNA-1	IPR003347	SM00558;SM00249;SM00501;SM01014;SM00545	mobidb-lite	GO:0003677	SSF46774;SSF57903;SSF51197	G3DSA:3.30.40.10;G3DSA:1.10.150.60;G3DSA:2.60.120.650	PF02373;PF00628;PF01388;PF02928;PF08429;PF02375	PTHR10694;PTHR10694:SF8	Reactome: R-HSA-3214842	PS50016;PS51184;PS51011;PS51183	cd15518	PS01359	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA
maker-NODE_26_length_93683_cov_13.216737-snap-gene-0.0-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_361_length_23402_cov_11.846531-processed-gene-0.57-mRNA-1	IPR034102	SM00651	NA	GO:0000387;GO:0006396	SSF50182	G3DSA:2.30.30.100	PF01423	PTHR23338;PTHR23338:SF18	Reactome: R-HSA-191859|Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	cd01724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_64_length_68635_cov_13.046885-processed-gene-0.98-mRNA-1	IPR040410	NA	mobidb-lite	NA	NA	NA	NA	PTHR34391:SF1;PTHR34391	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_388_length_21098_cov_13.803443-snap-gene-0.10-mRNA-1	IPR000727	SM00397	mobidb-lite	GO:0016020;GO:0016192	SSF47661	G3DSA:1.20.58.70	PF05739;PF00804	PTHR19957:SF147;PTHR19957	NA	PS50192	cd15849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_101582_cov_13.378532-augustus-gene-0.182-mRNA-1	IPR013785	NA	NA	GO:0003824;GO:0006537;GO:0015930;GO:0016638;GO:0055114;GO:0006807;GO:0051536;GO:0016491;GO:0016639;GO:0005506;GO:0010181;GO:0016040;GO:0050660	SSF51395;SSF56235;SSF46548;SSF69336;SSF51971	G3DSA:3.20.20.70;G3DSA:1.10.1060.10;G3DSA:3.60.20.10;G3DSA:3.50.50.60;G3DSA:2.160.20.60	PF01645;PF14691;PF00310;PF04898;PF07992;PF01493	PTHR11938;PTHR11938:SF1	Reactome: R-HSA-73621	PS51278	cd00713;cd02808;cd00982	NA	NA	NA	PR00419	NA	NA	NA	PIRSF000187	NA	NA	TIGR01317	NA	NA
maker-NODE_145_length_44232_cov_13.706564-snap-gene-0.115-mRNA-1	IPR036465	NA	NA	GO:0006886;GO:0006888;GO:0030127;GO:0090114;GO:0008270	SSF53300;SSF82754;SSF81995;SSF82919;SSF81811	G3DSA:2.60.40.1670;G3DSA:1.20.120.730;G3DSA:2.30.30.380;G3DSA:3.40.20.10;G3DSA:3.40.50.410	PF04811;PF04815;PF04810;PF08033;PF00626	PTHR11141:SF0;PTHR11141	Reactome: R-HSA-1655829|Reactome: R-HSA-204005|Reactome: R-HSA-2132295|Reactome: R-HSA-5694530|Reactome: R-HSA-983170	NA	cd11287;cd01478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_62_length_69586_cov_15.000274-processed-gene-0.23-mRNA-1	IPR010730	NA	mobidb-lite	NA	NA	NA	PF06985	PTHR24148;PTHR24148:SF59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1634_length_1328_cov_10.068276-snap-gene-0.5-mRNA-1	IPR002625	SM01162;SM00463	NA	NA	SSF160443	G3DSA:3.30.1370.110	PF01713;PF08590	PTHR13308	NA	PS50828	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_400_length_20382_cov_12.633078-processed-gene-0.58-mRNA-1	IPR012066	NA	mobidb-lite	GO:0000103;GO:0004851;GO:0019354;GO:0008168;GO:0006779;GO:0055114	SSF53790;SSF75615;SSF51735	G3DSA:3.30.950.10;G3DSA:3.40.50.720;G3DSA:3.40.1010.10	PF14823;PF14824;PF00590;PF13241	PTHR21091:SF96;PTHR21091	KEGG: 00860+2.1.1.107	NA	cd11642	NA	NA	NA	NA	NA	NA	NA	PIRSF036555	NA	NA	TIGR01470	NA	NA
maker-NODE_504_length_15475_cov_14.049453-snap-gene-0.16-mRNA-1	IPR020846	NA	mobidb-lite	GO:0016021;GO:0055085	SSF103473	G3DSA:1.20.1250.20	PF07690	PTHR23507:SF13;PTHR23507	NA	NA	cd06174	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_163_length_40739_cov_14.074042-augustus-gene-0.22-mRNA-1	IPR032705	SM00382;SM00249	mobidb-lite	GO:0000808;GO:0003677;GO:0005634;GO:0006260	SSF52540;SSF57903	G3DSA:3.40.50.300;G3DSA:3.30.40.10	PF14629;PF00628;PF13191	PTHR12087	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	PS50016	cd15492;cd00009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1166_length_2791_cov_10.646396-processed-gene-0.2-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	PTHR42068	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_83_length_62673_cov_13.058373-snap-gene-0.18-mRNA-1	NA	NA	NA	NA	SSF56801	G3DSA:3.40.50.980	NA	PTHR43272:SF11;PTHR43272	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_269_length_30020_cov_13.374870-snap-gene-0.20-mRNA-1	IPR000253	SM00184;SM00240	mobidb-lite	GO:0005515	SSF49879;SSF57850	G3DSA:3.30.40.10;G3DSA:2.60.200.20	PF00498;PF17123	PTHR15067	NA	PS50006;PS50089	cd00060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_93_length_58417_cov_11.525853-augustus-gene-0.44-mRNA-1	IPR036188	NA	NA	GO:0004499;GO:0050660;GO:0050661;GO:0055114	SSF51905	G3DSA:3.50.50.60	PF00743	PTHR23023;PTHR23023:SF101	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	PR00370	NA	NA	NA	PIRSF000332	NA	NA	NA	NA	NA
snap_masked-NODE_128_length_47634_cov_13.856695-processed-gene-0.90-mRNA-1	IPR037013	NA	NA	GO:0004363;GO:0005524;GO:0006750;GO:0016874	SSF56059;SSF52440	G3DSA:3.30.470.20;G3DSA:3.40.50.1760;G3DSA:3.30.1490.50;G3DSA:3.30.1490.80;G3DSA:1.10.1080.10	PF03917;PF03199	PTHR11130	KEGG: 00270+6.3.2.3|KEGG: 00480+6.3.2.3|Reactome: R-HSA-174403|Reactome: R-HSA-5579006	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF001558	NA	NA	TIGR01986	NA	NA
maker-NODE_56_length_72751_cov_14.766964-snap-gene-0.57-mRNA-1	IPR026841	NA	NA	NA	NA	NA	PF14378	PTHR31310:SF7;PTHR31310	NA	NA	cd03386	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
maker-NODE_253_length_31496_cov_14.718576-augustus-gene-0.26-mRNA-1	IPR018825	NA	mobidb-lite	NA	NA	NA	PF10348;PF10355	PTHR31685:SF2;PTHR31685	NA	NA	cd08760	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	SignalP-TM	NA	NA	SignalP-TM	SignalP-TM	NA	NA	NA
maker-NODE_31_length_91375_cov_13.158524-snap-gene-0.2-mRNA-1	IPR023299	NA	mobidb-lite	GO:0000166;GO:0000287;GO:0004012;GO:0005524;GO:0015914;GO:0016021	SSF81660;SSF81653;SSF56784;SSF81665	G3DSA:3.40.1110.10;G3DSA:1.20.1110.10;G3DSA:3.40.50.1000;G3DSA:2.70.150.10	PF13246;PF16209;PF16212	PTHR24092;PTHR24092:SF34	Reactome: R-HSA-936837	NA	cd02073	PS00154	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	PR00119	Coil	NA	NA	NA	NA	NA	TIGR01494;TIGR01652	SFLDG00002;SFLDF00027	NA
augustus_masked-NODE_178_length_39291_cov_11.281611-processed-gene-0.47-mRNA-1	IPR039657	NA	mobidb-lite	GO:0008033	SSF52540	G3DSA:3.40.50.300;G3DSA:1.10.20.140	PF01715	PTHR11088:SF25;PTHR11088	KEGG: 00908+2.5.1.75|MetaCyc: PWY-2781|Reactome: R-HSA-6782315|Reactome: R-HSA-6787450	NA	NA	NA	NA	NA	NA	NA	NA	MF_00185	NA	NA	NA	TIGR00174	NA	NA
maker-NODE_6_length_135386_cov_13.670565-snap-gene-0.77-mRNA-1	IPR001810	NA	mobidb-lite	GO:0005515	SSF81383	NA	PF00646	NA	NA	PS50181	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_222_length_34204_cov_13.734132-augustus-gene-0.44-mRNA-1	IPR000089	SM00878	NA	GO:0003989;GO:0005524;GO:0006633;GO:0046872;GO:0016874	SSF52440;SSF52096;SSF56059;SSF51230;SSF51246	G3DSA:3.90.1770.10;G3DSA:3.90.226.10;G3DSA:2.40.50.100;G3DSA:3.40.50.12210;G3DSA:2.40.460.10;G3DSA:3.30.470.20;G3DSA:3.30.1490.20	PF08326;PF00364;PF00289;PF02785;PF01039;PF02786	PTHR18866;PTHR18866:SF6	KEGG: 00061+6.4.1.2|KEGG: 00254+6.4.1.2|KEGG: 00620+6.4.1.2|KEGG: 00640+6.4.1.2|KEGG: 00720+6.4.1.2|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6679|MetaCyc: PWY-7388|Reactome: R-HSA-163765|Reactome: R-HSA-196780|Reactome: R-HSA-200425|Reactome: R-HSA-2426168	PS50968;PS50975;PS50980;PS50989;PS50979	cd06850	PS00867;PS00188;PS00866	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_185_length_38646_cov_13.985981-augustus-gene-0.23-mRNA-1	IPR008928	NA	mobidb-lite	GO:0003824;GO:0004573;GO:0009311	SSF48208	NA	PF03200	PTHR10412;PTHR10412:SF10	Reactome: R-HSA-4793954|Reactome: R-HSA-532668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_173_length_39914_cov_12.836856-processed-gene-0.25-mRNA-1	IPR031127	NA	mobidb-lite	GO:0004842;GO:0016567	SSF57850	G3DSA:3.30.40.10;G3DSA:1.20.120.1750	NA	PTHR11685;PTHR11685:SF126	NA	PS50089	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_104966_cov_14.456681-snap-gene-0.255-mRNA-1	IPR039130	NA	mobidb-lite	GO:0000070;GO:1902412	NA	NA	PF03941	PTHR13142	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-4615885|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_115864_cov_13.627181-augustus-gene-0.35-mRNA-1	IPR003195	NA	mobidb-lite	GO:0006366;GO:0046982	SSF47113	G3DSA:1.10.20.10	PF02269	PTHR11380:SF5;PTHR11380	NA	NA	cd07978	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_445_length_18070_cov_13.613331-snap-gene-0.52-mRNA-1	IPR034646	NA	mobidb-lite	NA	SSF56112	NA	PF09751;PF03109	PTHR43851;PTHR43851:SF3	NA	NA	cd13970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_95743_cov_12.522036-processed-gene-0.266-mRNA-1	IPR036926	NA	NA	GO:0004799;GO:0006231	SSF55831	G3DSA:3.30.572.10	PF00303	PTHR11548	KEGG: 00240+2.1.1.45|KEGG: 00670+2.1.1.45|MetaCyc: PWY-3841|MetaCyc: PWY-7184|MetaCyc: PWY-7187|MetaCyc: PWY-7198|MetaCyc: PWY-7199|MetaCyc: PWY-7210|Reactome: R-HSA-499943|Reactome: R-HSA-539107	NA	cd00351	PS00091	NA	NA	PR00108	NA	NA	MF_00008	NA	NA	NA	TIGR03284	NA	NA
maker-NODE_372_length_22624_cov_11.445170-snap-gene-0.3-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	PTHR34992;PTHR34992:SF2	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-noTM	NA	NA	NA	NA
augustus_masked-NODE_1_length_178588_cov_14.108595-processed-gene-0.372-mRNA-1	IPR018955	SM00387	mobidb-lite	GO:0004672;GO:0016310;GO:0016772	SSF69012;SSF55874	G3DSA:1.20.140.20	PF10436;PF02518	PTHR11947;PTHR11947:SF20	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	PS50109	cd00075	NA	NA	NA	PR00344	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-NODE_386_length_21141_cov_12.285857-snap-gene-0.12-mRNA-1	IPR018608	NA	mobidb-lite	NA	NA	NA	PF09729	PTHR28027:SF1;PTHR28027	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_336_length_24757_cov_12.669793-processed-gene-0.43-mRNA-1	IPR036322	SM00320	mobidb-lite	GO:0005515	SSF50978	G3DSA:2.130.10.10	NA	PTHR11227;PTHR11227:SF17	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
