Gene	interpro	GO	SMART	Pfam	PANTHER	Gene3D	SUPERFAMILY	ProSiteProfiles	MobiDBLite	CDD	Coils	PATHWAY	ProSitePatterns	PIRSF	PRINTS	Phobius	TMHMM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	TIGRFAM	SFLD	Hamap	ProDom
maker-NODE_73_length_141247_cov_51.918374-augustus-gene-0.49-mRNA-1	IPR000757	GO:0004553;GO:0005975	NA	PF00722	PTHR10963:SF56;PTHR10963	G3DSA:2.60.120.200	SSF49899	PS51762	mobidb-lite	cd02183	Coil	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_174_length_20020_cov_25.588448-processed-gene-0.2-mRNA-1	IPR006593	NA	SM00665	PF16010	PTHR23130;PTHR23130:SF115	G3DSA:2.60.40.1210	SSF49344	NA	mobidb-lite	cd09630;cd08760	NA	NA	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	TMhelix	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_25_length_332001_cov_32.844372-processed-gene-0.2-mRNA-1	IPR036874	GO:0004089;GO:0008270	SM00947	PF00484	PTHR43175:SF2;PTHR43175	G3DSA:3.40.1050.10	SSF53056	NA	NA	cd03379	NA	KEGG: 00910+4.2.1.1|MetaCyc: PWY-241|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6142|MetaCyc: PWY-7115|MetaCyc: PWY-7117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_164_length_25617_cov_55.969674-processed-gene-0.11-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_172_length_20604_cov_54.412121-augustus-gene-0.0-mRNA-1	IPR036259	GO:0016021;GO:0055085	NA	PF07690	PTHR23501:SF43;PTHR23501	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	SSF103473	PS50850	mobidb-lite	cd06174	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_592919_cov_50.166630-augustus-gene-4.67-mRNA-1	IPR018815	NA	NA	PF10311	PTHR28029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_332001_cov_32.844372-augustus-gene-0.36-mRNA-1	IPR005225	GO:0005525;GO:0003924	SM00175;SM00173;SM00176;SM00174	PF00071	PTHR24073:SF343;PTHR24073	G3DSA:3.40.50.300	SSF52540	PS51419	NA	cd01861	NA	NA	NA	NA	PR00449	NA	NA	NA	NA	NA	TIGR00231	NA	NA	NA
maker-NODE_2_length_835251_cov_43.524260-augustus-gene-6.43-mRNA-1	IPR001623	NA	SM00271	PF00226;PF14308	PTHR45006	G3DSA:1.10.287.110	SSF46565	PS50076	mobidb-lite	cd06257	Coil	NA	PS00636	NA	PR00625	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_242652_cov_45.973747-augustus-gene-0.12-mRNA-1	IPR004177	GO:0046872	SM01127	PF02862	PTHR23509;PTHR23509:SF6	NA	SSF53474	PS51043	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_66_length_161278_cov_31.015333-augustus-gene-0.39-mRNA-1	IPR019575	GO:0051539;GO:0010181;GO:0016651;GO:0051287;GO:0055114;GO:0008137	SM00928	PF10531;PF01512;PF10589	PTHR11780;PTHR11780:SF10	G3DSA:3.40.50.11540;G3DSA:3.10.20.600;G3DSA:1.20.1440.230	SSF142984;SSF140490;SSF142019	NA	NA	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	PS00645;PS00644	NA	NA	NA	NA	NA	NA	NA	TIGR01959	NA	NA	NA
maker-NODE_22_length_358069_cov_41.594663-augustus-gene-0.0-mRNA-1	IPR029044	NA	NA	PF13641	PTHR10587:SF1;PTHR10587	G3DSA:3.90.550.10	SSF53448	NA	mobidb-lite	cd06434	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_19_length_388427_cov_45.172902-processed-gene-2.40-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_923648_cov_49.367359-augustus-gene-5.26-mRNA-1	IPR008250	GO:0005388;GO:0006816;GO:0016021;GO:0000166	SM00831	PF00689;PF00690;PF00122;PF00702	PTHR42861:SF35;PTHR42861	G3DSA:2.70.150.10;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:1.20.1110.10	SSF81653;SSF81665;SSF56784;SSF81660	NA	NA	cd02083	NA	Reactome: R-HSA-936837	PS00154	NA	PR00121;PR00119	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	TIGR01116;TIGR01494	SFLDG00002;SFLDF00027	NA	NA
maker-NODE_1_length_923648_cov_49.367359-augustus-gene-8.10-mRNA-1	IPR000555	GO:0005515;GO:0003743;GO:0005737;GO:0005852	SM00232	PF01398;PF13012	PTHR10540;PTHR10540:SF6	G3DSA:3.40.140.10	NA	PS50249	mobidb-lite	cd08064	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_03005	NA
augustus_masked-NODE_3_length_797078_cov_49.968901-processed-gene-3.25-mRNA-1	IPR002642	GO:0004620;GO:0009395	SM00022	PF01735	PTHR10728:SF33;PTHR10728	G3DSA:3.40.1090.10	SSF52151	PS51210	NA	NA	NA	Reactome: R-HSA-1482788|Reactome: R-HSA-1482801|Reactome: R-HSA-1482839|Reactome: R-HSA-1482922|Reactome: R-HSA-1483115	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE	TMhelix	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NODE_28_length_316251_cov_50.101138-augustus-gene-2.10-mRNA-1	IPR035999	GO:0005086;GO:0032012	SM00222	PF01369;PF15410	PTHR45590	G3DSA:1.10.1000.11;G3DSA:2.30.29.30	SSF48425;SSF50729	PS50190	mobidb-lite	cd00171	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_923648_cov_49.367359-augustus-gene-4.27-mRNA-1	IPR015943	GO:0005515;GO:0006886;GO:0034066	SM00320	PF07064	PTHR22746	G3DSA:2.130.10.10	SSF69322	NA	mobidb-lite	NA	NA	Reactome: R-HSA-6811438|Reactome: R-HSA-6811440|Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_9_length_576710_cov_38.331728-processed-gene-3.15-mRNA-1	IPR004364	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0003676;GO:0004824;GO:0005737;GO:0006430	NA	PF00152;PF01336	PTHR42918:SF5;PTHR42918	G3DSA:2.40.50.140	SSF55681;SSF50249	PS50862	mobidb-lite	cd04322	Coil	KEGG: 00970+6.1.1.6|Reactome: R-HSA-2408517|Reactome: R-HSA-379716|Reactome: R-HSA-379726	NA	NA	PR00982	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_62_length_172548_cov_43.885727-augustus-gene-0.21-mRNA-1	IPR037129	GO:0003684;GO:0005634;GO:0006289	NA	PF05181	PTHR10142	G3DSA:3.90.530.10	SSF46955	NA	mobidb-lite	NA	NA	Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-6781823|Reactome: R-HSA-6782135	PS00753	NA	NA	NA	NA	NA	NA	NA	TIGR00598	NA	NA	NA
augustus_masked-NODE_49_length_216042_cov_48.775903-processed-gene-1.14-mRNA-1	IPR004841	GO:0016020;GO:0055085;GO:0006865;GO:0016021;GO:0022857	NA	PF00324	PTHR43341;PTHR43341:SF9	G3DSA:1.20.1740.10	NA	NA	mobidb-lite	NA	NA	NA	PS00218	PIRSF006060	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_57_length_192955_cov_41.491173-processed-gene-0.33-mRNA-1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	PTHR31986:SF10;PTHR31986	NA	SSF57701	PS50048	mobidb-lite	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_93_length_98148_cov_53.586119-augustus-gene-0.44-mRNA-1	IPR036259	GO:0016021;GO:0055085	NA	PF07690	PTHR23502	NA	SSF103473	NA	NA	cd06174	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_389369_cov_49.707909-augustus-gene-2.12-mRNA-1	IPR036599	GO:0003677;GO:0003910;GO:0006281;GO:0006310;GO:0003909;GO:0051103;GO:0005524;GO:0071897	NA	PF04679;PF01068;PF04675	PTHR10459;PTHR10459:SF10	G3DSA:3.30.470.30;G3DSA:2.40.50.140;G3DSA:3.30.1490.70;G3DSA:1.10.3260.10	SSF117018;SSF56091;SSF50249	PS50160	mobidb-lite	cd07900;cd07969	NA	NA	PS00697;PS00333	NA	NA	NA	NA	NA	NA	NA	TIGR00574	NA	NA	NA
augustus_masked-NODE_55_length_197038_cov_46.543520-processed-gene-0.40-mRNA-1	IPR000408	GO:0005515	SM00248	PF13540;PF13637	PTHR22872	G3DSA:3.30.710.10;G3DSA:2.130.10.30;G3DSA:1.25.40.20	SSF48403;SSF50985	PS50012;PS50297	mobidb-lite	cd00204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_358069_cov_41.594663-augustus-gene-2.64-mRNA-1	IPR021819	NA	SM01293;SM01292	PF11882;PF07923	PTHR13239:SF4;PTHR13239	NA	SSF81995	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NODE_37_length_287461_cov_47.991787-augustus-gene-1.16-mRNA-1	IPR029000	GO:0005515;GO:0003755;GO:0000413;GO:0006457	SM00320	PF00400;PF00160	PTHR11071:SF213;PTHR11071	G3DSA:2.40.100.10;G3DSA:2.130.10.10	SSF50978;SSF50891	PS50294;PS50072;PS50082	mobidb-lite	cd01927	NA	NA	PS00170	NA	PR00153	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_139_length_51378_cov_53.865622-processed-gene-0.4-mRNA-1	IPR002931	GO:0005515	SM00460;SM00326	PF01841;PF07653	PTHR11039:SF61;PTHR11039	G3DSA:3.10.620.30;G3DSA:2.30.30.40	SSF54001;SSF50044	PS50002	mobidb-lite	cd11889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_35_length_296247_cov_55.180214-processed-gene-1.27-mRNA-1	NA	NA	NA	PF16015	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_404132_cov_53.888514-processed-gene-1.30-mRNA-1	IPR001932	GO:0003824;GO:0043169;GO:0004722;GO:0006470	SM00332	PF00481	PTHR13832;PTHR13832:SF526	NA	SSF81606	PS51746	mobidb-lite	cd00143	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	PS01032	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NODE_46_length_236884_cov_44.438762-augustus-gene-1.65-mRNA-1	IPR032630	GO:0000166;GO:0000287;GO:0004012;GO:0005524;GO:0015914;GO:0016021	NA	PF16212;PF16209;PF00702	PTHR24092:SF5;PTHR24092	G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:2.70.150.10	SSF81665;SSF81653;SSF56784;SSF81660	NA	mobidb-lite	NA	NA	Reactome: R-HSA-936837	PS00154	NA	PR00119	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	TIGR01494;TIGR01652	SFLDG00002;SFLDF00027	NA	NA
augustus_masked-NODE_25_length_332001_cov_32.844372-processed-gene-0.1-mRNA-1	IPR007781		NA	PF12971;PF12972;PF05089	PTHR12872;PTHR12872:SF1	G3DSA:3.30.379.10;G3DSA:3.20.20.80;G3DSA:1.20.120.670	SSF51445	NA	NA	NA	NA	KEGG: 00531+3.2.1.50|Reactome: R-HSA-2024096|Reactome: R-HSA-2206282	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NODE_14_length_425382_cov_49.164553-augustus-gene-2.12-mRNA-1	IPR036291	GO:0004665;GO:0006571;GO:0008977;GO:0055114	NA	PF02153	PTHR21363	G3DSA:3.40.50.720;G3DSA:1.10.3660.10	SSF51735;SSF48179	PS51176	NA	NA	NA	KEGG: 00400+1.3.1.13	NA	PIRSF036510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_27_length_320397_cov_47.034040-processed-gene-0.3-mRNA-1	IPR036213		NA	NA	NA	G3DSA:2.60.120.380	SSF49758	NA	NA	NA	NA	Reactome: R-HSA-1474228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_316251_cov_50.101138-augustus-gene-1.16-mRNA-1	IPR016093	GO:0016020;GO:0000030;GO:0006493	SM00472	PF02366;PF16192;PF02815	PTHR10050	G3DSA:2.80.10.50	SSF82109	PS50919	mobidb-lite	NA	NA	Reactome: R-HSA-5173105	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_501630_cov_42.910320-augustus-gene-4.11-mRNA-1	IPR001841	NA	SM00184	PF13639;PF02225	PTHR22765	G3DSA:3.30.40.10	SSF52025;SSF57850	PS50089	mobidb-lite	cd16454;cd04813	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	SignalP-noTM	SignalP-TM	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_107_length_82174_cov_51.600522-processed-gene-0.23-mRNA-1	IPR017941	GO:0016491;GO:0051537;GO:0055114;GO:0050660	NA	PF07992;PF00355	PTHR43557:SF2;PTHR43557	G3DSA:3.50.50.60;G3DSA:3.30.390.30;G3DSA:2.102.10.10	SSF50022;SSF51905;SSF55424	PS51296	NA	cd03478	NA	NA	NA	NA	PR00368;PR00411	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_47_length_229964_cov_56.757006-processed-gene-1.30-mRNA-1	IPR000834	GO:0004181;GO:0006508;GO:0008270	SM00631	PF00246	PTHR11705:SF96;PTHR11705	G3DSA:3.40.630.10	SSF53187	NA	NA	cd06228	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_389369_cov_49.707909-augustus-gene-2.4-mRNA-1	IPR035892	GO:0008289;GO:0061817	SM00239	PF00168	PTHR10774;PTHR10774:SF157	G3DSA:2.60.40.150	SSF49562	PS50004;PS51847	mobidb-lite	cd04041;cd04052	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_132_length_57077_cov_49.589008-augustus-gene-0.12-mRNA-1	IPR004181	GO:0008270;GO:0046872	NA	PF02891	PTHR10782:SF44;PTHR10782	G3DSA:3.30.40.10	NA	PS51044	mobidb-lite	NA	NA	NA	PS00202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_389369_cov_49.707909-processed-gene-0.3-mRNA-1	IPR006689	GO:0005525	SM00178;SM00177	PF00025	PTHR11711:SF19;PTHR11711	G3DSA:3.40.50.300	SSF52540	PS51417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_161_length_28651_cov_48.866849-augustus-gene-0.8-mRNA-1	IPR027413	GO:0005524;GO:0006457;GO:0051082	NA	PF00118	PTHR11353;PTHR11353:SF24	G3DSA:3.50.7.10;G3DSA:1.10.560.10;G3DSA:3.30.260.10	SSF48592;SSF52029;SSF54849	NA	NA	cd03337	NA	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-5620922|Reactome: R-HSA-6814122	PS00751;PS00750;PS00995	NA	PR00304	NA	NA	NA	NA	NA	TIGR02344	NA	NA	NA
maker-NODE_4_length_775689_cov_45.339792-augustus-gene-6.66-mRNA-1	IPR001196	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0015934	NA	PF00828	PTHR11721:SF10;PTHR11721	G3DSA:3.100.10.10	SSF52080	NA	mobidb-lite	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS00475	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_01341	NA
augustus_masked-NODE_46_length_236884_cov_44.438762-processed-gene-0.12-mRNA-1	IPR033689	GO:0008863;GO:0051287;GO:0055114;GO:0016616	NA	PF02826;PF00389	PTHR42938:SF1;PTHR42938	G3DSA:3.40.50.720	SSF51735;SSF52283	NA	NA	cd05302	NA	KEGG: 00630+1.17.1.9|KEGG: 00680+1.17.1.9|MetaCyc: PWY-1881|MetaCyc: PWY-5497|MetaCyc: PWY-6696|MetaCyc: PWY-7985	PS00065;PS00671;PS00670	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_03210	NA
maker-NODE_96_length_94410_cov_55.574144-augustus-gene-0.8-mRNA-1	IPR005062	NA	NA	PF03399	PTHR12436;PTHR12436:SF3	G3DSA:1.25.40.990	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_425382_cov_49.164553-augustus-gene-3.11-mRNA-1	IPR001902	GO:0008271;GO:0008272;GO:0016020;GO:0055085;GO:0015116;GO:0016021	NA	PF01740;PF00916	PTHR11814:SF80;PTHR11814	NA	NA	PS50801	mobidb-lite	cd07042	NA	Reactome: R-HSA-427601	PS01130	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	TIGR00815	NA	NA	NA
maker-NODE_93_length_98148_cov_53.586119-augustus-gene-0.29-mRNA-1	IPR026891	GO:0004553;GO:0005975	SM01217	PF01915;PF00933;PF14310	PTHR42715:SF5;PTHR42715	G3DSA:3.40.50.1700;G3DSA:2.60.40.10;G3DSA:3.20.20.300	SSF52279;SSF51445	NA	NA	NA	NA	NA	NA	NA	PR00133	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_34_length_296376_cov_41.669224-processed-gene-1.12-mRNA-1	IPR005599	GO:0016757	NA	PF03901	PTHR22760:SF3;PTHR22760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_49_length_216042_cov_48.775903-augustus-gene-1.63-mRNA-1	IPR004834	GO:0004100;GO:0006031;GO:0016758	NA	PF01644;PF08407	PTHR22914;PTHR22914:SF38	NA	NA	NA	NA	cd04190	NA	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	PD002998
maker-NODE_33_length_301127_cov_37.102465-augustus-gene-0.19-mRNA-1	IPR036420	GO:0003676;GO:0008270	SM00586	PF07535;PF08630	PTHR15375:SF26;PTHR15375	G3DSA:3.30.160.680	SSF52113	PS51265	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_93_length_98148_cov_53.586119-processed-gene-0.11-mRNA-1	IPR020846	GO:0016021;GO:0055085	NA	PF07690	PTHR43791:SF19;PTHR43791	G3DSA:1.20.1250.20	SSF103473	PS50850	NA	cd06174	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA
