Gene	Gene3D	TMHMM	Phobius	PANTHER	SUPERFAMILY	interpro	GO	PATHWAY	Pfam	PIRSF	MobiDBLite	SMART	Coils	ProSiteProfiles	CDD	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	ProSitePatterns	Hamap	PRINTS	TIGRFAM	SFLD	ProDom
augustus_masked-NODE_179_length_46052_cov_27.016679-processed-gene-0.13-mRNA-1	G3DSA:1.20.1250.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR19432;PTHR19432:SF35	SSF103473	IPR036259	NA	NA	PF13347	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_31_length_92627_cov_28.197589-augustus-gene-0.4-mRNA-1	G3DSA:3.90.1720.30	NA	NA	PTHR12378;PTHR12378:SF10	NA	IPR008580	NA	NA	PF05903	NA	mobidb-lite	SM01179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_117_length_58506_cov_32.276521-processed-gene-0.11-mRNA-1	G3DSA:1.25.10.10	NA	NA	PTHR19316:SF18;PTHR19316	SSF48371	IPR011989	GO:0005515	NA	PF02985;PF08609	NA	NA	SM00185	Coil	PS50176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_561_length_17696_cov_34.991348-augustus-gene-0.3-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR31086;PTHR31086:SF1	NA	NA	NA	NA	PF13515	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_83539_cov_28.927840-augustus-gene-0.28-mRNA-1	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR23502;PTHR23502:SF4	SSF103473	IPR036259	GO:0016021;GO:0055085	NA	PF07690	NA	mobidb-lite	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_52_length_76621_cov_31.892920-processed-gene-0.20-mRNA-1	G3DSA:3.40.30.10	NA	NA	PTHR12878	SSF52833	IPR036249		Reactome: R-HSA-611105|Reactome: R-HSA-6799198	PF05047	PIRSF005822	NA	SM00916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_272_length_35978_cov_28.022789-augustus-gene-0.7-mRNA-1	G3DSA:1.20.1250.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23511:SF4;PTHR23511	SSF103473	IPR020846	GO:0016021;GO:0055085	NA	PF07690	NA	mobidb-lite	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_452_length_23258_cov_27.606589-processed-gene-0.4-mRNA-1	NA	NA	NA	NA	NA	IPR001005	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	cd00167	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_412_length_25341_cov_26.849568-processed-gene-0.5-mRNA-1	G3DSA:1.10.20.10	NA	NA	PTHR11426:SF47;PTHR11426	SSF47113	IPR000164	GO:0000786;GO:0003677;GO:0046982	NA	PF00125	NA	NA	SM00428	NA	NA	NA	NA	NA	NA	PS00959	NA	PR00622	NA	NA	NA
maker-NODE_48_length_79498_cov_30.623276-augustus-gene-0.7-mRNA-1	NA	TMhelix	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN	PTHR44653	SSF46565	IPR001623	NA	NA	PF00226	NA	mobidb-lite	SM00271	NA	PS50076	cd06257	SignalP-noTM	SignalP-noTM	NA	NA	NA	PR00625	NA	NA	NA
augustus_masked-NODE_64_length_72053_cov_34.032116-processed-gene-0.19-mRNA-1	G3DSA:3.40.50.2000	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR12526;PTHR12526:SF463	SSF53756	IPR028098	GO:0004378;GO:0006486	Reactome: R-HSA-446193|Reactome: R-HSA-4549349	PF13439;PF00534	NA	mobidb-lite	NA	NA	NA	cd03805	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_716_length_12887_cov_31.226567-processed-gene-0.8-mRNA-1	G3DSA:3.30.1490.120;G3DSA:2.40.50.140;G3DSA:3.20.20.60	NA	NA	PTHR30502	SSF51621;SSF88798;SSF50249	IPR015813	GO:0003824;GO:0003899;GO:0006351;GO:0003676	NA	PF00575;PF03876;PF03328	NA	NA	NA	NA	NA	cd04462;cd04329	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_716_length_12887_cov_31.226567-processed-gene-0.10-mRNA-1	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_545_length_18439_cov_31.280090-processed-gene-0.5-mRNA-1	G3DSA:2.30.30.140	NA	NA	PTHR21539;PTHR21539:SF0	NA	IPR037802	GO:0000124	Reactome: R-HSA-3214847	PF07039	NA	mobidb-lite	NA	NA	PS51518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_447_length_23550_cov_24.077573-augustus-gene-0.3-mRNA-1	G3DSA:3.40.50.720	NA	NA	PTHR12126;PTHR12126:SF7	SSF51735	IPR016040	NA	NA	PF13460	NA	NA	NA	NA	NA	cd05271	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_441_length_24049_cov_32.739570-processed-gene-0.6-mRNA-1	G3DSA:3.30.70.330	NA	NA	PTHR23139;PTHR23139:SF9	SSF54928	IPR006529	GO:0003723;GO:0005634;GO:0006397;GO:0003676	Reactome: R-HSA-109688|Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187	PF00076	NA	mobidb-lite	SM00360	Coil	PS50102	cd12232	NA	NA	NA	NA	NA	NA	TIGR01642	NA	NA
maker-NODE_591_length_16703_cov_33.947394-augustus-gene-0.1-mRNA-1	G3DSA:1.10.8.710;G3DSA:1.10.8.1220;G3DSA:3.40.50.300;G3DSA:1.10.472.130;G3DSA:1.20.920.20;G3DSA:3.40.50.11510;G3DSA:1.20.58.1120;G3DSA:1.20.140.100;G3DSA:1.10.8.720;G3DSA:1.20.920.30;G3DSA:3.20.180.20	NA	NA	PTHR10676;PTHR10676:SF314	SSF52540	IPR027417	GO:0005524;GO:0003777;GO:0007018;GO:0030286	NA	PF12781;PF12774;PF17852;PF17857;PF03028;PF08385;PF18198;PF12777;PF08393;PF12780;PF12775	NA	NA	SM00382	Coil	NA	cd00009	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_37_length_87994_cov_33.118292-processed-gene-0.12-mRNA-1	G3DSA:1.10.418.10;G3DSA:1.20.5.1160	NA	NA	PTHR10623;PTHR10623:SF6	SSF47576;SSF140612	IPR027328	GO:0008017;GO:0005515	NA	PF00307;PF03271	NA	mobidb-lite	NA	Coil	PS50021;PS51230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_112_length_59075_cov_29.674391-augustus-gene-0.24-mRNA-1	G3DSA:1.10.8.10;G3DSA:3.10.20.90	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	PTHR10677:SF3;PTHR10677	SSF54236;SSF46934	IPR000626	GO:0005515	NA	PF00627;PF00240	NA	mobidb-lite	SM00213;SM00727;SM00165	NA	PS50053;PS50030	cd01809;cd14324	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_218_length_41554_cov_29.159389-augustus-gene-0.13-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR23503;PTHR23503:SF8	SSF103473	IPR005829	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	Reactome: R-HSA-189200	PF00083	NA	mobidb-lite	NA	NA	PS50850	cd06174	NA	NA	NA	PS00217	NA	PR00171	NA	NA	NA
augustus_masked-NODE_4_length_176087_cov_30.591987-processed-gene-0.71-mRNA-1	G3DSA:1.25.40.10	NA	NA	PTHR11246:SF5;PTHR11246	SSF48452	IPR003107	GO:0006396;GO:0005515	NA	NA	NA	NA	SM00386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_219_length_41519_cov_25.568105-augustus-gene-0.0-mRNA-1	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR12956:SF29;PTHR12956	NA	IPR008901	GO:0006672;GO:0016021;GO:0016811	Reactome: R-HSA-1660661	PF05875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_149138_cov_30.386354-processed-gene-0.1-mRNA-1	G3DSA:1.10.238.10	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR31323	SSF50182;SSF47473	IPR010920	GO:0005509;GO:0016020;GO:0055085	NA	PF00924	NA	mobidb-lite	NA	Coil	PS50222	NA	NA	NA	NA	PS00018	NA	NA	NA	NA	NA
augustus_masked-NODE_240_length_39859_cov_30.258155-processed-gene-0.7-mRNA-1	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR23502;PTHR23502:SF76	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_47_length_79825_cov_31.706279-augustus-gene-0.11-mRNA-1	G3DSA:3.40.50.200;G3DSA:3.30.70.80	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	PTHR43806:SF25;PTHR43806	SSF54897;SSF52743	IPR022398	GO:0004252;GO:0006508	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	PF00082	NA	NA	NA	NA	NA	cd04077	SignalP-noTM	SignalP-noTM	SignalP-TM	PS00137;PS00138;PS00136	NA	PR00723	NA	NA	NA
augustus_masked-NODE_63_length_72307_cov_33.539485-processed-gene-0.4-mRNA-1	G3DSA:1.20.120.1080;G3DSA:3.40.50.300	NA	NA	PTHR18934;PTHR18934:SF91	SSF52540	IPR007502	GO:0004386;GO:0003676;GO:0005524	NA	PF04408;PF00271;PF00270;PF07717	NA	mobidb-lite	SM00487;SM00490;SM00847	Coil	PS51192;PS51194	cd00079;cd00046	NA	NA	NA	PS00690	NA	NA	NA	NA	NA
maker-NODE_289_length_35008_cov_31.071472-augustus-gene-0.3-mRNA-1	G3DSA:3.40.50.150	NA	NA	PTHR43464;PTHR43464:SF17	SSF53335	IPR029063	GO:0008168	NA	PF08241	NA	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_47_length_79825_cov_31.706279-augustus-gene-0.12-mRNA-1	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	PTHR12886	NA	IPR007704	GO:0006506;GO:0016021;GO:0016758	Reactome: R-HSA-162710	PF05007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_181_length_45826_cov_33.961443-processed-gene-0.23-mRNA-1	G3DSA:3.40.630.30	NA	NA	PTHR10545:SF29;PTHR10545	SSF55729	IPR000182	GO:0016747	NA	PF00583	NA	NA	NA	NA	PS51186	cd04301	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_126495_cov_31.200027-processed-gene-0.0-mRNA-1	G3DSA:3.30.750.24;G3DSA:2.60.120.10	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR11814;PTHR11814:SF59	SSF51206;SSF52091	IPR001902	GO:0008271;GO:0008272;GO:0016020;GO:0055085;GO:0015116;GO:0016021	NA	PF00916;PF00027;PF01740	NA	mobidb-lite	SM00100	NA	PS50801;PS50042	cd07042;cd00038	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_824_length_9936_cov_35.813131-processed-gene-0.0-mRNA-1	NA	NA	NA	PTHR32083:SF0;PTHR32083	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_150_length_51990_cov_31.884928-augustus-gene-0.6-mRNA-1	G3DSA:3.40.630.30;G3DSA:1.20.920.10	NA	NA	PTHR22880;PTHR22880:SF124	SSF55729;SSF47370	IPR018359	GO:0005515;GO:0004402	Reactome: R-HSA-1912408|Reactome: R-HSA-210744|Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862|Reactome: R-HSA-3214847|Reactome: R-HSA-350054|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-8941856|Reactome: R-HSA-9013508|Reactome: R-HSA-9013695	PF00439;PF00583	NA	mobidb-lite	SM00297	NA	PS51186;PS50014	cd05509;cd04301	NA	NA	NA	PS00633	NA	PR00503	NA	NA	NA
augustus_masked-NODE_119_length_57275_cov_32.087055-processed-gene-0.24-mRNA-1	G3DSA:3.10.50.40;G3DSA:2.20.70.10	NA	NA	PTHR10657:SF4;PTHR10657	SSF51045;SSF54534	IPR001202	GO:0005515;GO:0003755	NA	PF00397;PF00639	NA	NA	SM00456	NA	PS50198;PS50020	cd00201	NA	NA	NA	PS01159	NA	NA	NA	NA	NA
augustus_masked-NODE_79_length_67296_cov_30.040837-processed-gene-0.7-mRNA-1	G3DSA:1.20.1070.10	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23112:SF22;PTHR23112	SSF81321	IPR017981	GO:0004888;GO:0007166;GO:0016021;GO:0004930;GO:0007186	NA	PF00002	NA	mobidb-lite	NA	NA	PS50261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_236_length_40193_cov_28.850996-augustus-gene-0.11-mRNA-1	G3DSA:3.90.550.10	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR22914;PTHR22914:SF10	SSF53448	IPR004835	GO:0016758	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	PF03142	NA	mobidb-lite	NA	NA	NA	cd04190	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_90154_cov_27.897175-augustus-gene-0.9-mRNA-1	G3DSA:1.10.30.10	NA	NA	NA	SSF47095	IPR009071	NA	NA	NA	NA	mobidb-lite	SM00398	Coil	NA	cd00084	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_814_length_10062_cov_35.268143-processed-gene-0.0-mRNA-1	G3DSA:3.40.50.2000	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR12526;PTHR12526:SF372	SSF53756	IPR028098		Reactome: R-HSA-446193|Reactome: R-HSA-4549349	PF13439;PF13692	NA	mobidb-lite	NA	NA	NA	cd03814	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_173_length_46499_cov_28.401471-processed-gene-0.2-mRNA-1	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	NA	PTHR44051	SSF47616;SSF52833	IPR004046	GO:0005515	NA	PF00043;PF13417	NA	NA	NA	NA	PS50404;PS50405	NA	NA	NA	NA	NA	NA	NA	NA	SFLDG00358;SFLDS00019	NA
augustus_masked-NODE_13_length_130528_cov_28.865929-processed-gene-0.25-mRNA-1	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_233_length_40388_cov_30.668811-processed-gene-0.7-mRNA-1	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR13131;PTHR13131:SF5	NA	IPR005282		Reactome: R-HSA-425393|Reactome: R-HSA-5223345	PF04193	NA	mobidb-lite	SM00679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_325_length_31969_cov_28.422304-processed-gene-0.1-mRNA-1	G3DSA:3.40.50.790	NA	NA	PTHR23105;PTHR23105:SF31	SSF56808	IPR028364	NA	NA	PF00687	NA	mobidb-lite	NA	Coil	NA	cd00403	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_91_length_63781_cov_27.913972-processed-gene-0.8-mRNA-1	G3DSA:3.30.2080.10;G3DSA:1.20.1610.10;G3DSA:2.70.98.10;G3DSA:1.20.1050.60	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR12143:SF29;PTHR12143	SSF48208	IPR008928	GO:0003824;GO:0030246	NA	PF17678;PF07971	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_47_length_79825_cov_31.706279-processed-gene-0.35-mRNA-1	NA	NA	NA	PTHR23354;PTHR23354:SF94	NA	IPR013902	NA	NA	PF08593;PF07534	NA	mobidb-lite	SM00584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_160_length_49820_cov_30.857002-processed-gene-0.1-mRNA-1	G3DSA:1.20.1250.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR11360;PTHR11360:SF120	SSF103473	IPR020846	GO:0016021;GO:0055085	NA	PF07690	NA	mobidb-lite	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_222_length_41176_cov_24.868718-augustus-gene-0.4-mRNA-1	G3DSA:3.40.250.10	NA	NA	PTHR11364;PTHR11364:SF13	SSF52821	IPR001763	NA	NA	PF00581	NA	mobidb-lite	SM00450	NA	PS50206	cd01449;cd01448	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_142_length_53770_cov_34.078295-augustus-gene-0.4-mRNA-1	G3DSA:1.10.287.190;G3DSA:2.30.18.10	NA	NA	PTHR10966;PTHR10966:SF0	SSF50784;SSF47396	IPR009088	GO:0005672;GO:0006367	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6807505|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042|Reactome: R-HSA-9018519	PF02751;PF02268	PIRSF009415	NA	NA	NA	NA	cd10014;cd10145	NA	NA	NA	NA	NA	NA	NA	NA	PD009224
augustus_masked-NODE_231_length_40496_cov_31.984245-processed-gene-0.3-mRNA-1	G3DSA:1.20.120.850;G3DSA:3.30.40.10;G3DSA:3.40.50.10810;G3DSA:3.40.50.300	NA	NA	PTHR10799;PTHR10799:SF779	SSF52540;SSF57850	IPR000330	GO:0005524;GO:0003676;GO:0008270;GO:0016818	Reactome: R-HSA-8866654	PF00176;PF08797;PF00271	NA	mobidb-lite	SM00490;SM00910;SM00487	NA	PS51192;PS51194;PS50089	cd16572;cd00079;cd00046	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_446_length_23556_cov_33.217039-processed-gene-0.4-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	IPR008402	GO:0005680;GO:0030071;GO:0031145	NA	PF05841	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_880_length_8589_cov_18.952494-augustus-gene-0.2-mRNA-1	G3DSA:1.20.58.340	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR21535;PTHR21535:SF33	SSF143865;SSF144083	IPR002523	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	PF01544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_397_length_26816_cov_36.920641-augustus-gene-0.8-mRNA-1	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	NA	PTHR43725:SF8;PTHR43725	SSF51735	IPR005886	GO:0003978;GO:0006012;GO:0003824;GO:0050662	KEGG: 00052+5.1.3.2|KEGG: 00520+5.1.3.2|MetaCyc: PWY-3821|MetaCyc: PWY-6317|MetaCyc: PWY-6397|MetaCyc: PWY-6527|MetaCyc: PWY-7328|MetaCyc: PWY-7344|Reactome: R-HSA-5609977|Reactome: R-HSA-70370	PF01370	NA	NA	NA	NA	NA	cd05247	NA	NA	NA	NA	NA	NA	TIGR01179	NA	NA
