Gene	Phobius	MobiDBLite	TMHMM	PRINTS	SFLD	PANTHER	interpro	GO	PATHWAY	TIGRFAM	ProSitePatterns	Gene3D	SUPERFAMILY	Pfam	CDD	SMART	ProSiteProfiles	Hamap	SignalP_EUK	SignalP_GRAM_POSITIVE	Coils	PIRSF	SignalP_GRAM_NEGATIVE	ProDom
augustus_masked-NODE_6_length_405600_cov_57.965645-processed-gene-3.29-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_184_length_54030_cov_60.304658-processed-gene-0.19-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR24361;PTHR24361:SF433	IPR011009	GO:0004672;GO:0005524;GO:0006468	NA	NA	PS00107;PS00108	G3DSA:1.25.10.10;G3DSA:1.10.510.10	SSF56112;SSF48371	PF00069	cd06627	SM00220	PS50011	NA	NA	NA	NA	PIRSF000615	NA	NA
augustus_masked-NODE_5_length_406391_cov_59.664661-processed-gene-3.30-mRNA-1	NA	NA	NA	NA	NA	PTHR43161:SF9;PTHR43161	IPR011032	GO:0055114;GO:0008270;GO:0016491	Reactome: R-HSA-71384	NA	PS00059	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SSF50129;SSF51735	PF00107;PF08240	cd05285	SM00829	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_411546_cov_58.313316-processed-gene-0.17-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR18895;PTHR18895:SF71	IPR002052	GO:0003676;GO:0008168;GO:0032259	NA	NA	PS00092	G3DSA:3.40.50.150	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_175_length_57999_cov_63.943410-augustus-gene-0.18-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR18898	IPR012929	GO:0006606	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-6784531	NA	NA	NA	NA	PF07926	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_76_length_131878_cov_58.995393-augustus-gene-0.19-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR23291:SF50;PTHR23291	IPR006214	NA	NA	NA	NA	NA	NA	PF01027	cd10429	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_118_length_97252_cov_59.645169-augustus-gene-0.2-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR11875;PTHR11875:SF49	IPR002164	GO:0005634;GO:0006334	NA	NA	NA	G3DSA:3.30.1120.90	SSF143113	PF00956	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_24_length_223128_cov_59.763692-augustus-gene-0.37-mRNA-1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	PTHR31836:SF8;PTHR31836	IPR036908	NA	NA	NA	NA	G3DSA:2.40.40.10	SSF50685	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	SignalP-noTM	NA
maker-NODE_25_length_222279_cov_46.709555-augustus-gene-0.5-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_110_length_104968_cov_59.039555-augustus-gene-0.29-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR16255:SF4;PTHR16255	IPR003734	NA	NA	NA	NA	NA	NA	PF02582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_145_length_77571_cov_59.120384-processed-gene-0.17-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR10277:SF28;PTHR10277	IPR002034	GO:0019752;GO:0046912;GO:0003824;GO:0003852;GO:0009098	KEGG: 00290+2.3.3.13|KEGG: 00620+2.3.3.13|MetaCyc: PWY-6871	TIGR00970	PS00816	G3DSA:3.30.160.270;G3DSA:3.20.20.70	SSF110921;SSF89000;SSF51569	PF08502;PF00682	cd07942	SM00917	PS50991	MF_00572	NA	NA	NA	NA	NA	NA
maker-NODE_83_length_127682_cov_49.847705-augustus-gene-0.35-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR14898:SF0;PTHR14898	IPR019542	GO:0006357;GO:0032777;GO:0035267	Reactome: R-HSA-3214847	NA	NA	NA	NA	PF10513	NA	NA	NA	NA	NA	SignalP-TM	Coil	NA	NA	NA
augustus_masked-NODE_53_length_168172_cov_57.242947-processed-gene-0.53-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_10_length_343689_cov_59.984777-augustus-gene-1.41-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR24343:SF300;PTHR24343	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	NA	PS00107;PS00108	G3DSA:1.10.510.10	SSF56112	PF00069	cd14003	SM00220	PS50011	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_47_length_172782_cov_53.497095-processed-gene-0.27-mRNA-1	NA	NA	NA	PR00111	NA	PTHR43329;PTHR43329:SF1	IPR000073	NA	NA	NA	NA	G3DSA:3.40.50.1820	SSF53474	PF00561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_411546_cov_58.313316-augustus-gene-0.3-mRNA-1	TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	mobidb-lite	TMhelix	NA	NA	PTHR35859;PTHR35859:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_26_length_216976_cov_59.063085-augustus-gene-0.19-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.20.140.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_150_length_75714_cov_57.368688-processed-gene-0.23-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_428_length_834_cov_1.065064-processed-gene-0.1-mRNA-1	NA	NA	NA	NA	NA	PTHR28605:SF1;PTHR28605	IPR018607	GO:0007064;GO:0031390	NA	NA	NA	NA	NA	PF09696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_343689_cov_59.984777-augustus-gene-0.29-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	NA	NA	NA	PTHR32100;PTHR32100:SF0	IPR021863	GO:0016717;GO:0055114;GO:0006629	NA	NA	NA	NA	NA	PF11960;PF00487	cd03507	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_33_length_199258_cov_59.565969-processed-gene-0.89-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR38698	IPR031355	NA	NA	NA	NA	NA	NA	PF17104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_80_length_128508_cov_56.913764-augustus-gene-0.37-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	mobidb-lite	TMhelix	NA	NA	PTHR24221;PTHR24221:SF406	IPR039421	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	NA	NA	PS00211	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	SSF90123;SSF52540	PF00005;PF00664	cd03253	SM00382	PS50893;PS50929	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_4_length_411546_cov_58.313316-augustus-gene-2.29-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	mobidb-lite	NA	PR00320	NA	PTHR14091;PTHR14091:SF0	IPR001680	GO:0005515	NA	NA	PS00678	G3DSA:2.130.10.10	SSF50978	PF00400	NA	SM00320	PS50082;PS50294	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_73_length_140107_cov_62.583505-augustus-gene-0.44-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	PTHR35859:SF1;PTHR35859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_263919_cov_58.511937-augustus-gene-0.35-mRNA-1	NA	NA	NA	PR00067	NA	PTHR42821;PTHR42821:SF1	IPR024712	GO:0004096;GO:0006979;GO:0020037;GO:0055114	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6	NA	PS00438;PS00437	G3DSA:1.20.1370.20;G3DSA:2.40.180.10;G3DSA:3.40.50.880	SSF52317;SSF56634	PF00199;PF01965;PF06628	cd03132	SM01060	PS51402	NA	NA	NA	NA	PIRSF038927	NA	NA
maker-NODE_237_length_25276_cov_61.847986-augustus-gene-0.7-mRNA-1	NA	NA	NA	NA	NA	PTHR43725:SF8;PTHR43725	IPR036291	GO:0003824;GO:0050662	NA	NA	NA	G3DSA:3.40.50.720;G3DSA:3.90.25.10	SSF51735	PF01370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_433942_cov_61.033279-processed-gene-0.10-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR28079	IPR009057	GO:0003677;GO:0000500;GO:0042790	NA	NA	NA	G3DSA:1.10.10.60	SSF46689	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_56_length_162895_cov_51.533170-augustus-gene-0.4-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR11562;PTHR11562:SF62	IPR027469	GO:0006812;GO:0008324;GO:0016021;GO:0055085	NA	NA	NA	G3DSA:1.20.1510.10	SSF161111	PF01545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_198299_cov_59.786463-augustus-gene-0.52-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR13377:SF3;PTHR13377	IPR013861	GO:0006890;GO:0016021	Reactome: R-HSA-6807878	NA	NA	NA	SSF144091	PF08551	NA	SM01160	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_61_length_155005_cov_57.830131-augustus-gene-0.43-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12984:SF3;PTHR12984	IPR011009	GO:0004672;GO:0005524;GO:0006468	NA	NA	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20;G3DSA:1.25.10.10	SSF56112;SSF48371	PF00069	NA	NA	PS50011	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_30_length_201833_cov_57.581872-processed-gene-1.33-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-noTM	NA
maker-NODE_76_length_131878_cov_58.995393-augustus-gene-0.17-mRNA-1	NA	NA	NA	NA	NA	PTHR12688:SF0;PTHR12688	IPR008467	GO:0003777;GO:0005868;GO:0007018	Reactome: R-HSA-141444|Reactome: R-HSA-2132295|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3371497|Reactome: R-HSA-5663220|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-68877	NA	NA	NA	NA	PF05783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_72_length_144784_cov_53.250524-processed-gene-0.23-mRNA-1	NA	NA	NA	NA	NA	PTHR11096:SF1;PTHR11096	IPR036553	GO:0005730;GO:0042254;GO:0006396;GO:0003824	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	TIGR03400	NA	G3DSA:3.30.360.20;G3DSA:3.65.10.20	SSF55205	PF01137;PF05189	cd00875	NA	NA	NA	NA	NA	NA	NA	NA	PD397608
augustus_masked-NODE_137_length_83928_cov_58.483252-processed-gene-0.17-mRNA-1	NA	NA	NA	NA	NA	PTHR13048;PTHR13048:SF0	IPR016721	GO:0030008;GO:0048193	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	G3DSA:3.30.1380.20	SSF111126	PF04051	cd14942	NA	NA	NA	NA	NA	NA	PIRSF018293	NA	NA
augustus_masked-NODE_101_length_112501_cov_59.571262-processed-gene-0.5-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_44_length_177198_cov_63.272365-processed-gene-0.55-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12558;PTHR12558:SF10	IPR011990	GO:0005515;GO:0005680;GO:0030071	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	G3DSA:1.25.40.10	SSF48452	PF13414;PF04049;PF13181	NA	SM00028	PS50293;PS50005	NA	NA	NA	NA	NA	NA	NA
maker-NODE_122_length_90885_cov_55.915721-augustus-gene-0.23-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR10663;PTHR10663:SF311	IPR032691	GO:0005086;GO:0032012	NA	NA	NA	G3DSA:1.10.220.20;G3DSA:1.10.1000.11	SSF48425;SSF48371	PF12783;PF16213;PF01369;PF09324	cd00171	SM00222	PS50190	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_58_length_160627_cov_62.950766-processed-gene-0.71-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR28081	IPR013900	NA	NA	NA	NA	NA	NA	PF08591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_95_length_116591_cov_58.546967-processed-gene-0.16-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	mobidb-lite	TMhelix	NA	NA	PTHR13593;PTHR13593:SF43	IPR017946	GO:0006629;GO:0008081	NA	NA	NA	G3DSA:3.20.20.190	SSF51695	NA	cd08586	SM00148	PS50007	NA	NA	NA	NA	NA	NA	NA
maker-NODE_110_length_104968_cov_59.039555-augustus-gene-0.35-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	PR00119;PR00942	SFLDF00027;SFLDS00003	PTHR43520:SF8;PTHR43520	IPR006122	GO:0005507;GO:0030001;GO:0046872;GO:0000166;GO:0016021;GO:0006812;GO:0019829	Reactome: R-HSA-936837	TIGR00003;TIGR01494;TIGR01525	PS00154;PS01229	G3DSA:3.30.70.100;G3DSA:2.70.150.20;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000	SSF81660;SSF56784;SSF55008;SSF81653;SSF81665	PF00403;PF00122;PF00702	cd00371;cd02094	NA	PS50846	NA	NA	NA	NA	NA	NA	NA
maker-NODE_149_length_76340_cov_58.455054-augustus-gene-0.5-mRNA-1	NA	mobidb-lite	NA	PR00982	NA	PTHR42918;PTHR42918:SF5	IPR004364	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0003676;GO:0004824;GO:0005737;GO:0006430	KEGG: 00970+6.1.1.6|Reactome: R-HSA-2408517|Reactome: R-HSA-379716|Reactome: R-HSA-379726	NA	NA	G3DSA:2.40.50.140	SSF55681;SSF50249	PF00152;PF01336	cd04322	NA	PS50862	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_15_length_281067_cov_59.950911-augustus-gene-1.26-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	mobidb-lite	TMhelix	NA	SFLDS00052;SFLDG01168	PTHR11972:SF91;PTHR11972	IPR039261	GO:0016491;GO:0055114	NA	NA	NA	G3DSA:3.40.50.80	SSF52343	PF01794;PF08030	cd06186	NA	PS51384	NA	NA	NA	NA	NA	NA	NA
maker-NODE_47_length_172782_cov_53.497095-augustus-gene-0.14-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	mobidb-lite	NA	NA	NA	PTHR12297;PTHR12297:SF3	IPR007667	NA	NA	NA	NA	NA	NA	PF04588	NA	NA	PS51503	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_54_length_166755_cov_60.439518-processed-gene-0.10-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR43979	IPR015943	GO:0005515;GO:0000398;GO:0071013	Reactome: R-HSA-109688|Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187	NA	NA	G3DSA:2.130.10.10	SSF50978	PF00400;PF12894	cd00200	SM00320	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA
maker-NODE_141_length_79385_cov_62.358235-augustus-gene-0.26-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	PR00119;PR00121	SFLDS00003;SFLDF00027	PTHR24093;PTHR24093:SF346	IPR004014	GO:0005388;GO:0005524;GO:0016020;GO:0070588;GO:0016021;GO:0000166	Reactome: R-HSA-936837	TIGR01517;TIGR01494	PS00154	G3DSA:3.40.1110.10;G3DSA:1.20.1110.10;G3DSA:2.70.150.10;G3DSA:3.40.50.1000	SSF81665;SSF81660;SSF81653;SSF56784	PF00690;PF13246;PF00689;PF00122	cd02081	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_198299_cov_59.786463-augustus-gene-0.50-mRNA-1	NA	NA	NA	NA	NA	PTHR11669:SF1;PTHR11669	IPR008921	GO:0003677;GO:0006260;GO:0003735;GO:0005840;GO:0006412;GO:0019843;GO:0005622	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	TIGR01164	PS00701	G3DSA:3.90.1170.10;G3DSA:3.40.50.300;G3DSA:1.20.272.10;G3DSA:1.10.8.60	SSF48019;SSF54686;SSF52540	PF00252;PF13177	cd00009;cd01433	SM00382	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_417995_cov_62.188878-augustus-gene-1.13-mRNA-1	NA	NA	NA	NA	NA	PTHR14097:SF8;PTHR14097	IPR036291	NA	NA	NA	NA	G3DSA:3.40.50.720	SSF51735	PF13460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_263919_cov_58.511937-processed-gene-0.16-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR43491;PTHR43491:SF2	IPR036291	GO:0016616;GO:0051287;GO:0055114	Reactome: R-HSA-173599	NA	NA	G3DSA:3.40.50.720	SSF51735;SSF52413;SSF48179	PF03721;PF00984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_48_length_172563_cov_64.011529-augustus-gene-0.31-mRNA-1	NA	mobidb-lite	TMhelix	NA	NA	PTHR15439;PTHR15439:SF0	IPR036875	GO:0003676;GO:0008270	Reactome: R-HSA-983168	NA	NA	G3DSA:3.10.20.90;G3DSA:4.10.60.10;G3DSA:3.30.40.10	SSF57756;SSF57850	PF13696;PF08783	cd16620	SM01180	PS51282;PS50158	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_287653_cov_58.138346-augustus-gene-1.10-mRNA-1	NA	NA	NA	NA	NA	PTHR23139:SF81;PTHR23139	IPR012485	GO:0000776;GO:0034508	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	NA	NA	NA	PF07778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
