Gene	PANTHER	interpro	GO	Pfam	SMART	Gene3D	MobiDBLite	ProSiteProfiles	SUPERFAMILY	Phobius	TMHMM	CDD	PATHWAY	ProSitePatterns	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	PRINTS	Coils	PIRSF	TIGRFAM	SFLD	Hamap	ProDom
maker-NODE_127_length_64775_cov_1692.190632-protein2genome-gene-0.10-mRNA-1	PTHR10031:SF14;PTHR10031	IPR002379	GO:0015078;GO:0015991;GO:0033177;GO:0015986;GO:0045263	PF00137	NA	G3DSA:1.20.20.10	NA	PS51257	SSF81333	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	PS00605	NA	NA	NA	PR00124	NA	NA	NA	NA	NA	NA
maker-NODE_108_length_80447_cov_73.749851-snap-gene-0.78-mRNA-1	PTHR10285:SF81;PTHR10285	IPR027417	GO:0005524;GO:0016301	PF00485	NA	G3DSA:3.40.50.300	NA	NA	SSF52540	NA	NA	NA	Reactome: R-HSA-73614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_161313_cov_71.085175-snap-gene-0.305-mRNA-1	PTHR10218:SF241;PTHR10218	IPR027417	GO:0003924;GO:0007186;GO:0019001;GO:0031683;GO:0007165;GO:0001664;GO:0005525;GO:0005834	PF00503	SM00275	G3DSA:3.40.50.300;G3DSA:1.10.400.10	NA	NA	SSF52540;SSF47895	NA	NA	cd00066	NA	NA	NA	NA	NA	PR00318;PR01241	NA	NA	NA	NA	NA	NA
snap_masked-NODE_43_length_161313_cov_71.085175-processed-gene-0.408-mRNA-1	PTHR45208	IPR013170	NA	PF08312	SM01115	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_27_length_193159_cov_70.688710-augustus-gene-0.46-mRNA-1	PTHR13832;PTHR13832:SF529	IPR001932	GO:0003824;GO:0043169;GO:0004722;GO:0006470	PF00481	SM00332	G3DSA:3.60.40.10	mobidb-lite	PS51746	SSF81606	NA	NA	cd00143	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	PS01032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_57_length_130451_cov_70.941009-snap-gene-0.109-mRNA-1	PTHR13018:SF53;PTHR13018	IPR003864	GO:0016020	PF02714;PF12621;PF14703;PF13967	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_105_length_81009_cov_70.909213-processed-gene-0.103-mRNA-1	PTHR40018	IPR037504	NA	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_202_length_28829_cov_67.777925-processed-gene-0.13-mRNA-1	PTHR32183:SF6;PTHR32183	IPR008854	GO:0008757	PF05724	NA	G3DSA:3.40.50.150	mobidb-lite	PS51585	SSF53335	NA	NA	cd02440	KEGG: 00983+2.1.1.67|Reactome: R-HSA-156581|Reactome: R-HSA-5578995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_128_length_63961_cov_75.777532-processed-gene-0.46-mRNA-1	PTHR43491:SF2;PTHR43491	IPR014026	GO:0016616;GO:0051287;GO:0055114	PF00984;PF03721	NA	G3DSA:3.40.50.720	NA	NA	SSF51735;SSF48179;SSF52413	NA	NA	NA	Reactome: R-HSA-173599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_80_length_98843_cov_74.071427-processed-gene-0.194-mRNA-1	PTHR11237:SF4;PTHR11237	IPR011566	GO:0006744;GO:0055114	PF03232	NA	NA	mobidb-lite	NA	SSF47240	NA	NA	cd01042	Reactome: R-HSA-2142789	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_2_length_834423_cov_25.846594-processed-gene-7.453-mRNA-1	PTHR10829:SF25;PTHR10829	IPR001452	GO:0005515;GO:0003779;GO:0005622	PF14604;PF00018;PF00241	SM00326;SM00102	G3DSA:2.30.30.40;G3DSA:3.40.20.10	mobidb-lite	PS50002;PS51263	SSF50044;SSF55753	NA	NA	cd11962;cd11961;cd11281	NA	NA	NA	NA	NA	PR00452	NA	NA	NA	NA	NA	NA
maker-NODE_67_length_122038_cov_71.824273-snap-gene-0.296-mRNA-1	PTHR31778	IPR015915	GO:0005515	PF12768	NA	G3DSA:2.120.10.80	NA	NA	SSF50965;SSF50960	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_129_length_63937_cov_77.103291-augustus-gene-0.30-mRNA-1	PTHR43716;PTHR43716:SF1	IPR016166	GO:0071949;GO:0003824;GO:0050660;GO:0016491;GO:0055114	PF01565;PF02913	NA	G3DSA:3.30.465.10;G3DSA:3.30.70.2190;G3DSA:1.10.45.10;G3DSA:3.30.70.2740;G3DSA:3.30.43.10	NA	PS51387	SSF55103;SSF56176	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_181752_cov_71.915992-snap-gene-0.26-mRNA-1	PTHR24356;PTHR24356:SF240	IPR037312	GO:0004697;GO:0009272;GO:0007165;GO:0035556	PF00168;PF00130;PF02185	SM00742;SM00239;SM00109	G3DSA:3.30.60.20;G3DSA:1.10.287.160	mobidb-lite	PS50081	SSF57889;SSF46585;SSF49562	NA	NA	cd11620;cd00029	KEGG: 04070+2.7.11.13	PS00479	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_69_length_121508_cov_77.263386-processed-gene-0.85-mRNA-1	PTHR42104	IPR000026	GO:0003723;GO:0004521;GO:0004540	PF00545	NA	G3DSA:3.10.450.30	NA	NA	SSF53933	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	cd00606	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	PIRSF037430	NA	NA	NA	NA
augustus_masked-NODE_135_length_61921_cov_80.554504-processed-gene-0.38-mRNA-1	PTHR42861;PTHR42861:SF12	IPR001757	GO:0016021;GO:0006812;GO:0019829;GO:0000166	PF00702;PF00122;PF00689;PF00690	SM00831	G3DSA:1.20.1110.10;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:2.70.150.10	mobidb-lite	NA	SSF81665;SSF56784;SSF81660;SSF81653	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	Reactome: R-HSA-936837	PS00154	NA	NA	NA	PR00120;PR00119	Coil	NA	TIGR01494;TIGR01523	SFLDF00027;SFLDG00002	NA	NA
maker-NODE_284_length_6607_cov_65.386111-snap-gene-0.33-mRNA-1	PTHR40621	NA	NA	NA	NA	G3DSA:1.20.5.170	mobidb-lite	NA	SSF57959	NA	NA	cd14688	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_48_length_145549_cov_74.379929-augustus-gene-0.83-mRNA-1	PTHR10809:SF6;PTHR10809	IPR013783	GO:0005789	PF00635	NA	G3DSA:2.60.40.10	mobidb-lite	PS50202	SSF49354	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	Coil	PIRSF019693	NA	NA	NA	NA
augustus_masked-NODE_80_length_98843_cov_74.071427-processed-gene-0.155-mRNA-1	PTHR31806:SF5;PTHR31806	IPR004827	GO:0003700;GO:0006355;GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PF02133;PF07716	SM00338	G3DSA:1.10.4160.10;G3DSA:1.20.5.170	mobidb-lite	PS50217	SSF57959	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	cd12193	NA	PS00036	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_57_length_130451_cov_70.941009-snap-gene-0.122-mRNA-1	PTHR10572:SF2;PTHR10572	IPR000731	GO:0004420;GO:0008299;GO:0016021;GO:0050661;GO:0055114;GO:0015936;GO:0050662;GO:0016616	PF12349;PF00368;PF13323	NA	G3DSA:3.90.770.10;G3DSA:1.10.3270.10;G3DSA:3.30.70.420	mobidb-lite	PS50156;PS50065	SSF55035;SSF56542	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd00643	KEGG: 00900+1.1.1.34|MetaCyc: PWY-6174|MetaCyc: PWY-7391|MetaCyc: PWY-7524|MetaCyc: PWY-922|Reactome: R-HSA-191273|Reactome: R-HSA-1989781|Reactome: R-HSA-2426168	PS00318;PS01192;PS00066	NA	NA	NA	PR00071	NA	NA	TIGR00533	NA	NA	NA
augustus_masked-NODE_268_length_10614_cov_73.483837-processed-gene-0.15-mRNA-1	PTHR24073:SF875;PTHR24073	IPR017231	GO:0003924;GO:0005525	PF00071	SM00174;SM00175	G3DSA:3.40.50.300	mobidb-lite	PS51419	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	PR00449	NA	PIRSF037527	TIGR00231	NA	NA	NA
maker-NODE_15_length_235441_cov_69.504560-augustus-gene-1.198-mRNA-1	PTHR10338:SF110;PTHR10338	IPR002035	NA	PF13768	SM00327	G3DSA:3.40.50.410	NA	PS50234	SSF53300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_36_length_183842_cov_71.036404-augustus-gene-0.483-mRNA-1	PTHR12894;PTHR12894:SF10	IPR032914	GO:0016192	PF10367;PF10366;PF00780	NA	NA	mobidb-lite	PS50219	SSF81995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_118_length_75508_cov_68.323954-snap-gene-0.182-mRNA-1	PTHR14091:SF0;PTHR14091	IPR017986	GO:0005515	PF00400;PF11715	SM00320	G3DSA:2.130.10.10	mobidb-lite	PS50294;PS50082	SSF50978	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	PS00678	NA	NA	NA	PR00320	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_883239_cov_54.878836-processed-gene-7.76-mRNA-1	PTHR12209	IPR008266	GO:0004672;GO:0006468;GO:0005524;GO:0004674	PF06293	SM00220	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	PS50011	SSF56112	NA	NA	cd00180	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6782315|Reactome: R-HSA-6804756	PS00109	NA	NA	NA	NA	NA	NA	TIGR03724	NA	NA	NA
augustus_masked-NODE_18_length_222320_cov_75.220682-processed-gene-1.22-mRNA-1	PTHR10924:SF6;PTHR10924	IPR036259	GO:0016021;GO:0055085	PF07690	NA	G3DSA:1.20.1250.20	mobidb-lite	NA	SSF103473	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_167_length_45012_cov_64.372819-snap-gene-0.20-mRNA-1	PTHR43719:SF11;PTHR43719	IPR005467	GO:0016310;GO:0016772;GO:0000155;GO:0007165;GO:0000160	PF02518;PF00512;PF00072	SM00448;SM00388;SM00387	G3DSA:3.30.565.10;G3DSA:3.30.450.40;G3DSA:1.10.287.130;G3DSA:3.40.50.2300	mobidb-lite	PS50109;PS50110	SSF47384;SSF55781;SSF52172;SSF55874	NA	NA	cd00156;cd00075;cd00082	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	NA	NA	NA	NA	PR00344	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_82_length_95832_cov_70.482399-processed-gene-0.2-mRNA-1	PTHR11706;PTHR11706:SF50	IPR001046	GO:0016020;GO:0030001;GO:0046873;GO:0006886;GO:0005622	PF00790;PF01566	SM00288	G3DSA:1.25.40.90	mobidb-lite	PS50179;PS50909	SSF89009;SSF48464	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd14232;cd03561	Reactome: R-HSA-425410	NA	NA	NA	NA	PR00447	NA	NA	TIGR01197	NA	NA	NA
maker-NODE_76_length_107424_cov_73.387084-snap-gene-0.338-mRNA-1	PTHR19211;PTHR19211:SF94	IPR003439	GO:0005524;GO:0016887	PF00005;PF12848	SM00382	G3DSA:3.40.50.300	mobidb-lite	PS50893	SSF52540	NA	NA	cd03221	NA	PS00211	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_158_length_48104_cov_71.653605-snap-gene-0.2-mRNA-1	PTHR21713	IPR002715	GO:0005854	PF01849	SM01407	G3DSA:1.10.8.10;G3DSA:2.20.70.30	mobidb-lite	PS51151	NA	NA	NA	cd14358	NA	NA	NA	NA	NA	NA	Coil	PIRSF015901	NA	NA	NA	NA
maker-NODE_184_length_36890_cov_74.457008-augustus-gene-0.80-mRNA-1	PTHR24356:SF0;PTHR24356	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004674	PF00069	SM00220	G3DSA:3.30.200.20;G3DSA:1.10.510.10	mobidb-lite	PS50011;PS51285	SSF56112	NA	NA	cd05578	NA	PS00108;PS00107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_98_length_85044_cov_71.802878-snap-gene-0.164-mRNA-1	PTHR21964:SF25;PTHR21964	IPR033487	NA	PF08598	SM01401	NA	mobidb-lite	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_6_length_447864_cov_73.606110-augustus-gene-2.14-mRNA-1	PTHR13799:SF13;PTHR13799	IPR036069	NA	PF01784	NA	G3DSA:3.40.1390.30	NA	NA	SSF102705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_150_length_51910_cov_71.949269-augustus-gene-0.30-mRNA-1	PTHR28075;PTHR28075:SF1	IPR013726	NA	PF08520	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_63_length_126925_cov_72.713773-augustus-gene-0.106-mRNA-1	PTHR12296;PTHR12296:SF21	IPR005112	GO:0035556	PF03455;PF02141;PF03456	SM00800;SM00799;SM00801	G3DSA:3.40.50.11500	mobidb-lite	PS50081;PS50211	SSF57889	NA	NA	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_100_length_83904_cov_72.511537-augustus-gene-0.220-mRNA-1	PTHR23502;PTHR23502:SF31	IPR036259	GO:0016021;GO:0055085	PF07690	NA	G3DSA:1.20.1250.20	mobidb-lite	PS50850	SSF103473	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_32_length_187929_cov_76.767180-processed-gene-0.444-mRNA-1	PTHR43294	IPR004014	GO:0000166;GO:0016021	PF00702;PF00690;PF13246;PF00122;PF00689	SM00831	G3DSA:2.70.150.10;G3DSA:1.20.1110.10;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000	NA	NA	SSF81665;SSF56784;SSF81653;SSF81660	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	Reactome: R-HSA-936837	PS00154	NA	NA	NA	PR00121;PR00119	NA	NA	TIGR01494	SFLDF00027;SFLDG00002	NA	NA
maker-NODE_81_length_98038_cov_70.217545-augustus-gene-0.185-mRNA-1	PTHR42765;PTHR42765:SF1	IPR002300	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0000049;GO:0004822;GO:0006428;GO:0002161	PF00133;PF08264	NA	G3DSA:1.10.730.20;G3DSA:3.40.50.620;G3DSA:3.90.740.10	NA	NA	SSF47323;SSF52374;SSF50677	NA	NA	cd07960	KEGG: 00970+6.1.1.5|Reactome: R-HSA-379726	PS00178	NA	NA	NA	PR00984	NA	NA	TIGR00392	NA	NA	NA
snap_masked-NODE_69_length_121508_cov_77.263386-processed-gene-0.77-mRNA-1	PTHR31806:SF7;PTHR31806	IPR026030	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PF02133	NA	G3DSA:1.10.4160.10	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF002744	NA	NA	NA	NA
maker-NODE_22_length_202737_cov_78.199719-snap-gene-1.256-mRNA-1	PTHR10209;PTHR10209:SF198	IPR005123	GO:0016491;GO:0055114	PF14226;PF03171	NA	G3DSA:2.60.120.330	NA	PS51471	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_55_length_135047_cov_78.225452-augustus-gene-0.283-mRNA-1	PTHR23500:SF42;PTHR23500	IPR020846	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	PF00083	NA	G3DSA:1.20.1250.20	NA	PS50850	SSF103473	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	Reactome: R-HSA-189200	PS00216	NA	NA	NA	NA	NA	NA	TIGR00879	NA	NA	NA
maker-NODE_83_length_95774_cov_72.042730-augustus-gene-0.65-mRNA-1	PTHR22884;PTHR22884:SF462	IPR017111	GO:0018024;GO:0034968;GO:0048188;GO:0005515	PF00856;PF11767;PF11764	SM00317;SM00508;SM01291	G3DSA:2.170.270.10;G3DSA:3.30.70.330	mobidb-lite	PS50868;PS51572;PS50280	SSF82199	NA	NA	NA	KEGG: 00310+2.1.1.43	NA	NA	NA	NA	NA	Coil	PIRSF037104	NA	NA	NA	NA
augustus_masked-NODE_114_length_77321_cov_76.005739-processed-gene-0.46-mRNA-1	PTHR28208;PTHR28208:SF3	IPR017210	NA	PF09949	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	PIRSF037464	NA	NA	NA	NA
maker-NODE_15_length_235441_cov_69.504560-snap-gene-1.282-mRNA-1	PTHR37577	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_126_length_65184_cov_70.503343-processed-gene-0.115-mRNA-1	PTHR15350;PTHR15350:SF2	IPR000717	GO:0003743;GO:0005737;GO:0005852	PF01399;PF18005	SM00088;SM00753	G3DSA:1.25.40.570	mobidb-lite	PS50250	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	NA	NA	Coil	NA	NA	NA	MF_03012	NA
augustus_masked-NODE_75_length_108235_cov_71.577756-processed-gene-0.18-mRNA-1	PTHR11247:SF1;PTHR11247	IPR039667	GO:0016787	PF01569	SM00014	G3DSA:1.20.144.10	NA	NA	SSF48317	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd03382	Reactome: R-HSA-446199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_204983_cov_73.166083-snap-gene-0.24-mRNA-1	PTHR11374:SF3;PTHR11374	IPR036220	GO:0016616;GO:0051287;GO:0055114;GO:0003979	PF03721;PF03720;PF00984	SM00984	G3DSA:3.40.50.720;G3DSA:1.20.5.100	mobidb-lite	NA	SSF52413;SSF48179;SSF51735	NA	NA	NA	Reactome: R-HSA-173599	NA	NA	NA	NA	NA	NA	NA	TIGR03026	NA	NA	NA
maker-NODE_13_length_254769_cov_74.495374-augustus-gene-1.286-mRNA-1	PTHR43791:SF27;PTHR43791	IPR011701	GO:0016021;GO:0055085	PF07690	NA	G3DSA:1.20.1250.20	mobidb-lite	PS50850	SSF103473	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
