Gene	interpro	Pfam	Phobius	TMHMM	GO	PATHWAY	ProSitePatterns	CDD	TIGRFAM	Gene3D	SMART	PANTHER	SUPERFAMILY	MobiDBLite	Coils	PRINTS	PIRSF	Hamap	ProSiteProfiles	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SFLD	ProDom
maker-NODE_86_length_44401_cov_29.787686-snap-gene-0.120-mRNA-1	IPR004853	PF03151	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	PTHR44010:SF4;PTHR44010	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_306_length_24510_cov_36.001517-snap-gene-0.41-mRNA-1	IPR021891	PF12009;PF00078	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	GO:0003964;GO:0003677;GO:0003721	Reactome: R-HSA-171319|Reactome: R-HSA-201722	NA	cd01648	NA	G3DSA:1.10.132.70	SM00975	PTHR12066	SSF56672	mobidb-lite	NA	PR01365	NA	NA	PS50878	NA	NA	NA	NA	NA
maker-NODE_852_length_9566_cov_43.879436-augustus-gene-0.0-mRNA-1	IPR036259	PF00854	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016020;GO:0022857;GO:0055085	Reactome: R-HSA-427975	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	PTHR11654:SF118;PTHR11654	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_49_length_56896_cov_31.220332-snap-gene-0.68-mRNA-1	IPR020902	PF00108;PF00022;PF02803	NA	NA	GO:0016747;GO:0003824	NA	PS01132;PS00737	cd00829;cd00012	NA	G3DSA:3.40.47.10	SM00268	PTHR18919;PTHR18919:SF89	SSF53067;SSF53901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_634_length_13908_cov_23.561715-snap-gene-0.5-mRNA-1	IPR017907	PF01485;PF00097	NA	NA	GO:0046872;GO:0004842;GO:0016567	NA	PS00518	cd16625	NA	G3DSA:1.20.120.1750;G3DSA:3.30.40.10	SM00647;SM00184	PTHR11685:SF204;PTHR11685	SSF57850	mobidb-lite	NA	NA	NA	NA	PS50089	NA	NA	NA	NA	NA
maker-NODE_482_length_18154_cov_14.414434-snap-gene-0.11-mRNA-1	IPR023298	PF00702	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0000166;GO:0006812;GO:0016021;GO:0016887	Reactome: R-HSA-936837	PS00154;PS01229	cd07542	TIGR01657;TIGR01494	G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:1.20.1110.10	NA	PTHR24093;PTHR24093:SF373	SSF81665;SSF81660;SSF56784;SSF81653	NA	NA	PR00119	NA	NA	NA	NA	NA	NA	SFLDS00003;SFLDF00027	NA
maker-NODE_403_length_20653_cov_33.464825-augustus-gene-0.10-mRNA-1	IPR011701	PF07690	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0016021;GO:0055085	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	PTHR43791:SF46;PTHR43791	SSF103473	NA	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA
maker-NODE_454_length_19125_cov_24.432203-snap-gene-0.56-mRNA-1	IPR024738	PF12767	NA	NA	GO:0070461	Reactome: R-HSA-3214847	NA	NA	NA	NA	NA	PTHR21277:SF5;PTHR21277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_430_length_19635_cov_24.009432-processed-gene-0.47-mRNA-1	IPR002464	PF00271;PF00270;PF04408;PF07717	NA	NA	GO:0003676;GO:0005524;GO:0004386	NA	PS00690	cd00046;cd00079	NA	G3DSA:3.40.50.300;G3DSA:1.20.120.1080	SM00847;SM00490;SM00487	PTHR18934:SF118;PTHR18934	SSF52540	mobidb-lite	NA	NA	NA	NA	PS51194;PS51192	NA	NA	NA	NA	NA
maker-NODE_98_length_42466_cov_29.617232-snap-gene-0.10-mRNA-1	IPR036259	PF07690	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0016021;GO:0055085	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	PTHR23501;PTHR23501:SF3	SSF103473	mobidb-lite	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA
maker-NODE_121_length_38479_cov_25.288512-snap-gene-0.24-mRNA-1	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	PTHR38421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_299_length_24820_cov_28.104483-processed-gene-0.67-mRNA-1	IPR020846	PF07690	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0055085	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	PTHR23502:SF132;PTHR23502	SSF103473	mobidb-lite	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA
snap_masked-NODE_110_length_39984_cov_40.913842-processed-gene-0.21-mRNA-1	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_86_length_44401_cov_29.787686-processed-gene-0.17-mRNA-1	IPR006121	PF00122;PF00403;PF00702	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0030001;GO:0046872;GO:0016021;GO:0005507;GO:0000166;GO:0006812;GO:0019829	Reactome: R-HSA-936837	PS00154;PS01229	cd00371;cd02094	TIGR01494;TIGR00003;TIGR01525	G3DSA:2.70.150.20;G3DSA:3.40.50.1000;G3DSA:3.30.70.100;G3DSA:3.40.1110.10	NA	PTHR43520;PTHR43520:SF8	SSF55008;SSF56784;SSF81665;SSF81653;SSF81660	NA	NA	PR00942;PR00119	NA	NA	PS50846	NA	NA	NA	SFLDS00003;SFLDF00027	NA
maker-NODE_134_length_36538_cov_31.530060-augustus-gene-0.83-mRNA-1	IPR023797	PF01137;PF00083	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0003824;GO:0005215	Reactome: R-HSA-189200	PS00217	cd06174	TIGR00879	G3DSA:1.20.1250.20;G3DSA:3.65.10.20	NA	PTHR23500:SF162;PTHR23500	SSF103473;SSF55205	NA	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA
maker-NODE_708_length_12170_cov_32.073071-augustus-gene-0.36-mRNA-1	IPR033747	PF17769;PF02222;PF00731	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	GO:0004638;GO:0006189;GO:0005524;GO:0046872	Reactome: R-HSA-73817	NA	NA	TIGR01161;TIGR01162	G3DSA:3.30.1490.20;G3DSA:3.30.470.20;G3DSA:3.40.50.20;G3DSA:3.40.50.7700	SM01001	PTHR11609:SF5;PTHR11609	SSF51246;SSF56059;SSF52440;SSF52255	mobidb-lite	Coil	NA	PIRSF001340	MF_01929;MF_01928	PS50975	NA	NA	NA	NA	NA
maker-NODE_337_length_23258_cov_35.572824-snap-gene-0.34-mRNA-1	IPR004695	PF03595;PF09286	SIGNAL_PEPTIDE;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	TMhelix	GO:0016021;GO:0055085;GO:0008236;GO:0004252;GO:0006508	Reactome: R-HSA-381038	NA	cd09299;cd11377;cd04056	NA	G3DSA:3.40.50.200	SM00944	PTHR14218:SF19;PTHR14218	SSF54897;SSF52743	NA	NA	NA	NA	NA	PS51695	SignalP-noTM	SignalP-TM	NA	NA	NA
maker-NODE_295_length_25130_cov_24.278407-snap-gene-0.8-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR13140;PTHR13140:SF684	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_39_length_59729_cov_33.813916-processed-gene-0.152-mRNA-1	IPR011993	PF16457;PF04727;PF11841	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.30.29.30;G3DSA:1.10.8.920;G3DSA:1.25.10.10	NA	PTHR12771:SF3;PTHR12771	SSF48371	mobidb-lite	NA	NA	NA	NA	PS51335	NA	NA	NA	NA	NA
snap_masked-NODE_235_length_28594_cov_25.386483-processed-gene-0.64-mRNA-1	IPR003439	PF00005;PF00664	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	PS00211	cd03253	NA	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	SM00382	PTHR24221;PTHR24221:SF187	SSF90123;SSF52540	mobidb-lite	NA	NA	NA	NA	PS50929;PS50893	NA	NA	NA	NA	NA
maker-NODE_71_length_48321_cov_35.815828-snap-gene-0.13-mRNA-1	IPR002523	PF01544	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	NA	NA	NA	G3DSA:1.20.58.340	NA	PTHR21535;PTHR21535:SF33	SSF144083	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_932_length_8370_cov_16.605605-processed-gene-0.11-mRNA-1	IPR014480	PF03663	SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0008496;GO:0016052;GO:0003824	NA	NA	NA	NA	G3DSA:1.50.10.20	NA	PTHR12145:SF33;PTHR12145	SSF48208	NA	NA	NA	PIRSF016302	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
maker-NODE_687_length_12627_cov_24.597120-snap-gene-0.3-mRNA-1	IPR011691	PF04178	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0016192	NA	NA	NA	NA	NA	NA	PTHR23137;PTHR23137:SF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1480_length_3327_cov_38.355938-processed-gene-0.1-mRNA-1	IPR036361	PF02037	NA	NA		Reactome: R-HSA-111465	NA	cd12432	NA	G3DSA:1.10.720.30	SM00513	NA	SSF68906	mobidb-lite	Coil	NA	NA	NA	PS50800	NA	NA	NA	NA	NA
maker-NODE_928_length_8397_cov_10.822370-snap-gene-0.1-mRNA-1	IPR014001	PF08658;PF00176;PF00271	NA	NA	GO:0016817;GO:0005524	NA	NA	cd00079;cd00046	NA	G3DSA:3.40.50.300;G3DSA:1.20.120.850;G3DSA:3.40.50.10810	SM00487;SM00490	PTHR10799;PTHR10799:SF889	SSF52540	mobidb-lite	NA	NA	NA	NA	PS51194;PS51192	NA	NA	NA	NA	NA
maker-NODE_146_length_35788_cov_27.809259-augustus-gene-0.2-mRNA-1	IPR012951	PF08031;PF01565	NA	NA	GO:0016491;GO:0050660;GO:0055114;GO:0071949	NA	NA	NA	NA	G3DSA:3.40.462.20;G3DSA:3.30.465.10;G3DSA:3.30.43.10	NA	PTHR42973;PTHR42973:SF20	SSF56176	NA	NA	NA	NA	NA	PS51387	NA	NA	NA	NA	NA
maker-NODE_158_length_34394_cov_22.791870-snap-gene-0.30-mRNA-1	IPR029058	PF07859	NA	NA	GO:0016787	NA	NA	NA	NA	NA	NA	PTHR43494;PTHR43494:SF3	SSF53474	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_464_length_18784_cov_24.081471-processed-gene-0.0-mRNA-1	IPR000719	NA	NA	NA	GO:0004672;GO:0005524;GO:0006468	NA	PS00109	cd00180	NA	NA	NA	NA	SSF56112	NA	NA	NA	NA	NA	PS50011	NA	NA	NA	NA	NA
snap_masked-NODE_356_length_22260_cov_38.100664-processed-gene-0.55-mRNA-1	IPR003194	PF02268;PF02751	NA	NA	GO:0005672;GO:0006367	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6807505|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042|Reactome: R-HSA-9018519	NA	cd10014;cd10145	NA	G3DSA:2.30.18.10;G3DSA:1.10.287.190	NA	PTHR10966:SF0;PTHR10966	SSF50784;SSF47396	NA	NA	NA	PIRSF009415	NA	NA	NA	NA	NA	NA	PD009224
maker-NODE_29_length_65760_cov_28.636768-augustus-gene-0.32-mRNA-1	IPR001202	PF17907;PF00856;PF08236	NA	NA	GO:0005515;GO:0005634;GO:0018024;GO:0006354;GO:0010452;GO:0046975;GO:0005694;GO:0006355;GO:0034968	KEGG: 00310+2.1.1.43|Reactome: R-HSA-3214841	PS01159	cd00201	NA	G3DSA:2.20.70.10;G3DSA:1.10.1740.100;G3DSA:2.170.270.10	SM00456;SM00317;SM00508;SM00570	PTHR45396	SSF47676;SSF51045;SSF82199	mobidb-lite	Coil	NA	NA	NA	PS50020;PS50280;PS51215;PS50868;PS51568	NA	NA	NA	NA	NA
maker-NODE_346_length_22953_cov_37.022474-augustus-gene-0.10-mRNA-1	IPR014782	PF11838;PF17900;PF01433	NA	NA	GO:0008237;GO:0008270;GO:0006508	NA	NA	cd09601	NA	G3DSA:1.25.50.20;G3DSA:2.60.40.1910;G3DSA:1.10.390.60;G3DSA:2.60.40.1730	NA	PTHR11533:SF171;PTHR11533	SSF63737;SSF55486	NA	NA	PR00756	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_192_length_31860_cov_30.435855-processed-gene-0.10-mRNA-1	IPR003195	PF02269	NA	NA	GO:0006366;GO:0046982	NA	NA	cd07978	NA	G3DSA:1.10.20.10	NA	PTHR11380;PTHR11380:SF5	SSF47113	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_73_length_48013_cov_33.524684-processed-gene-0.17-mRNA-1	IPR007603	PF04515	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix		Reactome: R-HSA-1483191|Reactome: R-HSA-425366	NA	NA	NA	NA	NA	PTHR12385;PTHR12385:SF4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_294_length_25134_cov_34.348742-snap-gene-0.73-mRNA-1	IPR014014	PF13959;PF00271;PF00270	NA	NA	GO:0003676;GO:0005524	NA	PS00039	cd00079	NA	G3DSA:3.40.50.300	SM00487;SM00490;SM01178	PTHR24031;PTHR24031:SF2	SSF52540	mobidb-lite	Coil	NA	NA	NA	PS51195;PS51192;PS51194	NA	NA	NA	NA	NA
maker-NODE_532_length_16514_cov_23.190700-snap-gene-0.6-mRNA-1	IPR003960	PF00004;PF17862	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0005524	NA	PS00674	cd00009	NA	G3DSA:1.10.8.60;G3DSA:3.40.50.300	SM00382	PTHR23074;PTHR23074:SF20	SSF52540	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_314_length_24163_cov_30.180479-augustus-gene-0.1-mRNA-1	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_123_length_38071_cov_32.279570-snap-gene-0.38-mRNA-1	IPR020683	PF12796;PF00023	NA	NA	GO:0005515	NA	NA	cd00204	NA	G3DSA:1.25.40.20	SM00248	PTHR24125	SSF48403	mobidb-lite	NA	NA	NA	NA	PS50297;PS50088	NA	NA	NA	NA	NA
augustus_masked-NODE_271_length_26216_cov_37.206984-processed-gene-0.11-mRNA-1	IPR013241	PF08228	NA	NA	GO:0006364;GO:0008033	NA	NA	NA	NA	NA	NA	PTHR28272	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_130_length_37475_cov_31.377129-snap-gene-0.79-mRNA-1	IPR023041	PF11710	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021	NA	NA	NA	NA	G3DSA:1.20.1070.10	NA	PTHR23112;PTHR23112:SF18	SSF81321	mobidb-lite	NA	NA	NA	NA	PS50262	NA	NA	NA	NA	NA
maker-NODE_505_length_17270_cov_23.210348-snap-gene-0.20-mRNA-1	IPR007300	PF04172	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	PTHR30249;PTHR30249:SF0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_43_length_58155_cov_37.124578-processed-gene-0.12-mRNA-1	IPR024050	PF01808;PF02142	NA	NA	GO:0003824;GO:0003937;GO:0004643;GO:0006164	KEGG: 00230+3.5.4.10+2.1.2.3|KEGG: 00670+2.1.2.3|MetaCyc: PWY-6123|MetaCyc: PWY-6124|MetaCyc: PWY-7234|Reactome: R-HSA-73817	NA	cd01421	TIGR00355	G3DSA:1.10.287.440;G3DSA:3.40.140.20;G3DSA:3.40.50.1380	SM00851;SM00798	PTHR11692	SSF53927;SSF52335	NA	NA	NA	PIRSF000414	MF_00139	NA	NA	NA	NA	NA	NA
snap_masked-NODE_25_length_67220_cov_31.872386-processed-gene-0.54-mRNA-1	IPR036249	PF07955	NA	NA	GO:0005739;GO:0016491;GO:0055114	NA	NA	NA	NA	NA	NA	PTHR28071	SSF52833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_127_length_37624_cov_32.630904-processed-gene-0.62-mRNA-1	IPR025714	PF13679	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	PTHR12496;PTHR12496:SF0	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
