Gene	Phobius	PANTHER	TMHMM	MobiDBLite	interpro	SMART	Pfam	ProSiteProfiles	GO	SUPERFAMILY	PRINTS	CDD	Gene3D	Coils	PATHWAY	ProSitePatterns	PIRSF	Hamap	TIGRFAM	SignalP_EUK	SFLD	ProDom	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE
maker-NODE_1_length_139067_cov_12.594847-augustus-gene-0.0-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR42069	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_97_length_37691_cov_13.625413-snap-gene-0.3-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR15495	TMhelix	mobidb-lite	IPR012908	NA	PF07819	NA	GO:0016788	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	Reactome: R-HSA-162791	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1133_length_7363_cov_11.214760-processed-gene-0.0-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR42861;PTHR42861:SF26	TMhelix	mobidb-lite	IPR018303	NA	PF00690;PF00122;PF00702	NA	GO:0000166;GO:0016021;GO:0008553;GO:0120029	SSF81653;SSF56784;SSF81665	PR00120;PR00119	cd02076	G3DSA:1.20.1110.10;G3DSA:3.40.1110.10;G3DSA:2.60.120.1500	NA	Reactome: R-HSA-936837	PS00154	NA	NA	TIGR01647;TIGR01494	NA	SFLDG00002;SFLDF00027	NA	NA	NA
maker-NODE_1796_length_3416_cov_10.778352-snap-gene-0.2-mRNA-1	NA	PTHR24096;PTHR24096:SF271	NA	NA	IPR000873	NA	PF00501	NA	GO:0003824	SSF56801	NA	NA	G3DSA:3.40.50.12780	NA	NA	PS00455	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_933_length_9325_cov_12.737552-snap-gene-0.10-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR42861:SF15;PTHR42861	TMhelix	mobidb-lite	IPR006068	SM00831	PF00689;PF00702;PF13246;PF00690;PF00122	NA	GO:0016021;GO:0006812;GO:0019829;GO:0000166	SSF56784;SSF81665;SSF81653;SSF81660	PR00120;PR00119	NA	G3DSA:2.70.150.10;G3DSA:1.20.1110.10	NA	Reactome: R-HSA-936837	PS00154	NA	NA	TIGR01494;TIGR01523	NA	SFLDS00003;SFLDF00027	NA	NA	NA
augustus_masked-NODE_1865_length_3123_cov_10.017690-processed-gene-0.1-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	PTHR10342;PTHR10342:SF247	TMhelix	NA	IPR017850	NA	PF00884	NA	GO:0003824;GO:0008484	SSF53649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_355_length_20146_cov_11.347220-augustus-gene-0.2-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR33968	TMhelix	NA	IPR018625	NA	PF09803	NA	GO:0005739;GO:0033617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_437_length_17567_cov_12.591571-processed-gene-0.5-mRNA-1	NA	PTHR12801;PTHR12801:SF105	NA	mobidb-lite	IPR013520	SM00479	NA	NA	NA	SSF53098	NA	cd06145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_876_length_9907_cov_13.041513-snap-gene-0.8-mRNA-1	NA	PTHR23431	NA	NA	IPR000268	NA	PF01194	NA	GO:0003677;GO:0003899;GO:0006351;GO:0008270	SSF46924	NA	NA	G3DSA:1.10.10.60	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-1834949|Reactome: R-HSA-203927|Reactome: R-HSA-427413|Reactome: R-HSA-452723|Reactome: R-HSA-5250924|Reactome: R-HSA-5578749|Reactome: R-HSA-5601884|Reactome: R-HSA-5617472|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73777|Reactome: R-HSA-73779|Reactome: R-HSA-73780|Reactome: R-HSA-73863|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	PS01112	PIRSF005653	MF_00250	NA	NA	NA	PD006539	NA	NA
maker-NODE_798_length_11014_cov_10.515293-snap-gene-0.6-mRNA-1	NA	PTHR13904	NA	mobidb-lite	IPR027105	SM00931	PF01798;PF09785	PS51358	GO:0000244;GO:0000398;GO:0046540	SSF89124	NA	NA	G3DSA:1.10.150.460;G3DSA:1.10.287.660;G3DSA:1.10.246.90	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_197_length_28367_cov_11.929639-snap-gene-0.15-mRNA-1	NA	PTHR44007;PTHR44007:SF3	NA	mobidb-lite	IPR001680	SM00320;SM00256	PF12937;PF00400	PS50082;PS50181;PS50294	GO:0005515	SSF50978;SSF81383	PR00320	cd00200	G3DSA:2.130.10.10;G3DSA:1.20.1280.50	NA	NA	PS00678	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_352_length_20445_cov_11.209568-augustus-gene-0.34-mRNA-1	NA	PTHR23293:SF9;PTHR23293	NA	mobidb-lite	IPR002500	NA	PF01507	NA	GO:0003824	SSF52402	NA	cd01713	G3DSA:3.40.50.620	NA	Reactome: R-HSA-196843	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_47742_cov_11.507928-augustus-gene-0.61-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23500;PTHR23500:SF162	TMhelix	NA	IPR020846	NA	PF00083	PS50850	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	SSF103473	NA	cd06174	G3DSA:1.20.1250.20	NA	Reactome: R-HSA-189200	PS00217	NA	NA	TIGR00879	NA	NA	NA	NA	NA
augustus_masked-NODE_35_length_51128_cov_11.481520-processed-gene-0.38-mRNA-1	NA	PTHR24348	NA	mobidb-lite	IPR008271	SM00220	PF00069	PS50011	GO:0004672;GO:0006468;GO:0005524	SSF56112	NA	NA	G3DSA:1.10.510.10	Coil	NA	PS00108	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_706_length_12299_cov_10.517663-processed-gene-0.6-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR10978;PTHR10978:SF5	TMhelix	NA	IPR034804	NA	PF01127	NA	GO:0016020;GO:0000104;GO:0006099;GO:0045281;GO:0016627	SSF81343	NA	cd03499	G3DSA:1.20.1300.10	NA	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	PIRSF000178	NA	NA	NA	NA	NA	SignalP-TM	NA
maker-NODE_44_length_47742_cov_11.507928-augustus-gene-0.59-mRNA-1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	PTHR43267;PTHR43267:SF2	NA	mobidb-lite	IPR000594	NA	PF00899	NA	GO:0008641	SSF69572	NA	cd00755	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
maker-NODE_231_length_26485_cov_11.410160-snap-gene-0.23-mRNA-1	NA	PTHR43326:SF1;PTHR43326	NA	mobidb-lite	IPR033911	NA	PF13302;PF09334	NA	GO:0004825;GO:0006431;GO:0000166;GO:0004812;GO:0005524;GO:0006418	SSF52374;SSF55729;SSF47323	PR01041	cd00814	G3DSA:3.40.630.30;G3DSA:2.170.220.10;G3DSA:1.10.730.10;G3DSA:3.40.50.620	NA	KEGG: 00450+6.1.1.10|KEGG: 00970+6.1.1.10	NA	NA	NA	TIGR00398	NA	NA	NA	NA	NA
maker-NODE_107_length_35827_cov_11.122297-augustus-gene-0.2-mRNA-1	NA	PTHR22594:SF16;PTHR22594	NA	NA	IPR004365	NA	PF01336;PF00152	PS50862	GO:0003676;GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004816;GO:0006421	SSF55681;SSF50249	PR01042	cd04323;cd00776	G3DSA:1.10.10.1430;G3DSA:3.30.930.10;G3DSA:2.40.50.140	NA	KEGG: 00970+6.1.1.22	NA	NA	NA	TIGR00457	NA	NA	NA	NA	NA
maker-NODE_525_length_15660_cov_12.622739-snap-gene-0.6-mRNA-1	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	PTHR10829;PTHR10829:SF42	TMhelix	NA	IPR039644	SM00326	PF00018	PS50002	GO:0005034;GO:0005515	SSF50044	PR00452	cd11855	G3DSA:2.30.30.40	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NODE_964_length_9041_cov_12.036908-augustus-gene-0.0-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR14856:SF9;PTHR14856	TMhelix	NA	IPR006603	NA	PF04193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_428_length_17787_cov_12.798245-snap-gene-0.14-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR24221;PTHR24221:SF400	TMhelix	mobidb-lite	IPR017871	SM00382	PF00005;PF00664	PS50893;PS50929	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	SSF90123;SSF52540	NA	NA	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	NA	NA	PS00211	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_324_length_21612_cov_11.778543-snap-gene-0.24-mRNA-1	NA	PTHR10741;PTHR10741:SF5	NA	mobidb-lite	IPR002848	NA	PF01997	NA	GO:0043565	SSF74784	NA	cd14820	G3DSA:1.20.58.200;G3DSA:1.20.58.190	NA	Reactome: R-HSA-426486	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_48483_cov_14.262470-augustus-gene-0.16-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR23500:SF125;PTHR23500	TMhelix	NA	IPR036259	NA	PF00083	PS50850	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	SSF103473	PR00171	cd06174	G3DSA:1.20.1250.20	NA	Reactome: R-HSA-189200	PS00217;PS00216	NA	NA	TIGR00879	NA	NA	NA	NA	NA
maker-NODE_85_length_39130_cov_13.054355-augustus-gene-0.4-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23500:SF87;PTHR23500	TMhelix	mobidb-lite	IPR020846	NA	PF00083	PS50850	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	SSF103473	NA	cd06174	G3DSA:1.20.1250.20	NA	Reactome: R-HSA-189200	PS00216	NA	NA	TIGR00879	NA	NA	NA	NA	NA
maker-NODE_3_length_96207_cov_12.765279-augustus-gene-0.97-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR11139:SF1;PTHR11139	NA	mobidb-lite	IPR000403	SM01343;SM00146	PF00454;PF02259	PS50290;PS51190;PS51189	GO:0005515;GO:0000123;GO:0005634;GO:0016573	SSF48371;SSF56112	NA	cd05163	NA	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_221_length_27315_cov_11.202920-augustus-gene-0.3-mRNA-1	NA	PTHR11076;PTHR11076:SF10	NA	mobidb-lite	IPR001126	NA	PF00817;PF11799	PS50173	GO:0006281;GO:0003684	SSF56672	NA	NA	G3DSA:3.30.70.270;G3DSA:2.30.40.20	NA	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7|Reactome: R-HSA-5656169	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_545_length_15263_cov_9.852075-snap-gene-0.12-mRNA-1	NA	PTHR21192:SF2;PTHR21192	NA	mobidb-lite	IPR036748	NA	PF04430	NA	NA	SSF64076	NA	NA	G3DSA:3.40.1230.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
maker-NODE_2_length_97951_cov_13.193879-snap-gene-0.65-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR12839	NA	mobidb-lite	IPR016021	SM00543	PF04050;PF02854	NA	GO:0000184;GO:0003723;GO:0005515	SSF48371	NA	NA	G3DSA:1.25.40.180	Coil	Reactome: R-HSA-9010553|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1515_length_4789_cov_11.083870-augustus-gene-0.6-mRNA-1	NA	PTHR40460	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_489_length_16368_cov_12.696016-augustus-gene-0.10-mRNA-1	NA	PTHR10887;PTHR10887:SF388	NA	mobidb-lite	IPR014001	SM00487	PF18141;PF13087;PF09416;PF13086;PF04851	NA	GO:0000184;GO:0003677;GO:0004386;GO:0005524;GO:0005737;GO:0008270;GO:0016787	SSF52540	NA	cd00046	G3DSA:2.40.30.230;G3DSA:3.40.50.300	NA	Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_49_length_46912_cov_12.502960-processed-gene-0.15-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	PTHR10632;PTHR10632:SF12	NA	NA	IPR036188	NA	PF07992	NA	GO:0016491;GO:0055114	SSF51905	NA	NA	G3DSA:3.50.50.60	NA	Reactome: R-HSA-1614517	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1286_length_6120_cov_12.704989-snap-gene-0.3-mRNA-1	NA	NA	NA	NA	IPR032675	NA	NA	NA	NA	SSF52047	NA	NA	G3DSA:3.80.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_207_length_27980_cov_10.618461-processed-gene-0.15-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	PTHR10796;PTHR10796:SF184	TMhelix	NA	IPR000731	SM00558	PF13621;PF12349	PS50156;PS51184	GO:0005515	SSF51197;SSF50978	NA	NA	G3DSA:2.60.120.1660;G3DSA:2.130.10.10	NA	NA	PS00678	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_338_length_21109_cov_11.312077-snap-gene-0.10-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR10924:SF6;PTHR10924	TMhelix	mobidb-lite	IPR020846	NA	PF07690	NA	GO:0016021;GO:0055085	SSF103473	NA	cd06174	G3DSA:1.20.1250.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1411_length_5356_cov_9.885447-processed-gene-0.1-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_218_length_27371_cov_10.930407-augustus-gene-0.33-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR42810;PTHR42810:SF2	TMhelix	NA	IPR006042	NA	PF00860	NA	GO:0005215;GO:0016020;GO:0055085;GO:0022857	NA	NA	NA	NA	NA	Reactome: R-HSA-196836	NA	NA	NA	TIGR00801	NA	NA	NA	NA	NA
snap_masked-NODE_643_length_13098_cov_10.725310-processed-gene-0.13-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR37919;PTHR37919:SF2	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_121_length_34233_cov_10.780948-snap-gene-0.20-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1004_length_8520_cov_12.569641-augustus-gene-0.3-mRNA-1	NA	PTHR42707:SF2;PTHR42707	NA	NA	IPR036250	NA	PF00441;PF02770;PF18158	NA	GO:0016627;GO:0055114	SSF47203;SSF56645	NA	NA	G3DSA:1.20.140.10;G3DSA:2.40.110.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_695_length_12436_cov_9.508165-augustus-gene-0.10-mRNA-1	NA	PTHR13856;PTHR13856:SF101	NA	mobidb-lite	IPR004152	NA	PF03127	PS50909	GO:0005622;GO:0006886	SSF89009	NA	cd12930	G3DSA:1.25.40.90	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_41_length_48483_cov_14.262470-processed-gene-0.13-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	PTHR13954	NA	mobidb-lite	IPR000719	SM00220;SM00580;SM00564	PF00069;PF06479	PS50011;PS51392	GO:0004672;GO:0005524;GO:0006468;GO:0005515;GO:0004540;GO:0006397	SSF50998;SSF56112	NA	cd10422;cd09769	G3DSA:1.10.510.10;G3DSA:2.130.10.10;G3DSA:1.20.1440.180;G3DSA:3.30.200.20	Coil	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	PS00107;PS00108	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
maker-NODE_1391_length_5464_cov_10.958216-snap-gene-0.3-mRNA-1	NA	PTHR22597;PTHR22597:SF5	NA	mobidb-lite	IPR013933	NA	PF08624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD041931	NA	NA
maker-NODE_343_length_20760_cov_11.612562-snap-gene-0.3-mRNA-1	NA	PTHR31263;PTHR31263:SF24	NA	mobidb-lite	IPR001138	SM00066	PF11951;PF00172	PS50048	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	cd00067	G3DSA:4.10.240.10	NA	NA	PS00463	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1091_length_7693_cov_10.131113-processed-gene-0.2-mRNA-1	NA	PTHR15263	NA	NA	IPR038753	NA	NA	NA	GO:0007249	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_63185_cov_11.339973-snap-gene-0.22-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR31645;PTHR31645:SF0	TMhelix	NA	IPR004813	NA	PF03169	NA	GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00728	NA	NA	NA	NA	NA
maker-NODE_1162_length_7027_cov_8.390435-snap-gene-0.10-mRNA-1	NA	PTHR43353;PTHR43353:SF5	NA	mobidb-lite	IPR023584	NA	PF01765;PF00171	NA	GO:0016491;GO:0055114;GO:0016620	SSF53720;SSF55194	NA	NA	G3DSA:3.30.1360.40;G3DSA:3.40.309.10;G3DSA:3.40.605.10;G3DSA:1.10.132.20	Coil	Reactome: R-HSA-5419276	PS00070	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_53_length_44788_cov_12.585141-snap-gene-0.20-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR42813:SF1;PTHR42813	TMhelix	NA	IPR027399	NA	PF13823;PF04506;PF08240	NA	GO:0005319;GO:0006869;GO:0016021;GO:0008270;GO:0016491;GO:0055114	SSF51735;SSF50129	NA	cd08283	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	Reactome: R-HSA-446193|Reactome: R-HSA-4570571	PS00059	NA	NA	NA	NA	NA	NA	NA	NA
