Gene	TMHMM	interpro	SUPERFAMILY	MobiDBLite	Phobius	PANTHER	GO	PATHWAY	Pfam	TIGRFAM	Gene3D	Coils	ProSiteProfiles	SMART	SignalP_EUK	CDD	ProSitePatterns	PRINTS	SignalP_GRAM_POSITIVE	PIRSF	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
maker-NODE_15_length_322022_cov_47.826453-augustus-gene-1.34-mRNA-1	NA	IPR036291	SSF51735	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	PTHR14097:SF8;PTHR14097	NA	NA	PF13460	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_20_length_253829_cov_47.498589-processed-gene-1.25-mRNA-1	TMhelix	IPR020846	SSF103473	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR23502:SF34;PTHR23502	GO:0016021;GO:0055085	NA	PF07690	NA	G3DSA:1.20.1250.20	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_48_length_167417_cov_47.109534-processed-gene-0.50-mRNA-1	TMhelix	IPR012955	NA	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR14043;PTHR14043:SF2	GO:0006891;GO:0030173	Reactome: R-HSA-6811438	PF08172	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_717_length_2182_cov_11.488564-snap-gene-0.0-mRNA-1	TMhelix	IPR020849	SSF52540	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR24070:SF226;PTHR24070	GO:0005525;GO:0007165;GO:0016020;GO:0003924	NA	PF00071	TIGR00231	G3DSA:3.40.50.300	NA	PS51421	SM00175;SM00174;SM00173	NA	cd04137	NA	PR00449	NA	NA	NA	NA	NA	NA
snap_masked-NODE_16_length_321002_cov_48.649680-processed-gene-1.29-mRNA-1	TMhelix	IPR007568	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR31465;PTHR31465:SF1	GO:0016021	NA	PF04479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_11_length_375835_cov_47.427859-processed-gene-1.24-mRNA-1	TMhelix	IPR036640	SSF90123;SSF52540	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR24221;PTHR24221:SF400	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	NA	PF00005;PF00664	NA	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	NA	PS50893;PS50929	SM00382	NA	cd03249	PS00211	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_11_length_375835_cov_47.427859-processed-gene-0.46-mRNA-1	TMhelix	IPR018083	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR21257;PTHR21257:SF17	GO:0016628;GO:0055114;GO:0016020	NA	PF01222	NA	NA	NA	NA	NA	NA	NA	PS01018;PS01017	NA	NA	NA	NA	NA	NA	NA
maker-NODE_69_length_139047_cov_36.011510-snap-gene-0.12-mRNA-1	NA	IPR033950	SSF54236	NA	NA	PTHR10562:SF30;PTHR10562	GO:0016925;GO:0005515	NA	PF11976	NA	G3DSA:3.10.20.90	NA	PS50053	SM00213	NA	cd01763	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_42_length_188626_cov_46.042069-processed-gene-0.54-mRNA-1	NA	IPR002347	SSF51735	NA	NA	PTHR42760;PTHR42760:SF19	NA	NA	PF13561	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	PR00080;PR00081	NA	NA	NA	NA	NA	NA
snap_masked-NODE_101_length_89282_cov_47.641916-processed-gene-0.37-mRNA-1	NA	IPR002738	SSF89550	mobidb-lite	NA	PTHR13031	GO:0004540;GO:0008033;GO:0003824	Reactome: R-HSA-6784531|Reactome: R-HSA-6791226	PF01876	NA	G3DSA:3.20.20.140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_16_length_321002_cov_48.649680-processed-gene-0.22-mRNA-1	TMhelix	IPR015904	SSF51905	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR10632;PTHR10632:SF12		Reactome: R-HSA-1614517	NA	NA	G3DSA:3.50.50.60	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_210_length_16024_cov_49.633579-augustus-gene-0.1-mRNA-1	NA	IPR001487	SSF52540;SSF47370	mobidb-lite	NA	PTHR10799:SF836;PTHR10799	GO:0005515;GO:0042393;GO:0005524;GO:0005634;GO:0006355	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	PF00271;PF00439;PF07529;PF14619;PF00176;PF08880	NA	G3DSA:1.20.5.170;G3DSA:1.20.920.10;G3DSA:3.40.50.300;G3DSA:3.40.50.10810	Coil	PS51204;PS51192;PS51194;PS51666;PS50014	SM01314;SM00297;SM00951;SM00490;SM00487	NA	cd00079;cd04369;cd00046	NA	PR00503	NA	NA	NA	NA	NA	NA
snap_masked-NODE_72_length_130019_cov_44.885613-processed-gene-0.39-mRNA-1	NA	IPR023780	SSF54160	mobidb-lite	NA	NA	NA	NA	PF00385	NA	G3DSA:2.40.50.40	Coil	PS50013	NA	NA	cd00024	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_9_length_394649_cov_48.195036-processed-gene-2.40-mRNA-1	NA	IPR000408	SSF50985	mobidb-lite	NA	PTHR22870;PTHR22870:SF179	NA	NA	PF00415	NA	G3DSA:2.130.10.30	NA	PS50012	NA	NA	NA	PS00625;PS00626	PR00633	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_59_length_151286_cov_48.523409-snap-gene-0.125-mRNA-1	NA	IPR024704	SSF75553;SSF57997;SSF52540	mobidb-lite	NA	PTHR43939:SF1;PTHR43939	GO:0005515;GO:0005524;GO:0005694;GO:0051276	NA	PF02463;PF06470	NA	G3DSA:3.40.50.300;G3DSA:1.20.5.340;G3DSA:1.20.1060.20;G3DSA:3.30.70.1620	Coil	NA	SM00968	NA	cd03274	NA	NA	NA	PIRSF005719	NA	NA	NA	NA
snap_masked-NODE_61_length_149344_cov_47.368932-processed-gene-0.121-mRNA-1	TMhelix	IPR002293	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR11785:SF369;PTHR11785	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	NA	PF13520	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	PS00218	NA	NA	PIRSF006060	NA	NA	NA	NA
maker-NODE_182_length_23799_cov_45.772854-snap-gene-0.15-mRNA-1	NA	IPR036427	SSF47370	mobidb-lite	NA	PTHR15398;PTHR15398:SF4	GO:0005515	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_11_length_375835_cov_47.427859-processed-gene-2.126-mRNA-1	NA	IPR001375	SSF82171;SSF53474	NA	NA	PTHR42776;PTHR42776:SF11	GO:0006508;GO:0008236	NA	PF00326	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_177098_cov_44.865243-snap-gene-0.85-mRNA-1	NA	IPR012677	SSF54928	mobidb-lite	NA	PTHR23139:SF34;PTHR23139	GO:0003676	NA	PF00076	NA	G3DSA:3.30.70.330	Coil	PS50102	SM00360	NA	cd12411	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_18_length_304008_cov_47.216986-processed-gene-1.19-mRNA-1	NA	IPR005011	NA	mobidb-lite	NA	PTHR14152	GO:0000398	Reactome: R-HSA-72163	PF03343	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_130_length_54826_cov_46.880400-snap-gene-0.8-mRNA-1	NA	IPR003959	SSF52540	mobidb-lite	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	PTHR23070:SF11;PTHR23070	GO:0005524;GO:0034551	Reactome: R-HSA-1268020	PF00004;PF08740	NA	NA	NA	NA	SM00382;SM01024	NA	cd00009	PS00674	NA	SignalP-TM	NA	NA	NA	NA	NA
snap_masked-NODE_2_length_510603_cov_44.643932-processed-gene-4.64-mRNA-1	TMhelix	IPR008521	SSF103481	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR12570:SF9;PTHR12570	GO:0015095;GO:0015693;GO:0016021	Reactome: R-HSA-5223345	PF05653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_36_length_200612_cov_47.596648-snap-gene-1.47-mRNA-1	NA	IPR001971	SSF53137	mobidb-lite	NA	PTHR11759;PTHR11759:SF11	GO:0003735;GO:0005840;GO:0006412	NA	PF00411	NA	G3DSA:3.30.420.80	NA	NA	NA	NA	NA	PS00054	NA	NA	PIRSF002131	MF_01310	NA	NA	NA
maker-NODE_19_length_280240_cov_48.570655-snap-gene-1.64-mRNA-1	NA	IPR000253	NA	mobidb-lite	NA	PTHR23105;PTHR23105:SF65	GO:0005515	NA	NA	NA	NA	NA	PS50006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_45_length_170671_cov_47.840979-processed-gene-0.28-mRNA-1	NA	IPR000014	SSF55785	mobidb-lite	NA	PTHR24351;PTHR24351:SF160	NA	NA	PF13426	TIGR00229	G3DSA:3.30.450.20	NA	PS50112	SM00091;SM00086	NA	cd00130	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_110_length_78518_cov_48.002679-processed-gene-0.33-mRNA-1	NA	IPR021475	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR28052	NA	NA	PF11326;PF10712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_440057_cov_47.711181-snap-gene-3.110-mRNA-1	NA	IPR037446	SSF53254	mobidb-lite	NA	PTHR12750;PTHR12750:SF9	GO:0000829	KEGG: 04070+2.7.4.24+2.7.4.21|MetaCyc: PWY-6369|Reactome: R-HSA-1855167	PF18086;PF08443;PF00328	NA	G3DSA:3.40.50.11950;G3DSA:3.30.470.100;G3DSA:3.40.50.1240	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_83_length_115247_cov_39.696030-snap-gene-0.75-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_232581_cov_45.577568-snap-gene-1.6-mRNA-1	NA	IPR036322	SSF50978	mobidb-lite	NA	PTHR12442;PTHR12442:SF22	GO:0005515	NA	NA	NA	G3DSA:2.130.10.10	Coil	PS50294;PS50082	SM00320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_90_length_102447_cov_48.004115-processed-gene-0.55-mRNA-1	NA	IPR008928	SSF48208;SSF52833	mobidb-lite	NA	PTHR42899	GO:0003824	NA	PF03190	NA	G3DSA:3.40.30.10;G3DSA:1.50.10.20	Coil	NA	NA	NA	cd02955	NA	NA	NA	PIRSF006402	NA	NA	NA	NA
snap_masked-NODE_101_length_89282_cov_47.641916-processed-gene-0.40-mRNA-1	TMhelix	IPR030671	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR13509:SF3;PTHR13509	GO:0005784;GO:0006886	Reactome: R-HSA-1236974|Reactome: R-HSA-1799339|Reactome: R-HSA-381038	PF03911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_98_length_95310_cov_45.915930-snap-gene-0.52-mRNA-1	TMhelix	NA	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR31086:SF1;PTHR31086	NA	NA	PF13515	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_9_length_394649_cov_48.195036-processed-gene-0.79-mRNA-1	NA	IPR002999	SSF63748	mobidb-lite	NA	PTHR13681;PTHR13681:SF26	NA	NA	PF18115	NA	G3DSA:2.30.30.140	Coil	NA	SM00333	NA	cd04508	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_3_length_510266_cov_45.656092-processed-gene-0.53-mRNA-1	NA	IPR006939	NA	mobidb-lite	NA	PTHR10019:SF5;PTHR10019	GO:0000228;GO:0006338	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	PF04855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_44_length_177098_cov_44.865243-processed-gene-0.36-mRNA-1	TMhelix	IPR013057	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR22950:SF458;PTHR22950	NA	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_13_length_348637_cov_45.330134-processed-gene-0.7-mRNA-1	TMhelix	IPR018392	SSF54106	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	PF01476	NA	G3DSA:3.10.350.10	NA	PS51782	SM00257	NA	cd00118	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_238_length_12782_cov_33.150849-snap-gene-0.4-mRNA-1	TMhelix	IPR004299	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR13906;PTHR13906:SF4	NA	NA	PF03062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_64_length_147022_cov_48.449212-processed-gene-0.98-mRNA-1	NA	IPR003347	SSF81383;SSF51197	mobidb-lite	NA	PTHR12480:SF21;PTHR12480	GO:0005515	NA	PF13621;PF12937	NA	G3DSA:2.60.120.650;G3DSA:1.20.1280.50	NA	PS51184;PS50181	SM00256;SM00558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_40_length_189484_cov_44.730319-snap-gene-0.118-mRNA-1	NA	IPR010935	SSF57997;SSF75553;SSF52540	NA	NA	PTHR43941	GO:0005515;GO:0005524;GO:0005694;GO:0051276	Reactome: R-HSA-2299718|Reactome: R-HSA-2514853	PF06470;PF02463	NA	G3DSA:1.20.1060.20;G3DSA:3.30.70.1620;G3DSA:3.40.50.300	Coil	NA	SM00968	NA	cd03273	NA	NA	NA	PIRSF005719	NA	NA	NA	NA
maker-NODE_15_length_322022_cov_47.826453-augustus-gene-2.60-mRNA-1	TMhelix	IPR018456	SSF103473	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR11654;PTHR11654:SF118	GO:0005215;GO:0006857;GO:0016020;GO:0022857;GO:0055085	Reactome: R-HSA-427975	PF00854	NA	G3DSA:1.20.1250.20	NA	NA	NA	NA	cd06174	PS01023	NA	NA	NA	NA	NA	NA	NA
maker-NODE_73_length_129667_cov_44.834144-snap-gene-0.9-mRNA-1	NA	IPR029000	SSF50891;SSF50978	mobidb-lite	NA	PTHR11071;PTHR11071:SF213	GO:0003755;GO:0000413;GO:0005515;GO:0006457	NA	PF00160;PF00400	NA	G3DSA:2.40.100.10;G3DSA:2.130.10.10	NA	PS50082;PS50072;PS50294	SM00320	NA	cd01927	PS00170	PR00153	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_304008_cov_47.216986-augustus-gene-0.53-mRNA-1	NA	IPR020845	SSF56801	NA	NA	PTHR24095:SF245;PTHR24095	GO:0003824;GO:0003987;GO:0016208;GO:0019427	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857	PF16177;PF00501;PF13193	TIGR02188	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	NA	NA	NA	NA	cd05966	PS00455	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_382122_cov_47.985369-augustus-gene-1.34-mRNA-1	NA	IPR000644	SSF54631;SSF54277;SSF52313	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR43263	GO:0005515;GO:0003735;GO:0006412;GO:0015935;GO:0005622;GO:0005840	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF00318;PF00571;PF00564	TIGR01011	G3DSA:3.10.580.10;G3DSA:3.40.50.10490	Coil	PS51745;PS51371	SM00116;SM00666	NA	cd06409;cd04587;cd01425	PS00962	PR00395	NA	NA	MF_00291_B	NA	NA	NA
maker-NODE_58_length_153173_cov_41.472374-snap-gene-0.15-mRNA-1	NA	IPR018466	NA	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	PTHR40633:SF1;PTHR40633	NA	NA	PF10342	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
snap_masked-NODE_6_length_459376_cov_47.460123-processed-gene-1.45-mRNA-1	NA	IPR018958	SSF160631	mobidb-lite	NA	PTHR14289;PTHR14289:SF16	GO:0042546	NA	PF09346	NA	NA	NA	NA	SM00860	NA	NA	NA	NA	NA	PIRSF017023	NA	NA	NA	NA
augustus_masked-NODE_61_length_149344_cov_47.368932-processed-gene-0.84-mRNA-1	TMhelix	IPR013057	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR22950:SF332;PTHR22950	NA	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_209019_cov_42.717519-augustus-gene-1.86-mRNA-1	TMhelix	IPR013126	SSF100920;SSF53067;SSF100934	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR19375;PTHR19375:SF215		Reactome: R-HSA-3371453	PF00012	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10;G3DSA:2.60.34.10;G3DSA:1.20.1270.10	NA	NA	NA	SignalP-noTM	NA	PS01036;PS00329	PR00301	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_14_length_336798_cov_44.461587-snap-gene-1.7-mRNA-1	NA	IPR002347	SSF51735;SSF47336;SSF56801	NA	NA	PTHR44845	GO:0003824	Reactome: R-HSA-8848584	PF00106;PF00501;PF00550;PF07993	TIGR01746	G3DSA:3.40.50.720;G3DSA:3.40.50.12780;G3DSA:3.30.300.30;G3DSA:1.10.1200.10	NA	PS50075	SM00822	NA	cd05235;cd05930	PS00012;PS00455	PR00081	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_321002_cov_48.649680-snap-gene-1.81-mRNA-1	NA	IPR001579	SSF54106;SSF57016;SSF54556;SSF51445	NA	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN	PTHR11177;PTHR11177:SF231	GO:0004553;GO:0005975;GO:0008061	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	PF01476;PF00704	NA	G3DSA:3.20.20.80;G3DSA:3.30.60.10;G3DSA:3.10.350.10;G3DSA:3.10.50.10	Coil	PS51782	SM00636;SM00257	SignalP-noTM	cd02878;cd00035;cd00118	PS01095	NA	NA	NA	NA	SignalP-noTM	PD000609	NA
maker-NODE_3_length_510266_cov_45.656092-snap-gene-2.66-mRNA-1	NA	IPR001878	SSF57756	mobidb-lite	NA	NA	GO:0003676;GO:0008270	NA	PF00098	NA	NA	NA	PS50158	SM00343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_34_length_208333_cov_45.525086-processed-gene-0.48-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_310219_cov_46.891864-processed-gene-0.53-mRNA-1	TMhelix	IPR029048	SSF53067;SSF100934	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	PTHR19375:SF90;PTHR19375		Reactome: R-HSA-3371453	PF00012	NA	G3DSA:3.30.420.40;G3DSA:1.20.1270.10;G3DSA:3.90.640.10;G3DSA:3.30.30.30	Coil	NA	NA	SignalP-noTM	cd10230	NA	PR00301	SignalP-TM	NA	NA	SignalP-TM	NA	NA
