Gene	interpro	Pfam	MobiDBLite	SMART	Gene3D	SUPERFAMILY	PRINTS	GO	CDD	PIRSF	Coils	PATHWAY	ProSiteProfiles	ProSitePatterns	TIGRFAM	Hamap	SFLD
ETS01374.1	IPR000727	PF00787	mobidb-lite	SM00397;SM00312	G3DSA:1.20.5.110;G3DSA:3.30.1520.10	SSF58038;SSF64268	NA	GO:0035091	cd06897;cd15858	NA	Coil	NA	PS50192;PS50195	NA	NA	NA	NA
ETS00047.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03580.1	IPR021715	PF11708	mobidb-lite	NA	NA	NA	NA		NA	NA	Coil	Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-73856	NA	NA	NA	NA	NA
ETS07071.1	IPR029058	PF07859	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00086.1	NA	NA	mobidb-lite	NA	G3DSA:1.20.5.340	SSF57997	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS03708.1	IPR018020	PF09349	NA	NA	G3DSA:1.10.3330.10	SSF158694	NA		NA	NA	Coil	KEGG: 00230+4.1.1.97|MetaCyc: PWY-5691|MetaCyc: PWY-7394|MetaCyc: PWY-7849	NA	NA	NA	NA	NA
ETS00773.1	IPR036188	PF01266	NA	NA	G3DSA:3.30.9.10;G3DSA:3.50.50.60	SSF51905	NA	GO:0016491;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01089.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97131.1	IPR027417	PF00225	mobidb-lite	SM00129	G3DSA:3.40.850.10	SSF52540	PR00380	GO:0003777;GO:0005524;GO:0007018;GO:0008017	NA	NA	Coil	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PS50067	PS00411	NA	NA	NA
ETS00531.1	IPR036322	NA	mobidb-lite	SM00320	G3DSA:2.130.10.10	SSF50978	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01505.1	IPR014877	PF08767;PF03810;PF08389;PF18787;PF18784;PF18777	mobidb-lite	SM01102;SM00913	G3DSA:1.25.10.10	SSF48371	NA	GO:0005049;GO:0006886;GO:0008536	NA	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-165054|Reactome: R-HSA-168333|Reactome: R-HSA-2173788|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3769402|Reactome: R-HSA-450520|Reactome: R-HSA-5663220|Reactome: R-HSA-5687128|Reactome: R-HSA-68877|Reactome: R-HSA-69273|Reactome: R-HSA-9634638	PS50166	NA	NA	NA	NA
ETR99341.1	IPR009939	PF07335	NA	NA	NA	NA	NA	GO:0016977	NA	NA	NA	KEGG: 00520+3.2.1.132	NA	NA	NA	NA	NA
ETS03169.1	IPR001138	PF00172	NA	SM00066	G3DSA:4.10.240.10	SSF57701	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd12148;cd00067	NA	NA	NA	PS50048	PS00463	NA	NA	NA
ETS00836.1	IPR001382	PF01532	mobidb-lite	NA	G3DSA:1.50.10.10	SSF48225	PR00747	GO:0004571;GO:0005509;GO:0016020;GO:0003824	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01011.1	IPR036922	PF07992;PF00355	NA	NA	G3DSA:3.50.50.60;G3DSA:2.102.10.10	SSF50022;SSF55424;SSF51905	PR00411;PR00368	GO:0016491;GO:0051537;GO:0055114;GO:0050660	NA	NA	NA	NA	PS51296	NA	NA	NA	NA
ETS01304.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01178.1	IPR007109	PF04427	NA	SM00879	G3DSA:3.40.50.10480	SSF52954	NA	NA	NA	NA	NA	NA	PS50833	NA	NA	NA	NA
ETR99698.1	IPR014710	NA	NA	NA	G3DSA:2.60.120.10	SSF51182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR96768.1	IPR015366	PF00082;PF09286	NA	SM00944	G3DSA:3.40.50.200	SSF54897;SSF52743	NA	GO:0008236;GO:0004252;GO:0006508	cd11377;cd04056	NA	NA	Reactome: R-HSA-381038	PS51695	PS00138	NA	NA	NA
ETR99184.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETR99303.1	IPR023271	PF00230	NA	NA	G3DSA:1.20.1080.10	SSF81338	PR00783	GO:0015267;GO:0016020;GO:0055085	NA	NA	NA	Reactome: R-HSA-432047	NA	NA	NA	NA	NA
ETS01297.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97435.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99739.1	IPR008030	PF05368	NA	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	SSF51735	NA		cd05251	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA
ETS03617.1	IPR002468	PF00557	NA	NA	G3DSA:1.10.10.10;G3DSA:3.90.230.10	SSF46785;SSF55920	PR00599	GO:0004177;GO:0006508;GO:0008235	cd01088	NA	NA	MetaCyc: PWY-7799|MetaCyc: PWY-7800|Reactome: R-HSA-2514859	NA	NA	TIGR00501	MF_03175	NA
ETS00834.1	IPR005764	PF00156	mobidb-lite	NA	G3DSA:3.40.50.2020	SSF53271	NA	GO:0003999;GO:0005737;GO:0006168;GO:0009116	cd06223	NA	NA	KEGG: 00230+2.4.2.7|MetaCyc: PWY-6605|MetaCyc: PWY-6610|MetaCyc: PWY-7805|MetaCyc: PWY-7807|Reactome: R-HSA-6798695|Reactome: R-HSA-74217	NA	NA	TIGR01090	MF_00004	NA
ETR98290.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01278.1	IPR003769	PF02617;PF02207	mobidb-lite	SM00396	G3DSA:2.10.110.30	SSF46785	NA	GO:0030163;GO:0008270	cd16482	NA	Coil	Reactome: R-HSA-983168	PS51157	NA	NA	NA	NA
ETS01814.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS07126.1	IPR010014	PF01866	mobidb-lite	NA	G3DSA:3.40.50.11850;G3DSA:3.40.50.11860;G3DSA:3.40.50.11840	NA	NA	GO:0017183	NA	NA	Coil	MetaCyc: PWY-6482|MetaCyc: PWY-7546|Reactome: R-HSA-5358493	NA	NA	TIGR00272;TIGR00322	NA	SFLDG01121;SFLDS00032;SFLDF00408
ETS02344.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03828.1	IPR027443	PF03171;PF14226	NA	NA	G3DSA:2.60.120.330	SSF51197	NA	GO:0016491;GO:0055114	NA	NA	NA	NA	PS51471	NA	NA	NA	NA
ETS06675.1	IPR016073	PF03931	NA	SM00512	G3DSA:3.30.710.10	SSF54695	NA	GO:0006511	cd18321	NA	NA	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	NA	NA	NA	NA	NA
ETS00018.1	IPR003959	PF00004;PF08542	mobidb-lite	SM00382	G3DSA:3.40.50.300;G3DSA:1.10.8.60;G3DSA:1.20.272.10	SSF48019;SSF52540	NA	GO:0005524;GO:0003677;GO:0006260	cd18140;cd00009	NA	NA	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	NA	NA	NA	NA	NA
ETS02709.1	IPR004843	PF00149	NA	NA	G3DSA:3.60.21.10	SSF56300	NA	GO:0016787	cd07379	NA	NA	NA	NA	NA	NA	NA	NA
ETR97471.1	IPR016163	PF00171	mobidb-lite	NA	G3DSA:3.40.309.10;G3DSA:3.40.605.10	SSF53720	NA	GO:0016491;GO:0016620;GO:0055114	NA	NA	NA	NA	NA	PS00687;PS00070	NA	NA	NA
ETR97961.1	IPR009292	PF06102	mobidb-lite	NA	NA	NA	NA	GO:0000469	NA	NA	Coil	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA
ETR99721.1	IPR013951	PF08642	mobidb-lite	NA	NA	NA	NA	GO:0016575	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETR97867.1	IPR036047	NA	NA	NA	NA	SSF81383	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02597.1	IPR006050	PF00875;PF03441	mobidb-lite	NA	G3DSA:1.10.579.10;G3DSA:1.25.40.80;G3DSA:3.40.50.620	SSF48173;SSF52425	NA		NA	NA	NA	Reactome: R-HSA-400253	PS51645	NA	NA	NA	NA
ETR98041.1	IPR038271	PF04082;PF02133	mobidb-lite	SM00906	G3DSA:1.10.4160.10	NA	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0016020;GO:0022857;GO:0055085	cd11482;cd12148	NA	NA	NA	NA	NA	NA	NA	NA
ETR98326.1	IPR017871	PF00005;PF00664	mobidb-lite	SM00382	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	SSF90123;SSF52540	NA	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	cd03253;cd18582	NA	NA	NA	PS50893;PS50929	PS00211	NA	NA	NA
ETR99245.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98167.1	IPR024388	PF12824	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01012.1	IPR005128	PF03306	NA	NA	G3DSA:3.30.1330.80	SSF117856	NA	GO:0045151;GO:0047605	cd17299	PIRSF001332	NA	KEGG: 00650+4.1.1.5|KEGG: 00660+4.1.1.5|MetaCyc: PWY-5939	NA	NA	TIGR01252	NA	NA
ETR98602.1	IPR004840	PF00324	NA	NA	G3DSA:1.20.1740.10	NA	NA	GO:0006865;GO:0016021;GO:0055085;GO:0016020;GO:0022857	NA	PIRSF006060	NA	NA	NA	PS00218	NA	NA	NA
ETS02902.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02615.1	IPR014840	PF08729	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS06401.1	IPR000639	PF00561	NA	NA	G3DSA:3.40.50.1820	SSF53474	PR00412	GO:0003824	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS04453.1	IPR003124	PF02205	mobidb-lite	NA	NA	NA	NA	GO:0003779	NA	NA	NA	NA	PS51082	NA	NA	NA	NA
ETS03993.1	IPR001650	PF00270	mobidb-lite	SM00487	G3DSA:3.40.50.300;G3DSA:1.10.150.20;G3DSA:1.10.3380.30	SSF52540;SSF158702	NA	GO:0003676;GO:0005524	cd18026;cd18795	NA	NA	NA	PS51194;PS51192	NA	NA	NA	NA
ETS06683.1	IPR003169	PF02213	mobidb-lite	SM00444	G3DSA:3.30.1490.40	SSF55277	NA	GO:0005515	cd00072	NA	Coil	NA	PS50829	NA	NA	NA	NA
ETR97378.1	IPR007219	PF04082	mobidb-lite	SM00906	NA	SSF57701	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	cd00067;cd12148	NA	NA	NA	NA	NA	NA	NA	NA
ETS00228.1	IPR009057	PF00581;PF00046	mobidb-lite	SM00450	G3DSA:1.10.10.60;G3DSA:3.40.250.10	SSF46689;SSF52821	NA	GO:0003677	cd00086	NA	NA	NA	PS50071;PS50206	NA	NA	NA	NA
ETS00904.1	IPR012947	PF07973;PF01411;PF02272	mobidb-lite	SM00863	G3DSA:3.30.930.10;G3DSA:3.30.54.20;G3DSA:2.40.30.130;G3DSA:3.30.980.10;G3DSA:3.10.310.40	SSF55681;SSF101353;SSF55186;SSF50447	PR00980	GO:0004812;GO:0005524;GO:0043039;GO:0003676;GO:0004813;GO:0006419;GO:0000166;GO:0005737	cd00673	NA	Coil	KEGG: 00970+6.1.1.7	PS50860	NA	TIGR00344	MF_00036_B	NA
ETS04668.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98463.1	IPR001579	PF00704	NA	NA	G3DSA:3.20.20.80	SSF51445	NA	GO:0004553;GO:0005975	cd02877	NA	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	PS01095	NA	NA	NA
ETR99628.1	IPR002293	PF00324	NA	NA	G3DSA:1.20.1740.10	NA	NA	GO:0016020;GO:0022857;GO:0055085	NA	PIRSF006060	NA	NA	NA	NA	NA	NA	NA
ETS02755.1	IPR002594	PF01670	NA	NA	G3DSA:2.60.120.180	SSF49899	NA	GO:0000272;GO:0008810;GO:0004553	NA	NA	NA	MetaCyc: PWY-6717|MetaCyc: PWY-6784	NA	NA	NA	NA	NA
ETS06990.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETR97353.1	IPR013097	PF07876	NA	SM00886	G3DSA:3.30.70.100	SSF54909	NA	NA	NA	NA	NA	NA	PS51502	NA	NA	NA	NA
ETS05597.1	IPR015898	PF00631	mobidb-lite	SM01224	NA	SSF48670	NA	GO:0007186	NA	NA	NA	Reactome: R-HSA-418594|Reactome: R-HSA-6814122	NA	NA	NA	NA	NA
ETR99770.1	NA	NA	NA	NA	G3DSA:1.10.340.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98543.1	IPR004045	PF13417;PF00043	NA	NA	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	SSF52833;SSF47616	NA	GO:0005515	NA	NA	NA	NA	PS50405;PS50404	NA	NA	NA	SFLDS00019;SFLDG00358
ETR97138.1	IPR036291	NA	NA	NA	G3DSA:3.40.50.720	SSF51735	NA	NA	cd08948	NA	NA	NA	NA	NA	NA	NA	NA
ETS06576.1	IPR017904	PF00241	NA	SM00102	G3DSA:3.40.20.10	SSF55753	PR00006	GO:0015629;GO:0030042;GO:0003779	cd11286	NA	NA	NA	PS51263	NA	NA	NA	NA
ETS02729.1	IPR036283	PF17146;PF08772	mobidb-lite	NA	G3DSA:3.30.40.120;G3DSA:3.40.50.1010	SSF144206	NA	GO:0000469;GO:0004521;GO:0042274	cd09876	PIRSF037125	NA	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA
ETS02637.1	IPR036404	PF12044	mobidb-lite	NA	G3DSA:2.100.10.30	SSF51101	NA	NA	NA	NA	NA	NA	PS51752	NA	NA	NA	NA
ETR99432.1	IPR006140	PF02826;PF00389	NA	NA	G3DSA:3.40.50.720;G3DSA:3.30.70.260	SSF51735;SSF52283;SSF55021	NA	GO:0051287;GO:0055114;GO:0016616	cd12176	NA	NA	NA	NA	PS00671;PS00670;PS00065	NA	NA	NA
ETS00710.1	IPR019189	PF09809	NA	NA	NA	NA	NA		NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA
ETS00399.1	IPR015310	PF09229;PF08327	mobidb-lite	SM01000	G3DSA:3.30.530.20;G3DSA:3.15.10.20	SSF103111;SSF55961	NA	GO:0001671;GO:0051087	cd08892	NA	NA	NA	NA	NA	NA	NA	NA
ETS01331.1	IPR011987	PF11698;PF03224	NA	NA	G3DSA:1.25.40.150;G3DSA:1.25.10.10	SSF48371	NA	GO:0000221;GO:1902600;GO:0046961	NA	PIRSF032184	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-167590|Reactome: R-HSA-182218|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	NA	NA	NA	NA	NA
ETS03704.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETR99580.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99192.1	IPR027417	PF00025	NA	SM00178;SM00177	G3DSA:3.40.50.300	SSF52540	PR00449	GO:0005525	NA	NA	NA	NA	PS51417	NA	NA	NA	NA
ETS03445.1	IPR013087	PF13912;PF00096	mobidb-lite	SM00355	G3DSA:3.30.160.60	SSF57667	NA	GO:0003676	NA	NA	NA	NA	PS50157	PS00028	NA	NA	NA
ETS01562.1	IPR004853	PF03151	NA	NA	NA	SSF103481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03886.1	IPR013099	PF07885	mobidb-lite	NA	G3DSA:1.10.287.70	SSF81324	PR01333	GO:0005267;GO:0016020;GO:0071805	NA	NA	NA	Reactome: R-HSA-5576886	NA	NA	NA	NA	NA
ETS01633.1	IPR000717	PF01399;PF05470	mobidb-lite	SM00088;SM00753	G3DSA:1.10.10.10	SSF46785	NA	GO:0003723;GO:0003743;GO:0005852;GO:0006413;GO:0031369	NA	NA	Coil	NA	PS50250	NA	NA	MF_03002	NA
ETS04404.1	IPR002067	PF00153	NA	NA	G3DSA:1.50.40.10	SSF103506	PR00926	GO:0005347;GO:0055085	NA	NA	NA	NA	PS50920	NA	NA	NA	NA
ETR98037.1	IPR004007	PF02734;PF02733	NA	SM01120	G3DSA:1.25.40.340;G3DSA:3.30.1180.20;G3DSA:3.40.50.10440	SSF101473;SSF82549	NA	GO:0004371;GO:0006071;GO:0005524	NA	NA	NA	Reactome: R-HSA-168928|Reactome: R-HSA-70350	PS51480;PS51481	NA	TIGR02361	NA	NA
ETS00444.1	IPR029048	PF00012	NA	NA	G3DSA:3.30.420.40;G3DSA:1.20.1270.10;G3DSA:2.60.34.10;G3DSA:3.90.640.10	SSF53067;SSF100920;SSF100934	PR00301		cd10241	NA	NA	Reactome: R-HSA-3371453	NA	PS01036;PS00297;PS00329	NA	NA	NA
ETS05319.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00889.1	IPR001509	PF01370;PF13460	NA	NA	G3DSA:3.40.50.720	SSF51735	NA	GO:0003824;GO:0050662	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS06405.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS03552.1	IPR005829	PF00083	NA	NA	G3DSA:1.20.1250.20	SSF103473	PR00171	GO:0016021;GO:0022857;GO:0055085;GO:0016020	cd17356	NA	NA	Reactome: R-HSA-189200	PS50850	PS00216	TIGR00879	NA	NA
ETR98210.1	IPR025444	PF13826	NA	NA	NA	SSF54909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS06734.1	IPR013083	NA	mobidb-lite	SM00744	G3DSA:3.30.40.10	SSF57850	NA	GO:0008270	NA	NA	NA	MetaCyc: PWY-7511	PS51292	NA	NA	NA	NA
ETS02690.1	IPR018108	PF00153	NA	NA	G3DSA:1.50.40.10	SSF103506	NA	NA	NA	NA	NA	NA	PS50920	NA	NA	NA	NA
ETR97046.1	IPR002305	PF00579	NA	NA	G3DSA:1.10.240.10;G3DSA:3.40.50.620	SSF52374	PR01039	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004830;GO:0006436	cd00806	NA	NA	KEGG: 00970+6.1.1.2|Reactome: R-HSA-379726	NA	PS00178	TIGR00233	MF_00140_B	NA
ETR99665.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS06550.1	IPR001126	PF00817;PF11799	NA	NA	G3DSA:2.30.40.20;G3DSA:3.30.70.270	SSF56672	NA	GO:0006281;GO:0003684	NA	NA	NA	Reactome: R-HSA-5656169	PS50173	NA	NA	NA	NA
ETR97675.1	IPR021109	PF00026	NA	NA	G3DSA:2.40.70.10	SSF50630	PR00792	GO:0004190;GO:0006508	NA	NA	NA	NA	PS51767	NA	NA	NA	NA
ETS01692.1	IPR002891	PF01583	NA	NA	G3DSA:3.40.50.300	SSF52540	NA	GO:0000103;GO:0004020;GO:0005524	cd02027	NA	NA	KEGG: 00230+2.7.1.25|KEGG: 00920+2.7.1.25|MetaCyc: PWY-5340|Reactome: R-HSA-174362|Reactome: R-HSA-2408550	NA	NA	TIGR00455	MF_00065	NA
ETR98270.1	IPR009799	PF07110	NA	NA	NA	SSF54909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99214.1	IPR011009	PF14479	NA	NA	G3DSA:1.10.510.10;G3DSA:1.20.120.1020	SSF56112	NA	GO:0004672;GO:0005524;GO:0006468	cd00180	NA	NA	NA	PS50011	NA	NA	NA	NA
ETS03937.1	IPR014001	PF00270;PF00271	NA	SM00487;SM00490	G3DSA:3.40.50.300	SSF52540	NA	GO:0003676;GO:0005524	cd18046;cd18787	NA	NA	NA	PS51194;PS51192;PS51195	PS00039	NA	NA	NA
ETS06371.1	IPR000530	PF01248	mobidb-lite	NA	G3DSA:3.30.1330.30	SSF55315	PR00972	GO:0003735;GO:0005840;GO:0006412	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PS01189	NA	NA	NA
ETR99844.1	IPR037237	PF00920	mobidb-lite	NA	G3DSA:3.50.30.80	SSF143975;SSF52016	NA	GO:0003824	NA	NA	Coil	KEGG: 00290+4.2.1.9|KEGG: 00770+4.2.1.9|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-7111	NA	PS00886	NA	NA	NA
ETS05665.1	IPR001680	PF00400;PF16300;PF08953	mobidb-lite	SM00320;SM01167;SM01166	G3DSA:2.130.10.10	SSF50978	PR00320	GO:0005515	NA	NA	Coil	NA	PS50294;PS50082	PS00678	NA	NA	NA
ETR99578.1	IPR036397	NA	NA	NA	G3DSA:3.30.420.10	SSF53098	NA	GO:0003676	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS06884.1	IPR036427	PF00439;PF01426	mobidb-lite	SM00297;SM00439	G3DSA:1.20.920.10;G3DSA:2.30.30.490	SSF47370	PR00503	GO:0005515;GO:0003682	cd04717;cd04369	NA	Coil	NA	PS50014;PS51038	PS00633	NA	NA	NA
ETS05383.1	IPR011335	PF10356	NA	NA	NA	SSF52980	NA		NA	NA	NA	Reactome: R-HSA-6783310	NA	NA	NA	NA	NA
ETR98028.1	IPR029058	PF07859	NA	NA	NA	SSF53474	NA	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03626.1	IPR026891	PF14310;PF01915;PF00933	NA	SM01217	G3DSA:2.60.40.10;G3DSA:3.40.50.1700;G3DSA:3.20.20.300	SSF52279;SSF51445	PR00133	GO:0004553;GO:0005975	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS06984.1	IPR020683	NA	NA	NA	G3DSA:1.25.40.20	SSF48403	NA	GO:0005515	NA	NA	NA	NA	PS50297;PS50088	NA	NA	NA	NA
ETS02253.1	IPR015424	PF00282	mobidb-lite	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.160	SSF53383	NA	GO:0004351;GO:0006536;GO:0030170;GO:0016831;GO:0019752;GO:0003824	NA	NA	NA	KEGG: 00250+4.1.1.15|KEGG: 00410+4.1.1.15|KEGG: 00430+4.1.1.15|KEGG: 00650+4.1.1.15|MetaCyc: PWY-4321	NA	NA	TIGR01788	NA	NA
ETR97492.1	IPR011333	NA	NA	NA	NA	SSF54695	NA	NA	cd18314	NA	NA	NA	NA	NA	NA	NA	NA
ETS00757.1	IPR011598	PF00010;PF09427	mobidb-lite	SM00353	G3DSA:4.10.280.10	SSF47459	NA	GO:0046983;GO:0032933;GO:0045944	cd00083	NA	Coil	NA	PS50888	NA	NA	NA	NA
ETS02669.1	IPR018200	PF00443	NA	NA	G3DSA:3.30.40.10;G3DSA:3.90.70.10	SSF54001;SSF57850	NA	GO:0006511;GO:0036459;GO:0016579;GO:0008270	cd02660	NA	NA	NA	PS50271;PS50235	PS00973	NA	NA	NA
ETR97750.1	IPR002347	PF00106	NA	SM00822	G3DSA:3.40.50.720	SSF51735	PR00081	NA	cd05233	NA	NA	NA	NA	NA	NA	NA	NA
ETS03413.1	IPR000679	PF00320;PF08550	mobidb-lite	SM00401	G3DSA:3.30.50.10	SSF57716	PR00619	GO:0006355;GO:0008270;GO:0043565	cd00202	NA	Coil	Reactome: R-HSA-383280	PS50114	PS00344	NA	NA	NA
