Gene	interpro	GO	ProSiteProfiles	MobiDBLite	Pfam	PATHWAY	SMART	PANTHER	Coils	Phobius	TMHMM	ProSitePatterns	CDD	PRINTS	Gene3D	SUPERFAMILY	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	SFLD	Hamap	PIRSF	ProDom
augustus_masked-NQYR01000009.1-processed-gene-4.27-mRNA-1	IPR004843	GO:0016787	PS50007	mobidb-lite	PF00149	NA	NA	PTHR12905;PTHR12905:SF11	NA	NA	NA	NA	NA	NA	G3DSA:3.60.21.10	SSF56300	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-34.38-mRNA-1	IPR038497	GO:0000221;GO:0015991;GO:0046961	NA	NA	PF03224;PF11698	Reactome: R-HSA-1222556|Reactome: R-HSA-167590|Reactome: R-HSA-182218|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	NA	PTHR10698;PTHR10698:SF0	NA	NA	NA	NA	NA	NA	G3DSA:1.25.40.150;G3DSA:1.25.10.10	SSF48371	NA	NA	NA	NA	NA	NA	PIRSF032184	NA
maker-NQYR01000015.1-augustus-gene-3.4-mRNA-1	IPR011032	GO:0055114;GO:0016491;GO:0008270	NA	NA	PF00107;PF08240	Reactome: R-HSA-71384	SM00829	PTHR43161:SF9;PTHR43161	NA	NA	NA	PS00059	cd05285	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SSF50129;SSF51735	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-2.5-mRNA-1	IPR039173	GO:0000387;GO:0017070;GO:0036002;GO:0045292;GO:0003676;GO:0000398;GO:0046872;GO:0003723	PS50103;PS50102	mobidb-lite	PF16131;PF00076	Reactome: R-HSA-72163	SM00360	PTHR14089:SF2;PTHR14089	NA	NA	NA	NA	cd12360	NA	G3DSA:3.30.70.330	SSF54928	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000011.1-augustus-gene-14.3-mRNA-1	IPR007271	GO:0000139;GO:0015165;GO:0016021;GO:0090481	NA	NA	PF04142	NA	NA	PTHR13146;PTHR13146:SF0	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	SSF103481	NA	SignalP-noTM	NA	NA	NA	NA	PIRSF036436	NA
augustus_masked-NQYR01000001.1-processed-gene-17.13-mRNA-1	IPR018392		PS51782	mobidb-lite	PF04161	Reactome: R-HSA-191273	NA	PTHR14467	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	cd00118	NA	G3DSA:3.10.350.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000015.1-augustus-gene-3.9-mRNA-1	IPR001789	GO:0000160	PS50110	mobidb-lite	PF00072	NA	SM00448	PTHR42878;PTHR42878:SF1	Coil	NA	NA	NA	cd00156	NA	G3DSA:3.40.50.2300	SSF52172	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000010.1-augustus-gene-13.7-mRNA-1	IPR009145	GO:0000398;GO:0003723;GO:0089701;GO:0046872;GO:0003676	PS50103;PS50102	mobidb-lite	PF00642	NA	SM00356	PTHR12620;PTHR12620:SF8	NA	NA	NA	NA	cd12538	PR01848	G3DSA:3.30.70.330	SSF54928	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000006.1-processed-gene-3.5-mRNA-1	IPR001461	GO:0004190;GO:0006508	PS51767	mobidb-lite	PF00026	NA	NA	PTHR13683:SF326;PTHR13683	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	PR00792	G3DSA:2.40.70.10	SSF50630	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-1.47-mRNA-1	IPR003594	GO:0000155;GO:0007165;GO:0000160;GO:0016310;GO:0016772	PS50112;PS50113;PS50109;PS50110	NA	PF02518;PF00072;PF00512;PF13426	Reactome: R-HSA-1296072	SM00387;SM00448;SM00091;SM00388	PTHR43719	NA	NA	NA	NA	cd00075;cd00082;cd00130;cd00156	PR00344	G3DSA:1.10.287.130;G3DSA:3.30.565.10;G3DSA:3.30.450.20;G3DSA:3.40.50.2300	SSF47384;SSF52172;SSF55785;SSF55874	TIGR00229	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000005.1-processed-gene-2.16-mRNA-1	IPR000717	GO:0000502;GO:0030234;GO:0042176;GO:0005669;GO:0006352;GO:0046982	PS50250	mobidb-lite	PF01399;PF08375;PF03847	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	SM00088;SM00753	PTHR10758;PTHR10758:SF2	Coil	NA	NA	NA	cd07981	NA	G3DSA:1.25.40.570;G3DSA:1.10.20.10	SSF46785;SSF47113	NA	NA	NA	NA	NA	NA	NA	PD012998
maker-NQYR01000001.1-augustus-gene-35.10-mRNA-1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	mobidb-lite	PF00172	NA	SM00066	NA	NA	NA	NA	NA	cd00067	NA	G3DSA:4.10.240.10	SSF57701	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-21.11-mRNA-1	IPR004855	GO:0005672;GO:0006367	NA	mobidb-lite	PF03153	NA	SM01371	PTHR12694;PTHR12694:SF8	Coil	NA	NA	NA	cd07976	NA	G3DSA:2.30.18.10;G3DSA:1.10.287.100	SSF47396;SSF50784	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000009.1-processed-gene-1.32-mRNA-1	IPR036236	GO:0003676	PS50157	mobidb-lite	PF00096	NA	SM00355	PTHR44270;PTHR44270:SF2	NA	NA	NA	PS00028	NA	NA	G3DSA:3.30.160.60	SSF57667	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-26.27-mRNA-1	IPR020846	NA	NA	mobidb-lite	NA	NA	NA	PTHR23502:SF76;PTHR23502	Coil	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	cd06174	NA	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000009.1-processed-gene-9.23-mRNA-1	IPR007502	GO:0004386;GO:0003676;GO:0005524	PS51192;PS51194	mobidb-lite	PF04408;PF00271;PF00270;PF07717	NA	SM00487;SM00847;SM00490	PTHR18934:SF118;PTHR18934	Coil	NA	NA	PS00690	cd00079;cd00046	NA	G3DSA:3.40.50.300;G3DSA:1.20.120.1080	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000004.1-processed-gene-4.12-mRNA-1	IPR004365	GO:0003676;GO:0003677;GO:0005634;GO:0006260;GO:0006281;GO:0006310	NA	NA	PF01336;PF08784	Reactome: R-HSA-68962	NA	PTHR13989:SF16;PTHR13989	NA	NA	NA	NA	cd04478	NA	G3DSA:2.40.50.140	SSF46785;SSF50249	NA	NA	NA	NA	NA	NA	PIRSF036949	NA
augustus_masked-NQYR01000008.1-processed-gene-13.0-mRNA-1	IPR010314	GO:0004842	PS50237	mobidb-lite	PF06025;PF14377;PF00632;PF06012	MetaCyc: PWY-7511|Reactome: R-HSA-6798695|Reactome: R-HSA-983168	SM00119	PTHR11254;PTHR11254:SF291	Coil	NA	NA	NA	NA	NA	G3DSA:3.30.2160.10;G3DSA:3.90.1750.10	SSF56204	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-13.10-mRNA-1	IPR000795	GO:0003924;GO:0005525	PS51722	NA	PF03144;PF00009;PF00679;PF14492	NA	SM00838	PTHR42908;PTHR42908:SF3	Coil	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	cd04096;cd16261;cd01681;cd01885;cd16268	PR00315	G3DSA:3.30.70.240;G3DSA:3.30.230.10;G3DSA:3.30.70.870	SSF50447;SSF52540;SSF54211;SSF54980	TIGR00231	SignalP-noTM	NA	SignalP-TM	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-14.30-mRNA-1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	mobidb-lite	PF00172;PF04082	NA	SM00066;SM00906	PTHR45595:SF1;PTHR45595	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	PS00463	cd00067;cd12148	NA	G3DSA:4.10.240.10	SSF57701	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000007.1-augustus-gene-2.34-mRNA-1	IPR003010	GO:0006807	PS50263	mobidb-lite	PF00795	NA	NA	PTHR23088:SF5;PTHR23088	NA	NA	NA	NA	NA	NA	G3DSA:3.60.110.10	SSF56317	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000009.1-augustus-gene-9.33-mRNA-1	IPR015661	GO:0007094;GO:0004672;GO:0005524;GO:0006468	PS50011;PS51489	mobidb-lite	PF08171;PF00069;PF08311	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	SM00220;SM00777	PTHR14030;PTHR14030:SF4	Coil	NA	NA	PS00108	cd13981	NA	G3DSA:1.25.40.430;G3DSA:1.10.510.10	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000013.1-processed-gene-4.2-mRNA-1	IPR010061	GO:0004491;GO:0055114	NA	NA	NA	KEGG: 00280+1.2.1.27|KEGG: 00640+1.2.1.27|MetaCyc: PWY-5642|Reactome: R-HSA-70895	NA	PTHR43866:SF1;PTHR43866	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000003.1-augustus-gene-21.10-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000008.1-augustus-gene-13.46-mRNA-1	IPR029058		NA	NA	NA	Reactome: R-HSA-202733	NA	PTHR17384:SF4;PTHR17384	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000014.1-augustus-gene-1.9-mRNA-1	IPR013144	GO:0005515	PS50897;PS50896	mobidb-lite	PF10607;PF08513	NA	SM00757;SM00668;SM00667	PTHR12864;PTHR12864:SF3	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-0.3-mRNA-1	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	mobidb-lite	PF00069	NA	SM00220	PTHR24361;PTHR24361:SF351	NA	NA	NA	PS00108;PS00107	NA	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	SSF56112	NA	NA	NA	NA	NA	NA	PIRSF000615	NA
maker-NQYR01000001.1-augustus-gene-47.31-mRNA-1	IPR007484	GO:0004177	NA	NA	PF04389;PF02225	NA	NA	PTHR12147;PTHR12147:SF17	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	cd03876;cd02130	NA	G3DSA:3.50.30.30;G3DSA:3.40.630.10	SSF52025;SSF53187	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-30.35-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000014.1-processed-gene-10.43-mRNA-1	IPR006671	GO:0005634	NA	NA	PF02984;PF00134	NA	SM01332;SM00385	PTHR10177:SF201;PTHR10177	NA	NA	NA	PS00292	cd00043	NA	G3DSA:1.10.472.10	SSF47954	NA	NA	NA	NA	NA	NA	PIRSF001771	NA
