Gene	MobiDBLite	interpro	Pfam	CDD	ProSiteProfiles	GO	SUPERFAMILY	SMART	Gene3D	PANTHER	PATHWAY	PIRSF	ProSitePatterns	Phobius	TMHMM	PRINTS	Coils	Hamap	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	TIGRFAM	ProDom	SFLD
maker-NODE_1546_length_753_cov_1.108626-snap-gene-0.0-mRNA-1	NA	IPR001128	PF00067	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	SSF48264	NA	G3DSA:1.10.630.10	PTHR24279:SF111;PTHR24279	NA	NA	NA	NA	NA	PR00465	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_60_length_87714_cov_36.187003-processed-gene-0.17-mRNA-1	mobidb-lite	IPR039600	PF10304;PF10363	NA	NA	NA	SSF48371	NA	NA	PTHR20959	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_175_length_51735_cov_43.016800-augustus-gene-0.23-mRNA-1	NA	IPR020846	PF07690	cd06174	PS50850	GO:0016021;GO:0055085	SSF103473	NA	G3DSA:1.20.1250.20	PTHR23502;PTHR23502:SF68	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_227_length_42537_cov_36.143245-processed-gene-0.17-mRNA-1	NA	IPR019410	PF10294	NA	NA	NA	SSF53335	NA	G3DSA:3.40.50.150	PTHR14614;PTHR14614:SF54	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_257_length_39480_cov_35.304856-snap-gene-0.89-mRNA-1	mobidb-lite	IPR004328	PF03097;PF13949	cd09237;cd09242	PS51180	GO:0005515	NA	SM01041	G3DSA:1.20.140.50;G3DSA:1.25.40.280;G3DSA:1.20.120.560	PTHR23030;PTHR23030:SF30	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_565_length_10680_cov_30.999621-augustus-gene-0.0-mRNA-1	mobidb-lite	IPR036259	PF00083	cd06174	PS50850	GO:0016021;GO:0022857;GO:0055085	SSF103473	NA	G3DSA:1.20.1250.20	PTHR24064;PTHR24064:SF235	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_174_length_51736_cov_33.714507-snap-gene-0.95-mRNA-1	mobidb-lite	IPR034144	PF01751;PF01131	cd03362;cd00186	PS50880	GO:0003677;GO:0003917;GO:0006265;GO:0003916	SSF56712	SM00493;SM00437;SM00436	G3DSA:3.40.50.140;G3DSA:1.10.460.10;G3DSA:1.10.290.10;G3DSA:2.70.20.10	PTHR11390;PTHR11390:SF21	NA	NA	NA	NA	NA	PR00417	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_30_length_110449_cov_36.295200-processed-gene-0.24-mRNA-1	NA	IPR004838	PF00155	cd00609	NA	GO:0003824;GO:0009058;GO:0030170;GO:0006520;GO:0008483	SSF53383	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	PTHR11879:SF10;PTHR11879	KEGG: 00220+2.6.1.1|KEGG: 00250+2.6.1.1|KEGG: 00270+2.6.1.1|KEGG: 00330+2.6.1.1|KEGG: 00350+2.6.1.1|KEGG: 00360+2.6.1.1|KEGG: 00400+2.6.1.1|KEGG: 00401+2.6.1.1|KEGG: 00710+2.6.1.1|KEGG: 00950+2.6.1.1|KEGG: 00960+2.6.1.1|MetaCyc: PWY-5913|MetaCyc: PWY-6638|MetaCyc: PWY-6642|MetaCyc: PWY-6643|MetaCyc: PWY-7115|MetaCyc: PWY-7117|MetaCyc: PWY-7383	NA	PS00105	NA	NA	PR00799	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_38_length_100585_cov_36.188746-snap-gene-0.134-mRNA-1	mobidb-lite	IPR000719	PF00069	cd00180	PS50011	GO:0004672;GO:0005524;GO:0006468	SSF56112	NA	G3DSA:1.10.510.10	PTHR43289;PTHR43289:SF1	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_121_length_64313_cov_30.812732-augustus-gene-0.3-mRNA-1	NA	IPR004840	PF13520	NA	NA	GO:0006865;GO:0016021;GO:0055085;GO:0016020;GO:0022857	NA	NA	G3DSA:1.20.1740.10	PTHR11785:SF360;PTHR11785	NA	PIRSF006060	PS00218	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_75_length_80334_cov_37.244617-snap-gene-0.256-mRNA-1	mobidb-lite	IPR036855	PF08590;PF01713	NA	PS50828;PS50103	GO:0046872	SSF90229;SSF160443	SM01162;SM00463;SM00356	G3DSA:3.30.1370.110;G3DSA:4.10.1000.10	PTHR13119;PTHR13119:SF12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_163_length_54646_cov_23.087859-processed-gene-0.2-mRNA-1	NA	IPR029559	PF03348	NA	NA	GO:0016020	NA	NA	NA	PTHR10383:SF9;PTHR10383	Reactome: R-HSA-977347	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_259_length_39261_cov_31.831604-snap-gene-0.0-mRNA-1	NA	IPR007364	PF04252	NA	NA	GO:0008168	NA	NA	NA	PTHR35517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_64_length_86306_cov_39.345084-processed-gene-0.290-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-NODE_38_length_100585_cov_36.188746-processed-gene-0.184-mRNA-1	mobidb-lite	IPR003593	PF02190;PF00004;PF05362	cd00009	PS51786;PS51787	GO:0004252;GO:0006515;GO:0005524;GO:0004176;GO:0006508;GO:0030163	SSF54211;SSF52540;SSF88697	SM00382;SM00464	G3DSA:3.30.230.10;G3DSA:3.40.50.300;G3DSA:2.30.130.40;G3DSA:1.10.8.60;G3DSA:1.20.58.1480	PTHR43718:SF2;PTHR43718	NA	NA	PS01046	NA	NA	PR00830	Coil	MF_03120	NA	NA	NA	TIGR00763	NA	NA
maker-NODE_19_length_129667_cov_37.280747-augustus-gene-0.236-mRNA-1	mobidb-lite	IPR005024	PF03357	NA	NA	GO:0007034	NA	NA	NA	PTHR22761:SF5;PTHR22761	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_52_length_94007_cov_36.600533-processed-gene-0.262-mRNA-1	mobidb-lite	IPR036390	PF02257	NA	PS51526	GO:0003677;GO:0006355;GO:0003700	SSF46785	NA	G3DSA:1.10.10.10	PTHR12619;PTHR12619:SF5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_18_length_134355_cov_36.180342-processed-gene-0.99-mRNA-1	NA	IPR002401	PF00067	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	NA	G3DSA:1.10.630.10	PTHR24305:SF70;PTHR24305	NA	NA	PS00086	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_100142_cov_40.572934-snap-gene-0.218-mRNA-1	mobidb-lite	IPR001841	PF14634;PF00176;PF00271	cd00079;cd00046;cd16449	PS51194;PS51192;PS50089	GO:0005524	SSF57850;SSF52540	SM00487;SM00490	G3DSA:3.30.40.10;G3DSA:3.40.50.300	PTHR10799;PTHR10799:SF870	NA	NA	PS00518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_498_length_14961_cov_33.740731-snap-gene-0.2-mRNA-1	mobidb-lite	IPR011025	PF00503	cd00066	NA	GO:0007165;GO:0003924;GO:0007186;GO:0019001;GO:0031683;GO:0001664;GO:0005525;GO:0005834	SSF47895;SSF52540	SM00275	G3DSA:1.10.400.10;G3DSA:3.40.50.300	PTHR10218;PTHR10218:SF241	NA	NA	NA	NA	NA	PR01241;PR00318	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NODE_627_length_7986_cov_33.625270-processed-gene-0.35-mRNA-1	NA	IPR024084	PF00180	NA	NA	GO:0016616;GO:0055114;GO:0003862;GO:0009098;GO:0000287;GO:0051287	SSF53659	SM01329	G3DSA:3.40.718.10	PTHR42979;PTHR42979:SF1	Reactome: R-HSA-71403	NA	PS00470	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00169	NA	NA
augustus_masked-NODE_11_length_151757_cov_36.540520-processed-gene-0.38-mRNA-1	NA	IPR002401	PF00067	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	NA	G3DSA:1.10.630.10	PTHR24305;PTHR24305:SF148	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	TMhelix	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_108_length_69443_cov_39.214409-snap-gene-0.88-mRNA-1	NA	IPR000960	PF00743	NA	NA	GO:0004499;GO:0050660;GO:0050661;GO:0055114	SSF51905	NA	G3DSA:3.50.50.60	PTHR23023;PTHR23023:SF101	NA	PIRSF000332	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	PR00370	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_52_length_94007_cov_36.600533-processed-gene-0.253-mRNA-1	NA	IPR008257	PF01244	cd01301	PS51365	GO:0006508;GO:0016805	SSF51556	NA	G3DSA:3.20.20.140	PTHR10443;PTHR10443:SF34	MetaCyc: PWY-7533|Reactome: R-HSA-2142691|Reactome: R-HSA-5423646	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_185330_cov_37.016922-snap-gene-0.8-mRNA-1	mobidb-lite	IPR021109	NA	NA	PS51767	NA	SSF50630	NA	G3DSA:2.40.70.10	NA	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-NODE_485_length_15534_cov_35.618290-snap-gene-0.27-mRNA-1	mobidb-lite	IPR012943	PF07989	NA	NA	GO:0005815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_60_length_87714_cov_36.187003-snap-gene-0.11-mRNA-1	NA	IPR016142	PF00285;PF02629;PF00549	cd06100	NA	GO:0046912;GO:0048037;GO:0003824	SSF51735;SSF48256	SM00881	G3DSA:1.10.580.10;G3DSA:1.10.230.10;G3DSA:3.40.50.261;G3DSA:3.40.50.720	PTHR23118:SF0;PTHR23118	Reactome: R-HSA-1268020|Reactome: R-HSA-71403	NA	PS01216;PS01217;PS00399	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_141_length_58958_cov_32.798678-processed-gene-0.96-mRNA-1	NA	IPR001433	PF00175;PF00970	cd06183	PS51384	GO:0016491;GO:0055114	SSF63380;SSF52343	NA	G3DSA:2.40.30.10;G3DSA:3.40.50.80	PTHR19370:SF178;PTHR19370	Reactome: R-HSA-1237044	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	PR00371;PR00406	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_247_length_40606_cov_36.651869-augustus-gene-0.21-mRNA-1	NA	IPR006656	PF00384;PF09326;PF10588;PF13510	cd00207;cd02773	PS51839;PS51669;PS51085	GO:0016491;GO:0055114;GO:0008137;GO:0016020;GO:0042773;GO:0016651;GO:0051536;GO:0009055	SSF54862;SSF53706;SSF54292	SM00929	G3DSA:3.40.50.740;G3DSA:3.10.20.740;G3DSA:3.30.70.20	PTHR11615;PTHR11615:SF115	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	PS00641;PS00643;PS00642	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01973	NA	NA
maker-NODE_86_length_74902_cov_34.384514-augustus-gene-0.183-mRNA-1	NA	IPR000890	PF00871	NA	NA	GO:0005622;GO:0016301;GO:0016310;GO:0016774;GO:0006082	SSF53067	NA	G3DSA:3.30.420.40	PTHR21060;PTHR21060:SF15	KEGG: 00430+2.7.2.1|KEGG: 00620+2.7.2.1|KEGG: 00640+2.7.2.1|KEGG: 00680+2.7.2.1|KEGG: 00720+2.7.2.1|MetaCyc: PWY-5482|MetaCyc: PWY-5485|MetaCyc: PWY-5497|MetaCyc: PWY-8015	NA	PS01075;PS01076	NA	NA	PR00471	NA	MF_00020	NA	NA	NA	TIGR00016	NA	NA
maker-NODE_188_length_49563_cov_37.940711-augustus-gene-0.28-mRNA-1	NA	IPR008928	PF06824	NA	NA	GO:0003824	SSF48208	SM01149	G3DSA:1.50.10.10	PTHR31047:SF0;PTHR31047	NA	PIRSF028846	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-NODE_36_length_100754_cov_38.598289-augustus-gene-0.39-mRNA-1	mobidb-lite	IPR001078	PF00198;PF00364;PF02817	cd06849	PS50968;PS51826	GO:0016746	SSF47005;SSF51230;SSF52777	NA	G3DSA:2.40.50.100;G3DSA:4.10.320.10;G3DSA:3.30.559.10	PTHR43178:SF5;PTHR43178	Reactome: R-HSA-389661	NA	PS00189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_26_length_116540_cov_37.667752-augustus-gene-0.282-mRNA-1	mobidb-lite	IPR012578	PF08058	NA	NA	NA	NA	NA	NA	PTHR28003	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_241248_cov_39.503158-processed-gene-1.39-mRNA-1	mobidb-lite	IPR036736	PF00668;PF00550;PF00501	cd05918	PS50075	GO:0003824;GO:0031177	SSF52777;SSF47336;SSF56801;SSF53335	SM00823	G3DSA:3.30.300.30;G3DSA:3.30.559.10;G3DSA:3.30.559.30;G3DSA:3.40.50.12780;G3DSA:1.10.1200.10;G3DSA:3.40.50.150	PTHR45527	Reactome: R-HSA-389661	NA	PS00455;PS00012	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	Coil	NA	NA	NA	NA	TIGR01733	NA	NA
snap_masked-NODE_63_length_86517_cov_37.351893-processed-gene-0.8-mRNA-1	NA	IPR035940	PF00188	NA	NA	GO:0005576	SSF55797	SM00198	G3DSA:3.40.33.10	PTHR10334:SF312;PTHR10334	NA	NA	PS01009	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_14_length_146553_cov_38.626508-augustus-gene-0.44-mRNA-1	mobidb-lite	IPR021840	PF11915	NA	NA	NA	NA	NA	NA	PTHR37544:SF2;PTHR37544	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_167923_cov_38.027516-processed-gene-0.100-mRNA-1	mobidb-lite	IPR000254	PF00734	NA	PS51164	GO:0005576;GO:0005975;GO:0030248	SSF57180;SSF51445	SM00236	G3DSA:3.20.20.80	NA	NA	NA	PS00562	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	PD001821	NA
snap_masked-NODE_14_length_146553_cov_38.626508-processed-gene-0.361-mRNA-1	NA	IPR022878	PF02874;PF00006;PF16886	cd01134	NA	GO:0046034;GO:1902600;GO:0005524;GO:0015991;GO:0033180;GO:0046961	SSF47917;SSF50615;SSF52540	NA	G3DSA:1.10.1140.10;G3DSA:2.40.30.20;G3DSA:2.40.50.100;G3DSA:3.40.50.300	PTHR43607;PTHR43607:SF1	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	NA	PS00152	NA	NA	NA	NA	MF_00309	NA	NA	NA	TIGR01042	NA	NA
snap_masked-NODE_290_length_35472_cov_39.324883-processed-gene-0.87-mRNA-1	mobidb-lite	IPR007015	PF04931	NA	NA	GO:0003677;GO:0005730;GO:0006355;GO:0008134	SSF48371	NA	NA	PTHR13213	Reactome: R-HSA-5250924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_319_length_30595_cov_28.816857-augustus-gene-0.74-mRNA-1	NA	IPR001232	PF03931	NA	NA	GO:0006511	SSF54695	SM00512	G3DSA:3.30.710.10	PTHR20648:SF0;PTHR20648	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_93_length_72727_cov_35.733058-processed-gene-0.52-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-NODE_186_length_49666_cov_37.364521-processed-gene-0.80-mRNA-1	mobidb-lite	IPR011990	NA	NA	PS50030	GO:0005515	SSF46934;SSF48452;SSF46565	NA	G3DSA:1.10.8.10;G3DSA:1.25.40.10;G3DSA:1.10.287.110	PTHR23172:SF19;PTHR23172	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_282_length_36024_cov_35.171686-processed-gene-0.80-mRNA-1	mobidb-lite	IPR019580	PF10596;PF12134;PF10597;PF08084;PF10598;PF08082;PF08083	cd08056;cd13838	NA	GO:0017070;GO:0000398;GO:0005681;GO:0030623;GO:0003723;GO:0005515	SSF53098	SM00232	G3DSA:3.90.1570.40;G3DSA:1.20.80.40;G3DSA:3.40.140.10;G3DSA:1.20.58.1750;G3DSA:3.30.420.230	PTHR11140	Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD149576	NA
maker-NODE_24_length_121959_cov_36.964156-snap-gene-0.325-mRNA-1	NA	IPR033118	PF10914	NA	PS51751	NA	NA	NA	NA	PTHR31204:SF1;PTHR31204	NA	PIRSF031032	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_181_length_50413_cov_34.106252-snap-gene-0.85-mRNA-1	NA	IPR002347	PF00106	NA	NA	NA	SSF51735	NA	NA	PTHR43391;PTHR43391:SF16	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_308_length_32499_cov_35.065736-snap-gene-0.37-mRNA-1	mobidb-lite	IPR036259	PF07690	cd06174	PS50850	GO:0016021;GO:0055085	SSF103473	NA	G3DSA:1.20.1250.20	PTHR23501;PTHR23501:SF43	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
