Gene	Gene3D	interpro	PIRSF	Pfam	CDD	MobiDBLite	GO	PATHWAY	SUPERFAMILY	TIGRFAM	ProSitePatterns	ProSiteProfiles	SMART	PRINTS	Coils	Hamap	SFLD
augustus_masked-WWCI01000005.1-processed-gene-33.28-mRNA-1	G3DSA:3.40.50.1820	IPR029058	NA	PF02450	NA	mobidb-lite	GO:0006629;GO:0008374	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-10.5-mRNA-1	NA	IPR036427	NA	NA	NA	mobidb-lite	GO:0005515	NA	SSF47370	NA	NA	NA	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-48.24-mRNA-1	G3DSA:3.20.120.10	IPR036686	NA	PF06766	NA	mobidb-lite	GO:0005576	NA	SSF101751	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-10.24-mRNA-1	G3DSA:1.50.40.10	IPR018108	NA	PF00153	NA	NA	GO:0005347;GO:0055085	NA	SSF103506	NA	NA	PS50920	NA	PR00926	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-18.28-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000004.1-processed-gene-33.57-mRNA-1	G3DSA:3.20.20.70	IPR013785	NA	PF01487	cd00502	mobidb-lite	GO:0003824;GO:0003855	KEGG: 00400+4.2.1.10|MetaCyc: PWY-6163|MetaCyc: PWY-6416|MetaCyc: PWY-6707	SSF51569	TIGR01093	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000006.1-processed-gene-9.0-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000007.1-snap-gene-14.110-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000007.1-augustus-gene-27.2-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000003.1-augustus-gene-25.76-mRNA-1	G3DSA:3.40.225.10	IPR036409	NA	PF00596	NA	mobidb-lite	NA	NA	SSF53639	NA	NA	NA	SM01007	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-45.111-mRNA-1	G3DSA:3.40.50.850	IPR036380	NA	PF00857	NA	NA	GO:0003824	NA	SSF52499	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000001.1-processed-gene-33.49-mRNA-1	G3DSA:1.25.10.10	IPR024395	NA	PF12348	NA	mobidb-lite	NA	NA	SSF48371	NA	NA	NA	SM01349	NA	NA	NA	NA
maker-WWCI01000005.1-snap-gene-2.100-mRNA-1	G3DSA:3.30.565.10	IPR036890	NA	NA	NA	mobidb-lite	NA	NA	SSF55874	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-43.49-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000006.1-processed-gene-24.22-mRNA-1	G3DSA:3.40.50.300	IPR000850	NA	PF00406	cd01428	NA	GO:0005524;GO:0006139;GO:0019205;GO:0004127;GO:0006207;GO:0006221;GO:0009041	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219|Reactome: R-HSA-499943	SSF52540	TIGR01359	PS00113	NA	NA	PR00094	NA	MF_00235;MF_03172	NA
maker-WWCI01000003.1-augustus-gene-20.71-mRNA-1	NA	IPR006153	NA	PF00999	NA	mobidb-lite	GO:0006812;GO:0015299;GO:0016021;GO:0055085;GO:0006814;GO:0006885;GO:0015385	Reactome: R-HSA-425986	NA	TIGR00840	NA	NA	NA	PR01084	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-14.87-mRNA-1	NA	IPR000537	NA	PF01040	cd13965	NA	GO:0016021;GO:0016765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-47.82-mRNA-1	G3DSA:3.40.50.1820	IPR000073	NA	PF12697	NA	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000003.1-augustus-gene-27.78-mRNA-1	G3DSA:3.90.550.10	IPR001173	NA	PF13632	NA	NA		Reactome: R-HSA-913709	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000004.1-augustus-gene-17.7-mRNA-1	G3DSA:1.20.1740.10	IPR002293	PIRSF006060	PF13520	NA	NA	GO:0016020;GO:0022857;GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000004.1-processed-gene-45.23-mRNA-1	G3DSA:3.40.50.300;G3DSA:2.130.10.10	IPR007111	NA	PF00400;PF05729	NA	NA	GO:0005515	NA	SSF50978;SSF52540	NA	PS00678	PS50837;PS50082;PS50294	SM00320	NA	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-3.59-mRNA-1	G3DSA:3.30.430.10	IPR015131	NA	PF09044	NA	NA	GO:0005576;GO:0009405	NA	SSF55221	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000004.1-processed-gene-4.72-mRNA-1	G3DSA:2.30.60.10	IPR011058	NA	PF08881	NA	NA	NA	NA	SSF51322	NA	NA	NA	SM01111	NA	NA	NA	NA
maker-WWCI01000007.1-snap-gene-8.47-mRNA-1	NA	IPR027417	NA	NA	NA	NA	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-6.8-mRNA-1	G3DSA:4.10.240.10	IPR001138	NA	PF00172	cd00067;cd15486	mobidb-lite	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	SSF57701	NA	PS00463	PS50048	SM00066	NA	NA	NA	NA
maker-WWCI01000003.1-augustus-gene-0.2-mRNA-1	G3DSA:1.10.600.10	IPR008949	NA	PF03936	NA	NA	GO:0000287;GO:0010333;GO:0016829	NA	SSF48576	NA	NA	NA	NA	NA	NA	NA	SFLDS00005;SFLDG01020
maker-WWCI01000001.1-snap-gene-38.27-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-56.17-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
snap_masked-WWCI01000004.1-processed-gene-6.21-mRNA-1	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	IPR042099	NA	PF00501;PF13193	cd05911	NA	GO:0003824	NA	SSF56801	NA	PS00455	NA	NA	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-7.55-mRNA-1	G3DSA:1.50.40.10	IPR018108	NA	PF00153	NA	NA	GO:0005347;GO:0055085	NA	SSF103506	NA	NA	PS50920	NA	PR00926	NA	NA	NA
augustus_masked-WWCI01000002.1-processed-gene-43.67-mRNA-1	G3DSA:2.170.130.20	IPR036609	NA	PF03815	NA	mobidb-lite	NA	NA	SSF69848	NA	NA	PS50820	SM00603	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-8.6-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000007.1-snap-gene-6.6-mRNA-1	G3DSA:4.10.240.10	IPR001138	NA	PF00172;PF04082	cd00067;cd12148	mobidb-lite	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	SSF57701	NA	NA	PS50048	SM00066;SM00906	NA	Coil	NA	NA
maker-WWCI01000004.1-snap-gene-23.5-mRNA-1	G3DSA:2.130.10.10	IPR001680	NA	PF00400	cd00200	mobidb-lite	GO:0005515	NA	SSF50978	NA	PS00678	PS50082;PS50294	SM00320	PR00320	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-15.40-mRNA-1	G3DSA:2.30.30.790	IPR001857	NA	PF01245	NA	NA	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	SSF50104	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-63.98-mRNA-1	NA	IPR008427	NA	PF05730	NA	NA	NA	NA	NA	NA	NA	NA	SM00747	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-20.99-mRNA-1	G3DSA:1.10.600.10	IPR002060	NA	PF00494	cd00683	NA	GO:0009058;GO:0016740;GO:0004310;GO:0006696;GO:0051996;GO:0008610;GO:0016021;GO:0016765	Reactome: R-HSA-191273|Reactome: R-HSA-1989781|Reactome: R-HSA-2426168	SSF48576	TIGR01559	PS01044	NA	NA	NA	NA	NA	SFLDG01018;SFLDS00005
snap_masked-WWCI01000002.1-processed-gene-9.49-mRNA-1	G3DSA:2.30.30.140	IPR010750	NA	PF07039	NA	mobidb-lite		Reactome: R-HSA-3214847	NA	NA	NA	PS51518	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-10.15-mRNA-1	NA	IPR000467	NA	PF12457;PF07842;PF01585	NA	mobidb-lite	GO:0003676	Reactome: R-HSA-72163	NA	NA	NA	PS50174	SM00443	NA	Coil	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-16.55-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
snap_masked-WWCI01000001.1-processed-gene-35.62-mRNA-1	G3DSA:3.40.50.720	IPR002347	NA	PF13561	NA	mobidb-lite	GO:0016491	NA	SSF51735	NA	PS00061	NA	NA	PR00080;PR00081	NA	NA	NA
augustus_masked-WWCI01000002.1-processed-gene-50.15-mRNA-1	G3DSA:3.40.50.720	IPR036291	NA	PF04321	cd05254	NA		Reactome: R-HSA-156581|Reactome: R-HSA-5689880	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-43.62-mRNA-1	G3DSA:1.10.510.10	IPR000719	NA	PF00069	cd14003	mobidb-lite	GO:0004672;GO:0005524;GO:0006468	NA	SSF56112	NA	PS00108	PS50011	SM00220	NA	Coil	NA	NA
maker-WWCI01000004.1-snap-gene-7.8-mRNA-1	NA	IPR017853	NA	NA	NA	NA	NA	NA	SSF51445	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-70.11-mRNA-1	G3DSA:1.20.1250.20	IPR036259	NA	PF07690	cd17327	NA	GO:0055085	NA	SSF103473	NA	NA	PS50850	NA	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-6.104-mRNA-1	G3DSA:4.10.240.10	IPR007219	NA	PF04082;PF00172	cd00067;cd12148	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	SSF57701	NA	PS00463	PS50048	SM00906;SM00066	NA	NA	NA	NA
augustus_masked-WWCI01000004.1-processed-gene-20.33-mRNA-1	G3DSA:3.30.465.10	IPR016169	NA	PF01565	NA	NA	GO:0071949;GO:0050660;GO:0016491;GO:0055114	NA	SSF56176	NA	NA	PS51387	NA	NA	NA	NA	NA
maker-WWCI01000007.1-augustus-gene-17.30-mRNA-1	NA	IPR005024	NA	PF03357	NA	mobidb-lite	GO:0007034	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000006.1-augustus-gene-33.5-mRNA-1	G3DSA:1.20.1070.10	IPR017981	NA	NA	NA	mobidb-lite	GO:0004888;GO:0007166;GO:0016021	NA	NA	NA	NA	PS50261	NA	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-50.63-mRNA-1	G3DSA:3.40.50.300;G3DSA:1.10.8.60	IPR027417	NA	PF17866;PF00004	cd00009	mobidb-lite	GO:0005524	NA	SSF52540	NA	NA	NA	SM00382	PR00819	Coil	NA	NA
snap_masked-WWCI01000004.1-processed-gene-35.52-mRNA-1	NA	IPR007109	NA	PF04427	NA	mobidb-lite	NA	NA	NA	NA	NA	PS50833	SM00879	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-10.8-mRNA-1	G3DSA:3.40.50.300	IPR014001	NA	PF00270;PF16124;PF00271	cd17920;cd18794	NA	GO:0003676;GO:0005524;GO:0004386;GO:0006310	NA	SSF52540	TIGR00614	PS00690	PS51192;PS51194	SM00487;SM00490	NA	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-29.28-mRNA-1	G3DSA:2.60.40.1490	IPR006818	PIRSF037759	PF04729	NA	mobidb-lite	GO:0005634;GO:0006333;GO:0006334;GO:0006337;GO:0016573;GO:0042393	NA	SSF101546	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000005.1-augustus-gene-38.47-mRNA-1	G3DSA:1.20.1250.20	IPR003663	NA	PF00083	cd17315	mobidb-lite	GO:0016020;GO:0022857;GO:0055085;GO:0016021	Reactome: R-HSA-189200	SSF103473	TIGR00879	PS00217	PS50850	NA	PR00171	Coil	NA	NA
maker-WWCI01000001.1-snap-gene-15.66-mRNA-1	G3DSA:1.20.1250.20	IPR011701	NA	PF07690	cd17502	NA	GO:0055085	NA	SSF103473	NA	NA	PS50850	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-37.17-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-5.10-mRNA-1	G3DSA:1.20.5.170	IPR004827	NA	PF00170	cd14810	mobidb-lite	GO:0003700;GO:0006355	NA	SSF57959	NA	NA	PS50217	SM00338	NA	Coil	NA	NA
maker-WWCI01000006.1-augustus-gene-62.9-mRNA-1	NA	IPR009939	NA	PF07335	NA	NA	GO:0016977	KEGG: 00520+3.2.1.132	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-33.20-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000007.1-processed-gene-12.91-mRNA-1	G3DSA:1.25.40.10	IPR002885	NA	PF17177	NA	mobidb-lite	GO:0005515	NA	NA	TIGR00756	NA	PS51375	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-44.73-mRNA-1	G3DSA:2.30.30.100	IPR010920	PIRSF037188	PF01423	cd01729	mobidb-lite	GO:0000398;GO:0000956	Reactome: R-HSA-430039|Reactome: R-HSA-72163	SSF50182	NA	NA	NA	SM00651	NA	NA	NA	NA
maker-WWCI01000007.1-snap-gene-25.5-mRNA-1	G3DSA:4.10.240.10	IPR001138	NA	PF00172;PF11951	cd00067	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	SSF57701	NA	PS00463	PS50048	SM00066	NA	NA	NA	NA
snap_masked-WWCI01000006.1-processed-gene-12.27-mRNA-1	G3DSA:3.40.430.10	IPR001796	NA	PF00186	cd00209	NA	GO:0004146;GO:0046654;GO:0055114	KEGG: 00670+1.5.1.3|KEGG: 00790+1.5.1.3|MetaCyc: PWY-3841|MetaCyc: PWY-6614|Reactome: R-HSA-196757	SSF53597	NA	NA	PS51330	NA	PR00070	NA	NA	NA
augustus_masked-WWCI01000007.1-processed-gene-27.85-mRNA-1	G3DSA:3.40.50.620;G3DSA:3.30.1300.10	IPR003721	NA	PF02569	NA	NA	GO:0004592;GO:0015940	KEGG: 00410+6.3.2.1|KEGG: 00770+6.3.2.1	SSF52374	TIGR00018	NA	NA	NA	NA	NA	MF_00158	NA
maker-WWCI01000004.1-augustus-gene-21.70-mRNA-1	G3DSA:3.40.50.1970;G3DSA:1.20.1090.10	IPR001670	NA	PF00465	cd08190	NA	GO:0016491;GO:0046872;GO:0055114	Reactome: R-HSA-880009	SSF56796	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-29.47-mRNA-1	NA	IPR001138	NA	NA	cd00067	mobidb-lite	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000004.1-augustus-gene-26.8-mRNA-1	NA	IPR001900	NA	PF00773	NA	mobidb-lite	GO:0003723;GO:0004540	NA	SSF50249	NA	NA	NA	SM00955	NA	NA	NA	NA
augustus_masked-WWCI01000001.1-processed-gene-38.57-mRNA-1	NA	IPR002190	NA	PF01454	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SM01373	NA	NA	NA	NA
maker-WWCI01000005.1-snap-gene-34.53-mRNA-1	G3DSA:3.40.50.300;G3DSA:1.10.8.60	IPR003593	NA	PF09336;PF00004;PF17862	cd00009	mobidb-lite	GO:0005524	NA	SSF52540	NA	PS00674	NA	SM00382	NA	Coil	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-61.59-mRNA-1	G3DSA:3.40.50.1970;G3DSA:1.20.1090.10	IPR001670	NA	PF00465	cd08177	NA	GO:0016491;GO:0046872;GO:0055114;GO:0018506	Reactome: R-HSA-880009	SSF56796	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000004.1-augustus-gene-9.74-mRNA-1	G3DSA:3.50.50.60	IPR036188	NA	NA	NA	NA	NA	NA	SSF51905	NA	NA	NA	NA	NA	Coil	NA	NA
