Gene	MobiDBLite	Phobius	interpro	Pfam	TMHMM	PANTHER	GO	Coils	Gene3D	CDD	PATHWAY	SUPERFAMILY	ProSiteProfiles	SFLD	PRINTS	TIGRFAM	ProSitePatterns	SMART	PIRSF	Hamap	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	ProDom
maker-scaffold14-snap-gene-0.87-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR002645	PF01740;PF00916;PF00027	TMhelix	PTHR11814:SF59;PTHR11814	GO:0008272;GO:0015116;GO:0016021;GO:0008271;GO:0016020;GO:0055085	NA	G3DSA:2.60.120.10;G3DSA:3.30.750.24	cd00038;cd07042	NA	SSF52091;SSF51206	PS50801;PS50042	NA	NA	NA	NA	SM00100	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold9-processed-gene-1.25-mRNA-1	mobidb-lite	NA	IPR013087	PF00096;PF13912;PF12874	NA	PTHR24376;PTHR24376:SF51	GO:0003676	NA	G3DSA:3.30.160.60	NA	NA	SSF57667	PS50157	NA	NA	NA	PS00028	SM00355	NA	NA	NA	NA	NA	NA
maker-scaffold37-snap-gene-0.249-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR027815	PF14703;PF02714;PF12621;PF13967	TMhelix	PTHR13018;PTHR13018:SF53	GO:0016020	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold292-snap-gene-0.5-mRNA-1	mobidb-lite	NA	IPR009057	PF13921;PF07529	NA	NA	GO:0003677	NA	G3DSA:1.10.10.60	cd00167	NA	SSF46689	PS51204;PS50090	NA	NA	NA	NA	SM00717;SM00573	NA	NA	NA	NA	NA	NA
snap_masked-scaffold5-processed-gene-2.354-mRNA-1	NA	NA	IPR016061	PF09180;PF00587;PF03129	NA	PTHR43382:SF2;PTHR43382	GO:0000166;GO:0004827;GO:0005524;GO:0005737;GO:0006433;GO:0004812;GO:0006418	Coil	G3DSA:3.40.50.800;G3DSA:3.30.110.30;G3DSA:3.30.930.10	cd00778;cd00862	KEGG: 00970+6.1.1.15|Reactome: R-HSA-2408517|Reactome: R-HSA-379716|Reactome: R-HSA-6782315	SSF64586;SSF52954;SSF55681	PS50862	NA	PR01046	TIGR00408	NA	SM00946	NA	MF_01571	NA	NA	NA	NA
maker-scaffold10-augustus-gene-1.123-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR006042	PF00860	TMhelix	PTHR42810:SF2;PTHR42810	GO:0005215;GO:0016020;GO:0055085;GO:0022857	NA	NA	NA	Reactome: R-HSA-196836	NA	NA	NA	NA	TIGR00801	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold12-snap-gene-1.18-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	PF13515	TMhelix	PTHR31086;PTHR31086:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold80-augustus-gene-0.75-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR036188	PF07992	TMhelix	PTHR42877;PTHR42877:SF5	GO:0016491;GO:0055114	NA	G3DSA:3.50.50.60	NA	NA	SSF51905	NA	NA	PR00419	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold6-processed-gene-1.553-mRNA-1	mobidb-lite	NA	IPR005225	PF00071	NA	PTHR24073;PTHR24073:SF353	GO:0005525;GO:0003924	NA	NA	cd00154	NA	SSF52540	PS51419	NA	PR00449	TIGR00231	NA	SM00175;SM00173;SM00174	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold6-processed-gene-1.543-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold131-snap-gene-0.150-mRNA-1	mobidb-lite	NA	IPR000198	PF00620	NA	PTHR15228:SF25;PTHR15228	GO:0007165	NA	G3DSA:1.10.555.10	cd04396	Reactome: R-HSA-194840	SSF48350	PS50238	NA	NA	NA	NA	SM00324	NA	NA	NA	NA	NA	NA
maker-scaffold46-snap-gene-0.183-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR005829	PF00083	TMhelix	PTHR23500;PTHR23500:SF198	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	NA	G3DSA:1.20.1250.20	cd06174	Reactome: R-HSA-189200	SSF103473	PS50850	NA	PR00171	TIGR00879	PS00216;PS00217	NA	NA	NA	NA	NA	NA	NA
maker-scaffold6-snap-gene-0.200-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	IPR024761	PF12657;PF01650	NA	PTHR12000;PTHR12000:SF1	GO:0006508;GO:0008233;GO:0003923;GO:0016255;GO:0042765	NA	G3DSA:3.40.50.1460	NA	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066	NA	NA	NA	PR00776	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
maker-scaffold95-snap-gene-0.2-mRNA-1	mobidb-lite	NA	IPR007317	PF04190	NA	PTHR12875	GO:0005515	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold12-augustus-gene-1.2-mRNA-1	mobidb-lite	NA	IPR011992	PF12763	NA	PTHR11216;PTHR11216:SF61	GO:0005515;GO:0005509	Coil	G3DSA:1.10.238.10;G3DSA:1.10.8.10	cd00052	NA	SSF47473;SSF46934	PS50222;PS50031;PS50030	NA	NA	NA	NA	SM00054;SM00165;SM00027	NA	NA	NA	NA	NA	NA
maker-scaffold52-augustus-gene-0.78-mRNA-1	mobidb-lite	NA	IPR018492	PF01248	NA	PTHR23105:SF70;PTHR23105	GO:0042254;GO:1990904	Coil	G3DSA:3.30.1330.210	NA	Reactome: R-HSA-6791226	SSF55315	NA	NA	PR00881;PR00882	NA	PS01082	NA	NA	NA	NA	NA	NA	NA
maker-scaffold108-augustus-gene-0.69-mRNA-1	NA	NA	IPR004908	PF11698;PF03224	NA	PTHR10698:SF0;PTHR10698	GO:0000221;GO:0015991;GO:0046961	NA	G3DSA:1.25.40.150;G3DSA:1.25.10.10	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-167590|Reactome: R-HSA-182218|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	SSF48371	NA	NA	NA	NA	NA	NA	PIRSF032184	NA	NA	NA	NA	NA
maker-scaffold31-augustus-gene-0.350-mRNA-1	mobidb-lite	NA	IPR037321	PF10357	NA	PTHR12805		NA	G3DSA:1.10.10.2030	NA	Reactome: R-HSA-8876725	SSF57667	NA	NA	NA	NA	NA	SM01253	NA	NA	NA	NA	NA	NA
maker-scaffold191-augustus-gene-0.81-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR003342	PF02366;PF16192;PF02815	TMhelix	PTHR10050;PTHR10050:SF46	GO:0000030;GO:0006493;GO:0016020	NA	G3DSA:2.80.10.50	NA	Reactome: R-HSA-5173105	SSF82109	PS50919	NA	NA	NA	NA	SM00472	NA	NA	NA	NA	NA	NA
maker-scaffold249-snap-gene-0.82-mRNA-1	NA	NA	IPR038491	PF11754	NA	PTHR33572:SF2;PTHR33572	NA	NA	G3DSA:2.60.40.3960	NA	NA	NA	PS51821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold4-processed-gene-2.100-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	IPR017853	PF00704	NA	PTHR11177;PTHR11177:SF242	GO:0005975;GO:0008061	NA	NA	NA	NA	SSF51445;SSF54556	NA	NA	NA	NA	NA	SM00636	NA	NA	SignalP-noTM	NA	SignalP-noTM	NA
maker-scaffold193-snap-gene-0.50-mRNA-1	mobidb-lite	NA	IPR029058	PF07859;PF11951	NA	PTHR23024:SF103;PTHR23024	GO:0016787	NA	G3DSA:3.40.50.1820	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold51-snap-gene-0.14-mRNA-1	mobidb-lite	NA	IPR000866	PF00578;PF10417;PF13415	NA	PTHR43503:SF2;PTHR43503	GO:0016209;GO:0016491;GO:0055114;GO:0005515;GO:0045454;GO:0051920	NA	G3DSA:3.30.1020.10;G3DSA:2.120.10.80;G3DSA:3.40.30.10	cd03016	KEGG: 00480+1.11.1.15|Reactome: R-HSA-3299685	SSF52833;SSF117281	PS51352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold19-processed-gene-0.492-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR004837	PF01699	TMhelix	PTHR31503:SF18;PTHR31503	GO:0016021;GO:0055085	NA	G3DSA:1.20.1420.30;G3DSA:1.20.58.1130	NA	Reactome: R-HSA-425561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold2-snap-gene-3.116-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR029069	PF13279	NA	PTHR31793:SF24;PTHR31793	NA	Coil	G3DSA:3.10.129.10	cd00586	NA	SSF54637	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
maker-scaffold142-snap-gene-0.88-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR036259	PF07690	TMhelix	PTHR23504:SF15;PTHR23504	GO:0016021;GO:0055085	NA	NA	cd06174	NA	SSF103473	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold2-augustus-gene-1.135-mRNA-1	NA	NA	IPR017441	PF00069	NA	PTHR24343:SF181;PTHR24343	GO:0005524;GO:0004672;GO:0006468	NA	G3DSA:1.10.510.10	cd13993	NA	SSF56112	PS50011	NA	NA	NA	PS00107;PS00108	SM00220	NA	NA	NA	NA	NA	NA
maker-scaffold143-augustus-gene-0.124-mRNA-1	mobidb-lite	TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	IPR001841	PF12678	TMhelix	PTHR44541	GO:0008270	Coil	G3DSA:3.30.40.10	cd16479	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	SSF57850	PS50089	NA	NA	NA	NA	SM00184	NA	NA	NA	NA	NA	NA
snap_masked-scaffold119-processed-gene-0.43-mRNA-1	mobidb-lite	NA	IPR012337	PF03104;PF14260;PF00136	NA	PTHR10322:SF23;PTHR10322	GO:0000166;GO:0003676;GO:0003887;GO:0003677	NA	G3DSA:3.90.1600.10;G3DSA:3.30.342.10;G3DSA:3.30.420.10;G3DSA:1.10.287.690;G3DSA:1.10.132.60	cd05777;cd05533	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7	SSF53098;SSF56672	NA	NA	PR00106	TIGR00592	PS00116	SM00486	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold64-processed-gene-0.33-mRNA-1	mobidb-lite	NA	IPR012337	PF00075;PF01693	NA	PTHR10642:SF0;PTHR10642	GO:0003676;GO:0004523;GO:0000287	NA	G3DSA:3.40.970.10;G3DSA:3.30.420.10	cd09280	NA	SSF53098;SSF55658	PS50879	NA	NA	NA	NA	NA	PIRSF036852	NA	NA	NA	NA	NA
maker-scaffold39-augustus-gene-0.318-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	Coil	NA	cd12087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
augustus_masked-scaffold41-processed-gene-0.317-mRNA-1	NA	NA	IPR001494	PF03810	NA	PTHR10997:SF7;PTHR10997	GO:0006886;GO:0008536	NA	G3DSA:1.25.10.10	NA	NA	SSF48371	PS50166	NA	NA	NA	NA	SM00913	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold132-processed-gene-0.38-mRNA-1	mobidb-lite	NA	IPR011084	PF07522	NA	PTHR23240;PTHR23240:SF6	NA	NA	G3DSA:3.60.15.10;G3DSA:3.40.50.12650	cd16273	NA	SSF56281	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
snap_masked-scaffold94-processed-gene-0.180-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR024671	PF11700	TMhelix	PTHR11360:SF96;PTHR11360	NA	NA	G3DSA:1.20.1250.20	cd06174	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold309-processed-gene-0.5-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.2000	NA	NA	SSF53756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold287-snap-gene-0.17-mRNA-1	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR006068	PF00689;PF00122;PF00702;PF00690;PF13246	TMhelix	PTHR43294	GO:0016021;GO:0000166	NA	G3DSA:1.20.1110.10;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:2.70.150.10	NA	Reactome: R-HSA-936837	SSF81660;SSF56784;SSF81653;SSF81665	NA	SFLDG00002;SFLDF00027	PR00119;PR00121	TIGR01494	PS00154	SM00831	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold268-processed-gene-0.61-mRNA-1	mobidb-lite	NA	IPR033370	PF08700	NA	PTHR31658:SF0;PTHR31658	GO:0006891;GO:0017119	Coil	NA	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold85-processed-gene-0.22-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR020846	NA	TMhelix	PTHR23502:SF76;PTHR23502	NA	Coil	G3DSA:1.20.1250.20	cd06174	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold9-processed-gene-1.381-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR003445	PF02386	TMhelix	PTHR31064;PTHR31064:SF21	GO:0006812;GO:0008324;GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold52-processed-gene-0.94-mRNA-1	NA	NA	IPR011063	PF01171;PF16503	NA	PTHR11807:SF12;PTHR11807	GO:0000049;GO:0002098;GO:0034227;GO:0008033	NA	NA	cd01993	Reactome: R-HSA-6782315	SSF52402	NA	NA	NA	NA	PS01263	NA	PIRSF004976	MF_03053	NA	NA	NA	NA
maker-scaffold2-snap-gene-2.236-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR004254	PF03006	TMhelix	PTHR20855:SF52;PTHR20855	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold9-processed-gene-0.65-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR37848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold214-processed-gene-0.72-mRNA-1	NA	NA	IPR013785	PF03060	NA	PTHR32332:SF28;PTHR32332	GO:0003824;GO:0018580;GO:0055114	NA	G3DSA:3.20.20.70	cd04730	NA	SSF51412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold105-processed-gene-0.171-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	IPR002889	PF01822	TMhelix	NA	NA	NA	NA	NA	NA	NA	PS51212	NA	NA	NA	NA	SM00321	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
augustus_masked-scaffold312-processed-gene-0.9-mRNA-1	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	IPR036551	PF02441	NA	PTHR14359;PTHR14359:SF21	GO:0003824	NA	G3DSA:3.40.50.1950	NA	Reactome: R-HSA-196783	SSF52507;SSF140860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold258-processed-gene-0.39-mRNA-1	mobidb-lite	NA	IPR001766	PF00250	NA	PTHR11829:SF330;PTHR11829	GO:0003700;GO:0006355;GO:0043565	NA	G3DSA:1.10.10.10	cd00059	NA	SSF46785	PS50039	NA	PR00053	NA	PS00658	SM00339	NA	NA	NA	NA	NA	NA
snap_masked-scaffold74-processed-gene-0.207-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	IPR001766	PF00250	NA	PTHR11829:SF182;PTHR11829	GO:0003700;GO:0006355;GO:0043565	NA	G3DSA:1.10.10.10	NA	NA	SSF46785	PS50039	NA	NA	NA	PS00658	SM00339	NA	NA	NA	NA	NA	NA
maker-scaffold76-snap-gene-0.295-mRNA-1	mobidb-lite	NA	IPR017905	PF04777	NA	PTHR12645:SF0;PTHR12645	GO:0016972;GO:0055114;GO:0016971	NA	G3DSA:1.20.120.310	NA	MetaCyc: PWY-7533	SSF69000	PS51324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold5-processed-gene-0.152-mRNA-1	mobidb-lite	NA	IPR038765	PF10403;PF10405;PF10404;PF03835	NA	PTHR12135	GO:0003677;GO:0003684;GO:0005634;GO:0006289	Coil	G3DSA:2.20.20.110;G3DSA:3.30.70.2460;G3DSA:3.90.260.10	NA	Reactome: R-HSA-3108214|Reactome: R-HSA-5696394|Reactome: R-HSA-5696395	SSF54001	NA	NA	NA	NA	NA	SM01031;SM01030;SM01032	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold886-processed-gene-0.2-mRNA-1	NA	NA	IPR036291	PF00106	NA	PTHR44169;PTHR44169:SF2	GO:0016491	NA	G3DSA:3.40.50.720	NA	NA	SSF51735	NA	NA	PR00081	NA	PS00061	NA	NA	NA	NA	NA	NA	NA
maker-scaffold54-snap-gene-0.28-mRNA-1	mobidb-lite	NA	IPR036910	PF00505;PF00536	NA	PTHR13711;PTHR13711:SF297	GO:0005515	NA	G3DSA:1.10.30.10;G3DSA:1.10.150.50	cd01390	NA	SSF47769;SSF47095	PS50118;PS50105	NA	NA	NA	NA	SM00398;SM00454	NA	NA	NA	NA	NA	NA
maker-scaffold4-augustus-gene-2.34-mRNA-1	mobidb-lite	NA	IPR036047	NA	NA	NA	GO:0005515	NA	G3DSA:1.20.1280.50	NA	NA	SSF81383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold97-snap-gene-0.78-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	IPR013320	PF00722	NA	PTHR38121:SF2;PTHR38121	GO:0004553;GO:0005975	NA	G3DSA:2.60.120.200	cd00413	NA	SSF49899	PS51762	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
maker-scaffold106-snap-gene-0.237-mRNA-1	mobidb-lite	NA	IPR036869	PF14308;PF00226	NA	PTHR45006	NA	Coil	G3DSA:1.10.287.110	cd06257	NA	SSF46565	PS50076	NA	PR00625	NA	PS00636	SM00271	NA	NA	NA	NA	NA	NA
maker-scaffold1-snap-gene-2.209-mRNA-1	mobidb-lite	NA	IPR001841	PF13639	NA	PTHR44445	NA	NA	G3DSA:3.30.40.10	cd16449	NA	SSF57850	PS50089	NA	NA	NA	NA	SM00184	NA	NA	NA	NA	NA	NA
maker-scaffold125-augustus-gene-0.0-mRNA-1	mobidb-lite	NA	IPR036612	PF00013;PF06159	NA	PTHR15744	GO:0003723;GO:0003676;GO:0005634	Coil	G3DSA:3.30.1370.10	cd00105	Reactome: R-HSA-8876198	SSF54791	PS50084	NA	NA	NA	NA	SM00322	NA	NA	NA	NA	NA	NA
