Gene	interpro	SUPERFAMILY	PANTHER	Gene3D	ProSiteProfiles	GO	SFLD	CDD	Pfam	ProSitePatterns	PATHWAY	SignalP_GRAM_POSITIVE	TIGRFAM	Coils	MobiDBLite	SMART	Phobius	TMHMM	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_EUK	PRINTS	Hamap	ProDom
maker-RZGP01000005.1-snap-gene-1.52-mRNA-1	IPR011701	SSF103473	PTHR23502;PTHR23502:SF49	G3DSA:1.20.1250.20	PS50850	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000009.1-processed-gene-0.25-mRNA-1	IPR008978	SSF49764	PTHR22932:SF1;PTHR22932	G3DSA:2.60.40.790	PS51203	NA	NA	cd06465	PF04969	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-17.128-mRNA-1	IPR001199	SSF55856	PTHR19359;PTHR19359:SF41	G3DSA:3.10.120.10	PS50255	GO:0020037	NA	NA	PF00173	PS00191	NA	NA	NA	NA	NA	SM01117	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	PR00363	NA	NA
snap_masked-RZGP01000003.1-processed-gene-15.41-mRNA-1	IPR011042	SSF63829	PTHR42060	G3DSA:2.120.10.30	PS51257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000003.1-snap-gene-21.50-mRNA-1	IPR036259	SSF103473	PTHR43791:SF68;PTHR43791	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	Coil	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-50.109-mRNA-1	NA	NA	PTHR40407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-23.62-mRNA-1	IPR036815	SSF48445	PTHR18860;PTHR18860:SF39	G3DSA:1.20.190.20	NA	GO:0019904	NA	NA	PF00244	PS00796	Reactome: R-HSA-111447|Reactome: R-HSA-1445148|Reactome: R-HSA-5625740|Reactome: R-HSA-5628897|Reactome: R-HSA-75035	NA	NA	NA	mobidb-lite	SM00101	NA	NA	PIRSF000868	NA	NA	PR00305	NA	NA
snap_masked-RZGP01000003.1-processed-gene-22.167-mRNA-1	IPR006084	SSF88723	PTHR11081;PTHR11081:SF32	G3DSA:3.40.50.1010	NA	GO:0004518;GO:0006281	NA	cd09902	PF12247;PF12246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-35.173-mRNA-1	NA	NA	PTHR23112:SF0;PTHR23112	G3DSA:1.20.1070.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-28.5-mRNA-1	IPR012423	NA	PTHR13581	NA	NA	GO:0005634;GO:0006355;GO:0043189	NA	NA	PF07904	NA	Reactome: R-HSA-3214847	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-43.169-mRNA-1	IPR036259	SSF103473	PTHR23501;PTHR23501:SF43	G3DSA:1.20.1250.20	PS50850	GO:0016021;GO:0055085;GO:0005215	NA	cd06174	PF07690	PS00216	NA	NA	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	PR01036	NA	NA
augustus_masked-RZGP01000005.1-processed-gene-13.136-mRNA-1	IPR011051	SSF51182	PTHR43346	G3DSA:2.60.120.10	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	mobidb-lite	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000006.1-snap-gene-12.74-mRNA-1	IPR005480	SSF52440;SSF52335;SSF56059;SSF48108	PTHR11405;PTHR11405:SF48	G3DSA:3.30.470.20;G3DSA:3.40.50.20;G3DSA:1.10.1030.10;G3DSA:3.30.1490.20;G3DSA:3.40.50.1380	PS50975	GO:0005524;GO:0046872;GO:0006807	NA	cd01423	PF02787;PF02786	PS00866;PS00867	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	NA	TIGR01369	NA	NA	SM01096	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	PR00098	NA	NA
maker-RZGP01000005.1-snap-gene-27.176-mRNA-1	IPR036396	SSF48264	PTHR24287:SF5;PTHR24287	G3DSA:1.10.630.10	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	NA	PF00067	PS00086	NA	NA	NA	Coil	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	PR00465;PR00385	NA	NA
snap_masked-RZGP01000008.1-processed-gene-46.224-mRNA-1	IPR036465	SSF53300	PTHR10223;PTHR10223:SF0	G3DSA:3.40.50.410	PS50234;PS50330	GO:0006511;GO:0008540	NA	cd01452	PF13519	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	Coil	mobidb-lite	SM00327	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000009.1-processed-gene-1.15-mRNA-1	IPR020615	SSF53901	PTHR18919;PTHR18919:SF89	G3DSA:3.40.47.10	NA	GO:0016747;GO:0003824	NA	cd00829	PF00108;PF02803	PS00098;PS00737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000003.1-snap-gene-29.48-mRNA-1	IPR006603	NA	PTHR13131:SF5;PTHR13131	NA	NA		NA	NA	PF04193	NA	Reactome: R-HSA-425393|Reactome: R-HSA-5223345	NA	NA	NA	NA	SM00679	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-augustus-gene-11.8-mRNA-1	IPR036318	SSF56176	PTHR42973;PTHR42973:SF3	G3DSA:3.30.465.40;G3DSA:3.40.462.20	PS51387	GO:0050660;GO:0016491;GO:0055114;GO:0071949	NA	NA	PF01565;PF08031	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-10.163-mRNA-1	IPR001650	SSF52540	PTHR18934:SF83;PTHR18934	G3DSA:1.20.120.1080;G3DSA:3.40.50.300	PS51192;PS51194	GO:0004386	NA	cd00079;cd00046	PF07717;PF00271;PF04408	PS00690	NA	NA	NA	Coil	mobidb-lite	SM00847;SM00487;SM00490	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-34.62-mRNA-1	IPR016137	SSF46785;SSF48097	PTHR10845:SF192;PTHR10845	G3DSA:1.10.10.10;G3DSA:1.20.58.1850	PS50132;PS50186	GO:0035556	NA	cd08708;cd04450	PF00615;PF00610	NA	NA	NA	NA	NA	mobidb-lite	SM00315;SM00049	NA	NA	NA	NA	NA	PR01301	NA	NA
maker-RZGP01000008.1-snap-gene-28.179-mRNA-1	IPR011009	SSF56112	PTHR35859:SF1;PTHR35859	G3DSA:3.90.1200.10;G3DSA:3.30.200.20	NA	NA	NA	cd05154	PF01636	NA	NA	NA	NA	Coil	mobidb-lite	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000001.1-snap-gene-3.16-mRNA-1	IPR005000	SSF51621	PTHR30502;PTHR30502:SF2	G3DSA:3.20.20.60	NA	GO:0003824	NA	NA	PF03328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000003.1-snap-gene-40.107-mRNA-1	IPR017871	SSF90123;SSF52540	PTHR24223:SF332;PTHR24223	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	PS50929;PS50893	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085;GO:0008559;GO:0042908	NA	cd03244;cd03250	PF00664;PF00005	PS00211	NA	NA	NA	Coil	mobidb-lite	SM00382	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000003.1-snap-gene-13.154-mRNA-1	IPR036396	SSF48264	PTHR24305;PTHR24305:SF35	G3DSA:1.10.630.10	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	NA	PF00067	PS00086	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	PR00465	NA	NA
maker-RZGP01000007.1-snap-gene-28.187-mRNA-1	IPR013766	SSF52833	PTHR18929;PTHR18929:SF135	G3DSA:3.40.30.10	PS51352	GO:0045454	NA	cd02961	PF00085	PS00194	NA	SignalP-TM	NA	Coil	mobidb-lite	NA	SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-20.153-mRNA-1	IPR001766	SSF46785	PTHR11829:SF330;PTHR11829	G3DSA:1.10.10.10	PS50039	GO:0003700;GO:0006355;GO:0043565	NA	cd00059	PF00250	PS00658	NA	NA	NA	NA	mobidb-lite	SM00339	NA	NA	NA	NA	NA	PR00053	NA	NA
snap_masked-RZGP01000008.1-processed-gene-9.193-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	mobidb-lite	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-11.30-mRNA-1	IPR011527	SSF52540;SSF90123	PTHR24221:SF406;PTHR24221	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	PS50929;PS50893	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	NA	NA	PF00005;PF00664	PS00211	NA	NA	NA	NA	mobidb-lite	SM00382	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000001.1-snap-gene-7.92-mRNA-1	IPR020846	SSF103473	PTHR23500;PTHR23500:SF140	G3DSA:1.20.1250.20	PS50850	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	NA	cd06174	PF00083	PS00216	Reactome: R-HSA-189200	NA	NA	NA	mobidb-lite	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	PR00171	NA	NA
snap_masked-RZGP01000002.1-processed-gene-8.16-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000001.1-snap-gene-4.189-mRNA-1	IPR036972	SSF57802	PTHR10122;PTHR10122:SF0	G3DSA:2.60.11.10	PS51359	GO:0004129;GO:0005740	NA	cd00924	PF01215	NA	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD007270
maker-RZGP01000008.1-snap-gene-30.38-mRNA-1	IPR000719	SSF56112	PTHR24055:SF0;PTHR24055	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PS50011	GO:0004672;GO:0005524;GO:0006468	NA	NA	PF00069	NA	NA	NA	NA	NA	NA	SM00220	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-augustus-gene-23.140-mRNA-1	IPR001631	SSF56741;SSF56349	PTHR10290:SF3;PTHR10290	G3DSA:2.170.11.10;G3DSA:1.10.132.10;G3DSA:1.10.10.41;G3DSA:3.90.15.10	NA	GO:0003677;GO:0003917;GO:0006265;GO:0005694	NA	cd00660;cd00659	PF02919;PF14370;PF01028	NA	NA	NA	NA	Coil	mobidb-lite	SM00435	NA	NA	NA	NA	NA	PR00416	NA	NA
maker-RZGP01000008.1-snap-gene-9.157-mRNA-1	IPR024224	NA	PTHR13677;PTHR13677:SF3	NA	PS50211	GO:0017112	NA	NA	PF08616;PF07792	NA	Reactome: R-HSA-8876198	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000008.1-processed-gene-40.63-mRNA-1	NA	NA	PTHR40641:SF2;PTHR40641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
