Gene	interpro	SMART	CDD	SUPERFAMILY	Pfam	GO	ProSiteProfiles	MobiDBLite	Coils	PANTHER	ProSitePatterns	Gene3D	PATHWAY	TIGRFAM	PRINTS	TMHMM	Phobius	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD	Hamap	ProDom
KOS19358.1	IPR004841	NA	NA	NA	PF00324	GO:0016020;GO:0055085;GO:0022857	NA	mobidb-lite	NA	PTHR43341;PTHR43341:SF18	NA	G3DSA:1.20.1740.10	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PIRSF006060	NA	NA	NA	NA	NA	NA
KOS19844.1	IPR004813	NA	NA	NA	PF03169	GO:0055085	NA	mobidb-lite	NA	PTHR22601:SF47;PTHR22601	NA	NA	NA	TIGR00728	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS18268.1	IPR003388	NA	NA	NA	PF02453	NA	PS50845	mobidb-lite	NA	PTHR10994;PTHR10994:SF61	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS16695.1	IPR034150	SM00360	cd12241	SSF54928	PF00076	GO:0003676	PS50102	NA	Coil	PTHR12785:SF7;PTHR12785	NA	G3DSA:3.30.70.330	Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22526.1	IPR036908	NA	NA	SSF50685	NA	NA	NA	NA	NA	PTHR31836	NA	G3DSA:2.40.40.10	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
KOS18767.1	IPR010721	NA	NA	NA	PF06966	NA	NA	NA	NA	PTHR32251:SF21;PTHR32251	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS17768.1	IPR003439	SM00382	NA	SSF52540	PF01061;PF00005	GO:0005524;GO:0016887;GO:0016020	PS50893	mobidb-lite	NA	PTHR19241;PTHR19241:SF309	PS00211	G3DSA:3.40.50.300	Reactome: R-HSA-1369062	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS19475.1	IPR000727	NA	cd15849	SSF47661	PF05739;PF00804	GO:0016020;GO:0016192	PS50192	mobidb-lite	NA	PTHR19957:SF147;PTHR19957	NA	G3DSA:1.20.58.70	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS21733.1	IPR002059	SM00357	cd04458	SSF50249	PF00313	GO:0003676	NA	NA	NA	PTHR11544;PTHR11544:SF57	PS00352	G3DSA:2.40.50.140	NA	NA	PR00050	NA	NA	PIRSF002599	NA	NA	NA	NA	NA	NA
KOS20757.1	IPR011009	NA	cd05157	SSF56112	PF04428;PF01633	GO:0016773	NA	mobidb-lite	NA	PTHR22603:SF67;PTHR22603	NA	G3DSA:3.90.1200.10;G3DSA:3.30.200.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23171.1	IPR036759	SM00983	cd07995	SSF63999;SSF63862	PF04265;PF04263	GO:0004788;GO:0005524;GO:0009229;GO:0006772;GO:0030975	NA	NA	NA	PTHR13622;PTHR13622:SF8	NA	G3DSA:3.40.50.10240	KEGG: 00730+2.7.6.2|MetaCyc: PWY-6898|MetaCyc: PWY-6907|MetaCyc: PWY-6908|MetaCyc: PWY-7356|Reactome: R-HSA-196819	TIGR01378	NA	NA	NA	PIRSF031057	NA	NA	NA	NA	NA	NA
KOS23117.1	IPR009311	NA	NA	NA	PF06140	GO:0016021	NA	NA	NA	PTHR16932;PTHR16932:SF18	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS19038.1	IPR002048	SM00054	cd00051	SSF47473	PF13202;PF13499	GO:0005509	PS50222	NA	NA	PTHR23056;PTHR23056:SF43	PS00018	G3DSA:1.10.238.10	NA	NA	PR00450	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19065.1	IPR012576	NA	NA	NA	PF08122	GO:0005739;GO:0005747;GO:0022900	NA	NA	NA	PTHR15082	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19563.1	IPR001017	NA	cd02000	SSF52518	PF00676	GO:0016624;GO:0004739;GO:0006086;GO:0043231	NA	NA	NA	PTHR11516;PTHR11516:SF40	NA	G3DSA:3.40.50.970	Reactome: R-HSA-389661	TIGR03182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17681.1	IPR032319	NA	NA	SSF52540	PF16575	NA	NA	mobidb-lite	NA	PTHR12755;PTHR12755:SF3	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA
KOS21391.1	IPR002344	SM00715;SM00360	cd12291	SSF54928;SSF46785	PF05383;PF00076	GO:0003723;GO:0005634;GO:0006396;GO:1990904;GO:0003676	PS50102;PS50961	mobidb-lite	Coil	PTHR22792:SF100;PTHR22792	NA	G3DSA:3.30.70.330;G3DSA:1.10.10.10	NA	NA	PR00302	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19326.1	IPR036397	SM00479	cd06135	SSF53098	PF00929	GO:0003676;GO:0000175	NA	mobidb-lite	NA	PTHR11046:SF0;PTHR11046	NA	G3DSA:3.30.420.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21266.1	IPR003439	SM00382	cd03232	SSF52540	PF00005;PF01061;PF06422	GO:0005524;GO:0016887;GO:0016020;GO:0016021;GO:0042626;GO:0055085	PS50893	NA	NA	PTHR19241;PTHR19241:SF216	NA	G3DSA:3.40.50.300	Reactome: R-HSA-1369062	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS20204.1	IPR040241	SM01320	NA	NA	PF14558;PF06011	NA	NA	mobidb-lite	NA	PTHR31145;PTHR31145:SF2	NA	NA	NA	NA	NA	TMhelix	SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
KOS18097.1	IPR027417	NA	NA	SSF52540	PF13086;PF13087;PF12726	NA	NA	mobidb-lite	Coil	PTHR10887;PTHR10887:SF382	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20720.1	IPR036394	NA	cd00336	SSF54843	PF00237	GO:0003735;GO:0005840;GO:0006412;GO:0015934	NA	mobidb-lite	Coil	PTHR13501	NA	G3DSA:3.90.470.10	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
KOS19938.1	IPR032630	NA	cd02073	SSF81665;SSF81660;SSF81653;SSF56784	PF16212;PF16209;PF13246	GO:0000287;GO:0004012;GO:0005524;GO:0015914;GO:0016021;GO:0000166	NA	mobidb-lite	Coil	PTHR24092;PTHR24092:SF34	PS00154	G3DSA:3.40.50.1000;G3DSA:2.70.150.10;G3DSA:3.40.1110.10;G3DSA:1.20.1110.10	Reactome: R-HSA-936837	TIGR01652;TIGR01494	PR00119	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	SFLDS00003;SFLDF00027	NA	NA
KOS21790.1	IPR025279	NA	NA	NA	PF13945	NA	NA	mobidb-lite	Coil	PTHR31780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20388.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22449.1	IPR006680	NA	NA	SSF51556	PF04909	GO:0016787;GO:0016831	NA	NA	NA	PTHR21240:SF18;PTHR21240	NA	G3DSA:3.20.20.140	Reactome: R-HSA-71240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18852.1	IPR004813	NA	NA	NA	PF03169	GO:0055085	NA	mobidb-lite	NA	PTHR22601;PTHR22601:SF4	NA	NA	NA	TIGR00728	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS23301.1	IPR015943	NA	NA	SSF50978	NA	GO:0005515	NA	mobidb-lite	NA	PTHR15598:SF5;PTHR15598	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17147.1	IPR003439	SM00382	cd03250;cd03244	SSF52540;SSF90123	PF00664;PF00005	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	PS50893;PS50929	mobidb-lite	NA	PTHR24223;PTHR24223:SF344	PS00211	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
KOS20136.1	IPR003126	SM00396	cd16482	SSF46785	PF02617;PF02207	GO:0008270;GO:0061630;GO:0071596;GO:0030163	PS51157	mobidb-lite	Coil	PTHR21497;PTHR21497:SF24	NA	G3DSA:2.10.110.30	MetaCyc: PWY-7511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16633.1	IPR012677	SM00360	cd12281;cd12285	SSF54928	PF00076	GO:0003676;GO:0000398	PS50102	mobidb-lite	NA	PTHR15608	NA	G3DSA:3.30.70.330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21819.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS17813.1	IPR002401	NA	NA	SSF48264	PF00067	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	NA	PTHR24305:SF35;PTHR24305	PS00086	G3DSA:1.10.630.10	NA	NA	PR00463;PR00385	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS23322.1	IPR013057	NA	NA	NA	PF01490	NA	NA	mobidb-lite	NA	PTHR22950;PTHR22950:SF332	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS19001.1	IPR001406	NA	cd02568	SSF55120	PF01416	GO:0001522;GO:0003723;GO:0009451;GO:0009982	NA	mobidb-lite	Coil	PTHR11142;PTHR11142:SF4	NA	G3DSA:3.30.70.580;G3DSA:3.30.70.660	NA	TIGR00071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21637.1	IPR037045	NA	NA	SSF54897	PF05922		NA	NA	NA	PTHR28288:SF2;PTHR28288	NA	G3DSA:3.30.70.80	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18443.1	IPR036259	NA	cd06174	SSF103473	PF07690	GO:0016021;GO:0055085	PS50850	mobidb-lite	NA	PTHR23501;PTHR23501:SF3	NA	G3DSA:1.20.1250.20	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS16757.1	IPR038718	SM00490;SM00487	cd00079;cd00046	SSF52540	PF00271;PF00176	GO:0005524	PS51194;PS51192	mobidb-lite	NA	PTHR10799:SF837;PTHR10799	NA	G3DSA:3.40.50.10810;G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16649.1	IPR013057	NA	NA	NA	PF01490	NA	NA	mobidb-lite	NA	PTHR22950;PTHR22950:SF339	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS22468.1	IPR001375	NA	NA	SSF53474;SSF82171	PF00326;PF00930	GO:0006508;GO:0008236	NA	NA	NA	PTHR11731;PTHR11731:SF162	NA	G3DSA:3.40.50.1820;G3DSA:2.140.10.30	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
KOS16749.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
KOS17091.1	IPR003445	NA	NA	NA	PF02386	GO:0006812;GO:0008324;GO:0055085	NA	mobidb-lite	NA	PTHR31064;PTHR31064:SF21	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS21276.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21994.1	IPR009604	SM01272	NA	NA	PF06741	NA	NA	mobidb-lite	Coil	PTHR12854:SF7;PTHR12854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22608.1	IPR003593	SM00382	cd03223	SSF52540	PF06472;PF00005	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887;GO:0005779;GO:1902001	PS50893	NA	Coil	PTHR11384;PTHR11384:SF36	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS18979.1	IPR027534	NA	cd05833	NA	PF00428	GO:0003735;GO:0005622;GO:0005840;GO:0006414	NA	mobidb-lite	NA	PTHR21141;PTHR21141:SF5	NA	G3DSA:1.10.10.1410	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	SignalP-noTM	NA	MF_01478	NA
KOS17365.1	IPR019156	NA	NA	NA	PF09759	NA	NA	mobidb-lite	NA	PTHR13255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19979.1	IPR000061	SM00582	NA	SSF109905	PF01805	GO:0003723;GO:0006396	PS51391	mobidb-lite	Coil	PTHR23140	NA	G3DSA:1.10.10.790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16933.1	IPR038967	NA	NA	NA	PF08508	GO:0035103;GO:0044695	NA	mobidb-lite	NA	PTHR39405	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS21219.1	IPR003121	SM00151	NA	SSF109715;SSF47592	PF02201;PF08766	GO:0005515	NA	mobidb-lite	NA	PTHR13844;PTHR13844:SF4	NA	G3DSA:1.10.245.10	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20599.1	IPR027443	NA	NA	SSF51197	PF03171;PF14226	GO:0016491;GO:0055114	NA	mobidb-lite	NA	PTHR10209:SF388;PTHR10209	NA	G3DSA:2.60.120.330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20783.1	IPR009053	NA	NA	SSF46579	PF02996	GO:0006457;GO:0016272;GO:0051082	NA	NA	Coil	PTHR12674:SF2;PTHR12674	NA	G3DSA:1.10.287.370	Reactome: R-HSA-389957	TIGR00293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20284.1	IPR018136	NA	NA	SSF52016;SSF53732	PF00694;PF00330	GO:0003994;GO:0006099;GO:0051539	NA	NA	NA	PTHR43160:SF2;PTHR43160	PS00450;PS01244	G3DSA:3.40.1060.10;G3DSA:3.30.499.10;G3DSA:3.20.19.10	KEGG: 00290+4.2.1.33	TIGR01340	PR00415	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17897.1	IPR003439	SM00382	cd03221	SSF52540	PF00005;PF12848	GO:0005524;GO:0016887	PS50893	mobidb-lite	Coil	PTHR19211:SF94;PTHR19211	PS00211	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23300.1	IPR009598	SM01396	NA	NA	PF06726	NA	NA	NA	NA	PTHR13259	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	PD062192
KOS21850.1	IPR011990	NA	NA	SSF48452	PF12862	GO:0005515;GO:0005680	NA	NA	NA	PTHR12830:SF9;PTHR12830	NA	G3DSA:1.25.40.10	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22323.1	IPR005710	SM01390;SM00363	cd00165	SSF55174	PF01479;PF00163	GO:0003735;GO:0006412;GO:0015935;GO:0003723;GO:0005622;GO:0019843	PS50889	mobidb-lite	NA	PTHR11831:SF5;PTHR11831	NA	G3DSA:3.10.290.10	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6790901|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	TIGR01018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18062.1	IPR036249	NA	NA	SSF52833	PF10262	NA	NA	mobidb-lite	NA	PTHR36417	NA	G3DSA:3.40.30.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19538.1	IPR020846	NA	cd06174	SSF103473	PF07690	GO:0016021;GO:0055085	PS50850	mobidb-lite	NA	PTHR23514;PTHR23514:SF3	NA	G3DSA:1.20.1250.20	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS17714.1	IPR020846	NA	cd06174	SSF103473	PF00083	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0016020	PS50850	NA	NA	PTHR23500:SF333;PTHR23500	PS00217;PS00216	G3DSA:1.20.1250.20	Reactome: R-HSA-189200	TIGR00879	PR00171	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS21240.1	IPR002939	SM00271	cd06257;cd10747;cd10719	SSF49493;SSF46565;SSF57938	PF01556;PF00684;PF00226	GO:0006457;GO:0051082;GO:0031072	PS51188;PS50076	mobidb-lite	Coil	PTHR43888;PTHR43888:SF12	PS00636	G3DSA:1.10.287.110;G3DSA:2.60.260.20;G3DSA:2.10.230.10	NA	NA	PR00625	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18922.1	IPR000504	SM00360	cd12265	SSF54928	PF00076	GO:0003676;GO:0000398	PS50102	mobidb-lite	NA	PTHR14089:SF6;PTHR14089	NA	G3DSA:3.30.70.330	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
