Gene	MobiDBLite	Coils	PANTHER	interpro	GO	Pfam	Gene3D	TMHMM	Phobius	ProSiteProfiles	SMART	ProSitePatterns	SUPERFAMILY	CDD	PATHWAY	SignalP_EUK	SignalP_GRAM_POSITIVE	PRINTS	TIGRFAM	PIRSF	SignalP_GRAM_NEGATIVE	Hamap	SFLD	ProDom
maker-NQYS01000001.1-augustus-gene-60.5-mRNA-1	mobidb-lite	NA	PTHR11079:SF92;PTHR11079	IPR002125	GO:0003824	PF00383	NA	NA	NA	PS51747	NA	NA	SSF53927	cd01285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-35.35-mRNA-1	NA	NA	PTHR43290:SF2;PTHR43290	IPR036554	GO:0005524;GO:0004496;GO:0005737;GO:0008299	PF08544;PF00288	G3DSA:3.30.70.890;G3DSA:3.30.230.10	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	PS00627	SSF55060;SSF54211	NA	KEGG: 00900+2.7.1.36|MetaCyc: PWY-6174|MetaCyc: PWY-7391|MetaCyc: PWY-922|Reactome: R-HSA-191273|Reactome: R-HSA-2426168	NA	NA	PR00959	TIGR00549	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-43.15-mRNA-1	mobidb-lite	Coil	PTHR12131:SF7;PTHR12131	IPR014001	GO:0003723;GO:0003724;GO:0006401;GO:0003676;GO:0005524	PF00271;PF08148;PF13234;PF00270	G3DSA:1.20.1500.20;G3DSA:3.40.50.300;G3DSA:1.10.3380.30;G3DSA:2.40.30.300	NA	NA	PS51192;PS51194	SM01142;SM00490;SM00487	NA	SSF52540	cd00079;cd13154;cd00046	NA	NA	NA	NA	NA	PIRSF005198	NA	NA	NA	NA
augustus_masked-NQYS01000006.1-processed-gene-15.19-mRNA-1	mobidb-lite	NA	PTHR24064;PTHR24064:SF325	IPR036259	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0005315;GO:0006817	PF00083	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PS50850	NA	PS00217	SSF103473	cd06174	NA	NA	NA	NA	TIGR00887	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-56.47-mRNA-1	NA	NA	PTHR23520	IPR020846	GO:0016021;GO:0055085	PF07690	G3DSA:1.20.1250.20	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS50850	NA	NA	SSF103473	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-36.34-mRNA-1	NA	NA	PTHR10978;PTHR10978:SF5	IPR034804	GO:0016020;GO:0000104;GO:0006099;GO:0045281;GO:0016627	PF01127	G3DSA:1.20.1300.10	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	SSF81343	cd03499	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	SignalP-TM	NA	NA	PIRSF000178	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-10.15-mRNA-1	NA	Coil	PTHR21234:SF16;PTHR21234	IPR035994	GO:0003824;GO:0009116	NA	G3DSA:3.40.50.1580	NA	NA	NA	NA	NA	SSF53167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-36.15-mRNA-1	mobidb-lite	NA	PTHR12428:SF17;PTHR12428	IPR001708	GO:0016021;GO:0032977	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-27.3-mRNA-1	mobidb-lite	NA	PTHR36819	IPR037737	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-20.16-mRNA-1	mobidb-lite	NA	PTHR43047:SF5;PTHR43047	IPR011006	GO:0005515;GO:0000160;GO:0000155;GO:0007165;GO:0016310;GO:0016772	PF13188;PF08447;PF00512;PF02518;PF00072	G3DSA:3.30.565.10;G3DSA:3.30.450.20;G3DSA:3.40.50.2300;G3DSA:1.10.287.130	NA	NA	PS50112;PS50110;PS50113;PS50109	SM00387;SM00091;SM00388;SM00086;SM00448	NA	SSF52172;SSF55785;SSF47384;SSF55874	cd00075;cd00130;cd00082;cd00156	Reactome: R-HSA-1296072	NA	NA	PR00344	TIGR00229	NA	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-8.19-mRNA-1	mobidb-lite	NA	PTHR42664:SF2;PTHR42664	IPR000504	GO:0003676	PF00076;PF10378	G3DSA:3.30.70.330	NA	NA	PS50102	SM00360	NA	SSF54928	cd12520;cd12521;cd12522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-31.9-mRNA-1	NA	Coil	PTHR22594;PTHR22594:SF16	IPR004365	GO:0003676;GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004816;GO:0006421	PF01336;PF00152	G3DSA:1.10.10.1430;G3DSA:3.30.930.10;G3DSA:2.40.50.140	NA	NA	PS50862	NA	NA	SSF55681;SSF50249	cd04323;cd00776	KEGG: 00970+6.1.1.22	NA	NA	PR01042	TIGR00457	NA	NA	NA	NA	NA
augustus_masked-NQYS01000005.1-processed-gene-18.6-mRNA-1	mobidb-lite	Coil	PTHR13383	IPR019024	GO:0032299	PF17745;PF09468	G3DSA:1.10.20.120	NA	NA	NA	NA	NA	NA	cd09270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-29.51-mRNA-1	mobidb-lite	NA	PTHR11736;PTHR11736:SF79	IPR037445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-15.53-mRNA-1	mobidb-lite	NA	PTHR31685:SF2;PTHR31685	IPR018825	NA	PF10348;PF10355	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	cd08760	NA	SignalP-TM	SignalP-TM	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-NQYS01000008.1-augustus-gene-1.36-mRNA-1	NA	NA	PTHR11451;PTHR11451:SF46	IPR002320	GO:0004829;GO:0005524;GO:0005737;GO:0006435;GO:0000166;GO:0004812;GO:0043039;GO:0006418	PF02824;PF07973;PF00587;PF03129	G3DSA:3.30.930.10;G3DSA:3.10.20.30;G3DSA:3.40.50.800;G3DSA:3.30.980.10	NA	NA	PS50862	SM00863	NA	SSF52954;SSF55186;SSF55681;SSF81271	cd00860;cd01667;cd00771	KEGG: 00970+6.1.1.3	NA	NA	PR01047	TIGR00418	NA	NA	MF_00184	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-0.15-mRNA-1	mobidb-lite	NA	PTHR31806:SF7;PTHR31806	IPR026030	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PF02133	G3DSA:1.10.4160.10	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF002744	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-2.11-mRNA-1	mobidb-lite	Coil	PTHR45396	IPR038190	GO:0005515;GO:0005634;GO:0018024;GO:0006354;GO:0010452;GO:0046975;GO:0005694;GO:0006355;GO:0034968	PF17907;PF08236;PF08711;PF00856	G3DSA:2.20.70.10;G3DSA:1.10.1740.100;G3DSA:2.170.270.10;G3DSA:1.20.930.10	NA	NA	PS51568;PS51215;PS50280;PS50020;PS50868	SM00456;SM00570;SM00508;SM00317	PS01159	SSF47676;SSF51045;SSF82199	cd00201	KEGG: 00310+2.1.1.43|Reactome: R-HSA-3214841	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-4.13-mRNA-1	NA	Coil	PTHR11595	IPR001326	GO:0003746;GO:0005853;GO:0006414	PF00736;PF10587	G3DSA:1.20.1050.130;G3DSA:3.30.70.60	NA	NA	NA	SM00888;SM01182	PS00824;PS00825	SSF47616;SSF54984	cd00292;cd10308	Reactome: R-HSA-156842	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-30.10-mRNA-1	NA	NA	PTHR21528	IPR036424	GO:0016765;GO:0001525;GO:0019408;GO:1904423	PF01255	G3DSA:3.40.1180.10	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	SSF64005	NA	Reactome: R-HSA-446199	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-17.20-mRNA-1	mobidb-lite	NA	NA	IPR025040	NA	PF13136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-26.7-mRNA-1	NA	NA	PTHR19876;PTHR19876:SF1	IPR020472	GO:0005515;GO:0005198;GO:0006886;GO:0016192;GO:0030117;GO:0030126	PF00400;PF04053;PF06957	G3DSA:2.130.10.10;G3DSA:1.25.40.470	NA	NA	PS50294;PS50082	SM00320	PS00678	SSF50978;SSF50969	cd00200	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	NA	PR00320	NA	PIRSF003354	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-61.22-mRNA-1	NA	NA	PTHR43226:SF1;PTHR43226	IPR036005	GO:0004177;GO:0030145	PF05195;PF00557	G3DSA:3.90.230.10;G3DSA:3.40.350.10	NA	NA	NA	SM01011	NA	SSF55920;SSF53092	cd01087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-54.41-mRNA-1	NA	NA	PTHR12265;PTHR12265:SF0	IPR008547	NA	PF05705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000005.1-processed-gene-24.15-mRNA-1	mobidb-lite	Coil	PTHR12135	IPR018327	GO:0003677;GO:0003684;GO:0005634;GO:0006289	PF10404;PF03835;PF10403;PF10405	G3DSA:3.90.260.10;G3DSA:3.30.70.2460	NA	NA	NA	SM01030;SM01031;SM01032	NA	SSF54001	NA	Reactome: R-HSA-3108214|Reactome: R-HSA-5696394|Reactome: R-HSA-5696395	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-10.5-mRNA-1	mobidb-lite	NA	PTHR23101:SF25;PTHR23101	IPR003892	GO:0005515	PF18151;PF02204;PF02845	G3DSA:1.10.246.120;G3DSA:1.10.8.10;G3DSA:1.20.1050.80	NA	NA	PS51205;PS51140	SM00546;SM00167	NA	SSF109993;SSF46934	cd14369	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-32.35-mRNA-1	mobidb-lite	Coil	PTHR13115:SF8;PTHR13115	IPR036128	GO:0003677;GO:0006368;GO:0016570;GO:0016593	PF03126	G3DSA:2.170.260.30	NA	NA	PS51360	SM00719	NA	SSF159042	NA	Reactome: R-HSA-112382|Reactome: R-HSA-674695|Reactome: R-HSA-75955|Reactome: R-HSA-8866654	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-2.32-mRNA-1	NA	NA	PTHR12128;PTHR12128:SF24	IPR002220	GO:0016829;GO:0003824	PF00701	G3DSA:3.20.20.70	NA	NA	NA	SM01130	NA	SSF51569	cd00408	NA	NA	NA	PR00146	NA	PIRSF001365	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-10.3-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-24.19-mRNA-1	mobidb-lite	Coil	PTHR10799:SF838;PTHR10799	IPR037780	GO:0043044;GO:0005524	PF00385;PF00176;PF13907;PF00271	G3DSA:3.40.50.10810;G3DSA:2.40.50.40;G3DSA:1.10.10.60;G3DSA:3.40.50.300	NA	NA	PS51194;PS50013;PS51192	SM00490;SM01176;SM00487;SM00298	NA	SSF54160;SSF52540	cd00046;cd00024;cd00079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-50.14-mRNA-1	mobidb-lite	NA	PTHR10694;PTHR10694:SF7	IPR003347	GO:0003824;GO:0009058;GO:0030170	PF02373;PF13832;PF02375;PF00155	G3DSA:2.60.120.650;G3DSA:3.40.640.10;G3DSA:3.90.1150.10;G3DSA:3.30.40.10	NA	NA	PS51184;PS51183;PS51805	SM00545;SM00558;SM00249	NA	SSF51197;SSF53383	cd15571;cd00609	Reactome: R-HSA-3214842	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-30.6-mRNA-1	mobidb-lite	Coil	PTHR45195	IPR003591	GO:0007165;GO:0003824;GO:0009190;GO:0016849;GO:0035556;GO:0005515;GO:0000287;GO:0004016;GO:0006171	PF00211;PF13855;PF08509;PF00481	G3DSA:3.80.10.10;G3DSA:3.60.40.10	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS50200;PS50125;PS51450;PS51746	SM00369;SM00314;SM00044;SM00365;SM00364;SM00789;SM00332	NA	SSF52047;SSF55073;SSF81606;SSF52058	cd00143;cd01775;cd07302	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-2.5-mRNA-1	mobidb-lite	NA	PTHR11689;PTHR11689:SF134	IPR014743	GO:0005247;GO:0006821;GO:0016020;GO:0055085	PF00654	G3DSA:1.10.3080.10;G3DSA:3.90.1280.20;G3DSA:3.10.580.20	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SSF54631;SSF81340	cd03684;cd04591	Reactome: R-HSA-2672351	NA	NA	PR00762	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000006.1-processed-gene-8.16-mRNA-1	NA	NA	PTHR24305:SF108;PTHR24305	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	PF00067	G3DSA:1.10.630.10	NA	NA	NA	NA	PS00086	SSF48264	NA	NA	NA	NA	PR00465	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-22.40-mRNA-1	mobidb-lite	NA	PTHR24089;PTHR24089:SF25	IPR023395	GO:0022857	PF00153	G3DSA:1.50.40.10	NA	NA	PS50920	NA	NA	SSF103506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000009.1-augustus-gene-4.6-mRNA-1	mobidb-lite	Coil	PTHR23065;PTHR23065:SF44	IPR027267		PF10291	G3DSA:1.20.1270.60	NA	NA	PS51072	NA	NA	SSF103657	cd07650	Reactome: R-HSA-8856825|Reactome: R-HSA-8856828	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-11.23-mRNA-1	mobidb-lite	NA	PTHR12570:SF2;PTHR12570	IPR008521	GO:0015095;GO:0015693;GO:0016021	PF05653	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	SSF103481	NA	Reactome: R-HSA-5223345	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-28.32-mRNA-1	NA	NA	PTHR11353:SF64;PTHR11353	IPR001844	GO:0005737;GO:0042026;GO:0005524;GO:0006457	PF00118	G3DSA:1.10.560.10;G3DSA:3.30.260.10;G3DSA:3.50.7.10	NA	NA	NA	NA	PS00296	SSF52029;SSF48592	cd03344	Reactome: R-HSA-1268020|Reactome: R-HSA-8869496	NA	NA	PR00298	TIGR02348	NA	NA	MF_00600	NA	NA
maker-NQYS01000002.1-augustus-gene-25.45-mRNA-1	NA	NA	PTHR28222	IPR013959	GO:0008608;GO:0042729;GO:0072686	PF08650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-25.38-mRNA-1	mobidb-lite	Coil	PTHR11361:SF34;PTHR11361	IPR036678	GO:0005524;GO:0006298;GO:0030983	PF05192;PF00488;PF01624;PF05188	G3DSA:3.30.420.110;G3DSA:3.40.1170.10;G3DSA:3.40.50.300	NA	NA	NA	SM00533;SM00534	PS00486	SSF53150;SSF48334;SSF52540;SSF55271	NA	Reactome: R-HSA-5632928	NA	NA	NA	NA	PIRSF037677	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-20.3-mRNA-1	mobidb-lite	NA	PTHR11685;PTHR11685:SF204	IPR001841	GO:0004842;GO:0016567;GO:0046872	PF00097;PF01485	G3DSA:1.20.120.1750;G3DSA:3.30.40.10	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PS50089	SM00184;SM00647	PS00518	SSF57850	cd16625	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-5.40-mRNA-1	NA	NA	PTHR42776:SF11;PTHR42776	IPR029058	GO:0006508;GO:0008236	PF00326	G3DSA:3.40.50.1820;G3DSA:2.120.10.30	NA	NA	NA	NA	NA	SSF82171;SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-20.24-mRNA-1	NA	NA	PTHR24070	IPR001806	GO:0003924;GO:0005525;GO:0007165;GO:0016020	PF00071	G3DSA:3.40.50.300	NA	NA	PS51419	SM00175;SM00173;SM00174	NA	SSF52540	NA	NA	NA	NA	PR00449	TIGR00231	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-7.13-mRNA-1	mobidb-lite	Coil	PTHR11139;PTHR11139:SF9	IPR021133	GO:0044877;GO:0016301;GO:0005515;GO:0004674	PF08771;PF02985;PF02259;PF11865;PF02260;PF00454	G3DSA:1.10.1070.11;G3DSA:1.25.10.10;G3DSA:1.20.120.150;G3DSA:3.30.1010.10	NA	NA	PS50077;PS50290;PS51189;PS51190	SM01346;SM01343;SM00146;SM01345	PS00915	SSF48371;SSF56112;SSF47212	cd05169	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-1257604|Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-3371571|Reactome: R-HSA-380972|Reactome: R-HSA-389357|Reactome: R-HSA-5218920|Reactome: R-HSA-5628897|Reactome: R-HSA-5674400|Reactome: R-HSA-6804757|Reactome: R-HSA-8943724	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000005.1-augustus-gene-24.31-mRNA-1	NA	NA	PTHR28074	IPR021278	NA	PF11022	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000005.1-augustus-gene-18.23-mRNA-1	mobidb-lite	NA	PTHR24093;PTHR24093:SF346	IPR006068	GO:0005388;GO:0005524;GO:0016020;GO:0070588;GO:0000166;GO:0016021	PF13246;PF00689;PF08282;PF00690;PF00122	G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:2.70.150.10;G3DSA:1.20.1110.10	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	SM00831	PS00154	SSF81653;SSF56784;SSF81665;SSF81660	cd02081	Reactome: R-HSA-936837	NA	NA	PR00121;PR00119	TIGR01517;TIGR01494	NA	NA	NA	SFLDF00027;SFLDS00003	NA
maker-NQYS01000002.1-augustus-gene-14.44-mRNA-1	mobidb-lite	Coil	PTHR23065;PTHR23065:SF17	IPR036390	GO:0007165;GO:0035556	PF00620;PF00610;PF00611	G3DSA:1.20.1270.60;G3DSA:1.10.555.10	NA	NA	PS50238;PS51741;PS50186	SM00324;SM00055	NA	SSF46785;SSF103657;SSF48350	cd04399	Reactome: R-HSA-194840	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-36.49-mRNA-1	NA	NA	PTHR13683:SF345;PTHR13683	IPR033121	GO:0004190;GO:0006508	PF00026	G3DSA:2.40.70.10	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	PS51767	NA	PS00141	SSF50630	cd06097	NA	SignalP-noTM	SignalP-TM	PR00792	NA	NA	SignalP-noTM	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-25.32-mRNA-1	NA	NA	PTHR10788;PTHR10788:SF71	IPR001830	GO:0003824;GO:0005992	PF00982	G3DSA:3.40.50.2000	NA	NA	NA	NA	NA	SSF53756	cd03788	KEGG: 00500+2.4.1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-24.24-mRNA-1	mobidb-lite	Coil	PTHR10351:SF48;PTHR10351	IPR001202	GO:0005515	PF00397	G3DSA:2.20.70.10	NA	NA	PS50020	SM00456	PS01159	SSF51045	cd07389;cd00201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
