Gene	MobiDBLite	Phobius	Gene3D	interpro	ProSiteProfiles	Pfam	PANTHER	SUPERFAMILY	CDD	GO	PATHWAY	Coils	ProDom	SMART	TMHMM	ProSitePatterns	SignalP_GRAM_NEGATIVE	SignalP_EUK	SignalP_GRAM_POSITIVE	SFLD	PRINTS	Hamap	PIRSF	TIGRFAM
augustus_masked-NQYQ01000004.1-processed-gene-5.17-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.10190;G3DSA:3.30.210.10;G3DSA:1.10.150.110;G3DSA:1.10.150.20	IPR036420	PS50172	PF14791;PF14716;PF14792;PF10391	PTHR11276:SF28;PTHR11276	SSF81301;SSF47802;SSF81585;SSF52113	cd00141	GO:0003677;GO:0034061;GO:0003887;GO:0006281;GO:0005634	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7	NA	NA	SM00483	NA	NA	NA	NA	NA	NA	PR00869;PR00870	NA	NA	NA
augustus_masked-NQYQ01000007.1-processed-gene-4.22-mRNA-1	mobidb-lite	NA	G3DSA:3.40.1810.10	IPR002100	PS50066	PF00319	PTHR11945:SF277;PTHR11945	SSF55455	cd00265	GO:0003677;GO:0046983;GO:0000977;GO:0045944	Reactome: R-HSA-375170	NA	NA	SM00432	NA	NA	NA	NA	NA	NA	PR00404	NA	NA	NA
maker-NQYQ01000001.1-augustus-gene-10.1-mRNA-1	mobidb-lite	NA	G3DSA:3.40.630.30	IPR016181	PS51726	PF01853	PTHR10615;PTHR10615:SF114	SSF55729	NA	GO:0004402;GO:0006355;GO:0016573	Reactome: R-HSA-3214847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000010.1-augustus-gene-0.28-mRNA-1	NA	NA	G3DSA:3.90.1170.40	IPR028888	NA	PF02391	PTHR23404;PTHR23404:SF2	SSF54690	cd00756	GO:0005829;GO:0006777;GO:0019008;GO:0030366	KEGG: 00790+2.8.1.12|MetaCyc: PWY-6823|MetaCyc: PWY-7887|Reactome: R-HSA-947581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_03052	NA	NA
augustus_masked-NQYQ01000003.1-processed-gene-12.20-mRNA-1	mobidb-lite	NA	G3DSA:2.40.30.10;G3DSA:1.20.990.10;G3DSA:3.40.50.80	IPR001433	PS51384	PF00175;PF00667	PTHR19384;PTHR19384:SF84	SSF63380;SSF52343	NA	GO:0016491;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000007.1-processed-gene-8.45-mRNA-1	mobidb-lite	NA	G3DSA:3.40.1000.50	IPR015257	NA	PF09174	PTHR22504;PTHR22504:SF0	NA	NA	GO:0016480	Reactome: R-HSA-8943724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF037240	NA
augustus_masked-NQYQ01000002.1-processed-gene-10.14-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	IPR030671	NA	PF03911	PTHR13509:SF3;PTHR13509	NA	NA	GO:0005784;GO:0006886	Reactome: R-HSA-1236974|Reactome: R-HSA-1799339|Reactome: R-HSA-381038	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	PIRSF006398	NA
maker-NQYQ01000007.1-augustus-gene-8.28-mRNA-1	NA	NA	G3DSA:3.90.170.10;G3DSA:1.10.300.10;G3DSA:3.40.440.10	IPR001114	NA	PF00709	PTHR11846	SSF52540	cd03108	GO:0004019;GO:0005525;GO:0006164	KEGG: 00230+6.3.4.4|KEGG: 00250+6.3.4.4|MetaCyc: PWY-7219|Reactome: R-HSA-73817	NA	NA	SM00788	NA	PS01266;PS00513	NA	NA	NA	NA	NA	MF_00011	NA	TIGR00184
maker-NQYQ01000001.1-augustus-gene-15.0-mRNA-1	NA	NA	G3DSA:1.10.238.10	IPR018247	PS50222;PS50031	PF12763;PF12761	PTHR11216;PTHR11216:SF74	SSF47473	cd00052	GO:0005509;GO:0005515;GO:0006897;GO:0007015	NA	Coil	NA	SM00027;SM00054	NA	PS00018	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000004.1-processed-gene-6.5-mRNA-1	mobidb-lite	NA	G3DSA:1.20.1050.80;G3DSA:1.10.8.10;G3DSA:1.10.246.120	IPR037191	PS51140;PS51205	PF02204;PF18151;PF02845	PTHR23101;PTHR23101:SF25	SSF46934;SSF109993	cd14369	GO:0005515	Reactome: R-HSA-8876198	NA	NA	SM00167;SM00546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000015.1-processed-gene-1.15-mRNA-1	mobidb-lite	NA	G3DSA:3.90.740.10;G3DSA:3.40.50.620;G3DSA:1.10.730.10;G3DSA:3.10.330.110	IPR002300	NA	PF00133;PF08264;PF13603;PF09334	PTHR43740;PTHR43740:SF2	SSF50677;SSF47323;SSF52374	cd00812	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004823;GO:0006429;GO:0002161	KEGG: 00970+6.1.1.4|Reactome: R-HSA-379726	NA	NA	NA	NA	PS00178	NA	NA	NA	NA	PR00985	MF_00049_B	NA	TIGR00396
augustus_masked-NQYQ01000048.1-processed-gene-0.30-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.300;G3DSA:1.20.120.1080	IPR001650	PS51192;PS51194	PF00270;PF00271;PF04408;PF07717	PTHR18934;PTHR18934:SF99	SSF52540	cd00079;cd00046	GO:0003676;GO:0005524;GO:0004386	NA	Coil	NA	SM00490;SM00382;SM00847;SM00487	NA	PS00690	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000007.1-augustus-gene-6.13-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	G3DSA:3.80.10.10	IPR032675	NA	NA	PTHR31018:SF2;PTHR31018	SSF52058	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
maker-NQYQ01000009.1-augustus-gene-7.57-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR008901	NA	PF05875	PTHR12956;PTHR12956:SF29	NA	NA	GO:0006672;GO:0016021;GO:0016811	Reactome: R-HSA-1660661	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000007.1-processed-gene-3.25-mRNA-1	mobidb-lite	NA	G3DSA:1.10.10.60;G3DSA:3.40.10.10	IPR018060	PS01124	PF00165;PF02805	PTHR11019:SF143;PTHR11019	SSF57884;SSF46689	NA	GO:0003700;GO:0006355;GO:0043565;GO:0003677;GO:0006281;GO:0008168;GO:0008270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000024.1-augustus-gene-2.31-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	IPR004240	NA	PF02990	PTHR10766;PTHR10766:SF55	NA	NA	GO:0016021	NA	NA	NA	NA	TMhelix	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
maker-NQYQ01000010.1-augustus-gene-5.6-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR036259	PS50850	PF00083	PTHR24064:SF337;PTHR24064	SSF103473	cd06174	GO:0005215;GO:0016021;GO:0055085;GO:0022857	NA	NA	NA	NA	TMhelix	PS00217	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000034.1-augustus-gene-1.15-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.410	IPR002035	PS50234;PS50330	PF13519	PTHR10223:SF0;PTHR10223	SSF53300	cd01452	GO:0006511;GO:0008540	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	Coil	NA	SM00327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000014.1-processed-gene-4.12-mRNA-1	mobidb-lite	NA	G3DSA:1.20.1050.130	IPR036282	NA	PF10587;PF00043	PTHR11595;PTHR11595:SF45	SSF47616	cd10308	GO:0003746;GO:0005853;GO:0006414	Reactome: R-HSA-156842	NA	NA	SM01182	NA	PS00824	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000013.1-augustus-gene-3.30-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:3.40.1090.10	IPR016035	PS51635	PF01734;PF11815	PTHR14226:SF43;PTHR14226	SSF52151	cd07232	GO:0006629;GO:0004806	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000012.1-processed-gene-5.15-mRNA-1	mobidb-lite	NA	G3DSA:2.30.29.30	IPR000156	PS50196	PF00638	PTHR23138:SF120;PTHR23138	SSF50729	cd13179	GO:0046907	NA	NA	NA	SM00160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000010.1-augustus-gene-0.26-mRNA-1	mobidb-lite	NA	NA	IPR000467	PS50174	PF01585	PTHR13948:SF3;PTHR13948	SSF54928	NA	GO:0003676	NA	NA	NA	SM00443	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000011.1-augustus-gene-1.1-mRNA-1	mobidb-lite	NA	G3DSA:3.40.30.10	IPR036249	NA	PF10262	PTHR36417	SSF52833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000004.1-processed-gene-14.31-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20	IPR020846	PS50850	PF07690	PTHR23502:SF23;PTHR23502	SSF103473	cd06174	GO:0016021;GO:0055085	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000006.1-augustus-gene-7.7-mRNA-1	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	G3DSA:1.10.238.10	IPR002048	PS50222	NA	PTHR19237:SF20;PTHR19237	SSF47473	NA	GO:0005509	NA	NA	NA	NA	NA	PS00018	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000039.1-processed-gene-0.19-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.60.10.10;G3DSA:2.60.40.10	IPR036691	NA	PF03372	PTHR11200:SF185;PTHR11200	SSF56219	NA	GO:0046856	NA	NA	NA	SM00128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000004.1-processed-gene-9.0-mRNA-1	NA	NA	G3DSA:3.40.350.10	IPR007865	NA	PF05195;PF00557	PTHR43226;PTHR43226:SF3	SSF53092;SSF55920	cd01087	GO:0004177;GO:0030145	NA	NA	NA	SM01011	NA	PS00491	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000013.1-augustus-gene-6.52-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:1.25.10.10;G3DSA:1.10.150.410;G3DSA:2.130.10.10	IPR001680	PS50082;PS51394;PS50294;PS51396	PF09070;PF00400;PF08324	PTHR19849	SSF50978	cd00200	GO:0005515;GO:0043130;GO:0043161	NA	NA	NA	SM00320	TMhelix	NA	NA	NA	NA	NA	PR00320	NA	NA	NA
maker-NQYQ01000029.1-augustus-gene-0.27-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR036305	NA	NA	NA	SSF48097	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000042.1-augustus-gene-0.41-mRNA-1	mobidb-lite	NA	G3DSA:1.10.510.10	IPR000719	PS50032;PS50011	PF12330;PF00069;PF02149	PTHR24343:SF108;PTHR24343	SSF56112;SSF103243	cd12121;cd14077	GO:0004672;GO:0005524;GO:0006468	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	Coil	NA	SM00220	NA	PS00107;PS00108	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000006.1-augustus-gene-4.17-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000001.1-processed-gene-29.0-mRNA-1	mobidb-lite	NA	G3DSA:3.30.70.330	IPR035979	PS50102	PF00076	PTHR45381	SSF54928	cd12245	GO:0003676	NA	NA	NA	SM00360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000003.1-augustus-gene-0.11-mRNA-1	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	G3DSA:3.60.20.40;G3DSA:1.10.246.130	IPR000101	NA	PF01019	PTHR11686;PTHR11686:SF9	SSF56235	NA	GO:0006751;GO:0036374	KEGG: 00430+2.3.2.2|KEGG: 00460+2.3.2.2|KEGG: 00480+2.3.2.2+3.4.19.13|MetaCyc: PWY-4041|MetaCyc: PWY-4061|MetaCyc: PWY-5826|MetaCyc: PWY-6842|MetaCyc: PWY-7112|MetaCyc: PWY-7559|MetaCyc: PWY-8001	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	PR01210	NA	NA	NA
maker-NQYQ01000007.1-augustus-gene-6.6-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.90.550.10	IPR029044	NA	PF03452	PTHR43083:SF4;PTHR43083	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000079.1-processed-gene-0.9-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20	IPR036259	PS50850	PF00083	PTHR23500;PTHR23500:SF162	SSF103473	cd06174	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	Reactome: R-HSA-189200	NA	NA	NA	TMhelix	PS00217	NA	NA	NA	NA	NA	NA	NA	TIGR00879
augustus_masked-NQYQ01000022.1-processed-gene-0.10-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	G3DSA:1.25.40.20	IPR002110	PS50088;PS50297	PF13857;PF00023	PTHR44206:SF2;PTHR44206	SSF48403	cd00204	GO:0005515	NA	Coil	NA	SM00248	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NQYQ01000002.1-augustus-gene-4.22-mRNA-1	NA	NA	G3DSA:3.30.428.10	IPR001310	PS51084	PF01230	PTHR23089;PTHR23089:SF21	SSF54197	NA	GO:0003824	NA	NA	NA	NA	NA	PS00892	NA	NA	NA	NA	PR00332	NA	NA	NA
augustus_masked-NQYQ01000012.1-processed-gene-4.30-mRNA-1	mobidb-lite	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	IPR000719	PS50011	PF00069	PTHR24361;PTHR24361:SF633	SSF56112	cd06609	GO:0004672;GO:0005524;GO:0006468	NA	Coil	NA	SM00220	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF000615	NA
augustus_masked-NQYQ01000015.1-processed-gene-5.34-mRNA-1	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	G3DSA:1.20.1150.12;G3DSA:3.40.30.10	IPR005788	PS51352	PF00085;PF07749	PTHR18929:SF187;PTHR18929	SSF52833;SSF47933	cd00238;cd02998	GO:0016853;GO:0005783;GO:0045454	NA	Coil	NA	NA	NA	PS00194	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	PR00421	NA	NA	TIGR01126
augustus_masked-NQYQ01000019.1-processed-gene-4.44-mRNA-1	mobidb-lite	NA	G3DSA:3.30.1520.10;G3DSA:1.20.1270.60	IPR036871	PS50195	PF09325;PF00787	PTHR10555:SF167;PTHR10555	SSF64268	cd06867	GO:0035091	NA	Coil	NA	SM00312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000006.1-augustus-gene-1.5-mRNA-1	mobidb-lite	NA	G3DSA:3.80.10.10	IPR001611	NA	PF13516;PF12937	PTHR44001	SSF81383;SSF52047	NA	GO:0005515	NA	NA	NA	SM00367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000004.1-processed-gene-13.37-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.10.350.10	IPR018392	PS51782	PF04161	PTHR14467	NA	cd00118		Reactome: R-HSA-191273	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000024.1-augustus-gene-0.3-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR001594	PS50216	PF01529	PTHR22883;PTHR22883:SF23	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000043.1-processed-gene-0.7-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20	IPR020846	PS50850	PF07690	PTHR23501:SF60;PTHR23501	SSF103473	cd06174	GO:0016021;GO:0055085	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000014.1-augustus-gene-5.45-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	IPR017871	PS50929;PS50893	PF00005;PF00664	PTHR24221;PTHR24221:SF400	SSF52540;SSF90123	cd03249	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	Coil	NA	SM00382	TMhelix	PS00211	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000112.1-augustus-gene-0.7-mRNA-1	mobidb-lite	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	IPR000719	PS50011	PF00069	PTHR24356;PTHR24356:SF163	SSF56112	cd05581	GO:0004672;GO:0005524;GO:0006468;GO:0004674	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	NA	SM00220	NA	PS00107;PS00108	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000010.1-processed-gene-1.18-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	PTHR13856:SF91;PTHR13856	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000017.1-augustus-gene-3.26-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR002656	NA	PF01757	PTHR23028:SF53;PTHR23028	NA	NA	GO:0016747	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000006.1-processed-gene-4.35-mRNA-1	mobidb-lite	NA	G3DSA:3.30.40.10;G3DSA:2.60.120.650	IPR003349	PS51184;PS51183	PF02373;PF02375	PTHR10694;PTHR10694:SF7	SSF51197	cd15571		Reactome: R-HSA-3214842	Coil	NA	SM00545;SM00558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
