Gene	interpro	GO	PATHWAY	Pfam	MobiDBLite	Gene3D	PANTHER	Coils	ProSiteProfiles	SMART	ProSitePatterns	CDD	SUPERFAMILY	Phobius	TMHMM	PRINTS	ProDom	TIGRFAM	Hamap	SignalP_GRAM_POSITIVE	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD
augustus_masked-NODE_289_length_38772_cov_41.896416-processed-gene-0.6-mRNA-1	IPR039698	GO:0003865;GO:0006488	MetaCyc: PWY-6129|Reactome: R-HSA-193048|Reactome: R-HSA-446199|Reactome: R-HSA-4755579	NA	NA	NA	PTHR14624	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_286098_cov_42.192198-augustus-gene-1.33-mRNA-1	IPR013057	NA	NA	PF01490	mobidb-lite	NA	PTHR22950:SF54;PTHR22950	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_31_length_231802_cov_44.290014-augustus-gene-0.3-mRNA-1	IPR018181		Reactome: R-HSA-3371453	PF00012	mobidb-lite	G3DSA:3.30.420.40;G3DSA:3.90.640.10;G3DSA:2.60.34.10;G3DSA:3.30.30.30;G3DSA:1.20.1270.10	PTHR19375;PTHR19375:SF333	Coil	NA	NA	PS00297;PS01036;PS00329	NA	SSF100934;SSF100920;SSF53067	NA	NA	PR00301	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NODE_114_length_116814_cov_45.725274-augustus-gene-0.2-mRNA-1	IPR013785	GO:0003824;GO:0018580;GO:0055114	NA	PF03060	NA	G3DSA:3.20.20.70	PTHR32332;PTHR32332:SF28	NA	NA	NA	NA	cd04730	SSF51412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_92_length_138825_cov_44.010375-augustus-gene-0.9-mRNA-1	IPR001925	GO:0005741;GO:0008308;GO:0098656;GO:0055085	Reactome: R-HSA-5689880|Reactome: R-HSA-8949215	PF01459	NA	G3DSA:2.40.160.10	PTHR11743;PTHR11743:SF23	NA	NA	NA	NA	cd07306	NA	NA	NA	PR00185	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_19_length_288435_cov_45.044945-processed-gene-0.7-mRNA-1	IPR004179	GO:0003676;GO:0005524	NA	PF00271;PF02889;PF00270	mobidb-lite	G3DSA:3.40.50.300;G3DSA:1.10.10.2530;G3DSA:2.60.40.150;G3DSA:1.10.3380.10	PTHR24075:SF6;PTHR24075	NA	PS51192;PS51194	SM00973;SM00490;SM00487;SM00382	NA	cd00046;cd00079	SSF46785;SSF52540;SSF158702;SSF81296	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	PIRSF039073	NA	NA	NA
maker-NODE_78_length_154407_cov_40.081320-augustus-gene-0.38-mRNA-1	IPR017972	GO:0016705;GO:0055114;GO:0005506;GO:0020037	NA	PF00067	NA	G3DSA:1.10.630.10	PTHR24287	NA	NA	NA	PS00086	NA	SSF48264	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_426693_cov_41.447760-processed-gene-2.19-mRNA-1	IPR019145	GO:0003712;GO:0006357;GO:0016592	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	PF09748	mobidb-lite	NA	PTHR13345;PTHR13345:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_294554_cov_39.447357-augustus-gene-0.26-mRNA-1	IPR014722	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0003723	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF01929	NA	G3DSA:2.30.30.30	PTHR11127	NA	NA	NA	NA	cd06088	SSF50104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_205_length_65867_cov_45.926240-processed-gene-0.20-mRNA-1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	mobidb-lite	G3DSA:1.10.630.10	PTHR24279;PTHR24279:SF86	NA	NA	NA	PS00086	NA	SSF48264	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	TMhelix	PR00463	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_386774_cov_43.091587-processed-gene-2.17-mRNA-1	IPR009000	GO:0000493;GO:0003723;GO:0005732;GO:0042254;GO:0001522	NA	PF04410	mobidb-lite	G3DSA:2.40.10.230	PTHR31633	NA	NA	NA	NA	NA	SSF50447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_76_length_158028_cov_43.019804-augustus-gene-0.13-mRNA-1	IPR007653	GO:0005787;GO:0006465;GO:0008233;GO:0016021	Reactome: R-HSA-1799339|Reactome: R-HSA-381771|Reactome: R-HSA-400511|Reactome: R-HSA-422085	PF04573	mobidb-lite	NA	PTHR12804;PTHR12804:SF0	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	NA	NA	PIRSF016089	NA	NA	NA
maker-NODE_6_length_434743_cov_44.004834-augustus-gene-3.5-mRNA-1	IPR011108	GO:0005847;GO:0006378;GO:0006379	Reactome: R-HSA-109688|Reactome: R-HSA-159231|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	PF07521;PF10996;PF13299;PF16661	mobidb-lite	G3DSA:3.60.15.10	PTHR11203:SF5;PTHR11203	NA	NA	SM01027	NA	cd16293	SSF56281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_544021_cov_44.932404-augustus-gene-1.12-mRNA-1	IPR008521	GO:0015095;GO:0015693;GO:0016021	Reactome: R-HSA-5223345	PF05653	mobidb-lite	NA	PTHR12570;PTHR12570:SF9	NA	NA	NA	NA	NA	SSF103481	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_389_length_18749_cov_47.899903-processed-gene-0.1-mRNA-1	IPR023601	GO:0000139;GO:0005801;GO:0006888;GO:0016021	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438	PF12352	NA	NA	PTHR21094;PTHR21094:SF0	Coil	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	PIRSF027109	NA	NA	NA
maker-NODE_9_length_415362_cov_42.193286-augustus-gene-3.8-mRNA-1	IPR033130	GO:0003723;GO:0033897	Reactome: R-HSA-6798695	PF00445	NA	G3DSA:3.90.730.10	PTHR11240:SF17;PTHR11240	NA	NA	NA	PS00531;PS00530	cd01061	SSF55895	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_317028_cov_42.556145-augustus-gene-2.35-mRNA-1	IPR003428	GO:0005759	Reactome: R-HSA-140837	PF02330	mobidb-lite	G3DSA:3.10.280.10	PTHR10826:SF1;PTHR10826	NA	NA	NA	NA	NA	SSF54529	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NODE_485_length_5554_cov_41.495486-augustus-gene-0.2-mRNA-1	IPR002132	GO:0003735;GO:0005840;GO:0006412;GO:0005622	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00673;PF00281	NA	G3DSA:3.30.1440.10	PTHR11994:SF10;PTHR11994	NA	NA	NA	PS00358	NA	SSF55282	NA	NA	NA	NA	NA	NA	NA	PIRSF002161	NA	NA	NA
augustus_masked-NODE_67_length_169658_cov_42.682217-processed-gene-0.24-mRNA-1	IPR020683	GO:0005515	NA	PF13637;PF12796	NA	G3DSA:1.25.40.20	PTHR44294	NA	PS50297;PS50088	SM00248	NA	cd00204	SSF140860;SSF48403	NA	NA	PR01415	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_368_length_22067_cov_43.221194-augustus-gene-0.11-mRNA-1	IPR007319	GO:0006364;GO:0032040;GO:0005515	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PF04192;PF00400	mobidb-lite	G3DSA:2.130.10.10	PTHR22840	NA	PS50082;PS50294	SM00320	PS00678	NA	SSF50998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_100_length_131857_cov_44.196493-augustus-gene-0.34-mRNA-1	IPR004152	GO:0005622;GO:0006886	NA	PF00790	mobidb-lite	G3DSA:1.25.40.90	PTHR13856;PTHR13856:SF46	Coil	PS50909;PS50179	SM00288	NA	cd14232;cd03561	SSF89009;SSF48464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_295_length_37492_cov_37.422079-augustus-gene-0.0-mRNA-1	IPR037191	GO:0005515;GO:0035091	Reactome: R-HSA-8876198	PF13857;PF02204	mobidb-lite	G3DSA:1.20.1050.80;G3DSA:1.25.40.20;G3DSA:3.30.1520.10	PTHR24170	Coil	PS51205;PS50297	SM00248	NA	cd06093;cd00204	SSF48403;SSF64268;SSF109993	NA	NA	NA	PD127710	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_35_length_223459_cov_41.673714-processed-gene-0.28-mRNA-1	IPR036188	GO:0071949	NA	PF01494	NA	G3DSA:3.50.50.60	PTHR13789:SF257;PTHR13789	NA	NA	NA	NA	NA	SSF51905	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_81_length_153323_cov_42.777344-augustus-gene-0.57-mRNA-1	IPR021109	GO:0004190;GO:0006508	NA	PF00026	mobidb-lite	G3DSA:2.40.70.10	PTHR13683:SF326;PTHR13683	NA	PS51767	NA	PS00141	NA	SSF50630	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	PR00792	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_56_length_184398_cov_43.089634-processed-gene-0.47-mRNA-1	IPR023393		Reactome: R-HSA-611105	PF03364	mobidb-lite	G3DSA:3.30.530.20	PTHR12901;PTHR12901:SF10	NA	PS51257	NA	NA	cd07813	SSF55961	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA	NA
maker-NODE_242_length_52377_cov_43.337512-augustus-gene-0.8-mRNA-1	IPR013783	GO:0008270	NA	PF16158;PF00569	mobidb-lite	G3DSA:2.60.40.10;G3DSA:3.30.60.90	PTHR20930:SF0;PTHR20930	NA	PS50135	SM00291	NA	cd02340;cd02249;cd14947	SSF57850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_426693_cov_41.447760-processed-gene-0.12-mRNA-1	IPR000873	GO:0003824	NA	PF00501;PF06464	mobidb-lite	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	PTHR42665:SF7;PTHR42665	Coil	NA	SM01137	NA	NA	SSF56801	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_89_length_141804_cov_38.958490-processed-gene-0.1-mRNA-1	IPR036890	GO:0006298;GO:0007131;GO:0032300;GO:0005524;GO:0016887	Reactome: R-HSA-912446	PF08676;PF13589	mobidb-lite	G3DSA:3.30.565.10;G3DSA:2.30.42.20;G3DSA:3.30.1370.100	PTHR10073:SF7;PTHR10073	NA	NA	SM00853	NA	cd00075	SSF118116;SSF55874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_112_length_118339_cov_44.659595-augustus-gene-0.37-mRNA-1	IPR034804	GO:0016020;GO:0005740;GO:0016021	Reactome: R-HSA-611105|Reactome: R-HSA-71403	PF05328	NA	G3DSA:1.20.1300.10	PTHR13337	NA	NA	NA	NA	cd03496	SSF81343	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NODE_345_length_26226_cov_42.920265-augustus-gene-0.4-mRNA-1	IPR003807	NA	NA	PF02656;PF09359	mobidb-lite	G3DSA:2.40.320.20	PTHR10783;PTHR10783:SF45	Coil	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_161_length_84379_cov_41.642026-processed-gene-0.17-mRNA-1	IPR001214	GO:0005515;GO:0005634;GO:0008270;GO:0018024;GO:0034968	KEGG: 00310+2.1.1.43|Reactome: R-HSA-3214841	PF00856;PF05033	mobidb-lite	NA	PTHR44253	Coil	PS50280	SM00468;SM00317	NA	NA	SSF82199	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_28_length_243238_cov_40.815841-processed-gene-0.0-mRNA-1	IPR002108	GO:0003779;GO:0005622;GO:0016021;GO:0055085;GO:0003824;GO:0006281;GO:0006284;GO:0016787	Reactome: R-HSA-110330|Reactome: R-HSA-110331|Reactome: R-HSA-110357	PF00241;PF07690;PF00730	mobidb-lite	G3DSA:1.10.340.30;G3DSA:1.10.1670.10;G3DSA:3.40.20.10	PTHR42944	NA	PS51263	SM00478;SM00102	NA	cd03431;cd06174;cd11282;cd00056	SSF48150;SSF103473;SSF55811;SSF55753	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_20_length_286098_cov_42.192198-processed-gene-1.10-mRNA-1	IPR018136	GO:0004409;GO:0009085;GO:0051539	KEGG: 00290+4.2.1.33	PF00330;PF00694	NA	G3DSA:3.30.499.10;G3DSA:3.20.19.10;G3DSA:3.30.499.20	PTHR43822:SF2;PTHR43822	Coil	NA	NA	PS00450;PS01244	cd01674	SSF52016;SSF53732	NA	NA	PR00415	NA	TIGR00139	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_97_length_135528_cov_42.080103-processed-gene-0.10-mRNA-1	IPR040058	GO:0003723;GO:0003676;GO:0006397	NA	PF01585;PF07713	mobidb-lite	NA	PTHR13384:SF19;PTHR13384	NA	PS50174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_365_length_22948_cov_43.774506-processed-gene-0.2-mRNA-1	IPR001461	GO:0004190;GO:0006508	NA	PF00026	NA	G3DSA:2.40.70.10	PTHR13683:SF345;PTHR13683	NA	PS51767	NA	PS00141	cd06097	SSF50630	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	PR00792	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	SignalP-noTM	NA
maker-NODE_51_length_187746_cov_45.782346-augustus-gene-0.57-mRNA-1	IPR025527	GO:0004842	MetaCyc: PWY-7511|Reactome: R-HSA-983168	PF14377;PF06025;PF00632;PF06012	mobidb-lite	G3DSA:3.90.1750.10;G3DSA:3.30.2160.10	PTHR11254;PTHR11254:SF291	Coil	PS50237	SM00119	NA	NA	SSF56204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_167_length_82306_cov_41.323039-processed-gene-0.0-mRNA-1	IPR005556	NA	NA	PF03856	mobidb-lite	NA	PTHR31316:SF0;PTHR31316	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	SignalP-noTM	NA
maker-NODE_57_length_181680_cov_47.276316-augustus-gene-0.44-mRNA-1	IPR013057	NA	NA	PF01490	NA	NA	PTHR22950;PTHR22950:SF20	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_326_length_29824_cov_42.581675-augustus-gene-0.8-mRNA-1	IPR032880	GO:0016020	NA	PF13967;PF12621;PF14703;PF02714	mobidb-lite	NA	PTHR13018:SF53;PTHR13018	Coil	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_66_length_170454_cov_34.390649-augustus-gene-0.24-mRNA-1	IPR020846	GO:0016021;GO:0055085	NA	PF07690	mobidb-lite	G3DSA:1.20.1250.20	PTHR23502;PTHR23502:SF59	NA	PS50850	NA	NA	cd06174	SSF103473	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_39_length_215932_cov_41.055295-processed-gene-0.9-mRNA-1	IPR002641	GO:0006629;GO:0004806	NA	PF11815;PF01734	NA	G3DSA:3.40.1090.10	PTHR14226:SF44;PTHR14226	NA	PS51635	NA	NA	cd07229	SSF52151	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_286098_cov_42.192198-augustus-gene-1.44-mRNA-1	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	Reactome: R-HSA-189200	PF00083	NA	G3DSA:1.20.1250.20	PTHR23500:SF35;PTHR23500	NA	PS50850	NA	PS00216;PS00217	cd06174	SSF103473	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	PR00171	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_411_length_15989_cov_41.151116-augustus-gene-0.0-mRNA-1	IPR002995	GO:0016021	Reactome: R-HSA-6798695|Reactome: R-HSA-6811434	PF02077	NA	NA	PTHR23427;PTHR23427:SF1	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_288_length_39234_cov_37.425423-processed-gene-0.1-mRNA-1	IPR007751	NA	NA	PF05057	NA	G3DSA:3.40.50.1820	PTHR12482:SF4;PTHR12482	NA	NA	NA	NA	NA	SSF53474	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_102_length_129857_cov_47.341949-processed-gene-0.33-mRNA-1	IPR035940	NA	NA	PF00188	NA	G3DSA:3.40.33.10	PTHR10334:SF312;PTHR10334	NA	NA	SM00198	NA	NA	SSF55797	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	PR00837	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA
augustus_masked-NODE_204_length_65881_cov_43.187973-processed-gene-0.9-mRNA-1	IPR036869	NA	NA	PF00226	mobidb-lite	G3DSA:1.10.287.110	PTHR24074:SF16;PTHR24074	Coil	PS50076	SM00271	PS00636	cd06257	SSF46565	NA	NA	PR00625	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_212_length_63430_cov_46.256212-augustus-gene-0.3-mRNA-1	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	mobidb-lite	G3DSA:1.10.510.10	PTHR43289;PTHR43289:SF1	NA	PS50011	NA	NA	cd00180	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_200_length_68174_cov_42.756213-augustus-gene-0.19-mRNA-1	IPR013328	GO:0016491;GO:0055114;GO:0004367;GO:0006072;GO:0009331;GO:0005975;GO:0016616;GO:0046168;GO:0051287	KEGG: 00564+1.1.1.94|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-7902|Reactome: R-HSA-1483166	PF07479;PF01210	mobidb-lite	G3DSA:1.10.1040.10	PTHR11728:SF8;PTHR11728	NA	NA	NA	PS00957	NA	SSF48179;SSF51735	NA	NA	PR00077	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_53_length_186403_cov_37.739988-processed-gene-0.23-mRNA-1	IPR024969	GO:0005515	NA	PF13012;PF01398	mobidb-lite	G3DSA:3.40.140.10	PTHR10410;PTHR10410:SF5	NA	PS50249	SM00232	NA	cd08069	SSF102712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
