Gene	MobiDBLite	TMHMM	interpro	GO	Pfam	Phobius	SUPERFAMILY	PANTHER	Gene3D	ProSitePatterns	PRINTS	SMART	ProSiteProfiles	CDD	Coils	TIGRFAM	PATHWAY	Hamap	SFLD	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	ProDom
maker-scaffold274-snap-gene-0.6-mRNA-1	NA	NA	IPR016305	GO:0004476;GO:0009298;GO:0005975;GO:0008270	PF01238	NA	SSF51182	PTHR10309;PTHR10309:SF0	G3DSA:2.60.120.10;G3DSA:1.10.441.10	PS00965	PR00714	NA	NA	NA	NA	TIGR00218	KEGG: 00051+5.3.1.8|KEGG: 00520+5.3.1.8|MetaCyc: PWY-3861|MetaCyc: PWY-3881|MetaCyc: PWY-5659|MetaCyc: PWY-6992|MetaCyc: PWY-7456|MetaCyc: PWY-7586|MetaCyc: PWY-882|Reactome: R-HSA-4043916|Reactome: R-HSA-446205	NA	NA	PIRSF001480	NA	NA	NA	NA
snap_masked-scaffold424-processed-gene-0.39-mRNA-1	mobidb-lite	TMhelix	IPR002076	GO:0016021	PF01151	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	PTHR11157;PTHR11157:SF38	NA	NA	NA	NA	NA	NA	Coil	NA	KEGG: 00062+2.3.1.199|MetaCyc: PWY-5080|MetaCyc: PWY-5972|MetaCyc: PWY-6433|MetaCyc: PWY-6598|MetaCyc: PWY-7036|MetaCyc: PWY-7601|MetaCyc: PWY-7602|MetaCyc: PWY-7619|MetaCyc: PWY-7724|MetaCyc: PWY-7725|Reactome: R-HSA-75876	NA	NA	NA	NA	NA	NA	NA
maker-scaffold30-snap-gene-0.249-mRNA-1	mobidb-lite	NA	IPR001214	GO:0005515;GO:0018024;GO:0034968;GO:0048188	PF11764;PF00856;PF11767	NA	SSF82199	PTHR22884;PTHR22884:SF462	G3DSA:2.170.270.10;G3DSA:3.30.70.330	NA	NA	SM00508;SM01291;SM00317	PS50280;PS51572;PS50868	NA	Coil	NA	KEGG: 00310+2.1.1.43	NA	NA	PIRSF037104	NA	NA	NA	NA
maker-scaffold490-snap-gene-0.21-mRNA-1	mobidb-lite	TMhelix	IPR018825	NA	PF10348;PF10355	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	PTHR31685;PTHR31685:SF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold121-snap-gene-0.82-mRNA-1	mobidb-lite	NA	IPR036070	GO:0000244;GO:0000398;GO:0046540	PF09785;PF01798	NA	SSF89124	PTHR13904	G3DSA:1.10.287.660;G3DSA:1.10.150.460;G3DSA:1.10.246.90	NA	NA	SM00931	PS51358	NA	NA	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA
maker-scaffold262-augustus-gene-0.25-mRNA-1	NA	TMhelix	IPR004813	GO:0055085	PF03169	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	PTHR22601;PTHR22601:SF48	NA	NA	NA	NA	NA	NA	NA	TIGR00727;TIGR00728	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold1-snap-gene-0.219-mRNA-1	NA	NA	IPR002312	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0016874;GO:0005737	PF00152	NA	SSF55681	PTHR22594;PTHR22594:SF5	G3DSA:3.30.1360.30;G3DSA:3.30.930.10	NA	PR01042	NA	PS50862	NA	NA	TIGR00459	Reactome: R-HSA-379726	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold53-processed-gene-0.191-mRNA-1	NA	NA	IPR004790	GO:0004450;GO:0006102;GO:0055114;GO:0016616	PF00180	NA	SSF53659	PTHR11822	G3DSA:3.40.718.10	NA	NA	SM01329	NA	NA	NA	TIGR00127	KEGG: 00020+1.1.1.42|KEGG: 00480+1.1.1.42|KEGG: 00720+1.1.1.42|MetaCyc: PWY-5913|MetaCyc: PWY-6549|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7124|MetaCyc: PWY-7254|MetaCyc: PWY-7268	NA	NA	PIRSF000108	NA	NA	NA	NA
maker-scaffold67-snap-gene-0.7-mRNA-1	NA	NA	IPR004203	GO:0004129	PF02936	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	SSF81406	PTHR10707:SF10;PTHR10707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
augustus_masked-scaffold71-processed-gene-0.8-mRNA-1	mobidb-lite	NA	IPR027417	GO:0005634;GO:0042254;GO:0005525	PF04950;PF08142	NA	SSF52540	PTHR12858:SF2;PTHR12858	G3DSA:3.40.50.300	NA	NA	SM01362;SM00785	PS51714	cd01882	Coil	NA	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA
maker-scaffold141-snap-gene-0.6-mRNA-1	mobidb-lite	NA	IPR009448	GO:0003980;GO:0006486	PF18403;PF18401;PF06427;PF18402;PF18404;PF18400	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	SSF53448	PTHR11226;PTHR11226:SF0	G3DSA:3.90.550.10	NA	NA	NA	NA	cd06432	NA	NA	Reactome: R-HSA-901032	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA
augustus_masked-scaffold344-processed-gene-0.79-mRNA-1	mobidb-lite	TMhelix	IPR021261	NA	PF10998	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	PTHR31201;PTHR31201:SF1	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold263-augustus-gene-0.38-mRNA-1	NA	TMhelix	IPR009600	GO:0016021;GO:0016255;GO:0042765	PF06728	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	PTHR13121	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-162791	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold132-processed-gene-0.119-mRNA-1	mobidb-lite	NA	IPR024555	NA	PF12828;PF12825	NA	NA	PTHR11632;PTHR11632:SF61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold246-processed-gene-0.19-mRNA-1	NA	NA	IPR029063	NA	PF13489	NA	SSF53335	PTHR43591:SF14;PTHR43591	G3DSA:3.40.50.150	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold80-processed-gene-0.122-mRNA-1	mobidb-lite	NA	IPR000432	GO:0005524;GO:0006298;GO:0030983	PF05188;PF01624;PF00488;PF05192	NA	SSF53150;SSF48334;SSF55271;SSF52540	PTHR11361;PTHR11361:SF34	G3DSA:3.40.50.300;G3DSA:3.30.420.110;G3DSA:3.40.1170.10	PS00486	NA	SM00534;SM00533	NA	NA	Coil	NA	Reactome: R-HSA-5632928	NA	NA	PIRSF037677	NA	NA	NA	NA
snap_masked-scaffold1-processed-gene-0.207-mRNA-1	mobidb-lite	TMhelix	IPR000133	GO:0006621;GO:0016021;GO:0046923	PF00810	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	PTHR10585:SF30;PTHR10585	NA	NA	PR00660	NA	NA	NA	NA	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	NA	NA	NA	NA	NA	NA
maker-scaffold361-augustus-gene-0.1-mRNA-1	mobidb-lite	NA	IPR036910	NA	PF00505	NA	SSF47095	NA	G3DSA:1.10.30.10	NA	NA	SM00398	PS50118	cd01390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold29-processed-gene-0.21-mRNA-1	NA	TMhelix	IPR036259	GO:0016021;GO:0055085	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF103473	PTHR43791;PTHR43791:SF23	G3DSA:1.20.1250.20	NA	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold313-processed-gene-0.11-mRNA-1	mobidb-lite	NA	IPR001611	GO:0005515	PF13855	NA	SSF52058	PTHR44126	G3DSA:3.80.10.10	NA	NA	SM00369;SM00364	PS51450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold18-processed-gene-0.50-mRNA-1	mobidb-lite	TMhelix	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold71-augustus-gene-0.30-mRNA-1	NA	NA	IPR000182	NA	PF00583	NA	SSF55729	PTHR23091:SF280;PTHR23091	G3DSA:3.40.630.30	NA	NA	NA	PS51186	cd04301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold46-processed-gene-0.182-mRNA-1	mobidb-lite	NA	IPR010987	GO:0000049	PF01588	NA	SSF50249;SSF47616	PTHR11586;PTHR11586:SF1	G3DSA:2.40.50.140;G3DSA:1.20.1050.130	NA	NA	NA	PS50405;PS50886	cd02799;cd10304	NA	NA	Reactome: R-HSA-379716	NA	NA	NA	NA	NA	NA	NA
maker-scaffold48-augustus-gene-0.207-mRNA-1	mobidb-lite	NA	IPR014001	GO:0003676;GO:0005524	PF00270;PF00271	NA	SSF52540	PTHR24031:SF78;PTHR24031	G3DSA:3.40.50.300	PS00039	NA	SM00487;SM00490	PS51192;PS51195;PS51194	cd00079;cd00268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold154-augustus-gene-0.82-mRNA-1	NA	NA	IPR002110	GO:0005515	PF13637;PF12796	NA	SSF48403	PTHR44187	G3DSA:1.25.40.20	NA	PR01415	SM00248	PS50088;PS50297	cd00204	NA	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	PIRSF000654	NA	NA	NA	NA
snap_masked-scaffold14-processed-gene-0.66-mRNA-1	NA	NA	IPR038275	GO:0000776;GO:0031262	PF18595;PF03800	NA	NA	PTHR21650;PTHR21650:SF2	G3DSA:1.10.418.60	NA	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA
maker-scaffold89-snap-gene-0.112-mRNA-1	NA	NA	IPR022742	NA	PF12146	NA	SSF53474	PTHR12277;PTHR12277:SF81	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold27-snap-gene-0.230-mRNA-1	NA	NA	IPR012340	GO:0003723;GO:0004540;GO:0003676	PF00773;PF17215;PF17216;PF17849;PF13638	NA	SSF50249;SSF88723	PTHR23355:SF35;PTHR23355	G3DSA:3.40.50.1010;G3DSA:2.40.50.700;G3DSA:2.40.50.690;G3DSA:2.40.50.140	PS01175	NA	SM00955;SM00670	PS50126	cd09862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold108-snap-gene-0.104-mRNA-1	mobidb-lite	NA	IPR013535	GO:0005515;GO:0043130;GO:0043161	PF00400;PF08324;PF09070	NA	SSF50978	PTHR19849	G3DSA:2.130.10.10;G3DSA:1.25.10.10;G3DSA:1.10.150.410	PS00678	PR00320	SM00320	PS51396;PS50082;PS51394;PS50294	cd00200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold79-processed-gene-0.0-mRNA-1	NA	NA	IPR016715	GO:0003847;GO:0016042	PF03403	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF53474	PTHR10272;PTHR10272:SF11	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	KEGG: 00565+3.1.1.47	NA	NA	PIRSF018169	NA	NA	NA	NA
maker-scaffold207-snap-gene-0.118-mRNA-1	mobidb-lite	NA	IPR001650	GO:0003677;GO:0031491;GO:0043044;GO:0003676;GO:0005524;GO:0005634;GO:0006338;GO:0016818	PF09110;PF09111;PF00176;PF00271	NA	SSF46689;SSF52540;SSF101224	PTHR10799:SF856;PTHR10799	G3DSA:1.10.1040.30;G3DSA:1.10.10.60;G3DSA:3.40.50.300;G3DSA:3.40.50.10810	NA	NA	SM00717;SM00490;SM00487	PS51194;PS51293;PS51192	cd00167;cd00079;cd00046	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold662-snap-gene-0.4-mRNA-1	mobidb-lite	NA	IPR036638	GO:0046983	PF00010	NA	SSF47459	PTHR10985:SF124;PTHR10985	G3DSA:4.10.280.10	NA	NA	SM00353	PS50888	cd00083	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold28-snap-gene-0.118-mRNA-1	mobidb-lite	NA	IPR017986	GO:0005515;GO:0005669	PF04494;PF00400;PF08513	NA	SSF160897;SSF50978	PTHR19879;PTHR19879:SF1	G3DSA:1.25.40.500;G3DSA:2.130.10.10	PS00678	PR00320	SM00320;SM00667	PS50294;PS50082;PS50896	cd08044;cd00200	NA	NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-6807505|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold208-processed-gene-0.25-mRNA-1	NA	TMhelix	IPR008754	GO:0008237	PF05572	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	SSF55486	PTHR19325;PTHR19325:SF492	G3DSA:3.40.390.10	NA	NA	NA	NA	cd04275	NA	NA	Reactome: R-HSA-381426	NA	NA	NA	SignalP-TM	NA	SignalP-TM	NA
snap_masked-scaffold9-processed-gene-0.26-mRNA-1	NA	NA	IPR032259	GO:0003860;GO:0003824	PF16113	NA	SSF52096	PTHR43176:SF3;PTHR43176	G3DSA:3.90.226.10	PS00166	NA	NA	NA	cd06558	NA	NA	Reactome: R-HSA-70895	NA	NA	NA	NA	NA	NA	NA
maker-scaffold245-augustus-gene-0.60-mRNA-1	NA	NA	IPR012341	GO:0003824	PF06824	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	SSF48208	PTHR31047	G3DSA:1.50.10.10	NA	NA	SM01149	NA	NA	NA	NA	NA	NA	NA	PIRSF028846	NA	SignalP-noTM	SignalP-noTM	NA
maker-scaffold160-augustus-gene-0.35-mRNA-1	mobidb-lite	NA	IPR031327	GO:0003677;GO:0005524;GO:0006270;GO:0006260;GO:0003678;GO:0005634;GO:0042555	PF00493;PF17855;PF14551;PF17207;PF18263	NA	SSF52540;SSF50249	PTHR11630;PTHR11630:SF43	G3DSA:2.40.50.140;G3DSA:1.20.58.870;G3DSA:3.40.50.300;G3DSA:3.30.1640.10;G3DSA:2.20.28.10	PS00847	PR01662;PR01657	SM00350	PS50051	NA	NA	NA	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	NA	NA	NA	NA	NA	NA	NA
maker-scaffold55-augustus-gene-0.57-mRNA-1	NA	NA	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	PF00743	NA	SSF51905	PTHR42877;PTHR42877:SF5	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold20-snap-gene-0.206-mRNA-1	NA	NA	IPR010987	GO:0004364;GO:0005515	PF13410;PF13409	NA	SSF52833;SSF47616	PTHR32419;PTHR32419:SF6	G3DSA:3.40.30.130;G3DSA:1.20.1050.10	NA	NA	NA	PS50405	cd03190	NA	NA	NA	NA	NA	PIRSF015753	NA	NA	NA	NA
snap_masked-scaffold36-processed-gene-0.38-mRNA-1	mobidb-lite	NA	IPR027417	GO:0003676;GO:0005524	PF02889;PF00271;PF00270	NA	SSF52540;SSF158702;SSF46785;SSF81296	PTHR24075;PTHR24075:SF6	G3DSA:1.10.10.2530;G3DSA:1.10.3380.10;G3DSA:2.60.40.150;G3DSA:3.40.50.300	NA	NA	SM00382;SM00973;SM00490;SM00487	PS51192;PS51194	cd00046;cd00079	NA	NA	NA	NA	NA	PIRSF039073	NA	NA	NA	NA
