Gene	interpro	GO	SUPERFAMILY	Pfam	PANTHER	Gene3D	SignalP_GRAM_POSITIVE	CDD	MobiDBLite	SMART	ProSiteProfiles	Phobius	ProSitePatterns	Coils	TMHMM	PATHWAY	PRINTS	SignalP_EUK	SignalP_GRAM_NEGATIVE	TIGRFAM	Hamap	ProDom	PIRSF	SFLD
augustus_masked-NODE_6_length_849364_cov_61.265323-processed-gene-0.20-mRNA-1	IPR001680	GO:0005515	SSF50978	NA	PTHR12442;PTHR12442:SF22	G3DSA:2.130.10.10	NA	NA	mobidb-lite	SM00320	PS50082;PS50294	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1091443_cov_63.945247-processed-gene-4.18-mRNA-1	IPR027417	GO:0005524;GO:0016887	SSF52540	PF12848;PF00005	PTHR19211:SF94;PTHR19211	G3DSA:3.40.50.300	NA	cd03221	mobidb-lite	SM00382	PS50893	NA	PS00211	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_46_length_207988_cov_63.319781-processed-gene-0.11-mRNA-1	IPR011537	GO:0010181;GO:0016651;GO:0051287;GO:0051539;GO:0055114;GO:0000145;GO:0006887;GO:0008137	SSF142019;SSF142984;SSF140490	PF10589;PF09763;PF01512;PF10531	PTHR11780;PTHR11780:SF10	G3DSA:2.30.29.90;G3DSA:1.20.1440.230;G3DSA:3.40.50.11540;G3DSA:3.10.20.600	NA	NA	NA	SM00928	NA	NA	PS00644;PS00645	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	TIGR01959	NA	NA	NA	NA
augustus_masked-NODE_44_length_216199_cov_63.927089-processed-gene-1.27-mRNA-1	IPR018047	GO:0008519;GO:0016020;GO:0072488;GO:0015696	SSF111352	PF00909	PTHR43029:SF4;PTHR43029	G3DSA:1.10.3430.10	NA	NA	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PS01219	NA	TMhelix	NA	NA	NA	NA	TIGR00836	NA	NA	NA	NA
maker-NODE_7_length_845801_cov_64.679335-augustus-gene-2.14-mRNA-1	IPR023270	GO:0016428;GO:0008168;GO:0003723	SSF53335	PF01189	PTHR22808;PTHR22808:SF1	NA	NA	NA	mobidb-lite	NA	PS51686	NA	PS01153	NA	NA	Reactome: R-HSA-6782315	PR02011;PR02008	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_216199_cov_63.927089-augustus-gene-0.7-mRNA-1	IPR036126	GO:0007021;GO:0007023;GO:0048487	SSF46988	PF02970	NA	G3DSA:1.20.58.90	NA	NA	NA	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-389977	NA	NA	NA	NA	NA	PD010430	NA	NA
maker-NODE_5_length_868829_cov_62.810630-augustus-gene-5.27-mRNA-1	IPR036236	NA	SSF57667	NA	PTHR23057	G3DSA:3.30.160.60	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_53_length_191911_cov_59.374833-processed-gene-0.36-mRNA-1	IPR000467	GO:0003676	NA	PF12457;PF07842;PF01585	PTHR23329;PTHR23329:SF1	NA	NA	NA	mobidb-lite	SM00443	PS50174	NA	NA	Coil	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_458646_cov_62.714747-processed-gene-2.29-mRNA-1	IPR009008	GO:0002161;GO:0006418;GO:0000166;GO:0004812;GO:0005524;GO:0004823;GO:0006429	SSF52374;SSF50677;SSF47323	PF08264;PF00133	PTHR11946;PTHR11946:SF51	G3DSA:1.10.730.10	NA	cd00812;cd07959	NA	NA	NA	NA	PS00178	NA	NA	KEGG: 00970+6.1.1.4|Reactome: R-HSA-2408517|Reactome: R-HSA-379716	NA	NA	NA	TIGR00395	NA	NA	NA	NA
maker-NODE_7_length_845801_cov_64.679335-augustus-gene-7.16-mRNA-1	IPR011701	GO:0016021;GO:0055085;GO:0005215	SSF103473	PF07690	PTHR23504;PTHR23504:SF2	G3DSA:1.20.1250.20	NA	cd06174	NA	NA	PS50850	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	PR01035	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_28_length_335966_cov_65.278157-processed-gene-2.25-mRNA-1	IPR002076	GO:0016021	NA	PF01151	PTHR11157:SF38;PTHR11157	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	KEGG: 00062+2.3.1.199|MetaCyc: PWY-5080|MetaCyc: PWY-5972|MetaCyc: PWY-6433|MetaCyc: PWY-6598|MetaCyc: PWY-7036|MetaCyc: PWY-7601|MetaCyc: PWY-7602|MetaCyc: PWY-7619|MetaCyc: PWY-7724|MetaCyc: PWY-7725|Reactome: R-HSA-75876	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1091443_cov_63.945247-processed-gene-9.43-mRNA-1	IPR013635	NA	NA	PF08426	PTHR31726	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_645185_cov_64.840346-augustus-gene-2.40-mRNA-1	IPR017907	GO:0004842;GO:0010390	SSF57850	PF14447;PF08647	PTHR23163:SF0;PTHR23163	G3DSA:3.30.40.10	NA	cd16499	mobidb-lite	SM00184	PS50089	NA	PS00518	Coil	NA	MetaCyc: PWY-7511|Reactome: R-HSA-8866654	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_36_length_277357_cov_64.339956-processed-gene-1.59-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_768202_cov_65.452000-augustus-gene-1.8-mRNA-1	IPR016024	GO:0006886;GO:0016192;GO:0005198;GO:0030130;GO:0030132;GO:0005515;GO:0032051;GO:0048268;GO:0071439	SSF48371;SSF50989	PF13838;PF00637;PF01394	PTHR10292;PTHR10292:SF1	G3DSA:2.130.10.110;G3DSA:1.25.40.10;G3DSA:1.25.40.730	NA	NA	mobidb-lite	SM00299	PS50236	NA	NA	Coil	NA	Reactome: R-HSA-190873|Reactome: R-HSA-196025|Reactome: R-HSA-3928665|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828	NA	NA	NA	NA	NA	NA	PIRSF002290	NA
augustus_masked-NODE_35_length_281661_cov_61.178106-processed-gene-0.8-mRNA-1	IPR002524	GO:0006812;GO:0008324;GO:0016021;GO:0055085	SSF161111	PF01545	PTHR11562:SF62;PTHR11562	G3DSA:1.20.1510.10	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_536238_cov_57.715738-augustus-gene-3.0-mRNA-1	IPR006076	GO:0016491;GO:0055114;GO:0000030;GO:0030176	SSF54373;SSF51971	PF01266;PF05208	PTHR12646:SF0;PTHR12646	G3DSA:3.30.9.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	KEGG: 00510+2.4.1.258|KEGG: 00513+2.4.1.258|Reactome: R-HSA-446193|Reactome: R-HSA-4720475	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_437960_cov_63.438948-processed-gene-3.30-mRNA-1	IPR016689	GO:0000814;GO:0071985	SSF46785	PF04157	PTHR12806	G3DSA:1.10.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-917729	NA	NA	NA	NA	NA	NA	PIRSF017215	NA
augustus_masked-NODE_34_length_285491_cov_61.729170-processed-gene-1.20-mRNA-1	IPR000326	NA	SSF48317	PF01569	PTHR10165;PTHR10165:SF35	G3DSA:1.20.144.10	NA	cd03390	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_38_length_263057_cov_61.801365-processed-gene-0.12-mRNA-1	IPR012961	GO:0003676;GO:0005524;GO:0003723;GO:0003724;GO:0006401	SSF52540	PF08148;PF00270;PF13234;PF00271	PTHR12131;PTHR12131:SF7	G3DSA:1.20.1500.20;G3DSA:3.40.50.300;G3DSA:2.40.30.300;G3DSA:1.10.3380.30	NA	cd00079;cd00046;cd13154	mobidb-lite	SM00490;SM01142;SM00487	PS51194;PS51192	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF005198	NA
maker-NODE_2_length_981360_cov_65.668740-augustus-gene-4.35-mRNA-1	IPR001046	GO:0016020;GO:0030001;GO:0046873	NA	PF01566	PTHR11706;PTHR11706:SF50	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	Reactome: R-HSA-425410	PR00447	NA	NA	TIGR01197	NA	NA	NA	NA
augustus_masked-NODE_32_length_290623_cov_59.405479-processed-gene-1.31-mRNA-1	IPR037136	GO:0003824;GO:0005730;GO:0042254;GO:0006396	SSF55205	PF05189;PF01137	PTHR11096:SF1;PTHR11096	G3DSA:3.65.10.20;G3DSA:3.30.360.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	TIGR03400	NA	PD397608	NA	NA
augustus_masked-NODE_10_length_645185_cov_64.840346-processed-gene-4.47-mRNA-1	IPR029636	GO:0006113;GO:0016021	NA	NA	PTHR32085	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_768202_cov_65.452000-processed-gene-5.22-mRNA-1	IPR006560	GO:0005634;GO:0018024;GO:0006354;GO:0010452;GO:0046975;GO:0005515;GO:0005694;GO:0006355;GO:0034968	SSF82199;SSF51045;SSF47676	PF08236;PF17907;PF08711;PF00856	PTHR45396	G3DSA:2.170.270.10;G3DSA:1.10.1740.100;G3DSA:2.20.70.10	NA	cd00201	mobidb-lite	SM00570;SM00508;SM00317;SM00456	PS51568;PS50868;PS50020;PS50280;PS51215	NA	PS01159	Coil	NA	KEGG: 00310+2.1.1.43|Reactome: R-HSA-3214841	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_37_length_268380_cov_64.784427-processed-gene-1.10-mRNA-1	IPR000120	GO:0004040	SSF75304	PF01425	PTHR11895:SF142;PTHR11895	G3DSA:3.90.1300.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG: 00970+6.3.5.7|MetaCyc: PWY-5921	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_221422_cov_64.839789-augustus-gene-0.4-mRNA-1	IPR036259	GO:0016021;GO:0055085	SSF103473	PF07690	PTHR10924;PTHR10924:SF6	G3DSA:1.20.1250.20	NA	cd06174	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1091443_cov_63.945247-augustus-gene-9.16-mRNA-1	IPR020846	GO:0016021;GO:0055085	SSF103473	PF07690	PTHR43791;PTHR43791:SF33	G3DSA:1.20.1250.20	NA	cd06174	mobidb-lite	NA	PS50850	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_51_length_193675_cov_65.103308-processed-gene-0.81-mRNA-1	IPR001015	GO:0004325;GO:0006783	SSF53800	PF00762	PTHR11108;PTHR11108:SF1	G3DSA:3.40.50.1400	NA	cd00419	NA	NA	NA	NA	PS00534	NA	NA	KEGG: 00860+4.99.1.1|Reactome: R-HSA-189451	NA	NA	NA	TIGR00109	NA	NA	NA	NA
augustus_masked-NODE_41_length_244374_cov_61.795191-processed-gene-1.48-mRNA-1	IPR038222	GO:0005737;GO:0016462	SSF64182	PF02833	PTHR12112:SF22;PTHR12112	G3DSA:3.10.310.20;G3DSA:3.90.1640.10	NA	NA	NA	SM01131	NA	NA	NA	NA	NA	KEGG: 00190+3.6.1.1|MetaCyc: PWY-7805|MetaCyc: PWY-7807	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_925979_cov_65.326036-augustus-gene-7.45-mRNA-1	IPR036736	GO:0016746;GO:0031177	SSF52777;SSF51735;SSF47336	PF00550;PF08659;PF00755	PTHR22589	G3DSA:3.30.559.40;G3DSA:1.10.1200.10;G3DSA:3.40.50.720;G3DSA:3.30.559.70	NA	NA	NA	SM00823;SM00822	PS50075	NA	PS00440	NA	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_49_length_195914_cov_65.162748-augustus-gene-0.81-mRNA-1	IPR008427	NA	NA	PF05730	PTHR33048;PTHR33048:SF63	NA	NA	NA	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	TMhelix	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_845801_cov_64.679335-augustus-gene-7.15-mRNA-1	IPR003388	NA	NA	PF02453	PTHR10994:SF61;PTHR10994	NA	NA	NA	mobidb-lite	NA	PS50845	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_437960_cov_63.438948-augustus-gene-3.9-mRNA-1	IPR024134	GO:0006801;GO:0046872	SSF49329	PF00080	PTHR10003;PTHR10003:SF37	G3DSA:2.60.40.200	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	MetaCyc: PWY-6854|Reactome: R-HSA-3299685	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_449563_cov_64.535306-augustus-gene-3.10-mRNA-1	IPR024260	NA	NA	PF12751	PTHR28258	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_34_length_285491_cov_61.729170-augustus-gene-1.57-mRNA-1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	PTHR31001	G3DSA:4.10.240.10	NA	cd12148;cd00067	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_285618_cov_58.526770-augustus-gene-1.57-mRNA-1	IPR027417	GO:0004865;GO:0032515	SSF52540	PF07491	PTHR11089;PTHR11089:SF63	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_536238_cov_57.715738-augustus-gene-2.16-mRNA-1	IPR000406	GO:0005094;GO:0005737	SSF81296	PF02115	PTHR10980;PTHR10980:SF3	G3DSA:2.70.50.30	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-194840	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_43_length_221422_cov_64.839789-processed-gene-1.41-mRNA-1	IPR005786	GO:0004084;GO:0009081;GO:0003824	SSF56752	PF01063	PTHR11825;PTHR11825:SF44	G3DSA:3.20.10.10;G3DSA:3.30.470.10	SignalP-TM	cd01557	mobidb-lite	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	PS00770	NA	NA	KEGG: 00270+2.6.1.42|KEGG: 00280+2.6.1.42|KEGG: 00290+2.6.1.42|KEGG: 00770+2.6.1.42|KEGG: 00966+2.6.1.42|MetaCyc: PWY-5057|MetaCyc: PWY-5076|MetaCyc: PWY-5078|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5108|MetaCyc: PWY-7767|Reactome: R-HSA-70895	NA	NA	NA	TIGR01123	NA	NA	PIRSF006468	NA
augustus_masked-NODE_15_length_474549_cov_63.245189-processed-gene-3.35-mRNA-1	IPR019194	GO:0006355;GO:0032783	NA	PF09816	PTHR15970:SF2;PTHR15970	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-112382|Reactome: R-HSA-674695|Reactome: R-HSA-75955	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_45_length_209680_cov_63.518675-processed-gene-1.0-mRNA-1	IPR027443	GO:0016491;GO:0055114	SSF51197	PF03171	PTHR10209;PTHR10209:SF144	G3DSA:2.60.120.330	NA	NA	NA	NA	PS51471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1091443_cov_63.945247-processed-gene-0.23-mRNA-1	IPR001202	GO:0005515;GO:0003755	SSF51045;SSF54534	PF00397;PF00639	PTHR10657;PTHR10657:SF4	G3DSA:3.10.50.40;G3DSA:2.20.70.10	NA	cd00201	NA	SM00456	PS50020;PS50198	NA	PS01159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_51_length_193675_cov_65.103308-processed-gene-0.65-mRNA-1	IPR014857	GO:0006281;GO:0030915	NA	PF07574;PF08746	PTHR20973	G3DSA:3.30.40.10;G3DSA:1.10.10.10;G3DSA:1.10.10.2370	NA	cd16493	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	MetaCyc: PWY-7511|Reactome: R-HSA-3108214	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_47_length_201026_cov_60.700606-processed-gene-0.12-mRNA-1	NA	NA	NA	NA	PTHR23242	NA	NA	NA	mobidb-lite	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_527745_cov_64.590967-augustus-gene-3.39-mRNA-1	IPR001806	GO:0003924;GO:0005525	SSF52540	PF00071	PTHR24073;PTHR24073:SF556	G3DSA:3.40.50.300	NA	cd01862	NA	SM00174;SM00176;SM00173;SM00175	PS51419	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	PR00449	NA	NA	TIGR00231	NA	NA	NA	NA
augustus_masked-NODE_44_length_216199_cov_63.927089-processed-gene-0.35-mRNA-1	IPR014001	GO:0006260;GO:0006281;GO:0043140;GO:0006310;GO:0008026;GO:0003676;GO:0005524	SSF52540;SSF46785	PF00270;PF16124;PF09382;PF00271	PTHR13710:SF105;PTHR13710	G3DSA:3.40.50.300;G3DSA:1.10.10.10	NA	cd00079;cd00046	mobidb-lite	SM00956;SM00487;SM00490	PS51192;PS51194	NA	PS00690	Coil	NA	Reactome: R-HSA-3108214|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	NA	NA	NA	TIGR00614	NA	NA	NA	NA
augustus_masked-NODE_18_length_437960_cov_63.438948-processed-gene-1.29-mRNA-1	IPR029071	GO:0007165;GO:0005515	SSF54236;SSF47769	PF00788;PF07647	PTHR12844:SF39;PTHR12844	G3DSA:1.10.150.50;G3DSA:3.10.20.90	NA	cd09533	mobidb-lite	SM00454;SM00314	PS50105;PS50200	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_768202_cov_65.452000-augustus-gene-6.60-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_868829_cov_62.810630-processed-gene-1.36-mRNA-1	IPR013057	NA	NA	PF01490	PTHR22950:SF332;PTHR22950	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
