Gene	PANTHER	Phobius	interpro	GO	PATHWAY	Pfam	TMHMM	MobiDBLite	Coils	ProSitePatterns	CDD	Gene3D	SUPERFAMILY	ProSiteProfiles	SMART	PRINTS	SFLD	TIGRFAM	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	PIRSF	ProDom
maker-NODE_74_length_82158_cov_37.064439-snap-gene-0.17-mRNA-1	PTHR12896	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	IPR008728	GO:0002098;GO:0033588	Reactome: R-HSA-3214847	PF05625	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_12_length_504385_cov_59.758304-augustus-gene-0.195-mRNA-1	PTHR43885;PTHR43885:SF1	NA	IPR006439	GO:0016787	NA	PF13419	NA	NA	NA	NA	cd01427	G3DSA:1.10.260.80;G3DSA:3.40.50.1000	SSF56784	NA	NA	NA	SFLDG01129;SFLDS00003	TIGR01549	NA	NA	NA	NA	NA	NA
snap_masked-NODE_5_length_639344_cov_58.481605-processed-gene-1.17-mRNA-1	PTHR43104:SF3;PTHR43104	NA	IPR036188	GO:0016491;GO:0055114	NA	PF01266	NA	NA	NA	NA	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.10	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_361226_cov_55.322806-augustus-gene-2.299-mRNA-1	PTHR10963:SF56;PTHR10963	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	IPR013320	GO:0004553;GO:0005975	NA	PF00722	TMhelix	mobidb-lite	Coil	NA	cd02183	G3DSA:2.60.120.200	SSF49899	PS51762	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
augustus_masked-NODE_45_length_191285_cov_56.782782-processed-gene-0.25-mRNA-1	PTHR11089:SF4;PTHR11089	NA	IPR006073	GO:0005525	NA	PF01926	NA	NA	NA	NA	NA	G3DSA:3.40.50.300;G3DSA:1.10.1580.10	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_18_length_409824_cov_57.109259-processed-gene-0.2-mRNA-1	PTHR40617	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	IPR023374	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.40.370.10	SSF159245	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
maker-NODE_75_length_80554_cov_59.301603-snap-gene-0.16-mRNA-1	PTHR15528;PTHR15528:SF11	NA	IPR034605	GO:0003712;GO:0008134;GO:0005515	Reactome: R-HSA-2151201	NA	NA	mobidb-lite	Coil	NA	NA	G3DSA:2.130.10.10	SSF50978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_47_length_182279_cov_60.135887-processed-gene-0.302-mRNA-1	PTHR45527	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	IPR036736	GO:0031177;GO:0003824	Reactome: R-HSA-389661	PF00668;PF00501;PF00550	NA	NA	Coil	PS00012;PS00455	cd05918	G3DSA:3.30.559.30;G3DSA:3.30.300.30;G3DSA:1.10.1200.10;G3DSA:3.40.50.150;G3DSA:3.30.559.10;G3DSA:3.40.50.12780	SSF56801;SSF47336;SSF52777;SSF53335	PS50075	SM00823	NA	NA	TIGR01733	NA	NA	NA	NA	NA	NA
maker-NODE_100_length_44372_cov_37.289502-snap-gene-0.36-mRNA-1	PTHR23506;PTHR23506:SF25	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR020846	GO:0016021;GO:0055085	NA	PF07690	TMhelix	mobidb-lite	NA	NA	cd06174	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_42_length_197979_cov_55.852400-processed-gene-0.62-mRNA-1	PTHR22957:SF26;PTHR22957	NA	IPR000195	GO:0008137;GO:0048038;GO:0051539;GO:0055114;GO:0051536	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	PF00566;PF01058	NA	mobidb-lite	NA	PS01150	NA	G3DSA:3.40.50.12280;G3DSA:1.10.472.80;G3DSA:1.10.8.270	SSF47923;SSF56770	PS50086	SM00164	NA	NA	TIGR01957	NA	NA	NA	MF_01356	NA	NA
augustus_masked-NODE_25_length_345928_cov_56.170083-processed-gene-1.10-mRNA-1	PTHR10343;PTHR10343:SF45	NA	IPR006828	GO:0005515;GO:0007165;GO:0031588;GO:0045859	Reactome: R-HSA-1445148|Reactome: R-HSA-1632852|Reactome: R-HSA-2151209|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-6804756	PF04739;PF16561	NA	mobidb-lite	NA	NA	cd02859	G3DSA:2.60.40.10;G3DSA:3.30.160.760	SSF81296;SSF160219	NA	SM01010	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_512366_cov_57.665072-processed-gene-4.256-mRNA-1	PTHR13085	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR009582	GO:0005787;GO:0006465;GO:0008233;GO:0016021	Reactome: R-HSA-1799339|Reactome: R-HSA-381771|Reactome: R-HSA-400511|Reactome: R-HSA-422085	PF06703	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_304748_cov_57.569130-snap-gene-1.38-mRNA-1	NA	NA	IPR021582	NA	NA	PF11489	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_752009_cov_57.006766-processed-gene-5.40-mRNA-1	PTHR22572:SF7;PTHR22572	NA	IPR016021	GO:0005515;GO:0009058;GO:0016779	Reactome: R-HSA-72731	PF14602;PF00132;PF00483;PF02020	NA	mobidb-lite	NA	NA	cd04197;cd11558;cd05787	G3DSA:1.25.40.180;G3DSA:3.90.550.10;G3DSA:2.160.10.10	SSF53448;SSF48371	PS51363	SM00515	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_28_length_307899_cov_56.759910-processed-gene-2.280-mRNA-1	PTHR19316:SF26;PTHR19316	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	IPR002893	GO:0005515	NA	PF00856;PF01753	NA	NA	NA	PS01360	NA	G3DSA:3.30.60.180;G3DSA:1.25.10.10;G3DSA:3.30.70.3410;G3DSA:2.170.270.10	SSF82199;SSF144232	PS50280;PS50865	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-NODE_2_length_764473_cov_58.504620-snap-gene-6.370-mRNA-1	PTHR10242:SF2;PTHR10242	NA	IPR023170	GO:0003824;GO:0006281;GO:0006284;GO:0003684;GO:0006289;GO:0008534	Reactome: R-HSA-110357	PF07934;PF00730	NA	mobidb-lite	NA	NA	cd00056	G3DSA:1.10.1670.10;G3DSA:3.30.310.40;G3DSA:1.10.340.30	SSF55945;SSF48150	NA	SM00478	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_30_length_285380_cov_56.027165-snap-gene-1.285-mRNA-1	PTHR23115:SF227;PTHR23115	NA	IPR031157	GO:0005525;GO:0003924	NA	PF03144;PF00009;PF03143	NA	NA	NA	PS00301	cd03705;cd03693	G3DSA:3.40.50.300;G3DSA:2.40.30.10	SSF50465;SSF50447;SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_252058_cov_61.114793-snap-gene-1.143-mRNA-1	PTHR13120;PTHR13120:SF1	NA	IPR005345		Reactome: R-HSA-72163	PF03660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF016468	NA
snap_masked-NODE_4_length_718053_cov_59.395713-processed-gene-6.258-mRNA-1	PTHR28018:SF7;PTHR28018	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR007667	NA	NA	PF04588	TMhelix	NA	NA	NA	NA	NA	NA	PS51503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_19_length_399495_cov_56.963753-processed-gene-0.130-mRNA-1	PTHR43161:SF10;PTHR43161	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR002328	GO:0008270;GO:0016491;GO:0055114	Reactome: R-HSA-71384	PF08240;PF00107	TMhelix	NA	NA	PS00059	cd05285	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF51735;SSF50129	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_273333_cov_57.190362-snap-gene-1.320-mRNA-1	NA	NA	IPR018853	NA	NA	PF10446	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_5_length_639344_cov_58.481605-processed-gene-1.22-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR016135		Reactome: R-HSA-983168	PF00179	NA	mobidb-lite	NA	NA	NA	G3DSA:3.10.110.10	SSF54495	PS50127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_604053_cov_57.456056-processed-gene-2.73-mRNA-1	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
maker-NODE_6_length_604053_cov_57.456056-augustus-gene-4.8-mRNA-1	PTHR44169	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR002347	GO:0016491	NA	PF00106	TMhelix	NA	NA	PS00061	NA	G3DSA:3.40.50.720	SSF51735	NA	NA	PR00081;PR00080	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_764473_cov_58.504620-augustus-gene-6.325-mRNA-1	PTHR12455	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR005612	GO:0042254	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PF03914	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_31_length_278666_cov_58.460664-processed-gene-1.325-mRNA-1	PTHR38700	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR011993	NA	NA	NA	TMhelix	mobidb-lite	Coil	NA	NA	G3DSA:2.30.29.30;G3DSA:3.10.20.90	SSF54236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_32_length_276436_cov_60.070273-processed-gene-1.41-mRNA-1	PTHR42799;PTHR42799:SF2	NA	IPR036509	GO:0008113;GO:0055114	Reactome: R-HSA-5676934	PF01625	NA	NA	NA	NA	NA	G3DSA:3.30.1060.10	SSF55068	NA	NA	NA	NA	TIGR00401	NA	NA	NA	MF_01401	NA	NA
augustus_masked-NODE_55_length_144644_cov_47.021375-processed-gene-0.75-mRNA-1	PTHR23500:SF87;PTHR23500	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR005829	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	Reactome: R-HSA-189200	PF00083	TMhelix	NA	NA	PS00216	cd06174	G3DSA:1.20.1250.20	SSF103473	PS50850	NA	NA	NA	TIGR00879	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_39_length_237138_cov_60.081954-processed-gene-1.385-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_32_length_276436_cov_60.070273-processed-gene-1.44-mRNA-1	PTHR23500;PTHR23500:SF42	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215;GO:0003677;GO:0005634;GO:0006351;GO:0008270	Reactome: R-HSA-189200	PF00083;PF04082	TMhelix	mobidb-lite	Coil	PS00216	cd06174;cd12148	G3DSA:1.20.1250.20	SSF103473	PS50850	SM00906	NA	NA	TIGR00879	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-13.52-mRNA-1	PTHR10183;PTHR10183:SF294	NA	IPR038765	GO:0004198;GO:0005622;GO:0006508	Reactome: R-HSA-1474228	PF00648	NA	mobidb-lite	Coil	PS00139	NA	G3DSA:3.90.70.10	SSF54001	PS50203	SM00230	PR00704	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_252058_cov_61.114793-augustus-gene-1.80-mRNA-1	PTHR10166;PTHR10166:SF37	NA	IPR001841	NA	NA	PF00092;PF15411	NA	mobidb-lite	NA	NA	NA	G3DSA:2.30.29.30;G3DSA:3.30.40.10;G3DSA:3.40.50.410	SSF53300;SSF57850;SSF50729	PS50089;PS50234	SM00327	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_90_length_55289_cov_56.087488-augustus-gene-0.119-mRNA-1	PTHR10585:SF14;PTHR10585	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR000133	GO:0006621;GO:0016021;GO:0046923	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	PF00810	TMhelix	NA	NA	PS00952;PS00951	NA	NA	NA	NA	NA	PR00660	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_504385_cov_59.758304-snap-gene-3.209-mRNA-1	PTHR12181:SF12;PTHR12181	NA	IPR013209		KEGG: 00561+3.1.3.4|KEGG: 00564+3.1.3.4|KEGG: 00565+3.1.3.4|KEGG: 00600+3.1.3.4|MetaCyc: PWY-6453|MetaCyc: PWY-7782|Reactome: R-HSA-1483191|Reactome: R-HSA-1483213|Reactome: R-HSA-4419969|Reactome: R-HSA-75109	PF08235;PF04571	NA	mobidb-lite	NA	NA	NA	NA	SSF56784	NA	SM00775	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_604053_cov_57.456056-augustus-gene-0.216-mRNA-1	PTHR16771	NA	IPR007834	GO:0006406;GO:0008541;GO:0043248	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PF05160	NA	mobidb-lite	Coil	NA	cd13768	NA	NA	NA	SM01385	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_563164_cov_57.757710-augustus-gene-3.24-mRNA-1	PTHR42902:SF1;PTHR42902	NA	IPR011076	GO:0003824;GO:0004474;GO:0006097	KEGG: 00620+2.3.3.9|KEGG: 00630+2.3.3.9|MetaCyc: PWY-6969|MetaCyc: PWY-7118|MetaCyc: PWY-7294|MetaCyc: PWY-7295|MetaCyc: PWY-7854	PF01274	NA	NA	NA	PS00510	cd00727	G3DSA:3.20.20.360;G3DSA:1.20.1220.12	SSF51645	NA	NA	NA	NA	TIGR01344	NA	NA	NA	NA	PIRSF001363	NA
maker-NODE_52_length_158164_cov_57.275227-augustus-gene-0.301-mRNA-1	PTHR31313:SF42;PTHR31313	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	mobidb-lite	NA	NA	cd12148	NA	NA	NA	SM00906	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_764473_cov_58.504620-augustus-gene-2.20-mRNA-1	PTHR14226:SF44;PTHR14226	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	IPR021771	GO:0004806;GO:0006629	NA	PF11815;PF01734	NA	NA	NA	NA	cd07229	G3DSA:3.40.1090.10	SSF52151	PS51635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_273333_cov_57.190362-snap-gene-1.299-mRNA-1	PTHR12537:SF12;PTHR12537	NA	IPR001313	GO:0003723	NA	PF00806	NA	mobidb-lite	NA	NA	cd07920	G3DSA:1.25.10.10	SSF48371	PS50302;PS50303	SM00025	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_409824_cov_57.109259-snap-gene-2.14-mRNA-1	PTHR31902:SF7;PTHR31902	NA	IPR017938	GO:0016491;GO:0055114	Reactome: R-HSA-1237044	PF00970;PF06999	NA	NA	NA	NA	cd06183;cd03062	G3DSA:3.40.30.10;G3DSA:2.40.30.10	SSF63380;SSF52833;SSF52343	PS51384;PS51257	NA	PR00406	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
snap_masked-NODE_9_length_540689_cov_55.537295-processed-gene-0.12-mRNA-1	PTHR21248:SF11;PTHR21248	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR001736	GO:0003824	Reactome: R-HSA-1483148	PF13091	NA	mobidb-lite	NA	NA	cd00138	G3DSA:3.30.870.10	SSF56024	PS50035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_409824_cov_57.109259-snap-gene-2.4-mRNA-1	PTHR24092:SF5;PTHR24092	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR018303	GO:0000166;GO:0016021;GO:0000287;GO:0004012;GO:0005524;GO:0015914	Reactome: R-HSA-936837	PF00702;PF16209;PF00122;PF16212	TMhelix	mobidb-lite	NA	PS00154	NA	G3DSA:3.40.50.1000;G3DSA:3.40.1110.10	SSF81660;SSF81665;SSF56784;SSF81653	NA	NA	PR00119	SFLDS00003;SFLDF00027	TIGR01494;TIGR01652	NA	NA	NA	NA	NA	NA
snap_masked-NODE_22_length_372926_cov_58.633942-processed-gene-2.358-mRNA-1	PTHR23500;PTHR23500:SF162	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR020846	GO:0016021;GO:0022857;GO:0055085	NA	PF00083	TMhelix	NA	NA	NA	cd06174	G3DSA:1.20.1250.20	SSF103473	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_24_length_361226_cov_55.322806-processed-gene-2.204-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
