Gene	interpro	GO	PATHWAY	TIGRFAM	PRINTS	SUPERFAMILY	PANTHER	Gene3D	PIRSF	Hamap	Pfam	ProSitePatterns	CDD	MobiDBLite	SFLD	SMART	ProSiteProfiles	Phobius	TMHMM	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	Coils	SignalP_EUK	ProDom
OPB40812.1	IPR023753	GO:0016491;GO:0055114	Reactome: R-HSA-1614517	NA	NA	SSF51905	PTHR10632;PTHR10632:SF12	G3DSA:3.50.50.60	NA	NA	PF07992	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	SignalP-TM	NA	NA	NA
OPB36715.1	IPR011989	GO:0005680	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	NA	PTHR12827	G3DSA:1.25.10.10	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA
OPB46194.1	IPR036259	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR23502;PTHR23502:SF52	G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	NA	NA	NA	PS50850	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB45359.1	IPR000286		Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862	NA	PR01270	SSF52768	PTHR10625:SF175;PTHR10625	G3DSA:3.40.800.20	NA	NA	PF00850	NA	cd09998	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37916.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46666.1	IPR020683	GO:0005515	NA	NA	PR01415	SSF48403	PTHR24151:SF1;PTHR24151	G3DSA:1.25.40.20;G3DSA:1.25.40.960	NA	NA	PF00023;PF12796	NA	cd00204	mobidb-lite	NA	SM00248	PS50297;PS50088	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA
OPB43466.1	IPR020846	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR43791;PTHR43791:SF54	G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	NA	NA	NA	PS50850	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	NA	NA
OPB38031.1	IPR036259	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR23502:SF23;PTHR23502	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	mobidb-lite	NA	NA	PS50850	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB45458.1	IPR036908	NA	NA	NA	NA	NA	NA	G3DSA:2.40.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB38823.1	IPR036259	NA	NA	NA	NA	SSF103473	PTHR19444;PTHR19444:SF16	G3DSA:1.20.1250.20	NA	NA	PF05978	NA	cd06174	mobidb-lite	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB45105.1	IPR007109	NA	NA	NA	NA	SSF52954	PTHR22734;PTHR22734:SF3	NA	NA	NA	PF04427	NA	NA	mobidb-lite	NA	SM00879	PS50833	NA	NA	NA	NA	Coil	NA	NA
OPB40483.1	IPR007568	GO:0016021	NA	NA	NA	NA	PTHR31465:SF1;PTHR31465	NA	NA	NA	PF04479	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB46279.1	IPR036770	GO:0005515;GO:0003824;GO:0009116	NA	NA	PR00320	SSF48403;SSF53167;SSF50978	PTHR22847	G3DSA:1.25.40.20;G3DSA:2.130.10.10	NA	NA	PF00400;PF12796;PF01048	PS00678	cd00200;cd00204	NA	NA	SM00248;SM00320	PS50082;PS50088;PS50297;PS50294	NA	NA	NA	NA	Coil	NA	NA
OPB36099.1	IPR002347	NA	NA	NA	PR00081	SSF51735	PTHR43180	G3DSA:3.40.50.720	NA	NA	PF13561	NA	cd05233	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA
OPB46576.1	IPR000164	GO:0000786;GO:0003677;GO:0046982	NA	NA	PR00622	SSF47113	PTHR11426;PTHR11426:SF163	G3DSA:1.10.20.10	NA	NA	PF00125	PS00322;PS00959	NA	mobidb-lite	NA	SM00428	NA	NA	NA	NA	NA	NA	NA	NA
OPB39406.1	NA	NA	NA	NA	NA	NA	PTHR12751;PTHR12751:SF18	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB40286.1	IPR037237	GO:0003824	KEGG: 00290+4.2.1.9|KEGG: 00770+4.2.1.9|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-7111	NA	NA	SSF52016;SSF143975	PTHR43183:SF3;PTHR43183	G3DSA:3.50.30.80	NA	NA	PF00920	PS00886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43535.1	IPR020846	GO:0016021;GO:0055085	NA	NA	PR01036	SSF103473	PTHR23501:SF102;PTHR23501	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	mobidb-lite	NA	NA	PS50850	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB40739.1	IPR020835	GO:0020037;GO:0055114	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241	NA	NA	SSF56634	PTHR36195;PTHR36195:SF3	G3DSA:1.20.1280.120;G3DSA:2.40.180.20	NA	NA	NA	NA	cd08152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45071.1	IPR016181	NA	NA	NA	NA	SSF55729	PTHR23091:SF71;PTHR23091	G3DSA:3.40.630.30	NA	NA	PF00583	NA	cd04301	mobidb-lite	NA	NA	PS51186	NA	NA	NA	NA	NA	NA	NA
OPB46968.1	IPR019329		Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	PTHR40637	NA	NA	NA	PF10183	NA	NA	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-TM	NA	NA	NA
OPB42553.1	IPR011011	GO:0003677;GO:0006281;GO:0003676;GO:0046872	Reactome: R-HSA-168138|Reactome: R-HSA-983231	NA	NA	SSF57903;SSF140125	PTHR13510:SF44;PTHR13510	G3DSA:3.30.40.10	NA	NA	PF11464;PF01363	PS00028	cd15761;cd15737	mobidb-lite	NA	SM00734;SM00064	PS50178	NA	NA	NA	NA	Coil	NA	NA
OPB37304.1	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	Reactome: R-HSA-189200	TIGR00879	PR00171	SSF103473	PTHR23500;PTHR23500:SF132	G3DSA:1.20.1250.20	NA	NA	PF00083	PS00216;PS00217	cd06174	NA	NA	NA	PS50850	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB40615.1	IPR016162	GO:0016491;GO:0055114;GO:0016620	NA	NA	NA	SSF53720	PTHR11699;PTHR11699:SF115	G3DSA:3.40.605.10;G3DSA:3.40.309.10	NA	NA	PF00171	PS00687;PS00070	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43532.1	IPR013130	GO:0016491;GO:0055114	NA	NA	NA	SSF52343;SSF63380	PTHR11972	G3DSA:3.40.50.80	NA	NA	PF01794;PF08022;PF08030	NA	cd06186	NA	SFLDS00052;SFLDG01168	NA	PS51384	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB37668.1	IPR013154	GO:0055114;GO:0016491	NA	NA	NA	SSF51735;SSF50129	PTHR45348	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	PF08240;PF00107	NA	cd08249	NA	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA
OPB41351.1	IPR010987	GO:0005515	NA	NA	NA	SSF52833;SSF47616	PTHR44051:SF8;PTHR44051	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	NA	NA	PF00043;PF02798	NA	cd03048	NA	SFLDS00019;SFLDG01151	NA	PS50405;PS50404	NA	NA	NA	NA	NA	NA	NA
OPB43051.1	IPR018713	NA	NA	NA	NA	NA	PTHR36124	NA	NA	NA	PF09995	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB36270.1	IPR016160	GO:0016491;GO:0055114;GO:0016620	NA	NA	NA	SSF53720	PTHR11699:SF65;PTHR11699	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	NA	PF00171	PS00070;PS00687	cd07102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45845.1	IPR023271	GO:0015267;GO:0016020;GO:0055085	Reactome: R-HSA-432047	NA	PR00783	SSF81338	PTHR19139;PTHR19139:SF124	G3DSA:1.20.1080.10	NA	NA	PF00230	NA	NA	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB40641.1	IPR005829	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	Reactome: R-HSA-189200	TIGR00879	NA	SSF103473	PTHR23500;PTHR23500:SF162	G3DSA:1.20.1250.20	NA	NA	PF00083	PS00217	cd06174	NA	NA	NA	PS50850	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB43497.1	IPR027359	GO:0005509;GO:0005216;GO:0006811;GO:0016020;GO:0055085	NA	NA	NA	SSF81324	PTHR10037:SF62;PTHR10037	G3DSA:1.10.287.70;G3DSA:1.20.120.350;G3DSA:1.10.238.10	NA	NA	PF00520	NA	NA	mobidb-lite	NA	NA	PS50222	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB42067.1	IPR036390	GO:0006260;GO:0006281;GO:0043140;GO:0003676;GO:0005524;GO:0006310;GO:0008026	Reactome: R-HSA-3108214|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	TIGR00614	NA	SSF46785;SSF52540	PTHR13710;PTHR13710:SF105	G3DSA:1.10.10.10;G3DSA:3.40.50.300;G3DSA:1.10.150.80	NA	NA	PF16124;PF09382;PF00270;PF00271	PS00690	cd00079;cd00046	mobidb-lite	NA	SM00956;SM00487;SM00490	PS51192;PS51194	NA	NA	NA	NA	Coil	NA	NA
OPB40310.1	IPR008929	GO:0016829;GO:0042597	Reactome: R-HSA-2022923	NA	NA	SSF48230	NA	G3DSA:1.50.10.100	NA	NA	PF05426	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	SignalP-TM	SignalP-TM	NA	SignalP-noTM	NA
OPB39830.1	IPR007111	GO:0005515	NA	NA	PR00320	SSF52540;SSF50978	PTHR22847	G3DSA:2.130.10.10;G3DSA:3.40.50.300	NA	NA	PF17100;PF00400;PF05729	PS00678	cd00200	NA	NA	SM00320	PS50837;PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA
OPB42072.1	IPR039686	GO:0006281;GO:0043140;GO:0003677;GO:0005524;GO:0016787	Reactome: R-HSA-6783310	NA	NA	SSF52540	PTHR14025:SF20;PTHR14025	G3DSA:3.40.50.300;G3DSA:1.20.1320.20	NA	NA	PF00271;PF04851	PS00690	cd12091;cd00046;cd00079	mobidb-lite	NA	SM00490;SM00487	PS51194;PS51192	NA	NA	NA	NA	NA	NA	NA
OPB39272.1	IPR014001	GO:0042393;GO:0005515;GO:0005524;GO:0005634;GO:0006355	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	PR00503	SSF52540;SSF47370	PTHR10799:SF836;PTHR10799	G3DSA:3.40.50.10810;G3DSA:3.40.50.300;G3DSA:1.20.920.10;G3DSA:1.20.5.170	NA	NA	PF00271;PF00439;PF14619;PF00176;PF07529;PF08880	NA	cd00046;cd00079	mobidb-lite	NA	SM00487;SM01314;SM00490;SM00573;SM00951;SM00297	PS51194;PS50014;PS51192;PS51204;PS51666	NA	NA	NA	NA	Coil	NA	NA
OPB44451.1	IPR002307	GO:0000166;GO:0004831;GO:0005524;GO:0005737;GO:0006437;GO:0003723;GO:0004812;GO:0006418	KEGG: 00970+6.1.1.1	TIGR00234	PR01040	SSF52374	PTHR11766;PTHR11766:SF0	G3DSA:1.10.240.10;G3DSA:3.40.50.620;G3DSA:3.10.290.10	NA	NA	PF16714;PF00579	PS00178	cd00805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42499.1	IPR005011	GO:0000398	Reactome: R-HSA-72163	NA	NA	NA	PTHR14152	NA	NA	NA	PF03343	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB45409.1	IPR030381	GO:0005525;GO:0003924	NA	NA	PR00195	SSF52540	PTHR11566:SF129;PTHR11566	G3DSA:3.40.50.300	NA	NA	PF00350	NA	cd08771	NA	NA	SM00053	PS51718;PS51388	NA	NA	NA	NA	NA	NA	NA
OPB37747.1	IPR003440	GO:0000148;GO:0003843;GO:0006075;GO:0016020	KEGG: 00500+2.4.1.34|MetaCyc: PWY-6773	NA	NA	NA	PTHR12741;PTHR12741:SF15	NA	NA	NA	PF02364;PF14288	NA	NA	mobidb-lite	NA	SM01205	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB44203.1	IPR003822	GO:0006355;GO:0003714	Reactome: R-HSA-400206|Reactome: R-HSA-427413|Reactome: R-HSA-8936459	NA	NA	SSF47762	PTHR12346:SF0;PTHR12346	G3DSA:1.20.1160.11	NA	NA	PF08295;PF02671;PF16879	NA	NA	mobidb-lite	NA	SM00761	PS51477	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	Coil	NA	NA
OPB45121.1	IPR020472	GO:0005515	NA	NA	PR00320	SSF81383;SSF50998	PTHR44007;PTHR44007:SF6	G3DSA:2.130.10.10	NA	NA	PF00400;PF12937	PS00678	cd00200	mobidb-lite	NA	SM00320;SM00256	PS50082;PS50231;PS50181;PS50294	NA	NA	NA	NA	NA	NA	NA
OPB37950.1	IPR020806	GO:0031177;GO:0016740;GO:0003824	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	SSF55048;SSF51735;SSF47336;SSF52151;SSF53901;SSF53335	PTHR43775:SF14;PTHR43775	G3DSA:3.40.50.720;G3DSA:3.30.70.3290;G3DSA:3.40.366.10;G3DSA:3.40.47.10;G3DSA:1.10.1200.10;G3DSA:3.40.50.150;G3DSA:3.10.129.110	NA	NA	PF16073;PF08242;PF07993;PF00109;PF02801;PF18558;PF00550;PF14765;PF00698	PS00012;PS00606	cd00833	mobidb-lite	NA	SM00823;SM00825;SM00827	PS50075	NA	NA	NA	NA	NA	NA	NA
OPB38249.1	IPR013758	GO:0003677;GO:0003918;GO:0005524;GO:0006259;GO:0006265	Reactome: R-HSA-4615885	NA	PR01158;PR00418	SSF55874;SSF56719;SSF54211	PTHR10169:SF38;PTHR10169	G3DSA:3.90.199.10;G3DSA:3.40.50.670;G3DSA:3.30.1490.30;G3DSA:3.30.230.10;G3DSA:3.30.1360.40;G3DSA:3.30.565.10;G3DSA:1.10.268.10	NA	NA	PF00204;PF02518;PF16898;PF00521;PF01751	PS00177	cd00187;cd00075;cd03365;cd03481	mobidb-lite	NA	SM00433;SM00434	PS50880	NA	NA	NA	NA	Coil	NA	NA
OPB36242.1	IPR036322	GO:0005515;GO:0003824;GO:0009116	NA	NA	NA	SSF50978;SSF53167;SSF52540	PTHR21234;PTHR21234:SF16	G3DSA:2.130.10.10;G3DSA:3.40.50.300	NA	NA	PF00400;PF05729	NA	cd00200	NA	NA	SM00320	PS50082;PS50294	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB45271.1	IPR013057	NA	NA	NA	NA	NA	PTHR22950:SF458;PTHR22950	NA	NA	NA	PF01490	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB46977.1	IPR015408	GO:0005634;GO:0006260;GO:0003690;GO:0003697;GO:0006270	Reactome: R-HSA-176187|Reactome: R-HSA-68962	NA	NA	NA	PTHR13454	G3DSA:2.40.50.140	NA	NA	PF09329	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB43413.1	IPR017439	GO:0016787	NA	TIGR01891	NA	SSF55031;SSF53187	PTHR11014;PTHR11014:SF63	G3DSA:3.40.630.10;G3DSA:3.30.70.360	PIRSF005962	NA	PF01546;PF07687	NA	cd05664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42148.1	IPR027267	NA	NA	NA	NA	NA	PTHR31962;PTHR31962:SF4	G3DSA:1.20.1270.60	NA	NA	PF13805	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB38404.1	IPR036869	NA	NA	NA	PR00625	SSF46565	PTHR24074	G3DSA:1.10.287.110	NA	NA	PF00226	PS00636	cd06257	mobidb-lite	NA	SM00271	PS50076	NA	NA	NA	NA	NA	NA	NA
OPB44641.1	IPR008030		Reactome: R-HSA-70635	NA	NA	SSF51735	PTHR42748:SF7;PTHR42748	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	NA	PF05368	NA	cd05251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36894.1	IPR013929	GO:0006366	NA	NA	NA	NA	PTHR21483	NA	NA	NA	PF08620;PF08621	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43012.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB35984.1	IPR029070	GO:0008061;GO:0004553;GO:0005975	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	NA	SSF54556;SSF51445	PTHR11177:SF303;PTHR11177	G3DSA:3.20.20.80;G3DSA:3.10.50.10	NA	NA	PF00704	PS01095	cd06548	mobidb-lite	NA	SM00636	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB42706.1	IPR009057	GO:0003677;GO:0003676;GO:0006355;GO:0043565	NA	NA	NA	SSF46689	PTHR11850:SF195;PTHR11850	G3DSA:1.10.10.60	NA	NA	PF05920	PS00028;PS00027	cd00086	mobidb-lite	NA	SM00355;SM00389	PS50157;PS50071	NA	NA	NA	NA	NA	NA	NA
OPB41320.1	IPR011059	GO:0016810;GO:0016787	NA	NA	NA	SSF51338;SSF51556	PTHR43135	G3DSA:2.30.40.10;G3DSA:3.20.20.140	NA	NA	PF01979	NA	cd01299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
