Gene	interpro	ProSitePatterns	Coils	SUPERFAMILY	GO	Pfam	PANTHER	MobiDBLite	Phobius	TMHMM	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	CDD	Hamap	Gene3D	PRINTS	PATHWAY	ProSiteProfiles	ProDom	SMART	PIRSF	TIGRFAM	SFLD
PTB39368.1	IPR000719	PS00108;PS00107	Coil	SSF56112	GO:0004672;GO:0005524;GO:0006468	PF00069	PTHR24343:SF300;PTHR24343	mobidb-lite	NA	NA	NA	NA	NA	cd14003	NA	G3DSA:1.10.510.10	NA	NA	PS50011	NA	SM00220	NA	NA	NA
PTB46956.1	IPR001610	NA	NA	SSF52172;SSF55785;SSF55874;SSF47384	GO:0000160;GO:0005515;GO:0000155;GO:0007165;GO:0016310;GO:0016772	PF00072;PF02518;PF08447;PF00512;PF13426	PTHR43047:SF5;PTHR43047	mobidb-lite	NA	NA	NA	NA	NA	cd00156;cd00130;cd00082;cd00075	NA	G3DSA:1.10.287.130;G3DSA:3.30.565.10;G3DSA:3.30.450.20;G3DSA:3.40.50.2300	PR00344	Reactome: R-HSA-1296072	PS50113;PS50109;PS50110;PS50112	NA	SM00086;SM00388;SM00387;SM00448;SM00091	NA	NA	NA
PTB41746.1	IPR001251	NA	NA	SSF52087;SSF46938	NA	PF03765;PF00650	PTHR23324;PTHR23324:SF70	mobidb-lite	NA	NA	NA	NA	NA	cd00170	NA	G3DSA:3.40.525.10;G3DSA:1.10.8.20	NA	NA	PS50191	NA	SM00516;SM01100	NA	NA	NA
PTB46543.1	IPR002293	NA	NA	NA	GO:0016020;GO:0022857;GO:0055085	PF13520	PTHR11785;PTHR11785:SF369	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	PIRSF006060	NA	NA
PTB38304.1	IPR032466	NA	NA	SSF51556;SSF51338	GO:0016810	PF07969	PTHR43668;PTHR43668:SF3	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	cd01309	NA	G3DSA:3.20.20.140;G3DSA:2.30.40.10	NA	NA	NA	NA	NA	NA	NA	NA
PTB42369.1	IPR002208	PS00756;PS00755	NA	SSF103491	GO:0015031;GO:0016020	PF00344;PF10559	PTHR10906:SF1;PTHR10906	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	G3DSA:1.10.3370.10	NA	Reactome: R-HSA-1236974|Reactome: R-HSA-1799339|Reactome: R-HSA-381038	NA	NA	NA	PIRSF004557	TIGR00967	NA
PTB47117.1	IPR001810	NA	NA	SSF81383	GO:0005515	PF00646	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.20.1280.50	NA	NA	NA	NA	SM00256	NA	NA	NA
PTB34988.1	IPR020846	NA	NA	SSF103473	GO:0016021;GO:0055085	PF07690	PTHR43791;PTHR43791:SF63	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	NA	PS50850	NA	NA	NA	NA	NA
PTB42240.1	IPR035144	PS00388	NA	SSF56235	GO:0019773;GO:0004175;GO:0006511;GO:0004298;GO:0005839;GO:0051603	PF10584;PF00227	PTHR11599;PTHR11599:SF12	mobidb-lite	NA	NA	NA	NA	NA	cd03749	NA	G3DSA:3.60.20.10	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PS51475	NA	SM00948	NA	NA	NA
PTB37694.1	IPR011989	NA	NA	SSF48371	GO:0030234;GO:0000502;GO:0042176	PF01851;PF18004;PF13646	PTHR10943:SF2;PTHR10943	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	G3DSA:1.25.10.10	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	PIRSF015947	NA	NA
PTB36471.1	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	TMhelix	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB43680.1	IPR020846	NA	NA	SSF103473	GO:0016021;GO:0055085	PF07690	PTHR23504;PTHR23504:SF16	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	cd06174	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA
PTB35255.1	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45051.1	IPR018820	NA	NA	NA	NA	PF10334;PF13515;PF10337	PTHR37994	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42045.1	NA	NA	NA	NA	NA	NA	PTHR36089	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	PD039572	NA	NA	NA	NA
PTB35571.1	IPR008030	NA	NA	SSF51735		PF05368	PTHR42748:SF14;PTHR42748	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA
PTB40844.1	NA	NA	Coil	NA	NA	NA	NA	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39893.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB40244.1	IPR029058	NA	NA	SSF53474	NA	NA	PTHR38050:SF2;PTHR38050	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	SignalP-noTM	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA
PTB43504.1	IPR036259	NA	NA	SSF103473	GO:0016021;GO:0055085	PF07690	PTHR23501;PTHR23501:SF145	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	cd06174	NA	G3DSA:1.20.1720.10	NA	NA	PS50850	NA	NA	NA	NA	NA
PTB34841.1	IPR036864	PS00463	NA	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	PTHR31263:SF40;PTHR31263	NA	NA	NA	NA	NA	NA	cd00067	NA	G3DSA:4.10.240.10	NA	NA	PS50048	NA	SM00066	NA	NA	NA
PTB43459.1	IPR010640	NA	Coil	NA	NA	PF06772	PTHR36840	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37361.1	IPR008972	PS00079;PS00080	NA	SSF49503	GO:0055114;GO:0005507;GO:0016491	PF00394;PF07732;PF07731	PTHR11709:SF95;PTHR11709	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	cd13876;cd13898;cd13850	NA	G3DSA:2.60.40.420	NA	NA	NA	NA	NA	NA	NA	NA
PTB41800.1	IPR001138	PS00463	NA	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	PTHR31944:SF115;PTHR31944	mobidb-lite	NA	NA	NA	NA	NA	cd00067;cd12148	NA	G3DSA:4.10.240.10	NA	NA	PS50048	NA	SM00906;SM00066	NA	NA	NA
PTB35569.1	NA	NA	NA	NA	NA	NA	PTHR38849	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	SignalP-TM	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45304.1	IPR004648	NA	NA	NA	GO:0055085	PF03169	PTHR22601;PTHR22601:SF48	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00727;TIGR00728	NA
PTB39214.1	IPR036259	NA	NA	SSF103473	GO:0016021;GO:0055085	PF07690	PTHR23514:SF6;PTHR23514	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	NA	PS50850	NA	NA	NA	NA	NA
PTB41254.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46707.1	IPR036378	NA	NA	SSF82153	NA	PF02469	PTHR10900;PTHR10900:SF92	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	G3DSA:2.30.180.10	NA	NA	PS50213	NA	SM00554	NA	NA	NA
PTB42441.1	NA	NA	NA	NA	NA	NA	PTHR42109	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB40214.1	IPR036864	PS00463	NA	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	PTHR19444;PTHR19444:SF21	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	cd12148;cd00067	NA	G3DSA:4.10.240.10	NA	NA	PS50048	NA	SM00066;SM00906	NA	NA	NA
PTB36815.1	IPR000008	PS00018	NA	SSF49562;SSF47473	GO:0004609;GO:0008654;GO:0005509	PF00168;PF02666	PTHR10067;PTHR10067:SF2	mobidb-lite	NA	NA	NA	NA	NA	cd04024;cd04039	MF_00663	G3DSA:2.60.40.150;G3DSA:1.10.238.10	NA	KEGG: 00564+4.1.1.65|MetaCyc: PWY-5669|Reactome: R-HSA-1483213	PS50004;PS50222	NA	SM00239	NA	TIGR00163	NA
PTB37367.1	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42218.1	IPR022234	NA	Coil	NA	NA	PF12585	PTHR37450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42153.1	IPR020904	PS00061	NA	SSF51735	GO:0016491	PF13561	PTHR43008;PTHR43008:SF5	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	PR00080;PR00081	NA	NA	NA	NA	NA	NA	NA
PTB37524.1	IPR036873	NA	NA	SSF52821	NA	PF00581	PTHR10828;PTHR10828:SF50	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.250.10	NA	NA	PS50206	NA	SM00450	NA	NA	NA
PTB46571.1	IPR000873	PS00455	NA	SSF56801	GO:0003824	PF00501;PF13193	PTHR43859:SF4;PTHR43859	NA	NA	NA	NA	NA	NA	cd12118	NA	G3DSA:3.40.50.12780;G3DSA:3.30.300.310	NA	NA	NA	NA	NA	NA	NA	NA
PTB45013.1	IPR004752	NA	NA	SSF103473	GO:0016020;GO:0008521;GO:0016021	PF13000	PTHR12778:SF9;PTHR12778	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	G3DSA:1.20.1250.20	NA	Reactome: R-HSA-425397|Reactome: R-HSA-5619061	NA	NA	NA	NA	NA	NA
PTB38685.1	NA	NA	NA	NA	NA	NA	PTHR36460	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42741.1	IPR003961	NA	Coil	SSF52540;SSF49265	GO:0005515	NA	PTHR32046;PTHR32046:SF9	mobidb-lite	NA	NA	NA	NA	NA	cd00063	NA	G3DSA:2.60.40.10;G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA
PTB38786.1	IPR036259	NA	NA	SSF103473	GO:0016021;GO:0055085	PF07690	PTHR23502:SF13;PTHR23502	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	NA	PS50850	NA	NA	NA	NA	NA
PTB41941.1	IPR020846	NA	NA	SSF103473	GO:0016021;GO:0055085	PF07690	PTHR11360:SF130;PTHR11360	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	NA	PS50850	NA	NA	NA	NA	NA
PTB46800.1	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB43405.1	IPR000504	NA	NA	SSF54928	GO:0003676;GO:0003755	PF00076	PTHR11071:SF319;PTHR11071	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.70.330	NA	NA	PS50102	NA	SM00360	NA	NA	NA
PTB37773.1	IPR000182	NA	NA	SSF55729	GO:0016747	PF13302	PTHR13256:SF67;PTHR13256	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.630.30	NA	NA	PS51186	NA	NA	NA	NA	NA
PTB35981.1	IPR027417	NA	Coil	SSF52540;SSF53474;SSF48452	GO:0005515	PF13374;PF13424	PTHR42654;PTHR42654:SF3	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.300;G3DSA:3.40.50.1820;G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA
PTB38861.1	IPR029058	NA	NA	SSF53474	GO:0004185;GO:0006508	PF00450	PTHR11802:SF190;PTHR11802	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	PR00724	NA	NA	NA	NA	NA	NA	NA
PTB38434.1	IPR035994	NA	NA	SSF53167	GO:0003824;GO:0009116	PF01048	PTHR21234;PTHR21234:SF16	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB40729.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41289.1	IPR025040	NA	Coil	NA	NA	PF13136	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39975.1	IPR013078	PS00175	NA	SSF52540;SSF53254	GO:0003824;GO:0005524;GO:0006003;GO:0003873;GO:0006000	PF00300;PF01591	PTHR10606;PTHR10606:SF32	mobidb-lite	NA	NA	NA	NA	NA	cd07067	NA	NA	PR00991	KEGG: 00051+2.7.1.105+3.1.3.46|Reactome: R-HSA-70171	NA	NA	SM00855	PIRSF000709	NA	NA
PTB44679.1	IPR003746	NA	NA	SSF69786	NA	PF02594	PTHR13420:SF7;PTHR13420	NA	NA	NA	NA	NA	NA	NA	MF_00634	G3DSA:3.30.1200.10	NA	NA	NA	NA	SM01152	NA	NA	NA
PTB39046.1	IPR002347	NA	NA	SSF51735	NA	PF00106	PTHR24320	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	PR00081	NA	NA	NA	NA	NA	NA	NA
PTB43041.1	IPR018466	NA	NA	NA	NA	PF10342	PTHR40633:SF1;PTHR40633	mobidb-lite	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47028.1	IPR011009	PS00109	NA	SSF56112	GO:0004672;GO:0005524;GO:0006468;GO:0004674	PF00069	PTHR12209	NA	NA	NA	NA	NA	NA	cd00180	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6782315|Reactome: R-HSA-6804756	PS50011	NA	SM00220	NA	TIGR03724	NA
PTB40569.1	IPR036575	PS00466	Coil	SSF46942;SSF57783;SSF47676	GO:0006351;GO:0003676;GO:0008270;GO:0005634;GO:0006355	PF01096;PF08711;PF07500	PTHR11477:SF3;PTHR11477	mobidb-lite	NA	NA	NA	NA	NA	cd13749	NA	G3DSA:2.20.25.10;G3DSA:1.10.472.30;G3DSA:1.20.930.10	NA	NA	PS51319;PS51133;PS51321	NA	SM00440;SM00509;SM00510	PIRSF006704	TIGR01385	NA
PTB47097.1	IPR006597	NA	NA	SSF81901	GO:0005515	PF08238	PTHR11102	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	SM00671	NA	NA	NA
PTB38851.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47220.1	IPR008733	NA	NA	NA	GO:0005779;GO:0016559	PF05648	PTHR12652:SF23;PTHR12652	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
