Gene	Phobius	interpro	SUPERFAMILY	PANTHER	GO	Pfam	ProSiteProfiles	CDD	TMHMM	Coils	MobiDBLite	PATHWAY	ProSitePatterns	SMART	Gene3D	PIRSF	PRINTS	TIGRFAM	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	SFLD	ProDom
EGR52243.1	NA	IPR009286	NA	PTHR14456;PTHR14456:SF2	GO:0005524;GO:0035299	PF06090	NA	NA	NA	NA	mobidb-lite	KEGG: 00562+2.7.1.158|KEGG: 04070+2.7.1.158|MetaCyc: PWY-4661|MetaCyc: PWY-6361|MetaCyc: PWY-6362|MetaCyc: PWY-6369|MetaCyc: PWY-6372|MetaCyc: PWY-6554|Reactome: R-HSA-1855167|Reactome: R-HSA-1855191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48347.1	NA	IPR006597	SSF81901	PTHR11102	GO:0005515	PF08238	PS50293;PS50005	NA	NA	NA	mobidb-lite	NA	NA	SM00671	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51643.1	NA	IPR001138	SSF57701	PTHR31263:SF26;PTHR31263	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172;PF11951	PS50048	cd00067	NA	NA	mobidb-lite	NA	PS00463	SM00066	G3DSA:4.10.240.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45084.1	NA	IPR027417	SSF52540	PTHR10285:SF81;PTHR10285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47789.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR018083	NA	PTHR21257:SF31;PTHR21257	GO:0016628;GO:0055114;GO:0016020	PF01222	NA	NA	TMhelix	NA	mobidb-lite	NA	PS01017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48998.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46151.1	NA	IPR008775	SSF51197	PTHR37563;PTHR37563:SF4	NA	PF05721	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	G3DSA:2.60.120.620	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
EGR50646.1	NA	IPR006164	SSF100939;SSF53300;SSF101420	PTHR12604;PTHR12604:SF4	GO:0003677;GO:0006303;GO:0000723;GO:0003684;GO:0005634;GO:0006310;GO:0042162;GO:0043564;GO:0016817	PF08785;PF02735;PF03731	NA	cd00873	NA	NA	mobidb-lite	Reactome: R-HSA-164843|Reactome: R-HSA-1834949|Reactome: R-HSA-3270619|Reactome: R-HSA-5693571|Reactome: R-HSA-6798695	NA	SM00559	G3DSA:3.40.50.410;G3DSA:1.25.40.240;G3DSA:1.10.1600.10;G3DSA:2.40.290.10	PIRSF016570	NA	NA	NA	NA	NA	NA	NA	NA
EGR52175.1	NA	IPR014839	NA	NA	GO:0006357	PF08728	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50778.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR008901	NA	PTHR12956;PTHR12956:SF4	GO:0006672;GO:0016021;GO:0016811	PF05875	NA	NA	TMhelix	NA	NA	Reactome: R-HSA-1660661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49412.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	PTHR36182;PTHR36182:SF2	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	G3DSA:2.70.50.70	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR52549.1	NA	IPR031309	SSF55282	PTHR11994:SF4;PTHR11994	GO:0003735;GO:0005840;GO:0006412	PF00673;PF00281	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	G3DSA:3.30.1440.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49998.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	IPR007272	NA	PTHR30574;PTHR30574:SF1	NA	PF04143	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44651.1	NA	IPR000073	SSF53474	PTHR42977;PTHR42977:SF2	GO:0003824	PF00561	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	NA	PR00412	NA	NA	NA	NA	NA	NA	NA
EGR50339.1	NA	IPR036249	SSF52833	PTHR10438;PTHR10438:SF366	GO:0045454;GO:0006662;GO:0015035	PF00085	PS51352	cd02947	NA	NA	NA	NA	NA	NA	G3DSA:3.40.30.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49492.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR003439	SSF90123;SSF52540	PTHR24223;PTHR24223:SF328	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	PF00005;PF00664	PS50929;PS50893	cd03250;cd03244	TMhelix	NA	mobidb-lite	NA	PS00211	SM00382	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48966.1	NA	IPR016650	SSF46785	PTHR10317;PTHR10317:SF0	GO:0003743;GO:0005737;GO:0005852	PF09440;PF01399	PS50250	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	SM01186;SM00753;SM00088	G3DSA:1.25.40.570	PIRSF016255	NA	NA	NA	NA	NA	MF_03004	NA	NA
EGR53124.1	NA	IPR037807	NA	PTHR13585;PTHR13585:SF19	GO:0005671	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49358.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR001757	SSF56784;SSF81665;SSF81653;SSF81660	PTHR24092:SF97;PTHR24092	GO:0016021;GO:0000166;GO:0000287;GO:0004012;GO:0005524;GO:0015914	PF16212;PF00122;PF13246;PF16209	NA	cd02073	TMhelix	NA	mobidb-lite	Reactome: R-HSA-936837	PS00154	NA	G3DSA:1.20.1110.10;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:2.70.150.20;G3DSA:2.70.150.10	NA	PR00119	TIGR01494;TIGR01652	NA	NA	NA	NA	SFLDF00027;SFLDG00002	NA
EGR46319.1	NA	IPR036291	SSF51735	PTHR24320:SF92;PTHR24320	NA	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	NA	PR00081	NA	NA	NA	NA	NA	NA	NA
EGR47107.1	NA	IPR002347	SSF51735	PTHR44169;PTHR44169:SF2	NA	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	NA	PR00080;PR00081	NA	NA	NA	NA	NA	NA	NA
EGR46839.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48861.1	NA	IPR032454	SSF47113	PTHR23430:SF194;PTHR23430	GO:0046982;GO:0000786;GO:0003677;GO:0005634	PF16211;PF00125	NA	cd00074	NA	NA	mobidb-lite	Reactome: R-HSA-3214858	PS00046	SM00414	G3DSA:1.10.20.10	NA	PR00620	NA	NA	NA	NA	NA	NA	NA
EGR51686.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	IPR003439	SSF52540;SSF90123	PTHR24223:SF328;PTHR24223	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	PF00005;PF00664	PS50893;PS50929	cd03250;cd03244	TMhelix	NA	NA	NA	PS00211	SM00382	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47871.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR027417	SSF52540;SSF109715;SSF55856;SSF53448	PTHR22914;PTHR22914:SF16	GO:0003774;GO:0005524;GO:0016459;GO:0016758	PF00173;PF00063;PF03142;PF08766	PS50255;PS51456	cd14879	TMhelix	NA	mobidb-lite	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	SM00242;SM01117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47127.1	NA	IPR007034	NA	PTHR12858;PTHR12858:SF1	GO:0042254;GO:0005634	PF04950;PF08142	PS51714	NA	NA	NA	mobidb-lite	Reactome: R-HSA-6791226	NA	SM00785;SM01362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48322.1	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	IPR001547	SSF51445	PTHR31451;PTHR31451:SF8	GO:0004553;GO:0005975	PF00150	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.20.20.80	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR48011.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR011701	SSF103473	PTHR11360:SF125;PTHR11360	GO:0016021;GO:0055085	PF07690	NA	cd06174	TMhelix	NA	NA	NA	NA	NA	G3DSA:1.20.1250.20	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51784.1	NA	IPR020472	SSF51197;SSF50978	PTHR45525	GO:0005515	PF00400;PF13621	PS50082;PS50294;PS51184	cd00200	NA	Coil	mobidb-lite	NA	PS00678	SM00558;SM00320	G3DSA:1.20.58.2110;G3DSA:2.60.120.650;G3DSA:2.130.10.10	NA	PR00320	NA	NA	NA	NA	NA	NA	NA
EGR44643.1	NA	IPR012929	NA	PTHR18898	GO:0006606	PF07926	NA	NA	NA	Coil	mobidb-lite	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51807.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR018819	NA	PTHR28293	NA	PF10332	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51493.1	NA	IPR004582	SSF52540	PTHR12172;PTHR12172:SF0	GO:0005634;GO:0006281	PF03215	NA	NA	NA	NA	mobidb-lite	Reactome: R-HSA-176187|Reactome: R-HSA-5685938|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	NA	SM00382	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45389.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR023213	SSF52777;SSF47336;SSF56801;SSF53901;SSF52151;SSF51735;SSF55048	PTHR45527	GO:0003824;GO:0016740;GO:0031177	PF00501;PF07993;PF00550;PF00668;PF00698;PF00109	PS50075	cd05918;cd05235	NA	NA	NA	Reactome: R-HSA-389661	PS00455;PS00012	SM01294;SM00825;SM00823;SM00827	G3DSA:3.30.559.10;G3DSA:3.30.559.30;G3DSA:3.30.300.30;G3DSA:3.40.366.10;G3DSA:3.40.50.12780;G3DSA:1.10.1200.10;G3DSA:3.40.50.720;G3DSA:3.40.47.10	NA	NA	TIGR01733;TIGR01746	NA	NA	NA	NA	NA	NA
EGR44300.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51894.1	NA	IPR021384	SSF140718	PTHR13381	GO:0016592	PF11221	NA	NA	NA	Coil	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	NA	NA	G3DSA:1.20.58.470	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45807.1	NA	IPR024969	NA	PTHR10540:SF7;PTHR10540	GO:0005515;GO:0005838	PF13012;PF01398	PS50249	cd08062	NA	NA	mobidb-lite	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	SM00232	G3DSA:3.40.140.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44271.1	NA	IPR002673	NA	PTHR12884:SF0;PTHR12884	GO:0003735;GO:0005622;GO:0005840;GO:0006412	PF01779	NA	NA	NA	NA	mobidb-lite	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD010314
EGR47472.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PF13376	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
EGR48420.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR033466	NA	PTHR12290:SF11;PTHR12290	GO:0016192	PF03311	NA	NA	TMhelix	NA	NA	Reactome: R-HSA-204005|Reactome: R-HSA-5694530	PS01340	SM01398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49239.1	NA	IPR036005	SSF55920;SSF53092	PTHR10804:SF116;PTHR10804	NA	PF00557	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.90.230.10;G3DSA:3.40.350.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46668.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR005804	NA	PTHR36459	GO:0006629	PF00487	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50108.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	IPR017168	SSF49899	PTHR10963;PTHR10963:SF22	GO:0005618;GO:0016798;GO:0071555;GO:0004553;GO:0005975	PF00722	PS51762	cd02183	NA	NA	mobidb-lite	NA	NA	NA	G3DSA:2.60.120.200	PIRSF037299	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR50030.1	NA	IPR001138	SSF57701	PTHR31313:SF55;PTHR31313	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	PS50048	cd12148;cd00067	NA	NA	mobidb-lite	NA	PS00463	SM00066	G3DSA:4.10.240.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47843.1	NA	IPR014001	SSF52540	PTHR44533;PTHR44533:SF2	GO:0003676;GO:0005524	PF00271;PF00270	PS51192;PS51194	cd00046;cd00079	NA	NA	mobidb-lite	NA	NA	SM00487;SM00490	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46459.1	NA	IPR002495	SSF53448	PTHR11183;PTHR11183:SF39	GO:0016757	PF01501	NA	cd02537	NA	NA	mobidb-lite	NA	NA	NA	G3DSA:3.90.550.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45213.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR002401	SSF48264	PTHR24286;PTHR24286:SF77	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	NA	NA	TMhelix	NA	NA	NA	PS00086	NA	NA	NA	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA
EGR45409.1	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	IPR000909	SSF51695	PTHR13593:SF43;PTHR13593	GO:0006629;GO:0008081	NA	PS50007	cd08586	NA	NA	NA	NA	NA	SM00148	G3DSA:3.20.20.190	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
EGR51813.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR005828	SSF103473	PTHR23500:SF162;PTHR23500	GO:0016021;GO:0022857;GO:0055085;GO:0016020;GO:0005215	PF00083	PS50850	cd06174	TMhelix	NA	NA	Reactome: R-HSA-189200	PS00217	NA	G3DSA:1.20.1250.20	NA	PR00171	TIGR00879	NA	NA	NA	NA	NA	NA
EGR52902.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR020846	SSF103473	PTHR23514;PTHR23514:SF3	GO:0016021;GO:0055085	PF07690	PS50850	cd06174	TMhelix	NA	NA	NA	NA	NA	G3DSA:1.20.1250.20	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50831.1	NA	IPR036526	SSF56317	PTHR23088;PTHR23088:SF30	GO:0006807	PF00795	PS50263	cd07572	NA	NA	NA	NA	PS01227	NA	G3DSA:3.60.110.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48610.1	NA	IPR020606	SSF47973	PTHR11205:SF31;PTHR11205	GO:0003723;GO:0003735;GO:0006412;GO:0015935	PF00177	NA	cd14867	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS00052	NA	G3DSA:1.10.455.10	PIRSF002122	NA	TIGR01028	NA	NA	NA	NA	NA	NA
EGR51501.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	IPR000073	SSF53474	PTHR43689;PTHR43689:SF10	GO:0003824	PF00561	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	NA	PR00111;PR00412	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR47392.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR007330	SSF116846	PTHR37327	NA	PF04212	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	G3DSA:1.20.58.280	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49913.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	IPR016166	SSF56176	PTHR13878:SF70;PTHR13878	GO:0071949;GO:0050660;GO:0016491;GO:0055114	PF01565;PF08031	PS51387	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.465.40;G3DSA:3.40.462.20;G3DSA:3.30.465.50	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR49708.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	IPR013783	SSF51445;SSF49785;SSF49303	PTHR43730	NA	PF17753;PF17786	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.60.40.10;G3DSA:2.60.120.260;G3DSA:3.20.20.80	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
