Gene	interpro	Pfam	Phobius	SUPERFAMILY	TMHMM	PANTHER	MobiDBLite	Gene3D	Coils	GO	SMART	PATHWAY	PRINTS	ProSitePatterns	CDD	ProSiteProfiles	SignalP_GRAM_POSITIVE	PIRSF	Hamap	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SFLD	ProDom
PTB48407.1	IPR011990	PF00931;PF13424	NA	SSF48452;SSF52540	NA	PTHR19959;PTHR19959:SF205	NA	G3DSA:1.25.40.10;G3DSA:3.40.50.300	NA	GO:0005515;GO:0043531	NA	Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-6798695|Reactome: R-HSA-6803207|Reactome: R-HSA-8953750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56086.1	IPR020846	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23502;PTHR23502:SF7	mobidb-lite	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085;GO:0005215	NA	NA	NA	PS00216	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB54406.1	IPR020846	PF07690	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR43791;PTHR43791:SF26	mobidb-lite	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB48009.1	IPR020846	PF07690	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23501;PTHR23501:SF102	mobidb-lite	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	PR01036	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB55741.1	IPR015422	PF00464	NA	SSF53383	NA	PTHR11680;PTHR11680:SF25	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	GO:0003824;GO:0004372;GO:0019264;GO:0030170;GO:0035999	NA	KEGG: 00260+2.1.2.1|KEGG: 00460+2.1.2.1|KEGG: 00630+2.1.2.1|KEGG: 00670+2.1.2.1|KEGG: 00680+2.1.2.1|MetaCyc: PWY-1622|MetaCyc: PWY-181|MetaCyc: PWY-2161|MetaCyc: PWY-2201|MetaCyc: PWY-3661|MetaCyc: PWY-3661-1|MetaCyc: PWY-3841|MetaCyc: PWY-5497|Reactome: R-HSA-196757	NA	PS00096	cd00378	NA	NA	PIRSF000412	MF_00051	NA	NA	NA	NA	NA
PTB56702.1	IPR027409	PF00118	NA	SSF52029;SSF48592;SSF54849	NA	PTHR11353:SF78;PTHR11353	NA	G3DSA:3.50.7.10;G3DSA:1.10.560.10;G3DSA:3.30.260.10	NA	GO:0005524;GO:0006457;GO:0051082	NA	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-5620922|Reactome: R-HSA-6798695|Reactome: R-HSA-6814122	PR00304	NA	cd03341	NA	NA	NA	NA	TIGR02346	NA	NA	NA	NA
PTB54616.1	IPR020841	PF13602;PF14765;PF00698;PF08659;PF00109;PF08240;PF16197;PF08242;PF00550;PF02801	NA	SSF51735;SSF50129;SSF55048;SSF52151;SSF53901;SSF47336;SSF53335	NA	PTHR43775:SF7;PTHR43775	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10;G3DSA:1.10.1200.10;G3DSA:3.40.50.150;G3DSA:3.40.366.10;G3DSA:3.10.129.110;G3DSA:3.40.47.10	Coil	GO:0016491;GO:0031177;GO:0016740;GO:0055114;GO:0003824	SM00825;SM00829;SM00826;SM00823;SM00822;SM00827	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	PS00606	cd02440;cd00833;cd05195	PS50075	NA	NA	NA	NA	NA	NA	NA	NA
PTB51403.1	IPR000101	PF01019	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	SSF56235	NA	PTHR11686;PTHR11686:SF9	NA	G3DSA:3.60.20.40;G3DSA:1.10.246.130	NA	GO:0006751;GO:0036374	NA	KEGG: 00430+2.3.2.2|KEGG: 00460+2.3.2.2|KEGG: 00480+2.3.2.2+3.4.19.13|MetaCyc: PWY-4041|MetaCyc: PWY-4061|MetaCyc: PWY-5826|MetaCyc: PWY-6842|MetaCyc: PWY-7112|MetaCyc: PWY-7559|MetaCyc: PWY-8001	PR01210	NA	NA	NA	SignalP-TM	NA	NA	TIGR00066	SignalP-noTM	SignalP-noTM	NA	NA
PTB55652.1	IPR000904	PF15410;PF01369	NA	SSF48425;SSF50729	NA	PTHR45590	mobidb-lite	G3DSA:2.30.29.30;G3DSA:1.10.1000.11	NA	GO:0005086;GO:0032012	SM00222	NA	NA	NA	cd00171	PS50190	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
PTB59305.1	IPR009071	PF00505	NA	SSF47095	NA	PTHR13711;PTHR13711:SF302	mobidb-lite	G3DSA:1.10.30.10	Coil	NA	SM00398	NA	PR00886	NA	cd01390	PS50118	NA	NA	NA	NA	NA	NA	NA	NA
PTB61218.1	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA	NA	NA
PTB56988.1	IPR011701	PF07690	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23514:SF3;PTHR23514	mobidb-lite	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB50489.1	IPR034294	PF00230	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF81338	TMhelix	PTHR19139;PTHR19139:SF124	mobidb-lite	G3DSA:1.20.1080.10	NA	GO:0015267;GO:0016020;GO:0055085	NA	Reactome: R-HSA-432047	PR00783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52345.1	IPR029262	PF14700;PF00940	NA	SSF56672	NA	PTHR10102:SF0;PTHR10102	mobidb-lite	G3DSA:1.10.287.280;G3DSA:1.10.287.260;G3DSA:1.10.150.20;G3DSA:3.30.70.370;G3DSA:1.10.1320.10	NA	GO:0003899;GO:0003677;GO:0006351	SM01311	KEGG: 00230+2.7.7.6|KEGG: 00240+2.7.7.6|Reactome: R-HSA-163282|Reactome: R-HSA-2151201	NA	PS00489;PS00900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54870.1	IPR023209	PF01266	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	SSF51971;SSF54373	NA	PTHR11530:SF26;PTHR11530	NA	G3DSA:3.40.50.720;G3DSA:3.30.9.10	NA	GO:0003884;GO:0046416;GO:0071949;GO:0016491;GO:0055114	NA	Reactome: R-HSA-389661|Reactome: R-HSA-9033241	PR00411	PS00677	NA	NA	NA	PIRSF000189	NA	NA	NA	NA	NA	NA
PTB48751.1	IPR001138	PF00172;PF04082	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF57701	NA	PTHR45582	mobidb-lite	G3DSA:4.10.240.10	Coil	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00906;SM00066	NA	NA	PS00463	cd12148;cd00067	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PTB47781.1	IPR000504	PF00076	NA	SSF54928	NA	PTHR10501:SF27;PTHR10501	mobidb-lite	G3DSA:3.30.70.330	NA	GO:0003676	SM00360	NA	NA	NA	cd12247	PS50102	NA	NA	NA	NA	NA	NA	NA	NA
PTB59394.1	IPR022617	PF11976	NA	SSF54236	NA	NA	mobidb-lite	G3DSA:3.10.20.90	Coil	GO:0005515	NA	NA	NA	NA	NA	PS50053	NA	NA	NA	NA	NA	NA	NA	NA
PTB54448.1	IPR003663	PF00083	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23500:SF161;PTHR23500	NA	G3DSA:1.20.1250.20	NA	GO:0016020;GO:0022857;GO:0055085;GO:0016021	NA	Reactome: R-HSA-189200	PR00171	NA	cd06174	PS50850	NA	NA	NA	TIGR00879	NA	NA	NA	NA
PTB53051.1	IPR008942	PF11526	NA	SSF48464	NA	PTHR15921	mobidb-lite	G3DSA:1.25.40.90	NA	GO:0005849;GO:0006369;GO:0006378;GO:0006379	SM00582	NA	NA	NA	cd03562	PS51391	NA	NA	NA	NA	NA	NA	NA	NA
PTB59989.1	IPR036259	PF00083	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23500:SF15;PTHR23500	NA	G3DSA:1.20.1250.20	NA	GO:0016020;GO:0022857;GO:0055085;GO:0016021	NA	Reactome: R-HSA-189200	NA	NA	cd06174	PS50850	NA	NA	NA	TIGR00879	NA	NA	NA	NA
PTB59877.1	IPR036396	PF00067	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF48264	TMhelix	PTHR24286:SF52;PTHR24286	NA	G3DSA:1.10.630.10	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PR00385;PR00463	PS00086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58077.1	IPR001650	PF00270;PF00271	NA	SSF52540	NA	PTHR44533:SF2;PTHR44533	mobidb-lite	G3DSA:3.40.50.300	NA	GO:0003676;GO:0005524	SM00490;SM00487	NA	NA	NA	cd00079;cd00046	PS51194;PS51192	NA	NA	NA	NA	NA	NA	NA	NA
PTB50377.1	IPR001313	PF00806	NA	SSF48371	NA	PTHR12537:SF13;PTHR12537	mobidb-lite	G3DSA:1.25.10.10	NA	GO:0003723	SM00025	NA	NA	NA	cd07920	PS50302;PS50303	NA	NA	NA	NA	NA	NA	NA	NA
PTB50261.1	IPR029044	PF13632	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF53448	TMhelix	PTHR35408;PTHR35408:SF3	mobidb-lite	G3DSA:3.90.550.10	NA		NA	Reactome: R-HSA-913709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49473.1	IPR018253	PF00226;PF00684;PF01556	NA	SSF49493;SSF57938;SSF46565	NA	PTHR43888;PTHR43888:SF12	mobidb-lite	G3DSA:2.60.260.20;G3DSA:1.10.287.110;G3DSA:2.10.230.10	Coil	GO:0031072;GO:0051082;GO:0006457;GO:0005524;GO:0009408	SM00271	NA	PR00625	PS00636	cd10719;cd06257;cd10747	PS51188;PS50076	NA	NA	MF_01152	NA	NA	NA	NA	NA
PTB48567.1	IPR011032	PF08240;PF00107	NA	SSF50129;SSF51735	NA	PTHR42683:SF9;PTHR42683	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	GO:0055114;GO:0008270;GO:0016491	SM00829	Reactome: R-HSA-71384	NA	PS00059	cd05283	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50232.1	IPR017938	PF08022;PF01794;PF08030	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF63380;SSF52343	TMhelix	PTHR11972:SF89;PTHR11972	NA	G3DSA:3.40.50.80	NA	GO:0016491;GO:0055114;GO:0000293;GO:0016021	NA	NA	NA	NA	cd06186	PS51384	NA	NA	NA	NA	NA	NA	SFLDG01168;SFLDS00052	NA
PTB56484.1	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB59050.1	IPR029044	PF03452	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	SSF53448	TMhelix	PTHR43083:SF6;PTHR43083	NA	G3DSA:3.90.550.10	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
PTB59985.1	IPR036259	PF07690	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	SSF103473	TMhelix	PTHR42718:SF1;PTHR42718	NA	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB61241.1	IPR000595	PF00027;PF01734	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	SSF52151;SSF51206	TMhelix	PTHR14226;PTHR14226:SF29	mobidb-lite	G3DSA:3.40.1090.10;G3DSA:2.60.120.10	Coil	GO:0006629	SM00100	NA	NA	NA	cd00038;cd07227	PS50042;PS51635	NA	NA	NA	NA	NA	NA	NA	NA
PTB48239.1	IPR035266	PF13646;PF18004;PF01851	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	SSF48371	NA	PTHR10943:SF2;PTHR10943	mobidb-lite	G3DSA:1.25.10.10	NA	GO:0030234;GO:0000502;GO:0042176	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	PIRSF015947	NA	NA	NA	NA	NA	NA
PTB54327.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	mobidb-lite	G3DSA:1.20.58.340	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50646.1	IPR020846	PF00854	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR11654:SF118;PTHR11654	NA	G3DSA:1.20.1250.20	NA	GO:0005215;GO:0006857;GO:0016020;GO:0022857;GO:0055085	NA	Reactome: R-HSA-427975	NA	PS01023	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61153.1	IPR011701	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR43791;PTHR43791:SF27	mobidb-lite	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB60142.1	IPR037344	PF05729	NA	SSF52540	NA	PTHR10039;PTHR10039:SF5	NA	G3DSA:3.40.50.300	NA	GO:0032126;GO:0070941	NA	NA	NA	NA	NA	PS50837	NA	NA	NA	NA	NA	NA	NA	NA
PTB58617.1	IPR006597	PF08238	NA	SSF81901	NA	PTHR43628:SF2;PTHR43628	mobidb-lite	G3DSA:1.25.40.10	NA	GO:0005515	SM00671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47561.1	IPR020846	PF00083	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	SSF103473	TMhelix	PTHR23500;PTHR23500:SF103	NA	G3DSA:1.20.1250.20	NA	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	NA	Reactome: R-HSA-189200	PR00171	PS00217;PS00216	cd06174	PS50850	NA	NA	NA	TIGR00879	SignalP-TM	NA	NA	NA
PTB55157.1	IPR007248	PF04117	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR11266;PTHR11266:SF17	NA	NA	NA	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50855.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB59320.1	IPR000217	PF03953;PF00091	NA	SSF55307;SSF52490	NA	PTHR11588;PTHR11588:SF248	NA	G3DSA:3.30.1330.20;G3DSA:3.40.50.1440;G3DSA:1.10.287.600	Coil	GO:0005874;GO:0007017;GO:0005525;GO:0005200;GO:0003924	SM00864;SM00865	Reactome: R-HSA-380320	PR01161;PR01162	PS00227	cd02186	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57225.1	IPR009081	PF00668;PF00550;PF00501	NA	SSF56801;SSF47336;SSF52777	NA	PTHR45527	NA	G3DSA:1.10.1200.10;G3DSA:3.30.559.30;G3DSA:3.40.50.12780;G3DSA:3.30.559.10;G3DSA:3.30.300.30	NA	GO:0003824;GO:0031177	SM00823	Reactome: R-HSA-389661	NA	PS00455;PS00012	cd05918	PS50075	NA	NA	NA	TIGR01733	NA	NA	NA	NA
PTB53154.1	NA	NA	NA	NA	NA	PTHR39611;PTHR39611:SF1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49431.1	IPR003280	PF07885	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF81324	TMhelix	PTHR11003;PTHR11003:SF166	mobidb-lite	G3DSA:1.10.287.70	Coil	GO:0005267;GO:0016020;GO:0071805	NA	Reactome: R-HSA-5576886	PR01333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49517.1	IPR013026	PF13424	NA	SSF48452;SSF52540	NA	PTHR19959;PTHR19959:SF205	NA	G3DSA:1.25.40.10;G3DSA:3.40.50.300	NA	GO:0005515	SM00028	NA	NA	NA	NA	PS50293	NA	NA	NA	NA	NA	NA	NA	NA
PTB50844.1	IPR008010	PF05346	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR13317	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
