Gene	Phobius	PRINTS	interpro	GO	ProSiteProfiles	PANTHER	TMHMM	SFLD	Gene3D	PATHWAY	TIGRFAM	CDD	SUPERFAMILY	ProSitePatterns	Pfam	MobiDBLite	SMART	Coils	PIRSF	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	Hamap	ProDom
EHK40678.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK44916.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR000109	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0006857	NA	PTHR11654;PTHR11654:SF118	TMhelix	NA	G3DSA:1.20.1250.20	Reactome: R-HSA-427975	NA	cd06174	SSF103473	PS01023	PF00854	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41237.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	IPR018201	GO:0006633;GO:0016747;GO:0003824	NA	PTHR11712;PTHR11712:SF299	NA	NA	G3DSA:3.40.47.10	NA	TIGR03150	cd00834	SSF53901	PS00606	PF00109;PF02801	NA	SM00825	NA	PIRSF000447	NA	NA	NA	NA	NA
EHK45376.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR031563	GO:0015098;GO:0015689	NA	PTHR31970:SF0;PTHR31970	TMhelix	NA	NA	NA	NA	NA	NA	NA	PF16983	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46082.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PR00219	IPR011012	GO:0016021;GO:0016192	PS50859;PS50892	PTHR21136	TMhelix	NA	G3DSA:3.30.450.50;G3DSA:1.20.5.110	Reactome: R-HSA-204005	NA	cd15843	SSF58038;SSF64356	NA	PF13774;PF00957	NA	SM01270	NA	NA	NA	NA	NA	NA	NA
EHK48756.1	NA	NA	IPR036291	GO:0003854;GO:0006694;GO:0016616;GO:0055114	NA	PTHR10366:SF562;PTHR10366	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	PF01073	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44581.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR020846	GO:0016021;GO:0055085	PS50850	PTHR23501;PTHR23501:SF12	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42299.1	NA	NA	IPR036736	GO:0016740;GO:0003824;GO:0016787;GO:0006508;GO:0008236;GO:0031177	PS50075	PTHR43775:SF14;PTHR43775	NA	NA	G3DSA:3.10.129.110;G3DSA:3.40.366.10;G3DSA:3.40.47.10;G3DSA:3.40.50.1820;G3DSA:3.30.70.3290;G3DSA:1.10.1200.10	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	cd00833	SSF47336;SSF55048;SSF52151;SSF53901;SSF53474	PS00606;PS00012	PF16073;PF02801;PF00698;PF16197;PF14765;PF07859;PF00550;PF00109;PF00326	NA	SM01294;SM00825;SM00827;SM00823	NA	NA	NA	NA	NA	NA	NA
EHK48816.1	NA	NA	IPR009061	GO:0003684;GO:0005634;GO:0006289	NA	PTHR10142	NA	NA	G3DSA:3.90.530.10	Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-6781823|Reactome: R-HSA-6782135	TIGR00598	NA	SSF46955	PS00753	PF05181	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK42744.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	IPR000026	GO:0003723;GO:0004521;GO:0004540	NA	PTHR42104	NA	NA	G3DSA:3.10.450.30	NA	NA	cd00606	SSF53933	NA	PF00545	NA	NA	NA	PIRSF037430	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA
EHK42804.1	NA	NA	IPR039931	NA	PS51840	PTHR21456:SF1;PTHR21456	NA	NA	NA	NA	NA	NA	NA	NA	PF10358	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK50755.1	NA	NA	IPR023213	GO:0003824;GO:0031177	PS50075	PTHR45527	NA	NA	G3DSA:3.30.559.10;G3DSA:3.30.559.30;G3DSA:3.30.300.30;G3DSA:3.40.50.12780;G3DSA:1.10.1200.10	Reactome: R-HSA-389661	TIGR01733	cd05918	SSF52777;SSF47336;SSF56801	PS00012;PS00455	PF00501;PF00550;PF00668	NA	SM01294;SM00823	NA	NA	NA	NA	NA	NA	NA
EHK44864.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR036513	GO:0008271;GO:0008272;GO:0016020;GO:0055085;GO:0015116;GO:0016021	PS50801	PTHR11814:SF180;PTHR11814	TMhelix	NA	G3DSA:3.30.750.24	NA	NA	cd07042	SSF52091	NA	PF00916;PF01740	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK43373.1	NA	PR00392	IPR005455	NA	NA	PTHR11604;PTHR11604:SF0	NA	NA	G3DSA:3.30.450.30	NA	NA	cd00148	SSF55770	NA	PF00235	NA	SM00392	NA	NA	NA	NA	NA	NA	NA
EHK42820.1	NA	NA	IPR000911	GO:0003735;GO:0005840;GO:0006412	NA	PTHR11661;PTHR11661:SF1	NA	NA	G3DSA:3.30.1550.10;G3DSA:1.10.10.250	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	TIGR01632	cd00349	SSF46906;SSF54747	NA	PF03946;PF00298	NA	SM00649	NA	NA	NA	NA	NA	MF_00736	PD001367
EHK46654.1	NA	NA	IPR003613	GO:0004842;GO:0016567;GO:0005515;GO:0000398;GO:0000974;GO:0006281;GO:0061630	PS51698;PS50294;PS50082	PTHR43995	NA	NA	G3DSA:2.130.10.10;G3DSA:3.30.40.10	MetaCyc: PWY-7511	NA	cd16656	SSF50978;SSF57850	NA	PF12894;PF08606	mobidb-lite	SM00320;SM00504	NA	NA	NA	NA	NA	NA	NA
EHK49128.1	NA	NA	IPR036736	GO:0003824;GO:0016747	PS50075	PTHR43201;PTHR43201:SF3	NA	NA	G3DSA:1.10.1200.10;G3DSA:3.30.559.10;G3DSA:3.40.50.12780	Reactome: R-HSA-389661	NA	NA	SSF56801;SSF47336	PS00455	PF00501;PF00550;PF02458	NA	SM01294	NA	NA	NA	NA	NA	NA	NA
EHK45529.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PR00119	IPR023299	GO:0000166;GO:0016021;GO:0006812;GO:0019829	NA	PTHR42861:SF15;PTHR42861	TMhelix	SFLDF00027;SFLDG00002	G3DSA:3.40.1110.10;G3DSA:1.20.1110.10;G3DSA:3.40.50.1000;G3DSA:2.70.150.10	Reactome: R-HSA-936837	TIGR01494;TIGR01523	NA	SSF81660;SSF81653;SSF56784;SSF81665	PS00154	PF00690;PF00689;PF13246;PF00702;PF00122	mobidb-lite	SM00831	NA	NA	NA	NA	NA	NA	NA
EHK40688.1	NA	PR01241;PR00318	IPR001019	GO:0003924;GO:0007186;GO:0019001;GO:0031683;GO:0007165;GO:0001664;GO:0005525;GO:0005834	NA	PTHR10218:SF242;PTHR10218	NA	NA	G3DSA:3.40.50.300;G3DSA:1.10.400.10	NA	NA	cd00066	SSF47895;SSF52540	NA	PF00503	NA	SM00275	NA	NA	NA	NA	NA	NA	NA
EHK45040.1	NA	NA	IPR002885	GO:0005515	PS51375	PTHR44149;PTHR44149:SF1	NA	NA	G3DSA:1.25.40.10	NA	TIGR00756	NA	NA	NA	PF13812	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK43803.1	NA	NA	IPR006056		NA	PTHR11803:SF22;PTHR11803	NA	NA	G3DSA:3.30.1330.40	Reactome: R-HSA-8849175	TIGR00004	cd00448	SSF55298	NA	PF01042	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43732.1	NA	NA	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	PTHR43098	NA	NA	G3DSA:3.50.50.60	NA	NA	NA	SSF51905	NA	PF00743	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50964.1	NA	NA	IPR004827	GO:0003700;GO:0006355	PS50217	PTHR19304;PTHR19304:SF5	NA	NA	G3DSA:1.20.5.170	NA	NA	cd14687	SSF57959	PS00036	PF00170	mobidb-lite	SM00338	Coil	NA	NA	NA	NA	NA	NA
EHK40347.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR028000	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	PF14610	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PD137583
EHK45799.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR036259	GO:0016021;GO:0055085	PS50850	PTHR23502;PTHR23502:SF47	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK46412.1	NA	NA	IPR011263	GO:0003899;GO:0006351;GO:0046983;GO:0003677	NA	PTHR11800;PTHR11800:SF2	NA	NA	G3DSA:3.30.1360.10;G3DSA:2.170.120.12	KEGG: 00230+2.7.7.6|KEGG: 00240+2.7.7.6	NA	cd07031	SSF56553;SSF55257	PS00446	PF01193;PF01000	mobidb-lite	SM00662	NA	NA	NA	NA	NA	NA	NA
EHK45704.1	NA	NA	IPR000198	GO:0007165	PS50238	PTHR15228:SF25;PTHR15228	NA	NA	G3DSA:1.10.555.10	Reactome: R-HSA-194840	NA	cd04396	SSF48350	NA	PF00620	mobidb-lite	SM00324	NA	NA	NA	NA	NA	NA	NA
EHK45407.1	NA	NA	IPR005946	GO:0000287;GO:0004749;GO:0009165;GO:0009116	NA	PTHR10210:SF36;PTHR10210	NA	NA	G3DSA:3.40.50.2020	KEGG: 00030+2.7.6.1|KEGG: 00230+2.7.6.1	TIGR01251	cd06223	SSF53271	NA	PF14572;PF13793	mobidb-lite	SM01400	NA	NA	NA	NA	NA	NA	NA
EHK47795.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR020846	GO:0016021;GO:0055085	NA	PTHR11360:SF120;PTHR11360	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK39390.1	NA	PR01042	IPR004523	GO:0000166;GO:0004815;GO:0005524;GO:0005737;GO:0006422;GO:0004812;GO:0006418	PS50862	PTHR43450	NA	NA	G3DSA:3.30.930.10;G3DSA:2.40.50.140	Reactome: R-HSA-2408517|Reactome: R-HSA-379716	NA	cd04320;cd00776	SSF50249;SSF55681	NA	PF00152	mobidb-lite	NA	Coil	NA	NA	NA	NA	MF_02075	NA
EHK40944.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK41135.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	PTHR11785:SF369;PTHR11785	TMhelix	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	PF13520	NA	NA	NA	PIRSF006060	NA	NA	NA	NA	NA
EHK39554.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR029044	GO:0004100;GO:0006031;GO:0016758	NA	PTHR22914:SF38;PTHR22914	TMhelix	NA	NA	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	cd04190	SSF53448	NA	PF01644;PF08407	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PD002998
EHK43307.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PR00371;PR00369	IPR029039	GO:0016491;GO:0055114;GO:0010181;GO:0003958	PS51384;PS50902	PTHR19384;PTHR19384:SF17	TMhelix	NA	G3DSA:3.40.50.360;G3DSA:3.40.50.80;G3DSA:1.20.990.10;G3DSA:2.40.30.10	Reactome: R-HSA-211897	NA	cd06204	SSF52343;SSF52218;SSF63380	NA	PF00667;PF00175;PF00258	NA	NA	NA	PIRSF000208	NA	NA	NA	MF_03212	NA
EHK50054.1	NA	NA	IPR017970	GO:0006355;GO:0043565;GO:0003677	PS50071	PTHR24326:SF485;PTHR24326	NA	NA	G3DSA:1.10.10.60	NA	NA	cd00086	SSF46689	PS00027	PF00046	mobidb-lite	SM00389	NA	NA	NA	NA	NA	NA	NA
EHK40675.1	NA	NA	IPR000433	GO:0008270	PS50135	PTHR20930:SF0;PTHR20930	NA	NA	G3DSA:3.30.60.90;G3DSA:2.60.40.10	NA	NA	cd02249;cd02340;cd14947	SSF57850	NA	PF16158;PF00569	mobidb-lite	SM00291	NA	NA	NA	NA	NA	NA	NA
EHK43997.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	PR00747	IPR001382	GO:0004571;GO:0005509;GO:0016020;GO:0003824	NA	PTHR11742;PTHR11742:SF49	NA	NA	G3DSA:1.50.10.10	NA	NA	NA	SSF48225	NA	PF01532	mobidb-lite	NA	Coil	NA	SignalP-noTM	NA	SignalP-TM	NA	NA
EHK48271.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR020846	GO:0016021;GO:0055085	PS50850	PTHR23502;PTHR23502:SF47	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK39342.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR016166	GO:0071949;GO:0004631;GO:0005737;GO:0006695;GO:0016491;GO:0050660;GO:0055114;GO:0009116	PS51387	PTHR42973;PTHR42973:SF25	NA	NA	G3DSA:3.40.462.20;G3DSA:3.40.50.150;G3DSA:3.40.50.300;G3DSA:3.40.50.2020;G3DSA:3.30.465.40	KEGG: 00900+2.7.4.2|MetaCyc: PWY-7391|MetaCyc: PWY-922|Reactome: R-HSA-191273|Reactome: R-HSA-2426168	NA	cd06223	SSF53271;SSF53335;SSF56176	NA	PF04275;PF01565;PF00156	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK39642.1	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	PTHR11042:SF99;PTHR11042	NA	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	NA	NA	SSF56112	PS00108	PF00069	mobidb-lite	SM00220	NA	NA	NA	NA	NA	NA	NA
EHK44109.1	NA	PR01217;PR00452	IPR001452	GO:0005515;GO:0005622;GO:0006886	PS50002;PS50330;PS50179	PTHR13856;PTHR13856:SF134	NA	NA	G3DSA:1.25.40.90;G3DSA:2.30.30.40	NA	NA	cd03568;cd11805	SSF50044;SSF48464	NA	PF00018;PF03127;PF00790	mobidb-lite	SM00326;SM00288	NA	NA	NA	NA	NA	NA	NA
EHK45357.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	IPR001381	GO:0003855;GO:0003824	NA	PTHR43783:SF1;PTHR43783	NA	NA	G3DSA:3.20.20.70	KEGG: 00400+4.2.1.10|MetaCyc: PWY-6163|MetaCyc: PWY-6416|MetaCyc: PWY-6707	TIGR01093	cd00502	SSF51569	NA	PF01487	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK47741.1	NA	NA	IPR010987	GO:0005515	PS50405;PS50404	NA	NA	NA	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	NA	NA	SSF47616;SSF52833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42213.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PR00371;PR00406;PR00363	IPR001199	GO:0016491;GO:0055114;GO:0020037	PS50255;PS51384	PTHR19370:SF178;PTHR19370	NA	NA	G3DSA:3.40.50.80;G3DSA:3.10.120.10;G3DSA:2.40.30.10	Reactome: R-HSA-1237044	NA	cd06183	SSF63380;SSF52343;SSF55856	PS00191	PF00175;PF00173;PF00970	NA	SM01117	NA	NA	NA	NA	NA	NA	NA
EHK46896.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR011701	GO:0016021;GO:0055085	PS50850	PTHR11360;PTHR11360:SF224	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK41267.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR010721	NA	NA	PTHR32251:SF21;PTHR32251	TMhelix	NA	G3DSA:1.20.120.1630	NA	NA	NA	NA	NA	PF06966	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK46427.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40828.1	NA	NA	IPR029045	GO:0003824	NA	PTHR43684:SF1;PTHR43684	TMhelix	NA	G3DSA:3.90.226.10	NA	NA	cd06558	SSF52096	NA	PF00378	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40960.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR011009	GO:0004672;GO:0006468	NA	PTHR35859:SF1;PTHR35859	TMhelix	NA	G3DSA:3.90.1200.10;G3DSA:3.30.200.20	NA	NA	cd05154	SSF56112	PS00108	PF01636	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK39674.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK49061.1	NA	NA	IPR008921	GO:0003677;GO:0006260	NA	PTHR11669;PTHR11669:SF1	NA	NA	G3DSA:3.40.50.300;G3DSA:1.20.272.10;G3DSA:1.10.8.60	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	NA	cd00009	SSF48019;SSF52540	NA	PF13177	NA	SM00382	NA	NA	NA	NA	NA	NA	NA
EHK42697.1	NA	PR00723	IPR036852	GO:0004252;GO:0006508;GO:0005618;GO:0016020	NA	PTHR43806:SF20;PTHR43806	NA	NA	G3DSA:3.40.50.200	NA	NA	cd07489	SSF52743	PS00137;PS00136	PF06280;PF00082	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41087.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR003674	GO:0004576;GO:0006486;GO:0016020	NA	PTHR13872:SF38;PTHR13872	TMhelix	NA	G3DSA:3.40.50.12610	NA	NA	NA	NA	NA	PF02516	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK45356.1	NA	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	PTHR31944;PTHR31944:SF32	NA	NA	G3DSA:4.10.240.10	NA	NA	cd00067;cd12148	SSF57701	NA	PF00172;PF04082	mobidb-lite	SM00066;SM00906	Coil	NA	NA	NA	SignalP-TM	NA	NA
EHK44018.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR029063	NA	NA	PTHR14614:SF54;PTHR14614	NA	NA	G3DSA:3.40.50.150	NA	NA	NA	SSF53335	NA	PF10294	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47326.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PTHR35395:SF1;PTHR35395	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47702.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR000409	GO:0005515	PS50197;PS50082;PS50294;PS51783	PTHR13743;PTHR13743:SF112	NA	NA	G3DSA:2.60.120.200;G3DSA:1.10.1540.10;G3DSA:2.130.10.10	NA	NA	cd01201;cd06071	SSF50729;SSF50978;SSF81837;SSF49899	NA	PF02138;PF14844;PF13385	mobidb-lite	SM01026;SM00320	NA	NA	NA	NA	NA	NA	NA
EHK44516.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	IPR005198	GO:0003824	NA	PTHR12145;PTHR12145:SF25	NA	NA	G3DSA:1.50.10.20	NA	NA	NA	SSF48208	NA	PF03663	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-TM	NA	NA
EHK50095.1	NA	NA	IPR013087	GO:0003676	PS50157	PTHR24388	NA	NA	G3DSA:3.30.160.60	NA	NA	NA	SSF57667	PS00028	PF00096	mobidb-lite	SM00355	Coil	NA	NA	NA	NA	NA	NA
EHK39697.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR020846	NA	NA	PTHR23502;PTHR23502:SF76	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
