Gene	Phobius	TMHMM	MobiDBLite	interpro	GO	Pfam	TIGRFAM	PANTHER	SUPERFAMILY	Coils	Gene3D	ProDom	ProSiteProfiles	PATHWAY	ProSitePatterns	SMART	PRINTS	CDD	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD	PIRSF	SignalP_GRAM_POSITIVE	Hamap
EHK18841.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR018422	GO:0006812;GO:0015299;GO:0016021;GO:0055085;GO:0006814;GO:0006885;GO:0015385	PF00999	TIGR00840	PTHR10110;PTHR10110:SF127	NA	NA	NA	NA	NA	Reactome: R-HSA-425986	NA	NA	PR01084	NA	NA	NA	NA	NA	NA	NA
EHK19303.1	NA	NA	mobidb-lite	IPR036400	GO:0042128;GO:0016491;GO:0030151;GO:0055114	PF00173;PF03404;PF00174	NA	PTHR19372;PTHR19372:SF7	SSF55856;SSF81296;SSF56524	NA	G3DSA:2.60.40.650;G3DSA:3.90.420.10;G3DSA:3.10.120.10	NA	PS50255	Reactome: R-HSA-1614517	NA	SM01117	PR00407	NA	NA	NA	NA	NA	NA	NA
EHK25259.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	PF00743	NA	PTHR42877;PTHR42877:SF6	SSF51905	NA	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	PR00368	NA	NA	NA	NA	NA	NA	NA
EHK23700.1	NA	NA	mobidb-lite	IPR032193	GO:0006417;GO:0030015	PF16417;PF12842;PF16418;PF16415;PF04054	NA	PTHR13162;PTHR13162:SF8	NA	Coil	G3DSA:1.25.40.840;G3DSA:1.25.40.800;G3DSA:1.25.40.180;G3DSA:1.25.40.790	NA	NA	Reactome: R-HSA-429947|Reactome: R-HSA-6804115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16614.1	NA	NA	NA	IPR023214	GO:0016791	PF13344;PF13242	TIGR01460;TIGR01452	PTHR19288:SF6;PTHR19288	SSF56784	NA	G3DSA:3.40.50.1000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF000915	NA	NA
EHK22456.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	IPR012420	NA	PF07960	NA	PTHR28202	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18840.1	NA	NA	mobidb-lite	IPR001005	GO:0003677	PF13921;PF07529	NA	PTHR10799;PTHR10799:SF599	SSF46689	Coil	G3DSA:1.10.10.60	NA	PS50090;PS51204	NA	NA	SM00717;SM00573	NA	cd00167	NA	NA	NA	NA	NA	NA
EHK22496.1	NA	NA	mobidb-lite	IPR000571	GO:0046872	PF13920;PF00642	NA	PTHR12930:SF0;PTHR12930	SSF57850;SSF90229	Coil	G3DSA:3.30.40.10	NA	PS50103;PS50089	NA	PS00518	SM00184;SM00356	NA	cd16539	NA	NA	NA	NA	NA	NA
EHK23058.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR020846	GO:0016021;GO:0055085	PF07690	NA	PTHR23502;PTHR23502:SF74	SSF103473	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK27327.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	IPR002293	GO:0016020;GO:0022857;GO:0055085	PF13520	NA	PTHR11785:SF425;PTHR11785	NA	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA	NA
EHK15125.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR029164		PF15159	NA	PTHR39400	NA	NA	NA	NA	NA	Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26480.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16525.1	NA	NA	mobidb-lite	IPR014891	GO:0008270;GO:0003676	PF13696;PF08783	NA	PTHR15439:SF0;PTHR15439	SSF57756;SSF57850	Coil	G3DSA:3.10.20.90;G3DSA:3.30.40.10;G3DSA:4.10.60.10	NA	PS50158;PS51282	Reactome: R-HSA-983168	NA	SM01180	NA	cd16620	NA	NA	NA	NA	NA	NA
EHK26476.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA
EHK25042.1	NA	NA	mobidb-lite	IPR010218	GO:0016651;GO:0055114;GO:0008137	PF00329	TIGR01961	PTHR10884;PTHR10884:SF10	SSF143243	NA	G3DSA:3.30.460.80	PD001581	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	PS00542	NA	NA	NA	NA	NA	NA	NA	NA	MF_01357
EHK22939.1	NA	NA	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	NA	PTHR13954	SSF56112	NA	G3DSA:1.10.510.10	NA	PS50011	NA	NA	NA	NA	cd00180	NA	NA	NA	NA	NA	NA
EHK18836.1	NA	NA	mobidb-lite	IPR036812	NA	PF00248	NA	PTHR43364;PTHR43364:SF2	SSF51430	Coil	G3DSA:3.20.20.100	NA	NA	NA	NA	NA	NA	cd06660	NA	NA	NA	NA	NA	NA
EHK23134.1	NA	NA	NA	IPR000796	GO:0006520;GO:0008483;GO:0003824;GO:0009058;GO:0030170	PF00155	NA	PTHR11879	SSF53383	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	NA	KEGG: 00220+2.6.1.1|KEGG: 00250+2.6.1.1|KEGG: 00270+2.6.1.1|KEGG: 00330+2.6.1.1|KEGG: 00350+2.6.1.1|KEGG: 00360+2.6.1.1|KEGG: 00400+2.6.1.1|KEGG: 00401+2.6.1.1|KEGG: 00710+2.6.1.1|KEGG: 00950+2.6.1.1|KEGG: 00960+2.6.1.1|MetaCyc: PWY-5913|MetaCyc: PWY-6638|MetaCyc: PWY-6642|MetaCyc: PWY-6643|MetaCyc: PWY-7115|MetaCyc: PWY-7117|MetaCyc: PWY-7383	PS00105	NA	PR00799	cd00609	NA	NA	NA	NA	NA	NA
EHK17718.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR008521	GO:0015095;GO:0015693;GO:0016021	PF05653	NA	PTHR12570;PTHR12570:SF6	SSF103481;SSF103473	NA	NA	NA	NA	Reactome: R-HSA-5223345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK15701.1	NA	NA	mobidb-lite	NA	NA	NA	NA	PTHR40621	SSF57959	Coil	G3DSA:1.20.5.170	NA	NA	NA	NA	NA	NA	cd14688	NA	NA	NA	NA	NA	NA
EHK19116.1	NA	NA	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	NA	PTHR31944	SSF57701	NA	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	SM00066;SM00906	NA	cd00067;cd12148	NA	NA	NA	NA	NA	NA
EHK15309.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23978.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	IPR013032	NA	NA	NA	PTHR17178	NA	NA	G3DSA:2.10.25.10	NA	PS50026	NA	PS01186;PS00022	NA	NA	cd00054	NA	NA	NA	NA	NA	NA
EHK19662.1	NA	NA	mobidb-lite	IPR001404	GO:0005524;GO:0006457;GO:0051082	PF00183;PF02518	NA	PTHR11528;PTHR11528:SF74	SSF54211;SSF110942;SSF55874	Coil	G3DSA:3.40.50.11260;G3DSA:3.30.565.10;G3DSA:1.20.120.790;G3DSA:3.30.230.80;G3DSA:3.30.70.2140	NA	NA	NA	PS00298	SM00387	PR00775	cd00075	NA	NA	NA	PIRSF002583	NA	MF_00505
EHK16770.1	NA	NA	mobidb-lite	NA	NA	NA	NA	PTHR36182:SF1;PTHR36182	NA	NA	G3DSA:2.70.50.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22023.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	IPR005152	GO:0004806;GO:0016042	NA	NA	PTHR34853	SSF53474	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	PIRSF029171	SignalP-TM	NA
EHK18781.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR014743	GO:0005247;GO:0006821;GO:0016020;GO:0055085	PF00654	NA	PTHR11689;PTHR11689:SF134	SSF81340;SSF54631	NA	G3DSA:3.10.580.20;G3DSA:3.90.1280.20;G3DSA:1.10.3080.10	NA	NA	Reactome: R-HSA-2672351	NA	NA	PR00762	cd03684;cd04591	NA	NA	NA	NA	NA	NA
EHK17746.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR003675	GO:0016020;GO:0004222;GO:0030176;GO:0071586	PF02517	NA	PTHR13046	NA	NA	NA	NA	NA	Reactome: R-HSA-5689880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20468.1	NA	NA	NA	IPR015422	GO:0003824;GO:0009058;GO:0030170	PF00155	NA	PTHR43510	SSF53383	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	NA	PS00105	NA	NA	cd00609	NA	NA	NA	NA	NA	NA
EHK21209.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR003439	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	PF00005;PF00664	NA	PTHR24221:SF219;PTHR24221	SSF52540;SSF90123	Coil	G3DSA:3.40.50.300	NA	PS50893;PS50929	NA	PS00211	SM00382	NA	NA	NA	NA	NA	NA	NA	NA
EHK25270.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	IPR002110	GO:0005515;GO:0004672;GO:0005524;GO:0006468	PF00069;PF12796	NA	PTHR44167	SSF48403;SSF56112;SSF52540	Coil	G3DSA:1.25.40.20;G3DSA:1.10.510.10;G3DSA:3.40.50.300	NA	PS50088;PS50297;PS50011	NA	PS00107	SM00220;SM00248	NA	cd05117;cd00204	NA	SignalP-noTM	NA	NA	NA	NA
EHK24778.1	NA	NA	mobidb-lite	IPR008501	GO:0000445;GO:0006397	PF05615	NA	PTHR23405;PTHR23405:SF5	NA	Coil	NA	NA	NA	Reactome: R-HSA-109688|Reactome: R-HSA-159236|Reactome: R-HSA-72187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24335.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	IPR036259	NA	NA	NA	PTHR23514;PTHR23514:SF3	SSF103473	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK19426.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	IPR002241	GO:0004553;GO:0005975;GO:0003824	PF17801;PF16499	NA	PTHR11452;PTHR11452:SF12	SSF51011;SSF51445	NA	G3DSA:2.60.40.1180;G3DSA:3.20.20.70	NA	NA	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	NA	NA	NA	cd14792	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK18922.1	NA	NA	NA	IPR009991		PF07426	NA	PTHR39597:SF1;PTHR39597	NA	Coil	NA	NA	NA	Reactome: R-HSA-2132295|Reactome: R-HSA-2565942|Reactome: R-HSA-3371497|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-8854518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17644.1	NA	NA	mobidb-lite	IPR012340	GO:0003676;GO:0006396;GO:0005515	PF00575	NA	PTHR23270:SF10;PTHR23270	SSF50249;SSF48452	NA	G3DSA:2.40.50.140;G3DSA:1.25.40.10	NA	PS50126	NA	NA	SM00386;SM00316	NA	cd05706;cd05702;cd05693;cd05703;cd05707;cd05697;cd05708;cd05698	NA	NA	NA	NA	NA	NA
EHK24025.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
