Gene	interpro	SUPERFAMILY	PANTHER	GO	Pfam	PATHWAY	CDD	Gene3D	TMHMM	Phobius	ProSitePatterns	PIRSF	MobiDBLite	PRINTS	SMART	ProSiteProfiles	Coils	ProDom	TIGRFAM	SFLD	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	Hamap
PON22869.1	IPR036412	SSF56784;SSF81653;SSF81665	PTHR42861:SF26;PTHR42861	GO:0016021;GO:0000166;GO:0008553;GO:0120029	PF00702;PF00690;PF00122	Reactome: R-HSA-936837	cd02076	G3DSA:3.40.50.1000;G3DSA:1.20.1110.10;G3DSA:3.40.1110.10;G3DSA:2.70.150.10	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PS00154	NA	mobidb-lite	PR00119;PR00120	SM00831	NA	NA	NA	TIGR01494;TIGR01647	SFLDF00027;SFLDG00002	NA	NA	NA	NA
PON25604.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28821.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PON31022.1	IPR000054	SSF54575	PTHR10956	GO:0003735;GO:0005840;GO:0006412;GO:0005622	PF01198	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	cd00463	G3DSA:3.10.440.10	NA	NA	PS01144	NA	NA	NA	SM01380	NA	NA	PD006030	NA	NA	NA	NA	NA	NA
PON30680.1	IPR013177	NA	PTHR32035		PF08213	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	mobidb-lite	NA	SM01155	NA	Coil	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	NA
PON27662.1	IPR007219	SSF57701	PTHR45594	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	PF04082;PF00172	NA	cd12148;cd00067	G3DSA:4.10.240.10	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PS00463	NA	NA	NA	SM00906;SM00066	PS50048	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PON29875.1	IPR005593	SSF52922;SSF52518	PTHR31273;PTHR31273:SF1	GO:0005975;GO:0016832;GO:0003824	PF09363;PF03894;PF09364	NA	NA	G3DSA:3.40.50.970;G3DSA:3.40.50.920	NA	NA	PS60003;PS60002	PIRSF017245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20251.1	IPR020602	SSF55620	PTHR11109	GO:0003934;GO:0005737;GO:0046654	PF01227	KEGG: 00790+3.5.4.16|MetaCyc: PWY-5663|MetaCyc: PWY-5664|MetaCyc: PWY-6147|MetaCyc: PWY-6703|MetaCyc: PWY-6983|MetaCyc: PWY-7442|MetaCyc: PWY-7852|Reactome: R-HSA-1474151	cd00642	G3DSA:3.30.1130.10;G3DSA:1.10.286.10	NA	NA	PS00860;PS00859	NA	mobidb-lite	NA	NA	NA	NA	NA	TIGR00063	NA	NA	NA	NA	MF_00223
PON21685.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	SignalP-noTM	NA
PON26143.1	IPR038305	NA	NA	NA	PF14479	NA	NA	G3DSA:1.20.120.1020	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON24773.1	IPR001807	SSF54631;SSF81340	PTHR11689;PTHR11689:SF65	GO:0005247;GO:0006821;GO:0016020;GO:0055085	PF00654	Reactome: R-HSA-2672351	cd04591;cd03684	G3DSA:1.10.3080.10;G3DSA:3.90.1280.20;G3DSA:3.10.580.20	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	PR00762	NA	PS51371	NA	NA	NA	NA	NA	NA	NA	NA
PON26996.1	IPR008271	SSF56112;SSF50998	PTHR13954	GO:0004672;GO:0006468;GO:0004540;GO:0006397;GO:0005524;GO:0005515	PF00069;PF06479	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	cd10422;cd09769	G3DSA:3.30.200.20;G3DSA:1.20.1440.180;G3DSA:1.10.510.10;G3DSA:2.130.10.10	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	PS00108;PS00107	NA	mobidb-lite	NA	SM00220;SM00564;SM00580	PS51392;PS50011	Coil	NA	NA	NA	SignalP-noTM	NA	NA	NA
PON24075.1	IPR006140	SSF52283;SSF51735	PTHR42938;PTHR42938:SF1	GO:0051287;GO:0055114;GO:0008863;GO:0016616	PF02826;PF00389	KEGG: 00630+1.17.1.9|KEGG: 00680+1.17.1.9|MetaCyc: PWY-1881|MetaCyc: PWY-5497|MetaCyc: PWY-6696|MetaCyc: PWY-7985	cd05302	G3DSA:3.40.50.720	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	PS00065;PS00671;PS00670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	MF_03210
PON28209.1	IPR037171	SSF100950	PTHR10233;PTHR10233:SF9	GO:0044237	PF01008	KEGG: 00270+5.3.1.23|MetaCyc: PWY-4361|MetaCyc: PWY-7174	NA	G3DSA:3.40.50.10470	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24374.1	IPR036864	SSF57701	PTHR19444:SF21;PTHR19444	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	NA	cd00067;cd12148	G3DSA:4.10.240.10	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PS00463	NA	mobidb-lite	NA	SM00066;SM00906	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PON30707.1	IPR001138	SSF57701	PTHR31845:SF17;PTHR31845	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	NA	cd00067;cd12148	G3DSA:4.10.240.10	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PS00463	NA	mobidb-lite	NA	SM00066	PS50048	Coil	NA	NA	NA	NA	NA	NA	NA
PON27889.1	IPR005599	NA	PTHR22760:SF3;PTHR22760	GO:0016757	PF03901	NA	NA	NA	TMhelix	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PON26692.1	IPR013087	SSF57667	PTHR19818;PTHR19818:SF122	GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF00096;PF04082	NA	NA	G3DSA:3.30.160.60	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PS00028	NA	mobidb-lite	NA	SM00355	PS50157	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PON22824.1	IPR030382	SSF53335	PTHR23245:SF25;PTHR23245	GO:0008757;GO:0031591	PF02475	Reactome: R-HSA-6782861	NA	G3DSA:3.40.50.150	NA	NA	NA	PIRSF038972	mobidb-lite	NA	NA	PS51684	NA	NA	NA	NA	NA	NA	NA	NA
PON21473.1	IPR018820	NA	PTHR37994	NA	PF10334;PF13515;PF10337	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21037.1	IPR022024	NA	PTHR34693;PTHR34693:SF1	NA	PF12223	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30552.1	IPR001965	SSF57903;SSF55729	PTHR10615;PTHR10615:SF155	GO:0004402;GO:0006355;GO:0016573	PF17772;PF01853;PF16866	Reactome: R-HSA-3214847	NA	G3DSA:1.10.10.10;G3DSA:3.30.40.10;G3DSA:3.40.630.30;G3DSA:3.30.60.60	NA	NA	NA	NA	mobidb-lite	NA	SM00249	PS51726;PS50016	Coil	NA	NA	NA	NA	NA	NA	NA
PON26621.1	IPR001138	SSF57701	PTHR31944	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	NA	cd00067;cd12148	G3DSA:4.10.240.10	NA	SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	PS00463	NA	mobidb-lite	NA	SM00906;SM00066	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PON28332.1	IPR006328	SSF56784	PTHR43316:SF5;PTHR43316	GO:0019120;GO:0016787	PF13419	KEGG: 00361+3.8.1.2|KEGG: 00625+3.8.1.2|MetaCyc: PWY-7425	NA	G3DSA:1.10.150.240;G3DSA:3.40.50.1000	NA	NA	NA	NA	NA	PR00413	NA	NA	NA	NA	TIGR01428;TIGR01493	SFLDG01129;SFLDS00003	NA	NA	NA	NA
PON27273.1	IPR036259	SSF103473	PTHR23500:SF16;PTHR23500	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0016020	PF00083	Reactome: R-HSA-189200	cd06174	G3DSA:1.20.1250.20	TMhelix	SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	PS00216	NA	mobidb-lite	PR00171	NA	PS50850	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PON23116.1	IPR029058	SSF53474	PTHR43487;PTHR43487:SF2	NA	PF08386	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON28919.1	IPR001138	SSF57701	PTHR31944;PTHR31944:SF90	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	NA	cd00067;cd12148	G3DSA:4.10.240.10	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PS00463	NA	mobidb-lite	NA	SM00066	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PON24024.1	IPR035979	SSF54928;SSF90209;SSF53098	PTHR23111:SF26;PTHR23111	GO:0003676	PF00641;PF00929;PF00076	NA	cd12452;cd06133	G3DSA:4.10.1060.10;G3DSA:3.30.70.330;G3DSA:3.30.420.10	NA	NA	PS01358	NA	mobidb-lite	NA	SM00360;SM00479;SM00547	PS50102;PS50199	NA	NA	NA	NA	NA	NA	NA	NA
PON25931.1	IPR013861	SSF144091	PTHR13377:SF3;PTHR13377	GO:0006890;GO:0016021	PF08551	Reactome: R-HSA-6807878	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	mobidb-lite	NA	SM01160	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29050.1	IPR027417	SSF52540	PTHR10799;PTHR10799:SF870	GO:0005524	PF00271;PF00176	NA	cd00046;cd00079	G3DSA:3.40.50.10810	NA	NA	NA	NA	NA	NA	SM00490;SM00487	PS51194;PS51192	NA	NA	NA	NA	NA	NA	NA	NA
PON22988.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON20380.1	IPR020846	SSF103473	PTHR43791	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON30814.1	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23407.1	IPR036770	SSF48403	PTHR44181	GO:0005515	PF12796	NA	cd00204	G3DSA:1.25.40.20	NA	NA	NA	NA	mobidb-lite	NA	SM00248	PS50297;PS50088	NA	NA	NA	NA	NA	NA	NA	NA
PON21763.1	IPR004895	NA	PTHR19317;PTHR19317:SF0	NA	PF03208	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON28720.1	IPR029058	SSF53474	PTHR23024;PTHR23024:SF103	GO:0016787	PF07859	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24753.1	IPR025929	NA	PTHR15301;PTHR15301:SF3		PF07281	Reactome: R-HSA-1655829	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29892.1	IPR000719	SSF56112	PTHR23257	GO:0004672;GO:0005524;GO:0006468	PF00069	NA	NA	G3DSA:1.10.510.10	NA	NA	PS00108	NA	NA	NA	SM00220	PS50011	NA	NA	NA	NA	NA	NA	NA	NA
PON26034.1	IPR006011	SSF47661	PTHR19957:SF38;PTHR19957	GO:0016020;GO:0005484;GO:0006886;GO:0016192	PF14523;PF05739	NA	NA	G3DSA:1.20.58.70;G3DSA:1.20.5.110	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS00914	NA	mobidb-lite	NA	SM00503;SM00397	PS50192	NA	NA	NA	NA	NA	NA	NA	NA
PON28141.1	NA	NA	PTHR37278	NA	NA	NA	NA	NA	TMhelix	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PON30975.1	IPR004018	NA	PTHR22793	NA	PF02755	NA	NA	G3DSA:1.10.288.20	NA	NA	NA	NA	mobidb-lite	NA	SM00707	PS51073	NA	NA	NA	NA	NA	NA	NA	NA
PON23458.1	IPR022703	NA	PTHR34814	NA	PF12051	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON20484.1	IPR002889	NA	PTHR43662;PTHR43662:SF3	NA	PF01822	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	SM00321	PS51212	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON24581.1	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26203.1	IPR036259	SSF103473	PTHR23501:SF3;PTHR23501	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON21467.1	IPR039182	NA	PTHR22731	GO:0000172;GO:0001682;GO:0005655	PF08170;PF06978	Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON30271.1	IPR036393	SSF53633;SSF55021	PTHR21499	GO:0004072;GO:0008652	PF00696;PF13840	KEGG: 00260+2.7.2.4|KEGG: 00261+2.7.2.4|KEGG: 00270+2.7.2.4|KEGG: 00300+2.7.2.4|MetaCyc: PWY-2941|MetaCyc: PWY-2942|MetaCyc: PWY-5097|MetaCyc: PWY-6160|MetaCyc: PWY-6559|MetaCyc: PWY-6562|MetaCyc: PWY-7153|MetaCyc: PWY-7977	NA	G3DSA:3.40.1160.10;G3DSA:3.30.2130.10	NA	NA	PS00324	NA	NA	NA	NA	PS51671	NA	NA	TIGR00657	NA	NA	NA	NA	NA
PON31091.1	IPR002645	SSF52091	PTHR11814;PTHR11814:SF181	GO:0008271;GO:0008272;GO:0016020;GO:0055085;GO:0015116;GO:0016021	PF01740;PF00916	NA	cd07042	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	PS50801	NA	NA	TIGR00815	NA	NA	NA	NA	NA
PON23609.1	IPR033659	SSF53800	PTHR11108;PTHR11108:SF1	GO:0004325;GO:0006783	PF00762	KEGG: 00860+4.99.1.1|Reactome: R-HSA-189451	cd03411;cd00419	G3DSA:3.40.50.1400	NA	NA	PS00534	NA	NA	NA	NA	NA	NA	NA	TIGR00109	NA	NA	NA	NA	MF_00323
PON21742.1	IPR004154	SSF52954;SSF55681	PTHR11476	GO:0005737	PF13393;PF03129	KEGG: 00970+6.1.1.21	cd00859;cd00773	G3DSA:3.30.930.10;G3DSA:3.40.50.800	NA	NA	NA	PIRSF001549	mobidb-lite	NA	NA	PS50862	NA	NA	NA	NA	NA	NA	NA	NA
PON21627.1	IPR013716	SSF52058;SSF81606;SSF55073	PTHR45195	GO:0000287;GO:0004016;GO:0006171;GO:0005515;GO:0003824;GO:0009190;GO:0016849;GO:0035556;GO:0007165	PF08509;PF00481;PF13855;PF00211	KEGG: 00230+4.6.1.1	cd01775;cd07302;cd00143	G3DSA:3.60.40.10;G3DSA:3.80.10.10	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	SM00369;SM00044;SM00364;SM00332;SM00365;SM00314;SM00789	PS51450;PS50125;PS50200;PS51746	NA	NA	NA	NA	NA	NA	NA	NA
PON22227.1	NA	NA	PTHR35043	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON23964.1	IPR000730	SSF55979	PTHR11352:SF0;PTHR11352	GO:0003677;GO:0006275;GO:0030337	PF00705;PF02747	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-1362277|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-4615885|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-539107|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804114|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183|Reactome: R-HSA-8866654	cd00577	G3DSA:3.10.150.10	NA	NA	PS01251;PS00293	NA	NA	PR00339	NA	NA	NA	NA	TIGR00590	NA	NA	NA	NA	MF_00317
PON21787.1	IPR032108	SSF74924	PTHR18916:SF49;PTHR18916		PF16641;PF01302	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5626467|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	G3DSA:2.30.30.190	NA	NA	NA	NA	mobidb-lite	NA	SM01052	PS50245	Coil	NA	NA	NA	NA	NA	NA	NA
PON30383.1	IPR023394	SSF50729;SSF48425	PTHR45590	GO:0005086;GO:0032012	PF01369;PF15410	NA	cd00171	G3DSA:1.10.1000.11;G3DSA:2.30.29.30	NA	NA	NA	NA	mobidb-lite	NA	SM00222	PS50190	Coil	NA	NA	NA	NA	NA	NA	NA
