Gene	interpro	GO	ProSiteProfiles	Phobius	SMART	TMHMM	SUPERFAMILY	Gene3D	PATHWAY	Pfam	PANTHER	CDD	Coils	ProSitePatterns	MobiDBLite	PRINTS	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	PIRSF	TIGRFAM	Hamap	SFLD	ProDom
PTB64596.1	IPR001594	NA	PS50216	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	PF01529	PTHR22883;PTHR22883:SF23	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70115.1	IPR000415	GO:0016491;GO:0016657;GO:0034599	NA	NA	NA	NA	SSF55469	G3DSA:3.40.109.10	Reactome: R-HSA-209968	PF00881	PTHR43035;PTHR43035:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63607.1	IPR003661	GO:0000155;GO:0007165;GO:0000160;GO:0016310;GO:0016772	PS50109;PS50110	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE	SM00388;SM00448;SM00387	TMhelix	SSF55874;SSF52172;SSF47384	G3DSA:3.40.50.2300;G3DSA:1.10.287.130	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	PF00512;PF00072;PF02518	PTHR43719	cd00156;cd00082;cd00075	Coil	NA	mobidb-lite	PR00344	NA	NA	NA	NA	NA	NA	NA	NA
PTB63677.1	IPR035994	GO:0003824;GO:0009116	NA	NA	NA	NA	SSF53167	NA	NA	PF01048	PTHR21234:SF16;PTHR21234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63185.1	IPR008276	GO:0005337;GO:0016020;GO:1901642	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	Reactome: R-HSA-83936	PF07662;PF01773	PTHR10590;PTHR10590:SF4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67640.1	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	G3DSA:1.20.1740.10	NA	PF13520	PTHR11785:SF498;PTHR11785	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	PIRSF006060	NA	NA	NA	NA
PTB63364.1	IPR007484	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF53187	NA	NA	PF04389	PTHR12147:SF6;PTHR12147	cd03875	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64661.1	IPR010987	GO:0000049	PS50405;PS50886	NA	NA	NA	SSF47616;SSF50249	G3DSA:1.20.1050.130;G3DSA:2.40.50.140	Reactome: R-HSA-379716	PF01588	PTHR11586:SF1;PTHR11586	cd10304;cd02799	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64383.1	IPR014752		NA	NA	NA	NA	NA	G3DSA:2.60.40.640	Reactome: R-HSA-6811438|Reactome: R-HSA-6811440|Reactome: R-HSA-8876198	PF08737	PTHR12507	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66728.1	IPR036028	GO:0005515;GO:0035091;GO:0000902	PS50002;PS50195;PS51745	NA	SM00666;SM00312;SM00326	NA	SSF50044;SSF64268;SSF54277	G3DSA:3.30.1520.10;G3DSA:3.10.20.90;G3DSA:2.30.30.40	NA	PF00564;PF00018;PF00787	PTHR45397	cd11879;cd06890;cd11878;cd05992	NA	NA	mobidb-lite	PR00452	NA	NA	NA	NA	NA	NA	NA	NA
PTB61428.1	IPR001461	GO:0004190;GO:0006508	PS51767	NA	NA	NA	SSF50630	G3DSA:2.40.70.10	NA	PF00026	PTHR13683;PTHR13683:SF326	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70129.1	IPR020846	GO:0016021;GO:0055085	PS50850	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF103473	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	NA	PF07690	PTHR23501;PTHR23501:SF102	cd06174	NA	NA	mobidb-lite	PR01036	NA	NA	NA	NA	NA	NA	NA	NA
PTB66416.1	IPR039600	NA	NA	NA	NA	NA	SSF48371	NA	NA	PF10304;PF10363	PTHR20959	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64565.1	IPR003114	GO:0035091;GO:0006400;GO:0008176	PS51207;PS50132;PS50195;PS51625	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SM00312;SM00313;SM00315	TMhelix	SSF64268;SSF53335;SSF48097	G3DSA:1.20.58.1850;G3DSA:3.30.1520.10;G3DSA:3.40.50.150	Reactome: R-HSA-6782315	PF02194;PF00787;PF08628;PF00615;PF02390	PTHR22775;PTHR22775:SF30	cd02440;cd06876	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	TIGR00091	MF_03055	NA	NA
PTB65803.1	IPR036640	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	PS50929;PS50893	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SM00382	TMhelix	SSF52540;SSF90123	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	NA	PF00005;PF00664	PTHR24221;PTHR24221:SF288	NA	NA	PS00211	mobidb-lite	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
PTB66611.1	IPR000462	GO:0008654;GO:0016020;GO:0016780	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	G3DSA:1.20.120.1760	NA	PF01066	PTHR14269;PTHR14269:SF11	NA	NA	PS00379	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
PTB66188.1	IPR007484	GO:0004177	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	SSF52025;SSF53187	G3DSA:3.50.30.30;G3DSA:3.40.630.10	NA	PF04389;PF02225	PTHR12147:SF17;PTHR12147	cd03876;cd02130	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB64656.1	IPR036291	GO:0055114;GO:0008270;GO:0016491	NA	NA	SM00829	NA	SSF51735;SSF50129	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	PF08240;PF00107	PTHR42975	cd05286	NA	PS01162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68752.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66231.1	IPR016166	GO:0071949;GO:0016491;GO:0050660;GO:0055114;GO:0003824	PS51387	NA	NA	NA	SSF55103;SSF56176	G3DSA:3.40.462.20;G3DSA:3.30.465.10;G3DSA:3.30.43.10	NA	PF01565	PTHR42973	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62909.1	IPR036286	GO:0006508;GO:0008236;GO:0016020;GO:0006465;GO:0006627;GO:0042720	NA	NA	NA	NA	SSF51306	G3DSA:2.10.109.10	NA	NA	PTHR12383;PTHR12383:SF3	cd06530	NA	NA	NA	PR00727	NA	NA	NA	NA	NA	NA	NA	NA
PTB67528.1	IPR000999	GO:0004525;GO:0006396	PS50142	NA	SM00358;SM00535	NA	SSF69065;SSF54768	G3DSA:1.10.1520.10;G3DSA:3.30.160.20	Reactome: R-HSA-203927	PF00636	PTHR11207;PTHR11207:SF16	cd00593	Coil	PS00517	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62408.1	IPR036779	GO:0019867	PS51782	NA	SM00257	NA	SSF54106	G3DSA:3.10.350.10	NA	PF01476;PF05433	PTHR37014:SF1;PTHR37014	cd00118	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65450.1	IPR034666	GO:0005885;GO:0015629;GO:0030041;GO:0030833;GO:0034314	NA	NA	NA	NA	SSF69645	G3DSA:3.30.1460.20	Reactome: R-HSA-2029482|Reactome: R-HSA-3928662|Reactome: R-HSA-5663213|Reactome: R-HSA-8856828	PF04045	PTHR12058:SF0;PTHR12058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66641.1	IPR013057	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	PF01490	PTHR22950:SF8;PTHR22950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67995.1	IPR008631	GO:0004373;GO:0005978	NA	NA	NA	NA	SSF53756	G3DSA:3.40.50.2000;G3DSA:1.20.20.30	KEGG: 00500+2.4.1.11|MetaCyc: PWY-5067|Reactome: R-HSA-3322077|Reactome: R-HSA-3785653	PF05693	PTHR10176:SF3;PTHR10176	cd03793	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66410.1	IPR014877	GO:0005049;GO:0006886;GO:0008536	PS50166	NA	SM00913;SM01102	NA	SSF48371	G3DSA:1.25.10.10	NA	PF08767;PF18777;PF18784;PF18787;PF08389;PF03810	PTHR11223;PTHR11223:SF2	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67132.1	IPR001173		NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF53448	NA	Reactome: R-HSA-913709	PF13632	PTHR36851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62690.1	IPR020904	GO:0016491	NA	NA	NA	NA	SSF51735	G3DSA:3.40.50.720	NA	PF13561	PTHR43180;PTHR43180:SF21	cd05233	NA	PS00061	NA	PR00080;PR00081	NA	NA	NA	NA	NA	NA	NA	NA
PTB69414.1	IPR007062	GO:0004864;GO:0009966;GO:0043666	NA	NA	NA	NA	NA	NA	NA	PF04979	PTHR12398:SF20;PTHR12398	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64901.1	IPR014001	GO:0004525;GO:0006396;GO:0016891	PS51192;PS51327;PS51194;PS50142	NA	SM00490;SM00535	NA	SSF69065;SSF52540	G3DSA:3.40.50.300;G3DSA:1.10.1520.10;G3DSA:3.30.160.380	Reactome: R-HSA-203927	PF00636;PF00271;PF03368	PTHR14950;PTHR14950:SF37	cd00593;cd00046;cd00079	NA	PS00517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67266.1	IPR001680	GO:0005515;GO:0016798	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	SM00320	NA	SSF50978;SSF110581;SSF53613	G3DSA:3.40.1790.10;G3DSA:3.40.1190.20;G3DSA:2.130.10.10	KEGG: 00240+4.2.1.70|MetaCyc: PWY-6019	PF00294;PF04227	PTHR42909	cd01941	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69637.1	IPR001394	GO:0016579;GO:0036459;GO:0006511	PS50235	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF54001	NA	NA	PF00443	PTHR44509	cd02662	NA	PS00973	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66955.1	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	G3DSA:1.20.1740.10	NA	PF13520	PTHR11785;PTHR11785:SF513	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	PIRSF006060	NA	NA	NA	NA
PTB68336.1	IPR011545	GO:0003676;GO:0005524	PS51194;PS51192;PS51195	NA	SM00487;SM00490	NA	SSF52540	G3DSA:3.40.50.300	NA	PF00270;PF00271	PTHR24031:SF406;PTHR24031	cd00079;cd00268	NA	PS00039	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61735.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SM00906;SM00066	NA	SSF57701	G3DSA:4.10.240.10	NA	PF03902;PF04082;PF00172	PTHR31944;PTHR31944:SF81	cd14654;cd12148;cd00067	Coil	PS00463	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70340.1	IPR024371	GO:0008521;GO:0016021;GO:0016020	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	SSF103473	G3DSA:1.20.1250.20	Reactome: R-HSA-425397|Reactome: R-HSA-5619061	PF13000	PTHR12778;PTHR12778:SF9	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67035.1	IPR004582	GO:0005634;GO:0006281	NA	NA	SM00382	NA	SSF52540	G3DSA:3.40.50.300	Reactome: R-HSA-176187|Reactome: R-HSA-5685938|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	PF03215	PTHR12172;PTHR12172:SF0	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62862.1	IPR007502	GO:0004386;GO:0005515;GO:0003676;GO:0005524	PS51192;PS51194;PS50030	NA	SM00847;SM00490;SM00487	NA	SSF52540;SSF54768;SSF54495;SSF46934	G3DSA:3.40.50.300;G3DSA:3.30.160.20;G3DSA:1.20.120.1080;G3DSA:3.10.110.10	NA	PF04408;PF07717;PF00271;PF00270	PTHR18934;PTHR18934:SF145	cd00046;cd00079	Coil	PS00690	mobidb-lite	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
PTB64127.1	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63354.1	IPR013783	GO:0004553;GO:0005975	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	SSF51445;SSF49785;SSF49303	G3DSA:2.60.40.10;G3DSA:3.20.20.80;G3DSA:2.60.120.260	Reactome: R-HSA-2024096|Reactome: R-HSA-2160916|Reactome: R-HSA-2206292|Reactome: R-HSA-6798695	PF17753;PF17786;PF00703	PTHR43730;PTHR43730:SF1	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB69815.1	IPR012340	GO:0003723;GO:0004540	NA	NA	SM00955	NA	SSF50249	NA	NA	PF00773	PTHR23355;PTHR23355:SF42	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
PTB65129.1	IPR036318	GO:0050660;GO:0016491;GO:0055114;GO:0071949	PS51387	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	SSF56176	G3DSA:3.30.465.40	NA	PF01565	PTHR42973;PTHR42973:SF2	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
PTB65022.1	IPR001757	GO:0016021;GO:0008553;GO:0120029;GO:0000166	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SM00831	TMhelix	SSF81653;SSF56784;SSF81665	G3DSA:1.20.1110.10;G3DSA:2.60.120.1500;G3DSA:3.40.1110.10;G3DSA:2.70.150.10	Reactome: R-HSA-936837	PF00690;PF00122;PF00702	PTHR42861;PTHR42861:SF26	cd02076	NA	PS00154	mobidb-lite	PR00119;PR00120	NA	NA	NA	NA	TIGR01494;TIGR01647	NA	SFLDF00027;SFLDG00002	NA
PTB66442.1	IPR018108	GO:0005743;GO:0022857;GO:0055085	PS50920	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF103506	G3DSA:1.50.40.10	NA	PF00153	PTHR24089:SF645;PTHR24089	NA	NA	NA	NA	PR00927;PR00926	NA	NA	NA	NA	NA	NA	NA	NA
PTB64022.1	IPR000195	NA	PS50086	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SM00164	TMhelix	SSF47923	G3DSA:1.10.8.1310;G3DSA:1.10.472.80	NA	PF00566	PTHR20913	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62981.1	IPR002995	GO:0016021	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	Reactome: R-HSA-6798695|Reactome: R-HSA-6811434	PF02077	PTHR23427:SF1;PTHR23427	NA	NA	PS01339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63245.1	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	PTHR40135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63503.1	IPR029063	NA	NA	NA	NA	NA	SSF53335	G3DSA:3.40.50.150	NA	NA	NA	cd02440	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64862.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	NA	SM00066	NA	SSF57701	G3DSA:4.10.240.10	NA	PF00172	NA	cd00067	NA	PS00463	mobidb-lite	PR00755	NA	NA	NA	NA	NA	NA	NA	NA
PTB64668.1	IPR001210	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	NA	NA	NA	SSF116820	G3DSA:1.10.60.20	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00833	PTHR10732	NA	NA	PS00712	mobidb-lite	NA	NA	NA	NA	NA	NA	MF_00511	NA	NA
PTB67554.1	IPR004923	GO:0005381;GO:0016020;GO:0033573;GO:0034755	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	PF03239	PTHR31632;PTHR31632:SF2	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67906.1	IPR021109	GO:0004190;GO:0006508	PS51767	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	TMhelix	SSF50630	G3DSA:2.40.70.10	NA	PF00026	PTHR13683;PTHR13683:SF560	cd05474	NA	PS00141	mobidb-lite	PR00792	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
