Gene	interpro	GO	ProSitePatterns	ProSiteProfiles	MobiDBLite	Gene3D	SUPERFAMILY	SMART	PANTHER	TMHMM	Phobius	Pfam	CDD	PATHWAY	TIGRFAM	PRINTS	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Coils	PIRSF	Hamap	SFLD	ProDom
augustus_masked-NIGB01000001.1-processed-gene-32.46-mRNA-1	IPR005956	GO:0003868;GO:0009072;GO:0016701;GO:0055114	NA	PS51819	NA	G3DSA:3.10.180.10	SSF54593	NA	PTHR11959:SF1;PTHR11959	NA	NA	PF00903	cd08342;cd07250	NA	TIGR01263	NA	NA	NA	NA	NA	PIRSF009283	NA	NA	NA
augustus_masked-NIGB01000003.1-processed-gene-21.21-mRNA-1	IPR008217	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR31851:SF11;PTHR31851	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF01988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-11.29-mRNA-1	IPR009582	GO:0005787;GO:0006465;GO:0008233;GO:0016021	NA	NA	NA	NA	NA	NA	PTHR13085	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PF06703	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-381771|Reactome: R-HSA-400511|Reactome: R-HSA-422085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000005.1-processed-gene-18.30-mRNA-1	IPR003010	GO:0006807	PS01227	PS50263	NA	G3DSA:3.60.110.10	SSF56317	NA	PTHR23088:SF30;PTHR23088	NA	NA	PF00795	cd07572	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-6.43-mRNA-1	IPR016024	GO:0016301;GO:0016773;GO:0046854;GO:0048015	PS00915;PS00916	PS50290;PS51545	mobidb-lite	G3DSA:1.10.1070.11;G3DSA:3.30.1010.10	SSF48371;SSF56112	SM00146	PTHR10048:SF22;PTHR10048	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF11522;PF00454	cd05168	KEGG: 00562+2.7.1.67|KEGG: 04070+2.7.1.67|MetaCyc: PWY-6351|MetaCyc: PWY-6352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000003.1-processed-gene-23.15-mRNA-1	IPR005482	GO:0004736;GO:0005524;GO:0006090;GO:0006094;GO:0009374;GO:0003824;GO:0046872	PS00188;PS00867;PS00866	PS50968;PS50979;PS50975;PS50991	NA	G3DSA:1.10.472.90;G3DSA:1.10.10.60;G3DSA:3.20.20.70;G3DSA:3.10.600.10;G3DSA:3.30.470.130;G3DSA:2.40.50.100	SSF51569;SSF51246;SSF56059;SSF89000;SSF51230;SSF52440	SM00878	PTHR43778	NA	NA	PF00682;PF02786;PF00289;PF02436;PF00364;PF02785	cd06850;cd07937	Reactome: R-HSA-196780|Reactome: R-HSA-3371599	TIGR01235	NA	NA	NA	NA	NA	PIRSF001594	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-8.40-mRNA-1	IPR006275	GO:0006807;GO:0005524;GO:0046872	PS00866;PS00867	PS50975	NA	G3DSA:3.40.50.20;G3DSA:3.30.1490.20;G3DSA:3.30.470.20;G3DSA:1.10.1030.10;G3DSA:3.40.50.1380	SSF56059;SSF48108;SSF52440;SSF52335	SM01096	PTHR11405;PTHR11405:SF48	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PF02787;PF02786	cd01423	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	TIGR01369	PR00098	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-6.9-mRNA-1	IPR029055	GO:0004044;GO:0009113;GO:0009116	NA	PS51278	mobidb-lite	G3DSA:3.40.50.2020;G3DSA:3.60.20.10	SSF56235;SSF53271	NA	PTHR11907:SF13;PTHR11907	NA	NA	PF00156;PF13522	cd06223	KEGG: 00230+2.4.2.14|KEGG: 00250+2.4.2.14|MetaCyc: PWY-6121|MetaCyc: PWY-6122|MetaCyc: PWY-6277|MetaCyc: PWY-7282|Reactome: R-HSA-73817	TIGR01134	NA	NA	NA	NA	NA	PIRSF000485	MF_01931	NA	NA
maker-NIGB01000006.1-augustus-gene-5.16-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000003.1-processed-gene-18.6-mRNA-1	IPR035952	GO:0004252;GO:0016021	NA	NA	mobidb-lite	G3DSA:1.20.1540.10	SSF144091	NA	PTHR43731;PTHR43731:SF8	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF01694	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000008.1-augustus-gene-2.42-mRNA-1	IPR024960	GO:0006656;GO:0008757	NA	PS51599	NA	NA	NA	NA	PTHR15458;PTHR15458:SF5	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PF04191	NA	KEGG: 00564+2.1.1.71|MetaCyc: PWY-6825|Reactome: R-HSA-1483191	NA	NA	NA	NA	NA	NA	PIRSF005444	MF_03216	NA	NA
maker-NIGB01000002.1-augustus-gene-21.46-mRNA-1	IPR035647	GO:0005525;GO:0003924	NA	PS51722	mobidb-lite	G3DSA:2.40.30.10;G3DSA:3.30.230.10;G3DSA:3.30.70.240;G3DSA:3.40.50.300;G3DSA:3.90.1430.10;G3DSA:3.30.70.870	SSF54980;SSF50447;SSF52540;SSF54211	SM00838;SM00889	PTHR42908;PTHR42908:SF6	NA	NA	PF03764;PF03144;PF14492;PF00009;PF00679;PF16004	cd01683;cd04090;cd16264;cd04098;cd04167	Reactome: R-HSA-72163|Reactome: R-HSA-72165	TIGR00231	PR00315	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000006.1-augustus-gene-18.7-mRNA-1	IPR019734	GO:0005515;GO:0005680;GO:0030071	NA	PS50005;PS50293	mobidb-lite	G3DSA:1.25.40.10	SSF48452	SM00028	PTHR12558:SF10;PTHR12558	NA	NA	PF13414;PF13181;PF04049	NA	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-23.42-mRNA-1	IPR020846	GO:0016021;GO:0055085	NA	NA	mobidb-lite	G3DSA:1.20.1250.20	SSF103473	NA	PTHR11360:SF130;PTHR11360	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF07690	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-36.12-mRNA-1	IPR015163	GO:0006270;GO:0051301	NA	NA	mobidb-lite	G3DSA:1.10.10.10;G3DSA:1.10.8.60;G3DSA:3.40.50.300	SSF52540	NA	PTHR10763;PTHR10763:SF26	NA	NA	PF13191;PF09079;PF17872	cd00009	Reactome: R-HSA-176187|Reactome: R-HSA-539107|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	PIRSF001767	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-5.23-mRNA-1	IPR007568	GO:0016021	NA	NA	mobidb-lite	NA	NA	NA	PTHR31465;PTHR31465:SF8	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF04479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000004.1-processed-gene-26.18-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-42.38-mRNA-1	IPR017853	GO:0005975;GO:0008061	NA	NA	NA	G3DSA:3.20.20.80	SSF51445	SM00636	PTHR11177:SF182;PTHR11177	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	PF00704	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-15.33-mRNA-1	IPR034586	GO:0001100;GO:0005096;GO:0005816;GO:1990334	NA	NA	mobidb-lite	NA	NA	NA	PTHR35140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-24.23-mRNA-1	IPR026873	GO:0004663;GO:0018344;GO:0003824	NA	NA	NA	G3DSA:1.50.10.20	SSF48239	NA	PTHR11774:SF11;PTHR11774	NA	NA	PF00432	cd02894	Reactome: R-HSA-6803205|Reactome: R-HSA-8873719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000010.1-processed-gene-5.27-mRNA-1	IPR016197	GO:0005524;GO:0016887	PS00211	PS50893	mobidb-lite	G3DSA:1.25.10.10;G3DSA:2.40.50.990;G3DSA:3.40.50.300	SSF54160;SSF52540;SSF48371	SM00382	PTHR19211:SF44;PTHR19211	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PF00385;PF00005	cd03221;cd00024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000006.1-augustus-gene-9.22-mRNA-1	IPR020846	GO:0016021;GO:0055085	NA	PS50850	NA	G3DSA:1.20.1250.20	SSF103473	NA	PTHR43791;PTHR43791:SF68	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF07690	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000009.1-augustus-gene-5.42-mRNA-1	IPR004014	GO:0000166;GO:0016021;GO:0005388;GO:0006816;GO:0005524;GO:0005783;GO:0033017;GO:0070588	PS00154	NA	NA	G3DSA:3.40.1110.10;G3DSA:2.70.150.10;G3DSA:1.20.1110.10;G3DSA:3.40.50.1000	SSF81660;SSF81665;SSF56784;SSF81653	SM00831	PTHR42861:SF18;PTHR42861	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF00702;PF00690;PF00122;PF00689	cd02083	Reactome: R-HSA-936837	TIGR01494;TIGR01116	PR00121;PR00119	NA	NA	NA	NA	NA	NA	SFLDS00003;SFLDF00027	NA
maker-NIGB01000006.1-augustus-gene-15.46-mRNA-1	IPR009287	GO:0005634;GO:0006355;GO:0008270;GO:0032786	NA	NA	NA	G3DSA:3.30.40.210	SSF63393	SM01389	PTHR12882;PTHR12882:SF1	NA	NA	PF06093	cd07973	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6807505|Reactome: R-HSA-75955	NA	NA	NA	NA	NA	NA	PIRSF025023	NA	NA	NA
maker-NIGB01000010.1-augustus-gene-0.19-mRNA-1	IPR011701	GO:0016021;GO:0055085	NA	PS50850	mobidb-lite	G3DSA:1.20.1720.10	SSF103473	NA	PTHR23502:SF51;PTHR23502	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PF07690	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-2.39-mRNA-1	IPR018392	NA	NA	PS51782	mobidb-lite	G3DSA:3.10.350.10	SSF54106	SM00257	PTHR34997	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PF01476	cd00118	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000003.1-processed-gene-0.32-mRNA-1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS00463	PS50048	mobidb-lite	G3DSA:4.10.240.10	SSF57701	SM00066;SM00906	PTHR31313:SF53;PTHR31313	NA	NA	PF04082;PF00172	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-23.10-mRNA-1	IPR011766	GO:0003824;GO:0030976;GO:0000287;GO:0003984;GO:0009082;GO:0050660	PS00187	NA	mobidb-lite	G3DSA:3.40.50.1220;G3DSA:3.40.50.970	SSF52518;SSF52467	NA	PTHR18968;PTHR18968:SF13	NA	NA	PF02775;PF00205;PF02776	cd02015;cd07035	KEGG: 00290+2.2.1.6|KEGG: 00650+2.2.1.6|KEGG: 00660+2.2.1.6|KEGG: 00770+2.2.1.6|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5938|MetaCyc: PWY-5939|MetaCyc: PWY-6389|MetaCyc: PWY-7111	TIGR00118	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-11.38-mRNA-1	IPR036514	NA	NA	NA	mobidb-lite	G3DSA:3.40.50.1110	SSF52266	NA	PTHR14209:SF9;PTHR14209	NA	NA	PF13472	cd01838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000010.1-augustus-gene-3.13-mRNA-1	IPR005178	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR23423;PTHR23423:SF34	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF03619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-34.8-mRNA-1	IPR003695		NA	NA	NA	G3DSA:3.30.420.40;G3DSA:3.30.420.150	SSF53067	NA	PTHR30005;PTHR30005:SF0	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PF02541	NA	KEGG: 00230+3.6.1.40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-4.7-mRNA-1	IPR009081	GO:0003824;GO:0031177	PS00012	PS50075	NA	G3DSA:3.30.559.30;G3DSA:3.30.300.30;G3DSA:1.10.1200.10;G3DSA:3.30.559.10;G3DSA:3.40.50.12780	SSF52777;SSF56801;SSF47336	SM00823	PTHR45527	NA	NA	PF00501;PF00550;PF00668	cd05918	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	TIGR01733	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000010.1-augustus-gene-4.11-mRNA-1	IPR006674	GO:0002953	NA	NA	mobidb-lite	G3DSA:1.10.3210.10	SSF109604	NA	PTHR11845;PTHR11845:SF13	NA	NA	PF13023	NA	KEGG: 00240+3.1.3.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-30.40-mRNA-1	IPR001972	GO:0016020	NA	NA	NA	G3DSA:3.30.479.30	SSF117892	SM00244	PTHR10264:SF19;PTHR10264	NA	NA	PF01145	cd13437	NA	NA	PR00721	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-6.29-mRNA-1	IPR021840	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR37544;PTHR37544:SF3	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PF11915	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000003.1-processed-gene-36.22-mRNA-1	IPR011527	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	PS00211	PS50929;PS50893	mobidb-lite	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	SSF90123;SSF52540	SM00382	PTHR24223;PTHR24223:SF344	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	PF00664;PF00005	cd03250;cd03244	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NIGB01000010.1-augustus-gene-2.33-mRNA-1	IPR000340	GO:0008138;GO:0016311;GO:0004725	PS00383	PS51181	mobidb-lite	NA	SSF52799	NA	PTHR12305:SF32;PTHR12305	NA	NA	PF00782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-39.25-mRNA-1	IPR000832	GO:0004930;GO:0007186;GO:0016021;GO:0004888;GO:0007166	NA	PS50261	NA	G3DSA:1.20.1070.10	NA	NA	PTHR42058	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF00002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000010.1-augustus-gene-3.6-mRNA-1	IPR001757	GO:0016021;GO:0000166	PS00154	NA	mobidb-lite	G3DSA:1.20.1110.10;G3DSA:2.70.150.10;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10	SSF56784;SSF81653;SSF81665;SSF81660	SM00831	PTHR42861;PTHR42861:SF12	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF00690;PF00702;PF00122;PF00689;PF13246	NA	Reactome: R-HSA-936837	TIGR01494	PR00120;PR00119	NA	NA	NA	Coil	NA	NA	SFLDF00027;SFLDS00003	NA
