Gene	interpro	GO	Gene3D	ProSiteProfiles	Pfam	SMART	PANTHER	MobiDBLite	CDD	SUPERFAMILY	ProSitePatterns	Coils	PATHWAY	TIGRFAM	Phobius	TMHMM	Hamap	PIRSF	PRINTS	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	ProDom	SFLD
maker-NODE_220_length_42952_cov_21.643713-augustus-gene-0.8-mRNA-1	IPR036852	GO:0004252;GO:0006508	G3DSA:3.40.50.200;G3DSA:3.30.70.80	NA	PF00082;PF05922	NA	PTHR43806:SF25;PTHR43806	NA	cd04077	SSF52743;SSF54897	PS00138;PS00136;PS00137	NA	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	PR00723	SignalP-noTM	SignalP-TM	NA	NA	NA
maker-NODE_183_length_54183_cov_42.231482-augustus-gene-0.24-mRNA-1	IPR013253	NA	NA	NA	PF08317;PF15402;PF15577	SM00787;SM01315	PTHR28260	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_256_length_34512_cov_44.341748-augustus-gene-0.4-mRNA-1	IPR009038	NA	NA	PS50866	PF01105	SM01190	PTHR22811;PTHR22811:SF58	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
maker-NODE_193_length_50354_cov_49.519880-augustus-gene-0.2-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
maker-NODE_13_length_225485_cov_46.082997-augustus-gene-1.16-mRNA-1	IPR001360	GO:0004553;GO:0005975	G3DSA:3.20.20.80	NA	PF00232	NA	PTHR10353	NA	NA	SSF51445	PS00653	Coil	NA	NA	NA	NA	NA	NA	PR00131	NA	NA	NA	NA	NA
augustus_masked-NODE_280_length_29986_cov_49.752704-processed-gene-0.0-mRNA-1	IPR018939	NA	NA	NA	PF09451	NA	PTHR15071:SF13;PTHR15071	mobidb-lite	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_373113_cov_48.026344-augustus-gene-2.80-mRNA-1	IPR018083	GO:0016628;GO:0055114;GO:0016020	NA	NA	PF01222	NA	PTHR21257;PTHR21257:SF17	NA	NA	NA	PS01017;PS01018	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_110_length_78336_cov_48.540654-processed-gene-0.24-mRNA-1	IPR023534	GO:0003723;GO:0004540;GO:0006396;GO:0030677;GO:0008033	G3DSA:2.30.30.210	NA	PF01868	SM00538	PTHR13348	mobidb-lite	NA	SSF101744	NA	NA	Reactome: R-HSA-6784531	NA	NA	NA	NA	PIRSF027081	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_195582_cov_43.559505-augustus-gene-0.64-mRNA-1	IPR001878	GO:0003676;GO:0008270	G3DSA:4.10.60.10	PS50158	PF00098	SM00343	NA	mobidb-lite	NA	SSF57756	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-NODE_148_length_64702_cov_49.691599-augustus-gene-0.29-mRNA-1	IPR007528	GO:0005783;GO:0048193	G3DSA:1.20.58.670	PS51386	PF04437	NA	PTHR13520;PTHR13520:SF0	mobidb-lite	NA	NA	NA	Coil	Reactome: R-HSA-6811434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_119_length_74643_cov_45.456560-augustus-gene-0.4-mRNA-1	IPR037518	GO:0005515	G3DSA:3.40.140.10	PS50249	PF13012;PF01398	SM00232	PTHR10410;PTHR10410:SF5	mobidb-lite	cd08069	SSF102712	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_76_length_101144_cov_42.020422-augustus-gene-0.28-mRNA-1	IPR009008	GO:0002161;GO:0006418;GO:0000166;GO:0004832;GO:0005524;GO:0006438;GO:0004812;GO:0005737	G3DSA:3.90.740.10;G3DSA:3.40.50.620;G3DSA:1.10.730.10;G3DSA:1.10.287.380	NA	PF00133;PF08264	NA	PTHR11946;PTHR11946:SF54	mobidb-lite	cd07962;cd00817	SSF50677;SSF46589;SSF47323;SSF52374	PS00178	Coil	KEGG: 00970+6.1.1.9	TIGR00422	NA	NA	MF_02004	NA	PR00986	NA	NA	NA	NA	NA
maker-NODE_193_length_50354_cov_49.519880-augustus-gene-0.5-mRNA-1	IPR007342	GO:0016798;GO:0005515	G3DSA:2.130.10.10;G3DSA:3.40.1790.10;G3DSA:3.40.1190.20	PS50294;PS50082	PF04227;PF00294	SM00320	PTHR42909	mobidb-lite	cd01941	SSF53613;SSF110581;SSF50978	NA	NA	KEGG: 00240+4.2.1.70|MetaCyc: PWY-6019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_197905_cov_46.958691-augustus-gene-0.60-mRNA-1	IPR014014	GO:0003676;GO:0005524	G3DSA:3.40.50.300	PS51195;PS51192;PS51194	PF00270;PF00271;PF13959	SM01178;SM00490;SM00487	PTHR24031:SF2;PTHR24031	mobidb-lite	cd00079	SSF52540	PS00039	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_107_length_79501_cov_50.549122-augustus-gene-0.26-mRNA-1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	G3DSA:4.10.240.10	NA	NA	NA	PTHR31845:SF14;PTHR31845	NA	cd00067	SSF57701	PS00463	Coil	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_95_length_85772_cov_43.681032-processed-gene-0.20-mRNA-1	IPR018108	GO:0022857	G3DSA:1.50.40.10	PS50920	PF00153	NA	PTHR24089:SF367;PTHR24089	mobidb-lite	NA	SSF103506	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_133_length_71541_cov_34.290181-augustus-gene-0.18-mRNA-1	NA	NA	NA	NA	PF13668	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
maker-NODE_38_length_144168_cov_44.648663-augustus-gene-0.52-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_436630_cov_48.410920-processed-gene-3.2-mRNA-1	IPR027640	GO:0003777;GO:0007018;GO:0005524;GO:0008017	G3DSA:3.40.850.10	PS50067	PF00225	SM00129	PTHR24115;PTHR24115:SF600	mobidb-lite	NA	SSF52540	PS00411	Coil	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	NA	NA	NA	NA	NA	PR00380	NA	NA	NA	NA	NA
maker-NODE_167_length_58586_cov_47.273046-augustus-gene-0.3-mRNA-1	IPR000195	NA	G3DSA:1.10.8.270;G3DSA:1.10.472.80	PS50086	PF00566	SM00164	PTHR22957:SF26;PTHR22957	mobidb-lite	NA	SSF47923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_91_length_87482_cov_46.070505-processed-gene-0.28-mRNA-1	IPR001129	NA	G3DSA:1.20.120.550	NA	PF01124	NA	PTHR10250:SF17;PTHR10250	NA	NA	SSF161084	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_98_length_84858_cov_48.024855-augustus-gene-0.35-mRNA-1	IPR011011	GO:0003682	G3DSA:2.30.30.490	PS51038	NA	NA	NA	mobidb-lite	cd04370	SSF57903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_47_length_133174_cov_48.055529-augustus-gene-0.2-mRNA-1	IPR004345		NA	NA	PF03134	NA	PTHR12300;PTHR12300:SF22	NA	NA	NA	NA	NA	Reactome: R-HSA-381753	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_262446_cov_48.377925-processed-gene-1.21-mRNA-1	IPR020056	GO:0000166;GO:0004812;GO:0005524;GO:0005737;GO:0006418;GO:0004818;GO:0006424;GO:0006412;GO:0043039	G3DSA:2.40.240.10;G3DSA:1.20.1050.10;G3DSA:3.40.50.620	NA	PF03950;PF00749	NA	PTHR43097:SF5;PTHR43097	NA	NA	SSF52374;SSF50715	PS00178	NA	Reactome: R-HSA-2408517|Reactome: R-HSA-379716	TIGR00463	NA	NA	MF_02076	NA	PR00987	NA	NA	NA	NA	NA
maker-NODE_81_length_95370_cov_50.026154-augustus-gene-0.12-mRNA-1	IPR000873	GO:0003824	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	NA	PF00501;PF13193	NA	PTHR24096:SF312;PTHR24096	NA	NA	SSF56801	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_87_length_89953_cov_44.030025-augustus-gene-0.41-mRNA-1	IPR001680	GO:0005515	G3DSA:3.10.110.10	PS50082;PS50908;PS50294	PF05773;PF17120;PF00400	SM00320	PTHR22850;PTHR22850:SF149	mobidb-lite	NA	SSF50978	PS00678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_184_length_53958_cov_38.279802-augustus-gene-0.4-mRNA-1	NA	NA	NA	NA	NA	NA	PTHR40629	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_222_length_42100_cov_32.826817-augustus-gene-0.9-mRNA-1	IPR035420	GO:0032968;GO:0003676;GO:0003677;GO:0006139	G3DSA:2.40.50.140;G3DSA:3.30.505.10;G3DSA:1.10.150.850;G3DSA:1.10.3500.10;G3DSA:1.10.10.650;G3DSA:3.30.420.140;G3DSA:1.10.10.2740	PS50126	PF14633;PF14635;PF14639;PF00575;PF14641;PF14632;PF17674	SM00252	PTHR10145	mobidb-lite	cd09918;cd09928	SSF158832;SSF55550;SSF47781;SSF50249;SSF53098	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-674695|Reactome: R-HSA-75955	NA	NA	NA	NA	PIRSF036947	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_146_length_66472_cov_43.561384-processed-gene-0.4-mRNA-1	IPR035969	NA	G3DSA:1.10.472.80	NA	PF00566	NA	PTHR22957;PTHR22957:SF337	mobidb-lite	NA	SSF47923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_164543_cov_47.811217-augustus-gene-0.10-mRNA-1	IPR025929		NA	NA	PF07281	NA	PTHR15301;PTHR15301:SF3	mobidb-lite	cd06174	NA	NA	NA	Reactome: R-HSA-1655829	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_263_length_33587_cov_42.599880-augustus-gene-0.12-mRNA-1	NA	NA	NA	NA	NA	NA	PTHR44276	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_96_length_85290_cov_46.965560-augustus-gene-0.14-mRNA-1	IPR026849	GO:0006914;GO:0030242	NA	NA	PF13329;PF09333	NA	PTHR13190;PTHR13190:SF1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_312_length_23970_cov_42.569685-augustus-gene-0.0-mRNA-1	IPR013328	GO:0016491;GO:0055114	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	NA	PF08546;PF02558	NA	PTHR21708;PTHR21708:SF25	mobidb-lite	NA	SSF48179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_484860_cov_50.546594-processed-gene-2.50-mRNA-1	IPR032436	NA	NA	NA	PF16201;PF11707	NA	PTHR13500	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_377419_cov_47.972443-processed-gene-2.53-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_108_length_79253_cov_44.901246-augustus-gene-0.22-mRNA-1	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020;GO:0005215	G3DSA:1.20.1250.20	PS50850	PF00083	NA	PTHR23500;PTHR23500:SF42	NA	cd06174	SSF103473	PS00216	NA	Reactome: R-HSA-189200	TIGR00879	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	PR00171	NA	NA	NA	NA	NA
maker-NODE_47_length_133174_cov_48.055529-augustus-gene-0.0-mRNA-1	IPR031160	GO:0035556;GO:0007165	G3DSA:1.20.1270.60;G3DSA:1.10.555.10	PS51741;PS50186;PS50238	PF00610;PF00620;PF00611	SM00324;SM00049;SM00055	PTHR23065;PTHR23065:SF17	mobidb-lite	cd04399	SSF103657;SSF46785;SSF48350	NA	NA	Reactome: R-HSA-194840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_436630_cov_48.410920-processed-gene-3.13-mRNA-1	NA	NA	NA	NA	NA	NA	PTHR38850	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-TM	NA	NA
augustus_masked-NODE_16_length_205114_cov_50.024787-processed-gene-1.22-mRNA-1	IPR037701	GO:0017056;GO:0070762	NA	NA	NA	NA	PTHR28206	mobidb-lite	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_369570_cov_49.812937-processed-gene-1.1-mRNA-1	IPR021863	GO:0016717;GO:0055114;GO:0006629	NA	NA	PF11960;PF00487	NA	PTHR32100;PTHR32100:SF0	mobidb-lite	cd03507	NA	NA	Coil	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_321_length_22723_cov_38.906090-augustus-gene-0.2-mRNA-1	IPR000101	GO:0006751;GO:0036374	G3DSA:1.10.246.130;G3DSA:3.60.20.40	NA	PF01019	NA	PTHR11686;PTHR11686:SF9	NA	NA	SSF56235	NA	NA	KEGG: 00430+2.3.2.2|KEGG: 00460+2.3.2.2|KEGG: 00480+2.3.2.2+3.4.19.13|MetaCyc: PWY-4041|MetaCyc: PWY-4061|MetaCyc: PWY-5826|MetaCyc: PWY-6842|MetaCyc: PWY-7112|MetaCyc: PWY-7559|MetaCyc: PWY-8001	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	PR01210	SignalP-noTM	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_229_length_40008_cov_42.273714-processed-gene-0.7-mRNA-1	IPR007632		NA	NA	PF04547	NA	PTHR12308;PTHR12308:SF51	NA	NA	NA	NA	Coil	Reactome: R-HSA-2672351	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_373113_cov_48.026344-augustus-gene-2.90-mRNA-1	IPR006603	NA	G3DSA:1.20.1280.290	NA	PF04193	SM00679	PTHR16201;PTHR16201:SF11	mobidb-lite	NA	NA	NA	Coil	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_243_length_37542_cov_39.992597-processed-gene-0.13-mRNA-1	IPR000086	GO:0016787	G3DSA:3.90.79.10	PS51462	PF00293	NA	PTHR16099	NA	cd04678	SSF55811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_484860_cov_50.546594-augustus-gene-3.2-mRNA-1	IPR036400	GO:0016491;GO:0055114;GO:0003824;GO:0020037	G3DSA:3.20.20.70;G3DSA:3.10.120.10	PS50255;PS51349	PF00173;PF01070	SM01117	PTHR10578:SF10;PTHR10578	NA	cd02922	SSF55856;SSF51395	PS00557;PS00191	NA	Reactome: R-HSA-9033241	NA	NA	NA	NA	NA	PR00363	NA	NA	NA	NA	NA
maker-NODE_31_length_163481_cov_44.283746-augustus-gene-0.6-mRNA-1	IPR006214	NA	NA	NA	PF01027	NA	PTHR23291;PTHR23291:SF50	mobidb-lite	cd10429	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_141_length_68258_cov_45.685165-augustus-gene-0.4-mRNA-1	IPR006634	GO:0016021	NA	PS50922	PF03798;PF08390	SM00724	PTHR12560;PTHR12560:SF0	mobidb-lite	NA	NA	NA	NA	Reactome: R-HSA-1660661	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_183_length_54183_cov_42.231482-processed-gene-0.16-mRNA-1	IPR001806	GO:0003924;GO:0005525	G3DSA:3.40.50.300	PS51419	PF00071	SM00175	PTHR24073:SF852;PTHR24073	mobidb-lite	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	PR00449	NA	NA	NA	NA	NA
maker-NODE_2_length_436630_cov_48.410920-augustus-gene-0.14-mRNA-1	IPR013083	GO:0008270	G3DSA:3.30.40.10	PS51292	NA	NA	PTHR23012:SF61;PTHR23012	mobidb-lite	NA	SSF57850	NA	Coil	MetaCyc: PWY-7511	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_245_length_36735_cov_49.655021-augustus-gene-0.3-mRNA-1	IPR037151	GO:0016491;GO:0055114	G3DSA:2.60.120.590	PS51471	PF13532	NA	PTHR31573	mobidb-lite	NA	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_217_length_44521_cov_44.671622-augustus-gene-0.20-mRNA-1	IPR028077	GO:0016881;GO:0008641;GO:0016925;GO:0019948	G3DSA:1.10.10.520;G3DSA:3.40.50.720	NA	PF14732;PF10585;PF00899	NA	PTHR10953;PTHR10953:SF5	mobidb-lite	cd01489	SSF69572	PS00865	NA	Reactome: R-HSA-3065676|Reactome: R-HSA-3065678	NA	NA	NA	NA	PIRSF039133	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_318289_cov_41.506698-augustus-gene-2.17-mRNA-1	IPR011990	GO:0005515	G3DSA:1.25.40.10;G3DSA:3.10.20.90	PS50293;PS50005;PS51745	PF00564;PF00515	SM00028;SM00666	PTHR15175;PTHR15175:SF0	mobidb-lite	NA	SSF48452;SSF54277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_109_length_78457_cov_45.243636-processed-gene-0.14-mRNA-1	IPR006094	GO:0016491;GO:0050660;GO:0055114;GO:0071949	G3DSA:3.30.465.10	PS51387	PF01565	NA	PTHR10801;PTHR10801:SF3	NA	NA	SSF56176	NA	NA	KEGG: 00100+1.3.1.72|Reactome: R-HSA-6807047|Reactome: R-HSA-6807062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
