Gene	interpro	SUPERFAMILY	PANTHER	Gene3D	GO	PRINTS	Pfam	ProSiteProfiles	MobiDBLite	Phobius	TMHMM	CDD	Coils	SFLD	PATHWAY	ProSitePatterns	TIGRFAM	SMART	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	ProDom	PIRSF
OTA08590.1	IPR000731	SSF56542;SSF55035	PTHR10572;PTHR10572:SF2	G3DSA:3.90.770.10;G3DSA:1.10.3270.10;G3DSA:3.30.70.420	GO:0004420;GO:0015936;GO:0050662;GO:0055114;GO:0016616;GO:0008299;GO:0016021;GO:0050661	PR00071	PF12349;PF00368;PF13323	PS50156;PS50065	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd00643	NA	NA	KEGG: 00900+1.1.1.34|MetaCyc: PWY-6174|MetaCyc: PWY-7391|MetaCyc: PWY-7524|MetaCyc: PWY-922|Reactome: R-HSA-191273|Reactome: R-HSA-1989781|Reactome: R-HSA-2426168	PS00066;PS00318	TIGR00533	NA	NA	NA	NA	NA	NA	NA
OTA02288.1	IPR011701	SSF103473	PTHR23511:SF5;PTHR23511	G3DSA:1.20.1250.20	GO:0016021;GO:0055085	NA	PF07690	PS50850	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04988.1	IPR002642	SSF52151	PTHR10728:SF33;PTHR10728	G3DSA:3.40.1090.10	GO:0004620;GO:0009395	NA	PF01735	PS51210	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	Reactome: R-HSA-1482788|Reactome: R-HSA-1482801|Reactome: R-HSA-1482839|Reactome: R-HSA-1482922|Reactome: R-HSA-1483115	NA	NA	SM00022	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
OTA08429.1	IPR020846	SSF103473	PTHR11360;PTHR11360:SF120	G3DSA:1.20.1250.20	GO:0016021;GO:0055085	NA	PF07690	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04282.1	IPR037654	NA	PTHR28285	NA	GO:0006078;GO:0009272	NA	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
OTA04928.1	IPR018944	SSF47802;SSF81301;SSF81585	PTHR11276:SF28;PTHR11276	G3DSA:3.30.460.10;G3DSA:3.40.50.10190;G3DSA:1.10.150.20;G3DSA:1.10.150.110;G3DSA:3.30.210.10	GO:0003677;GO:0005634;GO:0034061;GO:0016779;GO:0003887;GO:0006281	PR00869;PR00870	PF10391;PF14716;PF14792;PF14791	PS50172	mobidb-lite	NA	NA	cd00141	NA	NA	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7	PS00522	NA	SM00483	NA	NA	NA	NA	NA	NA
OTA06935.1	IPR004835	SSF53448	PTHR22914;PTHR22914:SF21	G3DSA:3.90.550.10	GO:0016758	NA	PF03142	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03607.1	IPR004813	NA	PTHR22601;PTHR22601:SF47	NA	GO:0055085	NA	PF03169	NA	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	TIGR00728	NA	NA	NA	NA	NA	NA	NA
OTA07971.1	IPR001680	SSF50978	PTHR43991:SF7;PTHR43991	G3DSA:2.130.10.10	GO:0005515	NA	NA	PS50082;PS50294	mobidb-lite	NA	NA	NA	NA	NA	NA	PS00678	NA	SM00320	NA	NA	NA	NA	NA	NA
OTA06377.1	IPR020846	SSF103473	PTHR23502;PTHR23502:SF34	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	GO:0016021;GO:0055085	NA	PF07690	PS50850	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01660.1	IPR011022	NA	PTHR11188:SF46;PTHR11188	NA	NA	NA	PF02752	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SM01017	NA	NA	NA	NA	NA	NA
OTA07670.1	IPR007319	SSF50998	PTHR22840	G3DSA:2.130.10.10	GO:0006364;GO:0032040;GO:0005515	NA	PF04192;PF02239;PF00400	PS50082;PS50294	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PS00678	NA	SM00320	NA	NA	NA	NA	NA	NA
OTA01365.1	IPR002509	SSF88713;SSF57016	PTHR10587;PTHR10587:SF121	G3DSA:3.20.20.370;G3DSA:3.30.60.10	GO:0005975;GO:0016810;GO:0003824;GO:0008061	NA	PF01522;PF00187	PS50941;PS51677	NA	NA	NA	cd00035;cd10951	NA	NA	NA	PS00026	NA	SM00270	NA	NA	NA	NA	PD000609	NA
OTA07368.1	IPR001128	SSF48264	PTHR24305;PTHR24305:SF113	G3DSA:1.10.630.10	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PR00385;PR00463	PF00067	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	PS00086	NA	NA	NA	NA	NA	NA	NA	NA
OTA06386.1	NA	NA	PTHR31001	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07371.1	IPR011547	SSF52091	PTHR11814:SF80;PTHR11814	G3DSA:3.30.750.24	GO:0008272;GO:0015116;GO:0016021;GO:0008271;GO:0016020;GO:0055085	NA	PF00916;PF01740	PS50801	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd07042	NA	NA	Reactome: R-HSA-427601	PS01130	TIGR00815	NA	NA	NA	NA	NA	NA	NA
OTA07594.1	IPR026195	SSF53474	PTHR17384:SF6;PTHR17384	G3DSA:3.40.50.1820		NA	PF05057	NA	mobidb-lite	NA	NA	NA	Coil	NA	Reactome: R-HSA-202733	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00584.1	IPR021133	SSF48371	PTHR10527:SF6;PTHR10527	NA	GO:0006886;GO:0008536;GO:0006606	NA	PF03810;PF13513	PS50077;PS50166	NA	NA	NA	NA	NA	NA	NA	NA	NA	SM01349;SM00913	NA	NA	NA	NA	NA	NA
OTA00352.1	IPR020846	SSF103473	PTHR23500:SF50;PTHR23500	G3DSA:1.20.1250.20	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	PR00171	PF00083	PS50850	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	Reactome: R-HSA-189200	PS00216	TIGR00879	NA	NA	NA	NA	NA	NA	NA
OTA00599.1	IPR018052	SSF74650	PTHR10091:SF0;PTHR10091	G3DSA:2.70.98.10	GO:0003824;GO:0005975;GO:0030246;GO:0016853	NA	PF01263	NA	NA	NA	NA	cd09019	NA	NA	KEGG: 00010+5.1.3.3|KEGG: 00052+5.1.3.3|MetaCyc: PWY-6317	PS00545	NA	NA	NA	NA	NA	NA	NA	NA
OSZ99938.1	IPR036241	SSF102848;SSF46934;SSF54236	PTHR23333;PTHR23333:SF20	G3DSA:3.30.420.210;G3DSA:3.10.20.90;G3DSA:1.10.8.10	GO:0005515	NA	PF08059;PF00789;PF14555	PS51399;PS50033	mobidb-lite	NA	NA	cd14348	NA	NA	NA	NA	NA	SM00553	NA	NA	NA	NA	NA	NA
OTA06986.1	IPR000286	SSF52768	PTHR10625;PTHR10625:SF177	G3DSA:3.40.800.20		PR01270	PF00850;PF09757	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF037919
OTA01284.1	IPR004813	NA	PTHR31645;PTHR31645:SF3	NA	GO:0055085	NA	PF03169	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	TIGR00728	NA	NA	NA	NA	NA	NA	NA
OTA01789.1	IPR009145	SSF54928	PTHR12620;PTHR12620:SF8	G3DSA:3.30.70.330	GO:0000398;GO:0003723;GO:0089701;GO:0046872;GO:0003676	PR01848	PF00642	PS50103;PS50102	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SM00356	NA	NA	NA	NA	NA	NA
OTA08145.1	IPR001509	SSF51735	PTHR10366;PTHR10366:SF561	G3DSA:3.40.50.720	GO:0003824;GO:0050662	NA	PF01370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00334.1	IPR036291	SSF51735	PTHR42748;PTHR42748:SF14	G3DSA:3.40.50.720;G3DSA:3.90.25.10		NA	PF05368	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04610.1	IPR036259	SSF103473	PTHR23500;PTHR23500:SF69	G3DSA:1.20.1250.20	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	NA	PF00083	PS50850	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	cd06174	NA	NA	Reactome: R-HSA-189200	PS00217	TIGR00879	NA	NA	NA	NA	NA	NA	NA
OTA01867.1	IPR036259	SSF103473	PTHR24064;PTHR24064:SF113	G3DSA:1.20.1250.20	GO:0016021;GO:0022857;GO:0055085	NA	PF00083	PS50850	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07722.1	IPR003864	NA	PTHR13018;PTHR13018:SF26	NA	GO:0016020	NA	PF02714;PF14703;PF12621;PF13967	NA	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05521.1	IPR027417	SSF52540	PTHR24031;PTHR24031:SF57	G3DSA:3.40.50.300	GO:0003676;GO:0005524	NA	PF00271;PF00270	PS51195;PS51194;PS51192	mobidb-lite	NA	NA	cd00079;cd00268	NA	NA	NA	PS00039	NA	SM00490;SM00487	NA	NA	NA	NA	NA	NA
OTA01440.1	IPR036864	SSF57701	PTHR31944	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	NA	NA	mobidb-lite	NA	NA	cd12148;cd00067	Coil	NA	NA	PS00463	NA	SM00906;SM00066	NA	NA	NA	NA	NA	NA
OTA02174.1	IPR018803	NA	NA	NA	NA	NA	PF10281	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	Coil	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
OTA05664.1	IPR001623	SSF46565	PTHR45006	G3DSA:1.10.287.110	NA	PR00625	PF14308;PF00226	PS50076	mobidb-lite	NA	NA	cd06257	Coil	NA	NA	PS00636	NA	SM00271	NA	NA	NA	NA	NA	NA
OSZ99890.1	IPR003663	SSF103473	PTHR23500:SF117;PTHR23500	G3DSA:1.20.1250.20	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	PR00171	PF00083	PS50850	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	Reactome: R-HSA-189200	PS00217	TIGR00879	NA	NA	NA	NA	NA	NA	NA
OTA04227.1	IPR028889	SSF54236;SSF54001	PTHR43982	G3DSA:3.10.20.90	GO:0005515;GO:0006511;GO:0036459;GO:0016579	NA	PF00240;PF00443	PS50235;PS50053	mobidb-lite	NA	NA	cd02657	Coil	NA	NA	PS00973;PS00972	NA	SM00213	NA	NA	NA	NA	NA	NA
OTA00850.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03672.1	IPR000504	SSF54928	PTHR44517	G3DSA:3.30.70.330	GO:0003676	NA	PF00076	PS50102	mobidb-lite	NA	NA	cd12307	Coil	NA	NA	NA	NA	SM00360	NA	NA	NA	NA	NA	NA
OTA06886.1	IPR002908	SSF55387	PTHR16821;PTHR16821:SF2	G3DSA:3.30.920.10	GO:0008199;GO:0016226;GO:0004322;GO:0005739;GO:0055114	NA	PF01491	PS50810	mobidb-lite	NA	NA	NA	Coil	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-1362409	PS01344	TIGR03421;TIGR03422	SM01219	SignalP-TM	NA	NA	NA	NA	NA
OTA03623.1	IPR015679	SSF56024	PTHR18896;PTHR18896:SF113	G3DSA:3.30.870.10	GO:0003824;GO:0004630;GO:0006654;GO:0048017;GO:0035091	NA	PF00614;PF00787	PS50035	mobidb-lite	NA	NA	cd09138;cd09141;cd01254	NA	NA	KEGG: 00564+3.1.4.4|KEGG: 00565+3.1.4.4|MetaCyc: PWY-3561|MetaCyc: PWY-7039|Reactome: R-HSA-1483148|Reactome: R-HSA-1483166|Reactome: R-HSA-2029485	NA	NA	SM00155	NA	NA	NA	NA	NA	PIRSF009376
OTA08268.1	IPR001138	SSF57701	PTHR31313	G3DSA:4.10.240.10	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	PS50048	mobidb-lite	NA	NA	cd00067	NA	NA	NA	PS00463	NA	SM00066	NA	NA	NA	NA	NA	NA
OTA02181.1	IPR036348	SSF101931	PTHR22959	NA	GO:1903259	NA	PF09282	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	SM01273	NA	NA	NA	NA	NA	NA
OTA00034.1	IPR014030	SSF53901;SSF50129;SSF51735;SSF47336;SSF52151;SSF55048	PTHR43775;PTHR43775:SF13	G3DSA:3.10.129.110;G3DSA:3.40.50.720;G3DSA:3.40.366.10;G3DSA:3.40.47.10;G3DSA:3.30.70.3290;G3DSA:3.90.180.10;G3DSA:1.10.1200.10	GO:0055114;GO:0003824;GO:0016740;GO:0031177;GO:0016491	NA	PF00109;PF08240;PF08659;PF00698;PF16197;PF02801;PF00550;PF00107;PF14765	PS51257;PS50075	NA	NA	NA	cd00833;cd05195	NA	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	PS00606;PS00012	NA	SM00822;SM00825;SM00826;SM00823;SM00829;SM00827	NA	NA	NA	NA	NA	NA
OTA07622.1	IPR002656	NA	PTHR23028;PTHR23028:SF53	NA	GO:0016747	NA	PF01757	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08725.1	IPR036914	SSF52335;SSF52440;SSF48108;SSF56059	PTHR11405:SF48;PTHR11405	G3DSA:3.40.50.1380;G3DSA:3.40.50.20;G3DSA:1.10.1030.10;G3DSA:3.30.1490.20;G3DSA:3.30.470.20	GO:0006807;GO:0005524;GO:0046872	PR00098	PF02787;PF02786	PS50975	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	cd01423	NA	NA	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	PS00867;PS00866	TIGR01369	SM01096	NA	NA	NA	NA	NA	NA
OTA00416.1	NA	NA	PTHR13140:SF555;PTHR13140	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
OTA07101.1	IPR013087	SSF57667	PTHR24390;PTHR24390:SF46	G3DSA:3.30.160.60	GO:0003676	NA	PF00096	PS50157	mobidb-lite	NA	NA	NA	Coil	NA	NA	PS00028	NA	SM00355	NA	NA	NA	NA	NA	NA
OTA05665.1	IPR036291	SSF51735	PTHR43245;PTHR43245:SF6	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04649.1	IPR027417	SSF52540;SSF90123	PTHR24221:SF388;PTHR24221	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	NA	PF00005;PF00664	PS50929;PS50893	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd03249	Coil	NA	NA	PS00211	NA	SM00382	NA	NA	NA	NA	NA	NA
OTA01000.1	IPR011701	SSF103473	PTHR23501;PTHR23501:SF67	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	GO:0016021;GO:0055085;GO:0005215	NA	PF07690	PS50850	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	PS00216	NA	NA	NA	NA	NA	NA	NA	NA
OTA04517.1	IPR002474	SSF52317;SSF52021	PTHR11405;PTHR11405:SF4	G3DSA:3.40.50.880;G3DSA:3.50.30.20	GO:0004088;GO:0006207;GO:0006541	PR00096;PR00099;PR00097	PF00988;PF00117	PS51273	NA	NA	NA	cd01744	NA	NA	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	NA	TIGR01368	SM01097	NA	NA	NA	MF_01209	NA	NA
OTA04190.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03548.1	IPR002293	NA	PTHR11785:SF369;PTHR11785	G3DSA:1.20.1740.10	GO:0016020;GO:0022857;GO:0055085	NA	PF13520	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006060
OTA03184.1	IPR025212	NA	PTHR40130	G3DSA:1.20.58.280		NA	PF13094	NA	mobidb-lite	NA	NA	NA	Coil	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06674.1	IPR028934	NA	PTHR12233:SF1;PTHR12233	G3DSA:2.60.40.640	NA	NA	PF03643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04794.1	IPR031468	NA	PTHR13466;PTHR13466:SF5	NA	GO:0008289;GO:0007005;GO:0032865	NA	PF10296	PS51847	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_03103	NA	NA
