Gene	MobiDBLite	Gene3D	CDD	interpro	SUPERFAMILY	PANTHER	GO	Pfam	ProSiteProfiles	Phobius	SignalP_EUK	SignalP_GRAM_POSITIVE	TMHMM	SMART	Coils	ProSitePatterns	PATHWAY	PIRSF	PRINTS	Hamap	SignalP_GRAM_NEGATIVE	SFLD	TIGRFAM	ProDom
augustus_masked-scaffold29-processed-gene-0.55-mRNA-1	mobidb-lite	NA	NA	IPR009637	NA	PTHR21229;PTHR21229:SF1	GO:0016021	PF06814	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	SignalP-noTM	SignalP-TM	TMhelix	NA	Coil	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-scaffold197-augustus-gene-0.63-mRNA-1	mobidb-lite	G3DSA:2.40.40.50;G3DSA:3.10.330.10	NA	IPR004854	NA	PTHR12555:SF13;PTHR12555	GO:0006511	PF03152	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-110320|Reactome: R-HSA-5689880	NA	NA	NA	NA	NA	NA	NA
maker-scaffold145-augustus-gene-0.46-mRNA-1	NA	G3DSA:3.20.120.10	NA	IPR036686	SSF101751	PTHR42341	GO:0005576	PF06766	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
augustus_masked-scaffold36-processed-gene-0.310-mRNA-1	mobidb-lite	G3DSA:1.25.40.690;G3DSA:3.30.1610.10	NA	IPR007230	SSF82215	PTHR23198	GO:0005643;GO:0006913;GO:0017056	PF13634;PF04096;PF12110	PS51434	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-141444|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5663220|Reactome: R-HSA-6784531|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold73-processed-gene-0.230-mRNA-1	mobidb-lite	G3DSA:1.10.10.10;G3DSA:2.60.200.20	cd00060	IPR001766	SSF46785;SSF49879	PTHR11829:SF185;PTHR11829	GO:0003700;GO:0006355;GO:0043565;GO:0005515;GO:0003677	PF00250	PS50006;PS50039	NA	NA	NA	NA	SM00339;SM00384	Coil	NA	NA	NA	PR00053	NA	NA	NA	NA	NA
snap_masked-scaffold130-processed-gene-0.24-mRNA-1	NA	G3DSA:3.30.230.10;G3DSA:3.30.565.10	cd00075	IPR003594	SSF55874;SSF54211	PTHR10073:SF41;PTHR10073	GO:0005524;GO:0006298;GO:0030983;GO:0016887;GO:0032300	PF13589;PF01119	NA	NA	NA	NA	NA	SM01340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold135-processed-gene-0.91-mRNA-1	NA	G3DSA:3.40.50.720;G3DSA:3.40.50.12780	NA	IPR036736	SSF47336;SSF56801;SSF51735	PTHR43201:SF3;PTHR43201	GO:0003824	PF07993;PF00501	NA	NA	NA	NA	NA	NA	Coil	PS00455	Reactome: R-HSA-8848584	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold83-processed-gene-0.257-mRNA-1	NA	G3DSA:2.30.180.10	NA	IPR036378	SSF82153	PTHR10900;PTHR10900:SF92	NA	PF02469	PS50213	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	SignalP-noTM	NA	NA	SM00554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold118-snap-gene-0.72-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold159-augustus-gene-0.145-mRNA-1	mobidb-lite	G3DSA:2.60.40.150	cd04041;cd04052	IPR000008	SSF49562	PTHR10774:SF157;PTHR10774	GO:0008289;GO:0061817	PF00168	PS51847;PS50004	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	SM00239	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold87-processed-gene-0.61-mRNA-1	mobidb-lite	G3DSA:1.20.1250.20	cd06174	IPR020846	SSF103473	PTHR23502:SF60;PTHR23502	GO:0016021;GO:0055085	PF07690	PS50850	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold211-snap-gene-0.67-mRNA-1	NA	NA	cd03401	IPR001107	SSF117892	PTHR23222:SF1;PTHR23222	GO:0016020	PF01145	NA	NA	NA	NA	NA	SM00244	Coil	NA	Reactome: R-HSA-8949664	NA	PR00679	NA	NA	NA	NA	NA
maker-scaffold30-augustus-gene-1.133-mRNA-1	mobidb-lite	G3DSA:3.10.180.10	NA	IPR029068	SSF54593	PTHR35006;PTHR35006:SF3	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold209-augustus-gene-0.18-mRNA-1	mobidb-lite	G3DSA:3.40.50.300;G3DSA:3.30.40.10;G3DSA:3.40.50.10810	cd16449;cd00046;cd00079	IPR001650	SSF52540;SSF57850	PTHR10799:SF870;PTHR10799	GO:0005524	PF00271;PF00176	PS50089;PS51192;PS51194	NA	NA	NA	NA	SM00490;SM00487	Coil	PS00518	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold205-processed-gene-0.75-mRNA-1	NA	G3DSA:3.40.50.720	cd12169	IPR006139	SSF51735;SSF52283	PTHR42789	GO:0016616;GO:0051287;GO:0055114;GO:0016491	PF00389;PF02826;PF00106	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	SM00822	NA	PS00065;PS00671;PS00061	NA	NA	PR00081	NA	NA	NA	NA	NA
maker-scaffold110-snap-gene-0.68-mRNA-1	mobidb-lite	G3DSA:3.30.1360.40;G3DSA:1.10.132.20;G3DSA:3.40.605.10;G3DSA:3.40.309.10	cd07103	IPR010102	SSF55194;SSF53720	PTHR43353;PTHR43353:SF5	GO:0009013;GO:0009450;GO:0055114;GO:0016491;GO:0016620	PF01765;PF00171	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	SignalP-TM	NA	NA	Coil	PS00070	Reactome: R-HSA-916853	NA	NA	NA	NA	NA	TIGR01780	NA
augustus_masked-scaffold20-processed-gene-0.137-mRNA-1	mobidb-lite	NA	NA	IPR008427	NA	PTHR35607	NA	PF05730	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN	SignalP-noTM	SignalP-TM	NA	SM00747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold38-augustus-gene-0.166-mRNA-1	mobidb-lite	G3DSA:1.20.1530.20	NA	IPR038770	NA	PTHR31382;PTHR31382:SF1	GO:0006812;GO:0015299;GO:0016021;GO:0055085	PF00999	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold226-augustus-gene-0.2-mRNA-1	mobidb-lite	G3DSA:3.40.50.720;G3DSA:3.90.180.10	cd08284	IPR013154	SSF51735;SSF50129	PTHR42813;PTHR42813:SF2	GO:0055114;GO:0008270;GO:0016491	PF08240;PF00107	NA	NA	NA	NA	NA	NA	NA	PS00059	Reactome: R-HSA-71384	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold4-processed-gene-3.14-mRNA-1	mobidb-lite	G3DSA:1.50.40.10	NA	IPR018108	SSF103506	PTHR24089;PTHR24089:SF45	GO:0022857	PF00153	PS50920	SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold2-processed-gene-2.57-mRNA-1	mobidb-lite	NA	NA	IPR003445	NA	PTHR31064;PTHR31064:SF10	GO:0006812;GO:0008324;GO:0055085;GO:0015079;GO:0016021;GO:0071805;GO:0005887;GO:0030007	PF02386	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	Coil	NA	NA	PIRSF002450	NA	NA	NA	NA	TIGR00934	NA
augustus_masked-scaffold23-processed-gene-1.43-mRNA-1	NA	G3DSA:1.20.1440.110;G3DSA:3.40.50.1820	NA	IPR029058	SSF53474	PTHR17630;PTHR17630:SF73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold182-snap-gene-0.69-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold21-processed-gene-1.297-mRNA-1	NA	NA	NA	NA	SSF54768	PTHR42030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold65-processed-gene-0.128-mRNA-1	mobidb-lite	NA	NA	NA	SSF52374	PTHR10695:SF25;PTHR10695	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold6-processed-gene-2.176-mRNA-1	mobidb-lite	G3DSA:3.40.50.300	cd00079;cd00268	IPR014001	SSF52540	PTHR24031;PTHR24031:SF292	GO:0003723;GO:0004004;GO:0005524;GO:0005634;GO:0003676	PF00271;PF08147;PF00270	PS51192;PS51194;PS51195	NA	NA	NA	NA	SM00490;SM00487;SM01123	NA	PS00039	NA	NA	NA	NA	NA	NA	NA	PD024971
maker-scaffold18-augustus-gene-1.55-mRNA-1	mobidb-lite	G3DSA:1.10.510.10;G3DSA:3.30.200.20;G3DSA:1.10.238.10	cd05117	IPR000719	SSF56112	PTHR24347:SF246;PTHR24347	GO:0004672;GO:0005524;GO:0006468	PF00069	PS50011	NA	NA	NA	NA	SM00220	NA	PS00108	NA	PIRSF000654	NA	NA	NA	NA	NA	NA
maker-scaffold104-augustus-gene-0.3-mRNA-1	mobidb-lite	G3DSA:4.10.240.10	cd00067	IPR036864	NA	PTHR31263:SF21;PTHR31263	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold71-processed-gene-0.62-mRNA-1	mobidb-lite	NA	NA	IPR022091	NA	PTHR13815	GO:0007030	PF12325;PF12329	NA	NA	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-6811440	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold1-processed-gene-1.55-mRNA-1	mobidb-lite	NA	NA	IPR036427	SSF47370	PTHR15398	GO:0005515	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold51-augustus-gene-0.314-mRNA-1	mobidb-lite	NA	NA	IPR013883	NA	PTHR28063	GO:0006606	PF08574	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold40-snap-gene-0.338-mRNA-1	mobidb-lite	G3DSA:2.60.120.650;G3DSA:1.20.1280.50	NA	IPR001810	SSF81383;SSF51197	PTHR12480:SF21;PTHR12480	GO:0005515	PF13621;PF12937	PS50181;PS51184	NA	NA	NA	NA	SM00256;SM00558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold6-snap-gene-1.32-mRNA-1	mobidb-lite	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	cd06174	IPR011701	SSF103473	PTHR23502;PTHR23502:SF4	GO:0016021;GO:0055085	PF07690	PS50850	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold9-snap-gene-2.19-mRNA-1	NA	G3DSA:1.10.1280.10	NA	IPR002227	SSF48056	PTHR11474;PTHR11474:SF70	GO:0016491	PF00264	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	SignalP-noTM	NA	NA	NA	NA	PS00498	Reactome: R-HSA-5662702	NA	PR00092	NA	SignalP-noTM	NA	NA	NA
maker-scaffold32-snap-gene-0.7-mRNA-1	mobidb-lite	G3DSA:1.10.555.10	cd04396	IPR008936	SSF48350	PTHR15228:SF25;PTHR15228	GO:0007165	PF00620	PS50238	NA	NA	NA	NA	SM00324	NA	NA	Reactome: R-HSA-194840	NA	NA	NA	NA	NA	NA	NA
maker-scaffold7-augustus-gene-0.4-mRNA-1	mobidb-lite	NA	NA	NA	NA	PTHR37538;PTHR37538:SF3	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold212-processed-gene-0.8-mRNA-1	mobidb-lite	G3DSA:1.10.10.580	NA	IPR036390	SSF46785	PTHR12585:SF29;PTHR12585	GO:0007062;GO:0008278;GO:0005515	PF04825;PF04824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold173-processed-gene-0.102-mRNA-1	mobidb-lite	G3DSA:1.20.1250.20	cd06174	IPR020846	SSF103473	PTHR11360;PTHR11360:SF130	GO:0016021;GO:0055085	PF07690	PS50850	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold125-processed-gene-0.32-mRNA-1	NA	G3DSA:1.20.1250.20	cd06174	IPR020846	SSF103473	PTHR23500;PTHR23500:SF340	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	PF00083	PS50850	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	PS00217;PS00216	Reactome: R-HSA-189200	NA	PR00171	NA	NA	NA	TIGR00879	NA
maker-scaffold32-snap-gene-0.29-mRNA-1	mobidb-lite	NA	NA	IPR039521	NA	PTHR22760:SF4;PTHR22760	GO:0000030;GO:0006506;GO:0016757	PF03901	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA
maker-scaffold193-snap-gene-0.19-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold21-augustus-gene-1.249-mRNA-1	NA	G3DSA:1.20.1250.20	cd06174	IPR005829	SSF103473	PTHR23500;PTHR23500:SF143	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PF00083	PS50850	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	PS00216;PS00217	Reactome: R-HSA-189200	NA	PR00171	NA	NA	NA	TIGR00879	NA
maker-scaffold163-snap-gene-0.57-mRNA-1	NA	G3DSA:1.20.1270.60	cd07591	IPR004148	SSF103657	PTHR22834:SF20;PTHR22834	GO:0005515;GO:0005737;GO:0007015	PF03114	PS51021	NA	NA	NA	NA	SM00721	Coil	NA	NA	NA	PR01251	NA	NA	NA	NA	NA
augustus_masked-scaffold7-processed-gene-2.293-mRNA-1	mobidb-lite	G3DSA:3.40.50.300	NA	IPR001806	SSF52540	PTHR24070:SF293;PTHR24070	GO:0003924;GO:0005525;GO:0007165;GO:0016020	PF00071	PS51421	NA	NA	NA	NA	SM00173;SM00175;SM00176;SM00174	NA	NA	NA	NA	PR00449	NA	NA	NA	TIGR00231	NA
maker-scaffold65-augustus-gene-0.48-mRNA-1	mobidb-lite	G3DSA:3.10.120.10;G3DSA:3.90.420.10;G3DSA:3.40.50.80;G3DSA:2.40.30.10;G3DSA:2.60.40.650	cd06183	IPR036400	SSF52343;SSF56524;SSF55856;SSF81296;SSF63380	PTHR43112:SF5;PTHR43112	GO:0016491;GO:0030151;GO:0055114;GO:0042128	PF03404;PF00175;PF00173;PF00174;PF00970	PS51384;PS50255	NA	NA	NA	NA	SM01117	Coil	NA	Reactome: R-HSA-1614517	NA	PR00406;PR00407	NA	NA	NA	NA	NA
maker-scaffold49-augustus-gene-0.18-mRNA-1	mobidb-lite	G3DSA:1.20.900.10	cd00160	IPR001180	SSF48065;SSF50729	PTHR12673;PTHR12673:SF144	GO:0005089;GO:0035023	PF15405;PF00780;PF00621	PS50219;PS50010;PS50003	NA	NA	NA	NA	SM00233;SM00325;SM00036	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold123-augustus-gene-0.176-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold106-augustus-gene-0.4-mRNA-1	mobidb-lite	G3DSA:3.40.50.2000;G3DSA:1.20.20.30	cd03793	IPR008631	SSF53756	PTHR10176:SF3;PTHR10176	GO:0004373;GO:0005978	PF05693	NA	NA	NA	NA	NA	NA	NA	NA	KEGG: 00500+2.4.1.11|MetaCyc: PWY-5067|Reactome: R-HSA-3322077|Reactome: R-HSA-3785653	NA	NA	NA	NA	NA	NA	NA
maker-scaffold42-augustus-gene-0.139-mRNA-1	mobidb-lite	NA	NA	IPR003020	NA	PTHR11453;PTHR11453:SF82	GO:0005452;GO:0006820;GO:0016020;GO:0016021	PF00955	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	Reactome: R-HSA-425381	NA	NA	NA	NA	NA	NA	NA
maker-scaffold73-snap-gene-0.3-mRNA-1	mobidb-lite	NA	cd06186	IPR017927	SSF52343	PTHR32361	GO:0016491;GO:0055114	PF01794;PF08030;PF08022	PS51384	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	SFLDG01168;SFLDS00052	NA	NA
maker-scaffold35-augustus-gene-0.15-mRNA-1	NA	G3DSA:1.10.630.10	NA	IPR001128	SSF48264	PTHR24279;PTHR24279:SF75	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	NA	NA	NA	NA	NA	NA	NA	PS00086	NA	NA	PR00385;PR00463	NA	NA	NA	NA	NA
maker-scaffold9-augustus-gene-0.32-mRNA-1	mobidb-lite	NA	NA	IPR013857	NA	PTHR13194	GO:0032981	PF08547	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA
maker-scaffold182-augustus-gene-0.2-mRNA-1	mobidb-lite	NA	NA	IPR013724	NA	PTHR21601	NA	PF08518	NA	NA	NA	NA	NA	SM00555	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold16-processed-gene-0.142-mRNA-1	mobidb-lite	G3DSA:3.40.50.300;G3DSA:1.10.8.60;G3DSA:1.10.1780.10	cd00009	IPR003959	SSF81923;SSF52540	PTHR11638:SF127;PTHR11638	GO:0005524;GO:0019538	PF00004;PF10431;PF02861;PF07724;PF17871	NA	NA	NA	NA	NA	SM00382;SM01086	Coil	PS00870;PS00871	NA	NA	PR00300	NA	NA	NA	NA	NA
augustus_masked-scaffold154-processed-gene-0.1-mRNA-1	mobidb-lite	G3DSA:3.40.50.300	NA	IPR003578	SSF52540	PTHR24072:SF186;PTHR24072	GO:0005525;GO:0005622;GO:0007264;GO:0003924	PF00071	PS51420	NA	NA	NA	NA	SM00173;SM00174;SM00175	NA	NA	Reactome: R-HSA-194840	NA	PR00449	NA	NA	NA	TIGR00231	NA
augustus_masked-scaffold235-processed-gene-0.9-mRNA-1	NA	G3DSA:3.30.1330.10;G3DSA:3.90.650.10;G3DSA:3.30.1490.20;G3DSA:3.30.470.20;G3DSA:3.90.600.10;G3DSA:3.40.50.20	cd02196	IPR036921	SSF56042;SSF55326;SSF56059;SSF51246;SSF52440	PTHR10520	GO:0004641;GO:0006189;GO:0005524;GO:0004637;GO:0009113;GO:0046872	PF02769;PF01071;PF02844;PF00586;PF02843	PS50975	NA	NA	NA	NA	SM01210;SM01209	NA	PS00184	KEGG: 00230+6.3.3.1|MetaCyc: PWY-6121|MetaCyc: PWY-6122|MetaCyc: PWY-6277|Reactome: R-HSA-73817	NA	NA	MF_00138;MF_00741	NA	NA	TIGR00877;TIGR00878	NA
