Gene	MobiDBLite	interpro	GO	SUPERFAMILY	PATHWAY	CDD	SMART	PANTHER	Pfam	Phobius	Gene3D	TMHMM	SignalP_GRAM_NEGATIVE	Coils	PIRSF	PRINTS	ProSiteProfiles	ProSitePatterns	Hamap	TIGRFAM	SignalP_EUK	SignalP_GRAM_POSITIVE	ProDom	SFLD
augustus_masked-NIGD01000011.1-processed-gene-13.31-mRNA-1	NA	IPR017850	GO:0003824;GO:0008484	SSF53649	NA	NA	NA	PTHR10342:SF247;PTHR10342	PF00884	SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-17.9-mRNA-1	mobidb-lite	IPR004014	GO:0016021;GO:0008553;GO:0120029;GO:0000166	SSF56784;SSF81665;SSF81653	Reactome: R-HSA-936837	cd02076	SM00831	PTHR42861;PTHR42861:SF26	PF00702;PF00690;PF00122	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.40.1110.10;G3DSA:2.60.120.1500;G3DSA:1.20.1110.10	TMhelix	NA	NA	NA	PR00119;PR00120	NA	PS00154	NA	TIGR01494;TIGR01647	NA	NA	NA	SFLDS00003;SFLDF00027
maker-NIGD01000003.1-augustus-gene-49.20-mRNA-1	mobidb-lite	IPR001841	GO:0005515;GO:0046872	SSF57850;SSF50044	NA	NA	SM00184;SM00326	PTHR16079	PF00097	NA	G3DSA:2.30.30.40;G3DSA:3.30.40.10	NA	NA	Coil	NA	NA	PS50089;PS50002	PS00518	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-27.41-mRNA-1	mobidb-lite	IPR036743	GO:0005885;GO:0015629;GO:0030833;GO:0034314	SSF69103	NA	NA	NA	PTHR12644;PTHR12644:SF0	PF04699	NA	G3DSA:1.25.40.190	NA	NA	NA	PIRSF039096	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000011.1-processed-gene-24.12-mRNA-1	mobidb-lite	NA	NA	SSF81995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-47.18-mRNA-1	NA	IPR016092	GO:0005198;GO:0051536;GO:0097428	SSF89360	Reactome: R-HSA-1362409	NA	NA	PTHR10072:SF41;PTHR10072	PF01521	NA	G3DSA:2.60.300.12	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00049	NA	SignalP-TM	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-50.7-mRNA-1	mobidb-lite	IPR020613	GO:0016747;GO:0003824	SSF53901	NA	cd00829	NA	PTHR18919;PTHR18919:SF89	PF00108;PF02803	NA	G3DSA:3.40.47.10	NA	NA	NA	NA	NA	NA	PS00737	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000002.1-processed-gene-1.33-mRNA-1	NA	IPR008253	GO:0016020	NA	NA	NA	NA	PTHR28165:SF1;PTHR28165	PF01284	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-8.25-mRNA-1	NA	IPR009580	GO:0005789;GO:0006506	NA	Reactome: R-HSA-162710	NA	NA	PTHR43157;PTHR43157:SF12	PF06699	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-3.1-mRNA-1	mobidb-lite	IPR003165	GO:0003676;GO:0005515	SSF101690;SSF53098	Reactome: R-HSA-1912408|Reactome: R-HSA-203927|Reactome: R-HSA-4086398|Reactome: R-HSA-426486|Reactome: R-HSA-426496|Reactome: R-HSA-5628897|Reactome: R-HSA-5687128|Reactome: R-HSA-8934593|Reactome: R-HSA-8943723|Reactome: R-HSA-8948700|Reactome: R-HSA-9018519	cd02846;cd04657	SM00950;SM01163	PTHR22891;PTHR22891:SF0	PF16488;PF16486;PF02171;PF08699;PF02170	NA	G3DSA:2.170.260.10;G3DSA:3.30.420.10;G3DSA:3.40.50.2300	NA	NA	NA	NA	NA	PS50821;PS50822	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000003.1-augustus-gene-27.15-mRNA-1	NA	IPR029021	GO:0004725;GO:0006470;GO:0016311;GO:0016791	SSF52799	NA	cd00047	SM00194;SM00404	PTHR19134:SF449;PTHR19134	PF00102	NA	G3DSA:3.90.190.10	NA	NA	NA	NA	PR00700	PS50055;PS50056	PS00383	NA	NA	NA	NA	NA	NA
maker-NIGD01000003.1-augustus-gene-43.32-mRNA-1	NA	IPR035647	GO:0003924;GO:0005525	SSF54980;SSF50447;SSF52540	NA	cd03713	NA	PTHR43261;PTHR43261:SF1	PF14492;PF00679;PF00009	NA	G3DSA:3.40.50.300;G3DSA:3.30.70.870;G3DSA:2.40.30.10	NA	NA	NA	NA	PR00315	PS51722	PS00301	NA	TIGR00231	NA	NA	NA	NA
maker-NIGD01000003.1-augustus-gene-61.28-mRNA-1	mobidb-lite	IPR025696	GO:0003676;GO:0005524;GO:0003723;GO:0003724;GO:0006401	SSF52540	NA	cd00046;cd13154;cd00079	SM01142;SM00487;SM00490	PTHR12131:SF7;PTHR12131	PF13234;PF00270;PF08148;PF00271	NA	G3DSA:2.40.30.300;G3DSA:1.20.1500.20;G3DSA:3.40.50.300;G3DSA:1.10.3380.30	NA	NA	Coil	PIRSF005198	NA	PS51194;PS51192	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000010.1-processed-gene-22.8-mRNA-1	mobidb-lite	IPR030260	GO:0005524;GO:0042626;GO:0055085;GO:0016887;GO:0016021	SSF90123;SSF52540	Reactome: R-HSA-1369007	cd03249	SM00382	PTHR24221:SF392;PTHR24221	PF00005;PF00664	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	TMhelix	SignalP-noTM	NA	PIRSF002773	NA	PS50929;PS50893	PS00211	NA	NA	NA	SignalP-TM	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-23.23-mRNA-1	mobidb-lite	IPR029058	GO:0006629;GO:0008374	SSF53474	NA	NA	NA	PTHR11440;PTHR11440:SF4	PF02450	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.1820	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-5.10-mRNA-1	mobidb-lite	IPR036866	GO:0008033	SSF56281	Reactome: R-HSA-6784531|Reactome: R-HSA-6785470|Reactome: R-HSA-8868766	cd07718	NA	PTHR12553:SF49;PTHR12553	PF12706;PF13691	NA	G3DSA:3.60.15.10	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-75.32-mRNA-1	mobidb-lite	IPR006593	NA	SSF49344	NA	cd08760;cd09630	SM00665	PTHR23130:SF115;PTHR23130	PF03188;PF16010	SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	G3DSA:2.60.40.1210;G3DSA:1.20.120.1770	TMhelix	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
maker-NIGD01000004.1-augustus-gene-52.26-mRNA-1	NA	IPR018815	NA	NA	NA	NA	NA	PTHR28029	PF10311	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-29.22-mRNA-1	mobidb-lite	IPR019601	GO:0005506;GO:0016706;GO:0031418;GO:0055114;GO:0016705;GO:0016491	NA	NA	NA	SM00702	PTHR12117	PF10637;PF13661	NA	G3DSA:2.60.120.620	NA	NA	NA	NA	NA	PS51471	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000005.1-augustus-gene-21.7-mRNA-1	NA	IPR037225	GO:0051539;GO:0010181;GO:0016651;GO:0051287;GO:0055114;GO:0008137	SSF142984;SSF142019;SSF140490	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	SM00928	PTHR11780:SF10;PTHR11780	PF10589;PF10531;PF01512	NA	G3DSA:3.40.50.11540;G3DSA:3.10.20.600;G3DSA:1.20.1440.230	NA	NA	NA	NA	NA	NA	PS00644;PS00645	NA	TIGR01959	NA	SignalP-TM	NA	NA
maker-NIGD01000003.1-augustus-gene-16.3-mRNA-1	NA	NA	NA	NA	NA	NA	NA	PTHR21535;PTHR21535:SF66	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.58.340	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000003.1-augustus-gene-47.8-mRNA-1	mobidb-lite	IPR002528	GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085	NA	Reactome: R-HSA-425366	cd13132	NA	PTHR11206;PTHR11206:SF197	PF01554	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	TIGR00797	NA	NA	NA	NA
maker-NIGD01000011.1-augustus-gene-23.6-mRNA-1	mobidb-lite	IPR020846	GO:0016021;GO:0055085	SSF103473	NA	cd06174	NA	PTHR23501;PTHR23501:SF60	PF07690	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.20.1250.20	TMhelix	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-54.0-mRNA-1	mobidb-lite	IPR027417	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	SSF52540;SSF90123	NA	NA	SM00382	PTHR24221:SF288;PTHR24221	PF00005;PF00664	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	TMhelix	NA	NA	NA	NA	PS50893;PS50929	PS00211	NA	NA	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-16.30-mRNA-1	mobidb-lite	IPR020846	GO:0016021;GO:0055085	SSF103473	NA	cd06174	NA	PTHR23502;PTHR23502:SF23	PF07690	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	TMhelix	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000007.1-augustus-gene-8.20-mRNA-1	mobidb-lite	IPR009637	GO:0016021	NA	NA	NA	NA	PTHR21229;PTHR21229:SF1	PF06814	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	TMhelix	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
maker-NIGD01000011.1-augustus-gene-13.2-mRNA-1	NA	IPR011992	NA	SSF47473	NA	NA	NA	PTHR23050;PTHR23050:SF218	NA	NA	G3DSA:1.10.238.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000003.1-augustus-gene-14.25-mRNA-1	NA	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	SSF103473	Reactome: R-HSA-189200	cd06174	NA	PTHR23500:SF42;PTHR23500	PF00083	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.20.1250.20	TMhelix	NA	NA	NA	NA	PS50850	PS00216	NA	TIGR00879	NA	NA	NA	NA
