Gene	Phobius	PANTHER	interpro	GO	ProSiteProfiles	TMHMM	SUPERFAMILY	SMART	Gene3D	Pfam	PATHWAY	MobiDBLite	Coils	ProSitePatterns	PRINTS	TIGRFAM	CDD	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	Hamap	SFLD	ProDom
RFU78565.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR23500;PTHR23500:SF117	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	PS50850	TMhelix	SSF103473	NA	G3DSA:1.20.1250.20	PF00083	Reactome: R-HSA-189200	NA	NA	PS00217	PR00171	TIGR00879	cd06174	NA	NA	NA	NA	NA	NA	NA
RFU74737.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78953.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23500;PTHR23500:SF162	IPR020846	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	PS50850	TMhelix	SSF103473	NA	G3DSA:1.20.1250.20	PF00083	Reactome: R-HSA-189200	NA	NA	PS00217	PR00171	TIGR00879	cd06174	NA	NA	NA	NA	NA	NA	NA
RFU75790.1	TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	PTHR12064:SF29;PTHR12064	IPR000644	NA	PS51371;PS51846	TMhelix	SSF54631	NA	G3DSA:3.10.580.10	PF01595	NA	mobidb-lite	NA	NA	NA	NA	cd04590	NA	SignalP-TM	NA	NA	NA	NA	NA
RFU75664.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	PTHR36182:SF1;PTHR36182	NA	NA	NA	NA	NA	NA	G3DSA:2.70.50.70	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
RFU72850.1	NA	PTHR24361;PTHR24361:SF351	IPR011009	GO:0004672;GO:0005524;GO:0006468	PS50011	NA	SSF56112	SM00220	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PF00069	NA	mobidb-lite	NA	PS00107;PS00108	NA	NA	cd06620	NA	NA	NA	NA	NA	NA	NA
RFU78010.1	NA	PTHR42973:SF3;PTHR42973	IPR006093	GO:0016491;GO:0055114;GO:0050660;GO:0071949	PS51387	NA	SSF56176	NA	G3DSA:3.30.465.40	PF01565	NA	NA	NA	PS00862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80010.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR31064:SF10;PTHR31064	IPR004773	GO:0015079;GO:0016021;GO:0071805;GO:0006812;GO:0008324;GO:0055085;GO:0005887;GO:0030007	NA	TMhelix	NA	NA	NA	PF02386	NA	mobidb-lite	Coil	NA	NA	TIGR00934	NA	PIRSF002450	NA	NA	NA	NA	NA	NA
RFU72706.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
RFU75957.1	NA	PTHR24356:SF184;PTHR24356	IPR000961	GO:0004674;GO:0005524;GO:0006468;GO:0004672	PS51285;PS50011	NA	SSF56112	SM00220;SM00133	G3DSA:3.30.200.20;G3DSA:1.10.510.10	PF00069	NA	mobidb-lite	NA	PS00108;PS00107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79777.1	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	PTHR31468;PTHR31468:SF5	IPR004886	NA	NA	NA	SSF51445	NA	G3DSA:3.20.20.80	PF03198	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
RFU76796.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR43702:SF5;PTHR43702	IPR036259	GO:0016021;GO:0055085	NA	TMhelix	SSF103473	NA	G3DSA:1.20.1250.20	PF07690	NA	NA	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA
RFU79980.1	NA	PTHR44423	IPR000417	GO:0004417;GO:0009228;GO:0004789;GO:0003824	NA	NA	SSF53613;SSF51391	NA	G3DSA:3.20.20.70;G3DSA:3.40.1190.20	PF02581;PF02110	KEGG: 00730+2.7.1.50|MetaCyc: PWY-6897|MetaCyc: PWY-7356|MetaCyc: PWY-7357	NA	NA	NA	PR01099	TIGR00693;TIGR00694	cd01170;cd00564	NA	NA	NA	NA	MF_00097;MF_00228	NA	NA
RFU72742.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23511;PTHR23511:SF4	IPR036259	GO:0016021;GO:0055085	PS50850	TMhelix	SSF103473	NA	G3DSA:1.20.1250.20	PF07690	NA	mobidb-lite	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA
RFU82188.1	NA	PTHR43591;PTHR43591:SF26	IPR029063	NA	NA	NA	SSF53335	NA	G3DSA:3.40.50.150	PF13489	NA	mobidb-lite	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
RFU80774.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR43263	IPR000270	GO:0005515	PS51371;PS51745	TMhelix	SSF54631;SSF54277	SM00666;SM00116	G3DSA:3.10.580.10	PF00571;PF00564	NA	mobidb-lite	Coil	NA	NA	NA	cd04587;cd06409	NA	NA	NA	NA	NA	NA	NA
RFU78948.1	NA	PTHR16684	IPR028386	GO:0000776;GO:0019237;GO:0051382	NA	NA	SSF51182	NA	G3DSA:2.60.120.10	PF11699;PF15624	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78500.1	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	PTHR23023:SF110;PTHR23023	IPR020946	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	NA	SSF51905	NA	G3DSA:3.50.50.60	PF00743	NA	NA	NA	NA	PR00370	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73508.1	NA	PTHR22904:SF338;PTHR22904	IPR019734	GO:0005515	PS50005;PS50293	NA	SSF48452	SM00028	G3DSA:1.20.5.420;G3DSA:1.10.260.100;G3DSA:1.25.40.10	PF16546;PF13432;PF13181	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80308.1	NA	PTHR12609:SF0;PTHR12609	IPR034085	NA	NA	NA	SSF48371	SM01349	G3DSA:1.25.10.10	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75930.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	PTHR42721:SF3;PTHR42721	IPR036881	GO:0004553;GO:0005975	NA	NA	SSF52279;SSF51445	SM01217	G3DSA:3.40.50.1700;G3DSA:2.60.40.10;G3DSA:3.20.20.300	PF01915;PF00933;PF01822	NA	NA	NA	NA	PR00133	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA	NA	NA
RFU78846.1	NA	PTHR12936	IPR004939	GO:0005680;GO:0031145	PS51284	NA	SSF49785	SM01337	G3DSA:2.60.120.260	PF03256	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	mobidb-lite	NA	NA	NA	NA	cd08366	NA	NA	NA	NA	NA	NA	NA
RFU76338.1	NA	PTHR42973	IPR016166	GO:0071949;GO:0050660;GO:0016491;GO:0055114	PS51387	NA	SSF56176	NA	G3DSA:3.30.43.10;G3DSA:3.40.462.20;G3DSA:3.30.465.10	PF01565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74654.1	NA	PTHR44051:SF5;PTHR44051	IPR040079	GO:0005515	PS50405;PS50404	NA	SSF52833;SSF47616	NA	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	PF13417;PF00043	NA	NA	NA	NA	NA	NA	cd03048	NA	NA	NA	NA	NA	SFLDS00019;SFLDG00358	NA
RFU75165.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR12714;PTHR12714:SF9	IPR007269	GO:0004671;GO:0006481;GO:0016021;GO:0005783	PS51564	TMhelix	NA	NA	G3DSA:1.20.120.1630	PF04140	Reactome: R-HSA-163841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81732.1	NA	NA	IPR000953	NA	PS50013	NA	SSF54160	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76309.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR32440:SF0;PTHR32440	IPR004843	GO:0016787	NA	TMhelix	SSF56300	NA	G3DSA:3.60.21.10	PF00149	NA	NA	NA	NA	NA	NA	cd07383	NA	NA	NA	NA	NA	NA	NA
RFU75605.1	NA	PTHR10073:SF41;PTHR10073	IPR014721	GO:0005524;GO:0006298;GO:0030983;GO:0016887;GO:0032300	NA	NA	SSF54211;SSF55874	SM01340	G3DSA:3.30.230.10;G3DSA:3.30.565.10	PF13589;PF01119	NA	mobidb-lite	NA	PS00058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76444.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR32385:SF15;PTHR32385	IPR029044	NA	NA	TMhelix	SSF53448	NA	G3DSA:3.90.550.20	PF04488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75369.1	NA	PTHR11668;PTHR11668:SF261	IPR006186	GO:0016787	NA	NA	SSF56300	SM00156	G3DSA:3.60.21.10	PF00149	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	mobidb-lite	Coil	PS00125	PR00114	NA	cd07416	NA	NA	NA	NA	NA	NA	NA
RFU76712.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR24223;PTHR24223:SF332	IPR003439	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085;GO:0008559;GO:0042908	PS50893;PS50929	TMhelix	SSF90123;SSF52540	SM00382	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	PF00005;PF00664	NA	mobidb-lite	NA	PS00211	NA	NA	cd03244;cd03250	NA	NA	NA	NA	NA	NA	NA
RFU74304.1	NA	PTHR22767;PTHR22767:SF2	IPR019734	GO:0005515	PS50005;PS50293	NA	SSF48452	SM00028	G3DSA:1.25.40.1040;G3DSA:1.25.40.1010	PF12569;PF13181	NA	mobidb-lite	Coil	NA	NA	NA	NA	PIRSF000422	NA	NA	NA	NA	NA	NA
RFU79159.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR41807	IPR038872	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78676.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR31201;PTHR31201:SF1	IPR021261	NA	NA	TMhelix	NA	NA	NA	PF10998	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80340.1	NA	PTHR11711;PTHR11711:SF41	IPR006689	GO:0005525	PS51417	NA	SSF52540	SM00178;SM00177	G3DSA:3.40.50.300	PF00025	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73665.1	NA	PTHR11846	IPR001114	GO:0004019;GO:0005525;GO:0006164	NA	NA	SSF52540	SM00788	G3DSA:3.40.440.10;G3DSA:3.90.170.10	PF00709	KEGG: 00230+6.3.4.4|KEGG: 00250+6.3.4.4|MetaCyc: PWY-7219|Reactome: R-HSA-73817	mobidb-lite	NA	NA	NA	NA	cd03108	NA	NA	NA	NA	MF_00011	NA	NA
RFU81642.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR23500;PTHR23500:SF183	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PS50850	TMhelix	SSF103473	NA	G3DSA:1.20.1250.20	PF00083	Reactome: R-HSA-189200	NA	NA	NA	NA	TIGR00879	cd06174	NA	NA	NA	NA	NA	NA	NA
RFU80541.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR23500:SF103;PTHR23500	IPR036291	GO:0016491;GO:0055114;GO:0016020;GO:0022857;GO:0055085;GO:0016021	PS50850	TMhelix	SSF51735;SSF55347;SSF103473	NA	G3DSA:3.40.50.720;G3DSA:1.20.1250.20;G3DSA:3.30.360.10	PF02894;PF01408;PF00083	Reactome: R-HSA-189200	NA	NA	NA	NA	TIGR00879	cd06174	NA	NA	NA	NA	NA	NA	NA
RFU76005.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR11785;PTHR11785:SF203	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	TMhelix	NA	NA	G3DSA:1.20.1740.10	PF13520	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU82124.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR23501:SF58;PTHR23501	IPR020846	GO:0016021;GO:0055085	NA	TMhelix	SSF103473	NA	G3DSA:1.20.1250.20	PF07690	NA	NA	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA
RFU72185.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74278.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR22914:SF10;PTHR22914	IPR029044	GO:0016758	NA	TMhelix	SSF53448	NA	G3DSA:3.90.550.10	PF03142	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	mobidb-lite	Coil	NA	NA	NA	cd04190	NA	NA	NA	NA	NA	NA	NA
RFU73793.1	NA	PTHR42801:SF4;PTHR42801	IPR000866	GO:0016209;GO:0016491;GO:0055114;GO:0045454	PS51352	NA	SSF52833	NA	G3DSA:3.40.30.10	PF00578	KEGG: 00480+1.11.1.15|Reactome: R-HSA-3299685	mobidb-lite	Coil	NA	NA	NA	cd03017	NA	NA	NA	NA	NA	NA	NA
RFU73427.1	NA	PTHR12313:SF0;PTHR12313	IPR013083	NA	PS50089	NA	SSF57850	SM00184	G3DSA:3.30.40.10	PF13920	NA	mobidb-lite	NA	PS00518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78145.1	NA	PTHR42951:SF1;PTHR42951	IPR036866	NA	NA	NA	SSF56281	SM00849	G3DSA:3.60.15.10	PF00753	NA	NA	NA	NA	NA	NA	cd07739	NA	NA	NA	NA	NA	NA	NA
RFU72598.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR43791;PTHR43791:SF40	IPR036259	GO:0016021;GO:0055085	PS50850	TMhelix	SSF103473	NA	G3DSA:1.20.1250.20	PF07690	NA	NA	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA
RFU76546.1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	PTHR10134;PTHR10134:SF13	IPR017941	GO:0016491;GO:0051537;GO:0055114;GO:0016020;GO:0016679;GO:0008121	PS51296	NA	SSF81502;SSF50022	NA	G3DSA:2.102.10.10;G3DSA:1.20.5.270	PF00355;PF02921	KEGG: 00190+1.10.2.2	NA	NA	NA	PR00162	TIGR01416	cd03470	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
RFU72868.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR13773;PTHR13773:SF8	IPR000374	GO:0016020;GO:0016772	NA	TMhelix	NA	NA	NA	PF01148	KEGG: 00564+2.7.7.41|KEGG: 04070+2.7.7.41|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-7817	mobidb-lite	NA	PS01315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73056.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	PTHR21229:SF1;PTHR21229	IPR009637	GO:0016021	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA	NA	NA
RFU80242.1	NA	PTHR19961:SF18;PTHR19961	IPR001715	GO:0005515;GO:0051015;GO:0051017	PS50021	NA	SSF47473;SSF47576	SM00033	G3DSA:1.10.238.10;G3DSA:1.10.418.10	PF00307	NA	mobidb-lite	Coil	PS00018;PS00020	NA	NA	cd00014	NA	NA	NA	NA	NA	NA	NA
RFU76975.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	PTHR11405;PTHR11405:SF48	IPR013815	GO:0005524;GO:0006807;GO:0046872	PS50975	NA	SSF56059;SSF48108;SSF52440;SSF52335	SM01096	G3DSA:3.40.50.20;G3DSA:3.30.1490.20;G3DSA:3.40.50.1380;G3DSA:3.30.470.20;G3DSA:1.10.1030.10	PF02786;PF02787	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	NA	NA	PS00866;PS00867	PR00098	TIGR01369	cd01423	NA	NA	NA	NA	NA	NA	NA
RFU77021.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR19444;PTHR19444:SF31	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	SM00906	NA	PF04082	NA	mobidb-lite	Coil	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA
RFU73806.1	NA	PTHR24281	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	SSF48264	NA	G3DSA:1.10.630.10	PF00067	NA	NA	NA	NA	PR00385;PR00463	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79456.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR33048	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81576.1	NA	PTHR11076;PTHR11076:SF11	IPR036775	GO:0003684;GO:0006281;GO:0003676	PS50173;PS50157	NA	SSF100879;SSF56672	NA	G3DSA:3.30.1490.100;G3DSA:3.30.70.270;G3DSA:1.10.150.20;G3DSA:2.30.40.30	PF18439;PF00817;PF11799	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7|Reactome: R-HSA-5656169	mobidb-lite	NA	PS00028	NA	NA	NA	PIRSF036603	NA	NA	NA	NA	NA	NA
RFU75027.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR11559:SF162;PTHR11559	IPR029058	NA	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	PF00135	NA	NA	NA	PS00122	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
RFU74300.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	PTHR43928;PTHR43928:SF1	IPR002110	GO:0005515	PS50088;PS50297	TMhelix	SSF48403	SM00248	G3DSA:1.25.40.20	PF00023;PF12796;PF13606	NA	NA	Coil	NA	PR01415	NA	cd00204	NA	SignalP-TM	NA	SignalP-TM	NA	NA	NA
RFU78206.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR12570;PTHR12570:SF2	IPR008521	GO:0015095;GO:0015693;GO:0016021	NA	TMhelix	SSF103481	NA	NA	PF05653	Reactome: R-HSA-5223345	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74139.1	NA	PTHR24012:SF491;PTHR24012	IPR002004	GO:0003723;GO:0003676	PS51309;PS50102	NA	SSF63570;SSF54928	SM00360;SM00517;SM00361	G3DSA:3.30.70.330;G3DSA:1.10.1900.10	PF00076;PF00658	NA	mobidb-lite	Coil	NA	NA	TIGR01628	cd12378;cd12379;cd12380;cd12381	NA	NA	NA	NA	NA	NA	NA
RFU78085.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR24305:SF92;PTHR24305	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	SSF48264	NA	G3DSA:1.10.630.10	PF00067	NA	NA	NA	PS00086	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA	NA	NA
