Gene	MobiDBLite	PANTHER	Gene3D	interpro	Pfam	GO	SMART	SUPERFAMILY	CDD	ProSiteProfiles	Coils	PATHWAY	Phobius	PRINTS	TMHMM	PIRSF	Hamap	ProSitePatterns	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	TIGRFAM	ProDom	SFLD
maker-NIGC01000004.1-augustus-gene-34.3-mRNA-1	mobidb-lite	PTHR24356;PTHR24356:SF185	G3DSA:1.10.510.10;G3DSA:3.30.200.20	IPR017441	PF00069	GO:0005524;GO:0004672;GO:0006468;GO:0004674	SM00133;SM00220	SSF56112	cd05600	PS50011;PS51285	NA	NA	NA	NA	NA	NA	NA	PS00107;PS00108	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-23.31-mRNA-1	mobidb-lite	PTHR14149;PTHR14149:SF14	G3DSA:1.10.418.10;G3DSA:1.10.506.10	IPR000048	PF00307;PF03836;PF00612;PF00616	GO:0005515;GO:0007165;GO:0043087	SM00033;SM00323;SM00015	SSF48350;SSF47576;SSF143885	cd05127;cd00014	PS50096;PS50021;PS50018	Coil	Reactome: R-HSA-5626467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-2.2-mRNA-1	mobidb-lite	PTHR12145;PTHR12145:SF33	G3DSA:1.50.10.20	IPR005198	PF03663	GO:0003824	NA	SSF48208	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-26.47-mRNA-1	mobidb-lite	PTHR13317	NA	IPR008010	PF05346	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-25.1-mRNA-1	NA	PTHR13789:SF205;PTHR13789	G3DSA:3.50.50.60	IPR036188	PF01494	GO:0004502;GO:0006569;GO:0019805;GO:0071949	NA	SSF51905	NA	NA	NA	KEGG: 00380+1.14.13.9|MetaCyc: PWY-5651|MetaCyc: PWY-6309|MetaCyc: PWY-7717|MetaCyc: PWY-7765|Reactome: R-HSA-71240	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PR00420	TMhelix	NA	MF_01971	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000011.1-processed-gene-14.31-mRNA-1	NA	PTHR28259;PTHR28259:SF1	NA	IPR003691	PF02537	GO:0016021	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-30.11-mRNA-1	NA	NA	G3DSA:3.30.40.10	IPR003613	PF04564	GO:0004842;GO:0016567	SM00504	SSF57850	NA	NA	NA	MetaCyc: PWY-7511	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-5.5-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000005.1-processed-gene-34.22-mRNA-1	mobidb-lite	PTHR37271	NA	IPR013889	PF08580	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-10.5-mRNA-1	NA	PTHR44998	G3DSA:3.40.50.11380;G3DSA:1.25.40.10	IPR019734	PF13844;PF13181;PF13374	GO:0005515	SM00028	SSF48452	NA	PS50005;PS50293	Coil	KEGG: 00514+2.4.1.255|MetaCyc: PWY-7437|Reactome: R-HSA-3214847|Reactome: R-HSA-5689603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-21.27-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-14.15-mRNA-1	mobidb-lite	PTHR31685;PTHR31685:SF2	NA	IPR018825	PF10348;PF10355	NA	NA	NA	cd08760	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	NA	SignalP-TM	NA	SignalP-TM	NA	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-10.7-mRNA-1	mobidb-lite	PTHR11559:SF356;PTHR11559	G3DSA:3.40.50.1820	IPR002018	PF00135	NA	NA	SSF53474	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-13.24-mRNA-1	mobidb-lite	PTHR15398:SF4;PTHR15398	NA	IPR036427	NA	GO:0005515	NA	SSF47370	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-5.40-mRNA-1	NA	PTHR10209;PTHR10209:SF198	G3DSA:2.60.120.330	IPR027443	PF03171;PF14226	GO:0016491;GO:0055114	NA	SSF51197	NA	PS51471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-26.12-mRNA-1	mobidb-lite	PTHR11206:SF197;PTHR11206	NA	IPR002528	PF01554	GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085	NA	NA	cd13132	NA	NA	Reactome: R-HSA-425366	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	TIGR00797	NA	NA
augustus_masked-NIGC01000006.1-processed-gene-2.40-mRNA-1	mobidb-lite	PTHR13237:SF8;PTHR13237	NA	IPR018972	PF09368;PF04000		NA	NA	NA	NA	Coil	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-16.13-mRNA-1	mobidb-lite	PTHR13803:SF13;PTHR13803	G3DSA:2.30.30.380;G3DSA:1.20.120.730;G3DSA:3.40.50.410;G3DSA:2.60.40.1670;G3DSA:3.40.20.10	IPR006900	PF04815;PF04810;PF04811;PF08033;PF00626	GO:0006886;GO:0006888;GO:0030127;GO:0008270	NA	SSF82919;SSF81995;SSF81811;SSF53300;SSF82754	NA	NA	Coil	Reactome: R-HSA-1655829|Reactome: R-HSA-204005|Reactome: R-HSA-2132295|Reactome: R-HSA-5694530|Reactome: R-HSA-983170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000006.1-augustus-gene-19.22-mRNA-1	mobidb-lite	PTHR22741:SF10;PTHR22741	G3DSA:1.20.58.1540	IPR022782	PF03915	GO:0005519;GO:0051125	SM00806	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-26.46-mRNA-1	NA	PTHR17630:SF44;PTHR17630	G3DSA:3.40.50.1820	IPR029058	PF01738	GO:0016787	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-16.6-mRNA-1	mobidb-lite	PTHR43604;PTHR43604:SF4	G3DSA:2.40.110.10;G3DSA:3.10.120.10;G3DSA:1.10.540.10;G3DSA:1.20.140.10	IPR013786	PF02771;PF02770;PF00173;PF00441	GO:0016627;GO:0050660;GO:0055114	SM01117	SSF55856;SSF56645;SSF47203	NA	PS50255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000007.1-processed-gene-18.24-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000007.1-augustus-gene-1.10-mRNA-1	mobidb-lite	PTHR40018	NA	IPR037504	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-21.6-mRNA-1	NA	PTHR11216;PTHR11216:SF74	G3DSA:1.10.238.10	IPR011992	PF12763;PF12761	GO:0005509;GO:0005515;GO:0006897;GO:0007015	SM00027;SM00054	SSF47473	cd00052	PS50222;PS50031	Coil	NA	NA	NA	NA	NA	NA	PS00018	NA	NA	NA	NA	NA	NA
maker-NIGC01000010.1-augustus-gene-7.4-mRNA-1	mobidb-lite	PTHR23500;PTHR23500:SF69	G3DSA:1.20.1250.20	IPR003663	PF00083	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	NA	SSF103473	cd06174	PS50850	NA	Reactome: R-HSA-189200	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	PS00217	NA	NA	NA	TIGR00879	NA	NA
maker-NIGC01000010.1-augustus-gene-1.17-mRNA-1	NA	PTHR13789	G3DSA:3.50.50.60	IPR036188	PF01494	GO:0071949	NA	SSF51905	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000011.1-processed-gene-15.23-mRNA-1	mobidb-lite	PTHR36167	NA	IPR013087	NA	GO:0003676;GO:0006355	NA	NA	NA	PS50157	Coil	NA	NA	NA	NA	NA	NA	PS00028	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-15.9-mRNA-1	mobidb-lite	PTHR43791;PTHR43791:SF59	G3DSA:1.20.1250.20	IPR036259	PF07690	GO:0016021;GO:0055085	NA	SSF103473	cd06174	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-23.25-mRNA-1	mobidb-lite	PTHR12056	G3DSA:2.20.28.30	IPR029040	PF03604	GO:0003677;GO:0003899;GO:0006351;GO:0008270	SM00659	SSF63393	NA	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6807505|Reactome: R-HSA-75955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD012151	NA
augustus_masked-NIGC01000012.1-processed-gene-3.12-mRNA-1	mobidb-lite	PTHR21659;PTHR21659:SF57	NA	IPR000612	PF01679	GO:0016021	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000003.1-processed-gene-5.1-mRNA-1	mobidb-lite	PTHR31240	NA	IPR002882	PF01933	NA	NA	SSF142338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-24.10-mRNA-1	NA	PTHR37842	G3DSA:3.30.379.10;G3DSA:1.20.58.2150;G3DSA:3.20.20.520;G3DSA:2.60.120.1620	IPR029018	PF17829;PF15979	NA	NA	SSF55545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-18.38-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-30.14-mRNA-1	NA	PTHR11661:SF1;PTHR11661	G3DSA:1.10.10.250;G3DSA:3.30.1550.10	IPR006519	PF03946;PF00298	GO:0003735;GO:0005840;GO:0006412	SM00649	SSF46906;SSF54747	cd00349	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	MF_00736	NA	NA	NA	NA	TIGR01632	PD001367	NA
maker-NIGC01000010.1-augustus-gene-3.4-mRNA-1	mobidb-lite	PTHR15744	G3DSA:3.30.1370.10	IPR004087	PF00013;PF06159	GO:0003676;GO:0003723;GO:0005634	SM00322	SSF54791	NA	PS50084	Coil	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-2.46-mRNA-1	NA	PTHR11011	G3DSA:3.40.50.720	IPR036291	PF07993	GO:0080019	NA	SSF51735	NA	NA	NA	KEGG: 00073+1.2.1.84|MetaCyc: PWY-5884|MetaCyc: PWY-6733|MetaCyc: PWY-7656|MetaCyc: PWY-7782|Reactome: R-HSA-8848584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-7.32-mRNA-1	mobidb-lite	PTHR11875:SF49;PTHR11875	G3DSA:3.30.1120.90	IPR002164	PF00956	GO:0005634;GO:0006334	NA	SSF143113	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
