Gene	interpro	Pfam	GO	PIRSF	Phobius	Gene3D	CDD	TMHMM	PANTHER	SUPERFAMILY	MobiDBLite	SignalP_EUK	ProSitePatterns	Coils	ProSiteProfiles	SMART	PATHWAY	TIGRFAM	SignalP_GRAM_POSITIVE	PRINTS	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
augustus_masked-NODE_61_length_75511_cov_21.330163-processed-gene-0.10-mRNA-1	IPR003020	PF00955	GO:0005452;GO:0006820;GO:0016020;GO:0016021	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:1.10.287.570	NA	TMhelix	PTHR11453;PTHR11453:SF82	NA	mobidb-lite	NA	NA	Coil	NA	NA	Reactome: R-HSA-425381	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_30_length_374380_cov_23.389282-processed-gene-0.9-mRNA-1	IPR002293	PF00324	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	PIRSF006060	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.20.1740.10	NA	TMhelix	PTHR43341:SF31;PTHR43341	NA	mobidb-lite	NA	PS00218	NA	NA	NA	NA	TIGR00913	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_563110_cov_24.829048-augustus-gene-1.4-mRNA-1	IPR036409	PF00596	GO:0005737;GO:0019509;GO:0046872	NA	NA	G3DSA:3.40.225.10	NA	NA	PTHR10640	SSF53639	NA	NA	NA	NA	NA	SM01007	KEGG: 00270+4.2.1.109|MetaCyc: PWY-4361|Reactome: R-HSA-1237112	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1806559_cov_23.166471-augustus-gene-5.9-mRNA-1	IPR000504	PF00076;PF00658	GO:0003676;GO:0003723	NA	NA	G3DSA:3.30.70.330;G3DSA:1.10.1900.10	cd12378;cd12381;cd12379;cd12380	NA	PTHR24012;PTHR24012:SF491	SSF54928;SSF63570	mobidb-lite	NA	NA	Coil	PS50102;PS51309	SM00517;SM00361;SM00360	NA	TIGR01628	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_483063_cov_24.362872-augustus-gene-2.36-mRNA-1	IPR003613	PF00400;PF08606	GO:0004842;GO:0016567;GO:0005515;GO:0000398;GO:0000974;GO:0006281;GO:0061630	NA	NA	G3DSA:2.130.10.10;G3DSA:3.30.40.10	NA	NA	PTHR43995	SSF50978	NA	NA	NA	Coil	PS50082;PS50294	SM00504;SM00320	MetaCyc: PWY-7511	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_926964_cov_22.211756-augustus-gene-6.1-mRNA-1	IPR012571	PF08118	GO:0000001;GO:0005743;GO:0007005	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR31068;PTHR31068:SF0	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_1133640_cov_24.555234-augustus-gene-10.50-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_791590_cov_16.909850-processed-gene-1.3-mRNA-1	IPR029033	PF10497;PF02373	NA	NA	NA	G3DSA:2.60.120.650	NA	NA	PTHR32031;PTHR32031:SF115	SSF51197;SSF53254	mobidb-lite	NA	NA	Coil	PS51184	SM00558	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_638213_cov_25.283819-augustus-gene-4.7-mRNA-1	IPR029055	PF13230	NA	NA	NA	G3DSA:3.60.20.10	cd01908	NA	PTHR43187	SSF56235	mobidb-lite	NA	NA	NA	PS51278	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_15_length_596300_cov_26.438574-augustus-gene-4.26-mRNA-1	IPR035979	PF00076;PF12353	GO:0003676;GO:0003743;GO:0005737;GO:0005852	PIRSF037949	NA	G3DSA:3.30.70.330	cd12933;cd12408	NA	PTHR10352;PTHR10352:SF0	SSF54928	mobidb-lite	NA	NA	NA	PS50102	SM00360	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	MF_03006	NA	NA	NA
augustus_masked-NODE_12_length_714536_cov_25.462417-processed-gene-6.27-mRNA-1	IPR001623	PF00226	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.10.287.110	cd06257	NA	PTHR44145	SSF46565	NA	NA	PS00636	NA	PS50076	SM00271	NA	NA	NA	PR00625	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-6.27-mRNA-1	IPR013083	NA	GO:0008270	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.30.40.10	NA	NA	PTHR23012:SF61;PTHR23012	SSF57850	mobidb-lite	NA	NA	NA	PS51292	NA	MetaCyc: PWY-7511	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_537329_cov_23.536180-augustus-gene-0.15-mRNA-1	IPR000550	PF01288;PF00809	GO:0003848;GO:0009396;GO:0044237;GO:0004156;GO:0042558	NA	NA	G3DSA:3.30.70.560;G3DSA:3.20.20.20	cd00739;cd00483	NA	PTHR20941:SF1;PTHR20941	SSF51717;SSF55083	NA	NA	PS00794;PS00792;PS00793	NA	PS50972	NA	KEGG: 00790+2.7.6.3|MetaCyc: PWY-6147|MetaCyc: PWY-6148|MetaCyc: PWY-6797|MetaCyc: PWY-7539|MetaCyc: PWY-7852|MetaCyc: PWY-7853	TIGR01498;TIGR01496	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_638213_cov_25.283819-processed-gene-4.35-mRNA-1	IPR022043	PF12253	NA	NA	NA	NA	NA	NA	PTHR15272	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_1133640_cov_24.555234-processed-gene-9.23-mRNA-1	IPR025124	PF13259	NA	NA	NA	NA	NA	NA	PTHR28065	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_812477_cov_21.218138-augustus-gene-4.45-mRNA-1	IPR008427	PF05730	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	mobidb-lite	SignalP-noTM	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_5_length_1111637_cov_24.871330-processed-gene-2.17-mRNA-1	IPR031127	NA	GO:0004842;GO:0016567	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	G3DSA:3.30.40.10;G3DSA:1.20.120.1750	NA	NA	PTHR11685:SF126;PTHR11685	SSF57850	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_21_length_530558_cov_24.609851-processed-gene-4.35-mRNA-1	IPR036052	PF00291	GO:0006535	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.1100	cd01561	TMhelix	PTHR10314;PTHR10314:SF35	SSF53686	NA	NA	PS00901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_48_length_127753_cov_26.661629-augustus-gene-0.55-mRNA-1	IPR006694	PF04116;PF00173	GO:0005506;GO:0008610;GO:0016491;GO:0055114;GO:0006629;GO:0016021;GO:0080132;GO:0020037	PIRSF005149	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.10.120.10	NA	TMhelix	PTHR12863:SF1;PTHR12863	SSF55856	mobidb-lite	NA	PS00191	NA	PS50255	SM01117	Reactome: R-HSA-1660661	NA	NA	PR00363	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-4.25-mRNA-1	IPR011701	PF07690	GO:0016021;GO:0055085	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.20.1250.20	cd06174	TMhelix	PTHR23502;PTHR23502:SF59	SSF103473	mobidb-lite	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_11_length_781200_cov_24.806976-processed-gene-1.17-mRNA-1	IPR000086	PF00293;PF09296;PF09297	GO:0016787;GO:0046872	NA	NA	NA	cd03429	NA	PTHR42904;PTHR42904:SF2	SSF55811	mobidb-lite	NA	NA	NA	PS51462	NA	KEGG: 00760+3.6.1.22|MetaCyc: PWY-5381|MetaCyc: PWY-7761	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_32_length_317700_cov_23.290069-processed-gene-1.25-mRNA-1	IPR031818	PF16815	NA	NA	NA	G3DSA:2.40.128.320	cd11692;cd11693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_483063_cov_24.362872-augustus-gene-2.47-mRNA-1	IPR036972	PF01215	GO:0004129;GO:0005740	NA	NA	G3DSA:2.60.11.10	cd00924	NA	PTHR10122:SF0;PTHR10122	SSF57802	mobidb-lite	NA	NA	NA	PS51359	NA	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	SignalP-TM	NA	NA	NA	PD007270	NA
augustus_masked-NODE_23_length_483063_cov_24.362872-processed-gene-1.6-mRNA-1	IPR027417	PF00271;PF00176	GO:0005524	NA	NA	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	cd00079;cd00046	NA	PTHR10799;PTHR10799:SF832	SSF52540	mobidb-lite	NA	PS00690	Coil	PS51192;PS51194	SM00487;SM00490	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_501750_cov_22.809847-processed-gene-0.19-mRNA-1	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	PTHR42064	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_662468_cov_22.365061-processed-gene-5.26-mRNA-1	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_812477_cov_21.218138-augustus-gene-3.36-mRNA-1	IPR030379	PF00735	GO:0005525	PIRSF006698	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	G3DSA:3.40.50.300	cd01850	NA	PTHR18884:SF52;PTHR18884	SSF52540	mobidb-lite	NA	NA	Coil	PS51719	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_781200_cov_24.806976-augustus-gene-4.10-mRNA-1	IPR006076	PF01266	GO:0016491;GO:0055114	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.50.50.60	NA	TMhelix	PTHR13847:SF185;PTHR13847	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_30_length_374380_cov_23.389282-augustus-gene-1.0-mRNA-1	IPR007219	PF04082	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	cd12148	NA	PTHR45594	NA	mobidb-lite	NA	NA	Coil	NA	SM00906	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_55_length_104661_cov_25.729284-augustus-gene-0.37-mRNA-1	IPR002528	PF01554	GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	cd13132	TMhelix	PTHR11206;PTHR11206:SF197	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-425366	TIGR00797	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_1086122_cov_24.848966-processed-gene-4.8-mRNA-1	IPR013087	PF04082;PF00096	GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:3.30.160.60	cd12148	NA	PTHR40626	SSF57667	mobidb-lite	NA	PS00028	NA	PS50157	SM00355	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_4_length_1120656_cov_25.632235-augustus-gene-0.44-mRNA-1	IPR020846	PF07690	GO:0016021;GO:0055085	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20	cd06174	TMhelix	PTHR43791;PTHR43791:SF46	SSF103473	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_781200_cov_24.806976-augustus-gene-6.8-mRNA-1	IPR005344	PF03661	GO:0016021	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR12703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_1133640_cov_24.555234-processed-gene-8.14-mRNA-1	IPR003674	PF02516	GO:0004576;GO:0006486;GO:0016020	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.12610	NA	TMhelix	PTHR13872;PTHR13872:SF38	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_530558_cov_24.609851-augustus-gene-3.7-mRNA-1	IPR001214	PF00856	GO:0005515	NA	NA	G3DSA:2.170.270.10	NA	NA	PTHR12197;PTHR12197:SF247	SSF82199	NA	NA	NA	NA	PS50280	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_638213_cov_25.283819-augustus-gene-2.6-mRNA-1	IPR024061	PF05224	GO:0003677;GO:0003700;GO:0006355	NA	NA	G3DSA:2.60.40.1390	NA	NA	PTHR35144:SF4;PTHR35144	SSF49417	mobidb-lite	NA	NA	NA	PS51517	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_926964_cov_22.211756-processed-gene-5.5-mRNA-1	IPR038491	PF11754	NA	NA	NA	G3DSA:2.60.40.3960	NA	NA	PTHR33572:SF2;PTHR33572	NA	NA	NA	NA	NA	PS51821	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_580193_cov_25.066322-processed-gene-2.16-mRNA-1	IPR001202	PF00397	GO:0005515	NA	NA	G3DSA:2.20.70.10	cd00201	NA	PTHR23181;PTHR23181:SF11	SSF51045	mobidb-lite	NA	PS01159	NA	PS50020	SM00456	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_38_length_213953_cov_24.926057-processed-gene-1.3-mRNA-1	IPR002130	PF00160	GO:0000413;GO:0003755;GO:0006457	NA	NA	G3DSA:2.40.100.10	cd01925	NA	PTHR11071:SF152;PTHR11071	SSF50891	mobidb-lite	NA	PS00170	Coil	PS50072	NA	NA	NA	NA	PR00153	NA	NA	NA	NA
maker-NODE_1_length_1806559_cov_23.166471-augustus-gene-6.40-mRNA-1	IPR036990	PF02244;PF00246	GO:0004181;GO:0006508;GO:0008270;GO:0004180	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	G3DSA:3.30.70.340;G3DSA:3.40.630.10	cd06248	NA	PTHR11705;PTHR11705:SF115	SSF54897;SSF53187	NA	SignalP-noTM	PS00132	NA	NA	SM00631	NA	NA	SignalP-TM	PR00765	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_6_length_1086122_cov_24.848966-processed-gene-8.20-mRNA-1	IPR020846	PF07690	GO:0016021;GO:0055085	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20	cd06174	TMhelix	PTHR23511;PTHR23511:SF5	SSF103473	mobidb-lite	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_37_length_228873_cov_23.418329-processed-gene-1.49-mRNA-1	IPR039698	PF02544	GO:0003865;GO:0006488;GO:0006629;GO:0016627	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR14624	NA	NA	NA	NA	NA	PS50244	NA	MetaCyc: PWY-6129|Reactome: R-HSA-193048|Reactome: R-HSA-446199|Reactome: R-HSA-4755579	NA	NA	NA	NA	NA	NA	NA
maker-NODE_55_length_104661_cov_25.729284-augustus-gene-0.43-mRNA-1	IPR007461	PF04366	NA	NA	NA	NA	cd11524	NA	PTHR15629:SF8;PTHR15629	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_1_length_1806559_cov_23.166471-augustus-gene-6.38-mRNA-1	IPR002293	PF13520	GO:0016020;GO:0022857;GO:0055085	PIRSF006060	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:1.20.1740.10	NA	TMhelix	PTHR11785;PTHR11785:SF382	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_42_length_166812_cov_27.031419-processed-gene-0.54-mRNA-1	IPR000172	PF05199;PF00732	GO:0016614;GO:0050660;GO:0055114	PIRSF000137	NA	G3DSA:3.50.50.60;G3DSA:4.10.450.10;G3DSA:3.30.410.40;G3DSA:1.10.1220.110	NA	NA	PTHR11552;PTHR11552:SF152	SSF51905;SSF54373	NA	NA	PS00624	NA	NA	NA	Reactome: R-HSA-6798163	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1806559_cov_23.166471-augustus-gene-8.35-mRNA-1	IPR006614	PF06398	GO:0016021	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	PTHR31679:SF2;PTHR31679	NA	mobidb-lite	NA	NA	NA	NA	SM00693	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_537329_cov_23.536180-augustus-gene-4.8-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-2.8-mRNA-1	IPR013087	PF07975;PF04056	GO:0003676;GO:0006281;GO:0008270;GO:0000439;GO:0006289;GO:0006351	PIRSF015919	NA	G3DSA:3.30.40.10;G3DSA:3.40.50.410	cd01453	NA	PTHR12695	SSF57889;SSF53300	mobidb-lite	NA	PS00028	NA	PS50234	SM01047;SM00327	NA	TIGR00622	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_1742724_cov_22.765721-augustus-gene-3.47-mRNA-1	IPR000008	PF00168	NA	NA	NA	G3DSA:2.60.40.150	NA	NA	PTHR10774:SF149;PTHR10774	SSF49562	mobidb-lite	NA	NA	NA	PS50004	SM00239	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_34_length_270403_cov_23.853801-processed-gene-0.35-mRNA-1	IPR017871	PF00005;PF00664	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085;GO:0008559;GO:0042908	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	cd03250;cd03244	TMhelix	PTHR24223;PTHR24223:SF332	SSF52540;SSF90123	mobidb-lite	NA	PS00211	Coil	PS50929;PS50893	SM00382	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_981326_cov_21.713968-augustus-gene-6.1-mRNA-1	IPR017852	PF04987;PF01663	GO:0005789;GO:0006506;GO:0016740;GO:0051377;GO:0016021;GO:0003824	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.40.720.10	cd16020	TMhelix	PTHR12250	SSF53649	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_926964_cov_22.211756-processed-gene-0.29-mRNA-1	IPR017907	PF00176;PF13639	GO:0005524	NA	NA	G3DSA:3.30.40.10;G3DSA:3.40.50.10810;G3DSA:3.40.50.300	cd00046;cd00079	NA	PTHR10799:SF944;PTHR10799	SSF57850;SSF52540	mobidb-lite	NA	PS00518	Coil	PS51194;PS51192;PS50089	SM00487;SM00184	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_32_length_317700_cov_23.290069-augustus-gene-2.16-mRNA-1	IPR026854	PF12624;PF16909;PF16908;PF16910;PF06650	GO:0016491	PIRSF037235	NA	NA	NA	NA	PTHR16166;PTHR16166:SF93	NA	mobidb-lite	NA	PS00498	Coil	NA	NA	Reactome: R-HSA-5662702	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_24_length_437981_cov_25.163338-processed-gene-2.9-mRNA-1	IPR010482	PF06398	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR28304;PTHR28304:SF2	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
