Gene	interpro	GO	Gene3D	MobiDBLite	Pfam	PANTHER	ProSitePatterns	SMART	SUPERFAMILY	ProSiteProfiles	PRINTS	CDD	PATHWAY	TIGRFAM	Hamap	PIRSF	Phobius	TMHMM	SignalP_GRAM_NEGATIVE	SFLD	SignalP_EUK	SignalP_GRAM_POSITIVE	Coils	ProDom
PTB73201.1	IPR018966	NA	G3DSA:2.40.320.20	mobidb-lite	PF09359;PF02656	PTHR10783:SF45;PTHR10783	NA	NA	NA	PS51382	NA	cd14480	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	Coil	NA
PTB81551.1	IPR000938		G3DSA:2.30.30.190	mobidb-lite	PF16641;PF01302	PTHR18916;PTHR18916:SF49	NA	SM01052	SSF74924	PS50245	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5626467|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB80481.1	IPR039604	NA	NA	mobidb-lite	NA	PTHR31027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB76925.1	IPR029063	GO:0008168	G3DSA:3.40.50.150	NA	PF08241	PTHR43591;PTHR43591:SF29	NA	NA	SSF53335	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75997.1	IPR021833	NA	NA	mobidb-lite	PF11905	PTHR38116	NA	NA	NA	NA	NA	cd14688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77199.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75934.1	IPR008979	GO:0005515;GO:0000256;GO:0004037	G3DSA:2.60.120.260;G3DSA:1.25.40.20	mobidb-lite	PF12796;PF03561;PF01843	PTHR12045	NA	SM00248;SM01132	SSF48403;SSF49785	PS51126;PS50088;PS50297	NA	cd00204;cd15473	KEGG: 00230+3.5.3.4|MetaCyc: PWY-5697	TIGR02961	MF_00813	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74888.1	IPR025733	GO:0003993;GO:0046872;GO:0016787	G3DSA:3.60.21.10;G3DSA:2.60.40.380	NA	PF14008;PF16656;PF00149	PTHR22953;PTHR22953:SF12	NA	NA	SSF56300;SSF49363	NA	NA	cd00839	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB81720.1	IPR029063	NA	G3DSA:3.40.50.150	NA	PF13649	PTHR43591;PTHR43591:SF6	NA	NA	SSF53335	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72603.1	IPR000639	GO:0003824	G3DSA:3.40.50.1820	NA	PF00561	PTHR42977	NA	NA	SSF53474	NA	PR00412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72365.1	IPR017853	NA	G3DSA:3.20.20.80	NA	NA	NA	NA	NA	SSF51445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72981.1	IPR029044	GO:0016758;GO:0003774;GO:0005524;GO:0016459	G3DSA:3.90.550.10;G3DSA:1.10.10.820;G3DSA:3.40.850.10;G3DSA:3.10.120.10;G3DSA:1.20.120.720	NA	PF00173;PF08766;PF03142	PTHR22914;PTHR22914:SF13	NA	SM01117;SM00242	SSF55856;SSF109715;SSF52540;SSF53448	NA	NA	NA	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB73080.1	IPR000542	GO:0016746	G3DSA:3.30.559.40;G3DSA:1.10.275.20;G3DSA:3.30.559.10;G3DSA:3.30.559.70	mobidb-lite	PF00755	PTHR22589;PTHR22589:SF29	PS00440;PS00439	NA	SSF52777	NA	NA	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80679.1	NA	NA	G3DSA:1.20.58.280	mobidb-lite	NA	PTHR40130	NA	NA	SSF140361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74328.1	IPR035966	GO:0003872;GO:0006096;GO:0006002	G3DSA:3.40.50.450	NA	PF00365	PTHR13697;PTHR13697:SF18	PS00433	NA	SSF53784	NA	PR00476	NA	KEGG: 00010+2.7.1.11|KEGG: 00030+2.7.1.11|KEGG: 00051+2.7.1.11|KEGG: 00052+2.7.1.11|KEGG: 00680+2.7.1.11|MetaCyc: PWY-1042|MetaCyc: PWY-1861|MetaCyc: PWY-5484|MetaCyc: PWY-7385|Reactome: R-HSA-70171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75840.1	IPR000589	GO:0003735;GO:0005622;GO:0005840;GO:0006412	G3DSA:1.10.287.10	mobidb-lite	PF00312	PTHR23321;PTHR23321:SF26	NA	SM01387	SSF47060	NA	NA	cd00353	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	MF_01343_B	NA	NA	NA	NA	NA	NA	NA	Coil	PD157043
PTB76582.1	IPR036434	GO:0004553;GO:0030245;GO:0005576;GO:0005975;GO:0030248	G3DSA:3.20.20.40	mobidb-lite	PF00734;PF01341	PTHR34876;PTHR34876:SF9	PS00656;PS00562;PS00655	SM00236	SSF57180;SSF51989	PS51164	PR00733	NA	NA	NA	NA	PIRSF001100	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	PD001821
PTB76097.1	IPR036513	GO:0008271;GO:0008272;GO:0016020;GO:0055085;GO:0015116;GO:0016021	G3DSA:3.30.750.24;G3DSA:2.60.120.10	mobidb-lite	PF00027;PF01740;PF00916	PTHR11814:SF59;PTHR11814	NA	SM00100	SSF51206;SSF52091	PS50042;PS50801	NA	cd07042;cd00038	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB77761.1	IPR006694	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	NA	PF04116	PTHR11863:SF26;PTHR11863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
PTB76129.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	SignalP-noTM	NA	NA	NA
PTB80018.1	IPR001525	GO:0008168	G3DSA:3.40.50.150;G3DSA:3.90.120.10	mobidb-lite	PF00145	PTHR10629;PTHR10629:SF11	PS00095	NA	SSF53335	PS51679	NA	NA	KEGG: 00270+2.1.1.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB73693.1	IPR036851	GO:0004601	G3DSA:1.10.489.10	NA	PF01328	PTHR33577	NA	NA	SSF47571	PS51405	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB71448.1	IPR008271	GO:0004672;GO:0006468;GO:0005524;GO:0004674	G3DSA:1.10.510.10;G3DSA:3.30.200.20	mobidb-lite	PF00069;PF00433	PTHR24351:SF169;PTHR24351	PS00108;PS00107	SM00220;SM00133	SSF56112	PS50011;PS51285	NA	cd11651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72694.1	IPR001680	GO:0005515	G3DSA:2.130.10.10;G3DSA:2.60.120.200;G3DSA:1.10.1540.10	mobidb-lite	PF13385;PF02138;PF14844	PTHR13743;PTHR13743:SF112	NA	SM01026;SM00320	SSF50978;SSF81837;SSF49899;SSF50729	PS50082;PS51783;PS50197;PS50294	NA	cd01201;cd06071	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	Coil	NA
PTB74730.1	IPR029063	NA	G3DSA:3.40.50.150	NA	PF13489	PTHR43591;PTHR43591:SF10	NA	NA	SSF53335	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77155.1	IPR036291		G3DSA:3.40.50.720	NA	PF05368	PTHR12126:SF7;PTHR12126	NA	NA	SSF51735	NA	NA	cd05271	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76005.1	IPR005998	NA	G3DSA:1.10.15.30;G3DSA:3.30.1390.20	NA	PF00327;PF08079	PTHR11524:SF16;PTHR11524	NA	NA	SSF55129	NA	NA	cd01657	NA	TIGR01310	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB77267.1	IPR011990	GO:0005515;GO:0006401;GO:0055087	G3DSA:1.25.40.10	mobidb-lite	PF13432;PF13176;PF18833	PTHR15704	NA	SM00028	SSF48452	PS50005;PS50293	NA	NA	Reactome: R-HSA-429958	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB74064.1	IPR004853	NA	NA	mobidb-lite	PF03151	PTHR44010;PTHR44010:SF4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB73845.1	IPR024324	GO:0007076;GO:0000278;GO:0005634;GO:0030261	G3DSA:1.25.10.10	mobidb-lite	PF12922;PF12717	PTHR14222;PTHR14222:SF2	NA	NA	SSF48371	NA	NA	NA	Reactome: R-HSA-2514853	NA	NA	PIRSF017127	NA	NA	NA	NA	NA	NA	NA	NA
PTB77091.1	IPR032805	NA	NA	NA	PF13813	PTHR31595;PTHR31595:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB79598.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77058.1	IPR036551	GO:0003824	G3DSA:3.40.50.1950	NA	PF02441	PTHR43374	NA	NA	SSF52507	NA	NA	NA	Reactome: R-HSA-196783	TIGR00421	MF_01984	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
PTB81798.1	IPR006153	GO:0006812;GO:0015299;GO:0016021;GO:0055085;GO:0005886;GO:0015385;GO:0030004;GO:0006814;GO:0016020	G3DSA:1.20.1530.20	mobidb-lite	PF00999;PF08619	PTHR31382;PTHR31382:SF4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB73388.1	IPR036259	GO:0016021;GO:0055085	NA	mobidb-lite	PF07690	PTHR23502;PTHR23502:SF13	NA	NA	SSF103473	PS50850	NA	cd06174	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB78943.1	IPR011701	GO:0016021;GO:0055085	NA	mobidb-lite	PF07690	PTHR23504;PTHR23504:SF16	NA	NA	SSF103473	PS50850	NA	cd06174	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB75674.1	IPR036962	GO:0004553;GO:0005975	G3DSA:3.20.20.300;G3DSA:3.40.50.1700;G3DSA:2.60.40.10	NA	PF01915;PF14310;PF00933	PTHR42715;PTHR42715:SF12	NA	SM01217	SSF52279;SSF51445	NA	PR00133	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB80601.1	IPR007305	GO:0016192	NA	NA	PF04178	PTHR21493;PTHR21493:SF79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB72988.1	IPR000760	GO:0046854;GO:0008934;GO:0046855	G3DSA:3.30.540.10;G3DSA:3.40.190.80	NA	PF00459	PTHR20854;PTHR20854:SF4	PS00629;PS00630	NA	SSF56655	NA	PR00377	cd01639	KEGG: 00521+3.1.3.25|KEGG: 00562+3.1.3.25|KEGG: 04070+3.1.3.25|MetaCyc: PWY-2301|MetaCyc: PWY-4702|MetaCyc: PWY-6363|Reactome: R-HSA-1855183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75422.1	IPR016639	GO:0004364;GO:0005515	G3DSA:1.20.1050.10;G3DSA:3.40.30.130	NA	PF13409;PF13410	PTHR32419:SF6;PTHR32419	NA	NA	SSF52833;SSF47616	PS50405;PS50404	NA	cd03190	NA	NA	NA	PIRSF015753	NA	NA	NA	NA	NA	NA	NA	NA
PTB74062.1	IPR000048	GO:0005515;GO:0043087;GO:0007165	G3DSA:1.10.418.10;G3DSA:1.10.506.10	mobidb-lite	PF00616;PF00307;PF03836;PF00612	PTHR14149;PTHR14149:SF14	NA	SM00323;SM00033;SM00015	SSF143885;SSF48350;SSF47576	PS50096;PS50018;PS50021	NA	cd00014;cd05127	Reactome: R-HSA-5626467	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	Coil	NA
PTB74164.1	IPR040062	GO:0022857;GO:0055085;GO:0005509	G3DSA:1.50.40.10;G3DSA:1.10.238.10	mobidb-lite	PF00036;PF13499;PF00153	PTHR24089;PTHR24089:SF57	PS00018	SM00054	SSF103506;SSF47473	PS50222;PS50920	PR00926	cd00051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79860.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79754.1	NA	NA	NA	mobidb-lite	NA	PTHR31331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
PTB77343.1	IPR029058	NA	G3DSA:3.40.50.1820	NA	PF00135	PTHR11559	PS00122	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB79107.1	IPR036980	GO:0003723;GO:0004540;GO:0008033;GO:0030677;GO:0006396	G3DSA:2.30.30.210	mobidb-lite	PF01868	PTHR13348	NA	SM00538	SSF101744	NA	NA	NA	Reactome: R-HSA-6784531	NA	NA	PIRSF027081	NA	NA	NA	NA	NA	NA	NA	NA
PTB73314.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB79729.1	IPR036259	GO:0016021;GO:0055085	G3DSA:1.20.1250.20	mobidb-lite	PF07690	PTHR11360:SF130;PTHR11360	NA	NA	SSF103473	PS50850	NA	cd06174	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB77424.1	IPR011993	GO:0005086;GO:0032012	G3DSA:2.30.29.30;G3DSA:1.10.1000.11	mobidb-lite	PF01369;PF15410	PTHR45590	NA	SM00222	SSF48425;SSF50729	PS50190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB76772.1	IPR001452	GO:0005515	G3DSA:2.30.30.40	mobidb-lite	PF00018	NA	NA	SM00326	SSF50044	PS50002	PR00452	cd11887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB80815.1	IPR027408		G3DSA:3.30.230.70	mobidb-lite	PF01138	PTHR11953:SF2;PTHR11953	NA	NA	SSF55666;SSF54211	NA	NA	cd11371	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76815.1	IPR005037	NA	NA	mobidb-lite	PF03371	PTHR23142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB77788.1	IPR000504	GO:0003676;GO:0003723	G3DSA:1.10.1900.10;G3DSA:3.30.70.330	mobidb-lite	PF00076;PF00658	PTHR24012;PTHR24012:SF491	NA	SM00360;SM00361;SM00517	SSF54928;SSF63570	PS50102;PS51309	NA	cd12379;cd12380;cd12381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB78852.1	IPR000644	NA	G3DSA:3.10.580.10	NA	PF00571	PTHR13780:SF35;PTHR13780	NA	SM00116	SSF54631	PS51371	NA	cd04641;cd04618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76312.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	SignalP-noTM	NA	SignalP-noTM	NA	NA	NA
PTB72910.1	NA	NA	NA	mobidb-lite	NA	PTHR39596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74672.1	IPR001164	GO:0005096;GO:0005515	G3DSA:3.30.40.160;G3DSA:1.10.8.10	mobidb-lite	PF01412	PTHR23180:SF387;PTHR23180	NA	SM00165;SM00105	SSF46934;SSF57863	PS50115;PS50030	PR00405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71474.1	IPR001766	GO:0003700;GO:0006355;GO:0043565	G3DSA:1.10.10.10	mobidb-lite	PF00250	PTHR11829;PTHR11829:SF182	PS00658	SM00339	SSF46785	PS50039	PR00053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77417.1	IPR024990	GO:0005680	G3DSA:1.25.10.10	mobidb-lite	PF12859	PTHR12827	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
PTB81947.1	IPR036188		G3DSA:3.50.50.60	NA	NA	PTHR10632:SF12;PTHR10632	NA	NA	SSF51905	NA	NA	NA	Reactome: R-HSA-1614517	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PTB74651.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN	TMhelix	SignalP-TM	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB78778.1	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	G3DSA:1.20.1250.20	mobidb-lite	PF00083	PTHR23500;PTHR23500:SF186	PS00217;PS00216	NA	SSF103473	PS50850	PR00171	cd06174	Reactome: R-HSA-189200	TIGR00879	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	Coil	NA
PTB74203.1	IPR011501	NA	NA	mobidb-lite	PF07540;PF03914	PTHR14428	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB73783.1	IPR009349	GO:0005634;GO:0006355;GO:0008270	NA	mobidb-lite	PF06221	PTHR12963:SF0;PTHR12963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB78861.1	IPR000873	GO:0003824	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	NA	PF00501;PF13193	PTHR43201	PS00455	NA	SSF56801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81561.1	IPR035968	GO:0015986;GO:0045261;GO:0046933	G3DSA:1.10.287.80;G3DSA:3.40.1380.10	NA	PF00231	PTHR11693:SF22;PTHR11693	PS00153	NA	SSF52943	NA	PR00126	cd12151	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	SignalP-TM	NA	NA
PTB73544.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
PTB79572.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	G3DSA:3.30.200.20;G3DSA:1.10.510.10;G3DSA:2.60.40.150	mobidb-lite	PF00069	PTHR24351;PTHR24351:SF111	NA	NA	SSF56112	PS50011	NA	cd05123;cd11651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
