Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-NODE_64_length_72053_cov_34.032116-processed-gene-0.19-mRNA-1	GT4(244-414)	GT4	GT4	N	3
augustus_masked-NODE_681_length_13890_cov_26.716050-processed-gene-0.2-mRNA-1	GH67(19-705)	GH67	GH67	N	3
augustus_masked-NODE_69_length_70970_cov_32.524173-processed-gene-0.24-mRNA-1	GT4(252-381)	GT4	GT4	N	3
augustus_masked-NODE_708_length_13131_cov_31.038373-processed-gene-0.1-mRNA-1	GH3(90-272)	GH3	GH3	N	3
augustus_masked-NODE_708_length_13131_cov_31.038373-processed-gene-0.4-mRNA-1	GH20(97-410)	GH20	GH20	N	3
augustus_masked-NODE_71_length_70377_cov_27.669423-processed-gene-0.18-mRNA-1	GH12(88-234)	GH12	N	N	2
augustus_masked-NODE_762_length_11504_cov_41.769799-processed-gene-0.0-mRNA-1	AA7(123-581)	AA7	N	N	2
augustus_masked-NODE_764_length_11490_cov_18.023937-processed-gene-0.1-mRNA-1	GH76(21-388)	GH76	GH76	N	3
augustus_masked-NODE_76_length_68724_cov_32.090660-processed-gene-0.16-mRNA-1	GT57(16-492)	GT57	GT57	N	3
augustus_masked-NODE_783_length_10883_cov_25.179714-processed-gene-0.1-mRNA-1	GT64(103-372)	N	N	N	1
augustus_masked-NODE_78_length_68202_cov_35.629041-processed-gene-0.25-mRNA-1	GT90(449-712)	GT90	GT90	N	3
augustus_masked-NODE_78_length_68202_cov_35.629041-processed-gene-0.31-mRNA-1	GH125(594-1030)	GH125	GH125	N	3
augustus_masked-NODE_7_length_146443_cov_31.837947-processed-gene-0.37-mRNA-1	GH5_12(16-550)	GH5	GH5_12	N	3
augustus_masked-NODE_808_length_10212_cov_23.271988-processed-gene-0.0-mRNA-1	GH72(16-332)	GH72	GH72	N	3
augustus_masked-NODE_80_length_67101_cov_34.118464-processed-gene-0.5-mRNA-1	CE10(93-264)	N	N	N	1
augustus_masked-NODE_814_length_10062_cov_35.268143-processed-gene-0.0-mRNA-1	GT4(220-396)	GT4	GT4	N	3
augustus_masked-NODE_815_length_10037_cov_21.084460-processed-gene-0.1-mRNA-1	PL7_4(80-195)	N	N	N	1
augustus_masked-NODE_854_length_9248_cov_25.067756-processed-gene-0.0-mRNA-1	CE4(125-251)	CE4+CBM18	CBM18+CE4	N	3
augustus_masked-NODE_88_length_63900_cov_28.627381-processed-gene-0.1-mRNA-1	GH7(21-448)	GH7	CBM1+GH7	N	3
augustus_masked-NODE_89_length_63869_cov_29.965533-processed-gene-0.26-mRNA-1	GH15(55-459)+CBM20(528-619)	GH15+CBM20	CBM20+GH15	N	3
augustus_masked-NODE_8_length_142693_cov_31.579002-processed-gene-0.30-mRNA-1	AA9(20-170)	AA9	N	N	2
augustus_masked-NODE_91_length_63781_cov_27.913972-processed-gene-0.11-mRNA-1	GH79(25-457)	N	N	N	1
augustus_masked-NODE_91_length_63781_cov_27.913972-processed-gene-0.8-mRNA-1	GH92(266-786)	GH92	GH92	N	3
maker-NODE_102_length_60017_cov_33.923410-augustus-gene-0.2-mRNA-1	GT15(96-366)	GT15	GT15	N	3
maker-NODE_102_length_60017_cov_33.923410-augustus-gene-0.5-mRNA-1	GT59(72-592)	GT59	GT59	N	3
maker-NODE_1049_length_5519_cov_32.681565-augustus-gene-0.3-mRNA-1	GH47(105-568)	GH47	GH47	N	3
maker-NODE_104_length_59774_cov_30.899123-augustus-gene-0.4-mRNA-1	AA7(23-435)	N	N	N	1
maker-NODE_1065_length_5289_cov_14.140643-augustus-gene-0.1-mRNA-1	AA7(114-316)	N	N	N	1
maker-NODE_1078_length_5106_cov_30.520586-augustus-gene-0.0-mRNA-1	CE10(113-540)	N	N	N	1
maker-NODE_110_length_59295_cov_33.641090-augustus-gene-0.19-mRNA-1	AA3(81-651)	N	N	N	1
maker-NODE_1147_length_4190_cov_30.098449-augustus-gene-0.1-mRNA-1	GH3(96-317)	GH3	GH3	N	3
maker-NODE_116_length_58657_cov_29.138339-augustus-gene-0.6-mRNA-1	GT39(69-314)	GT39	GT39	N	3
maker-NODE_11_length_135501_cov_31.577622-augustus-gene-0.39-mRNA-1	GH132(42-313)	GH132	N	N	2
maker-NODE_120_length_57101_cov_32.414329-augustus-gene-0.1-mRNA-1	GH47(154-625)	GH47	GH47	N	3
maker-NODE_128_length_55507_cov_28.276219-augustus-gene-0.18-mRNA-1	GT64(66-311)	N	N	N	1
maker-NODE_128_length_55507_cov_28.276219-augustus-gene-0.21-mRNA-1	GH55(34-762)	GH28+GH55	GH55	N	3
maker-NODE_132_length_55133_cov_30.805203-augustus-gene-0.3-mRNA-1	GT24(1005-1252)	GT24	GT24	N	3
maker-NODE_135_length_54679_cov_33.360372-augustus-gene-0.17-mRNA-1	GT57(76-307)+GT57(346-578)	GT57	GT57	N	3
maker-NODE_143_length_53709_cov_31.414486-augustus-gene-0.16-mRNA-1	AA1_2(38-376)	AA1	AA1_2	N	3
maker-NODE_153_length_51459_cov_30.363867-augustus-gene-0.17-mRNA-1	GH76(27-398)	GH76	GH76	N	3
maker-NODE_156_length_51155_cov_32.089598-augustus-gene-0.17-mRNA-1	CE10(151-517)	N	N	N	1
maker-NODE_160_length_49820_cov_30.857002-augustus-gene-0.17-mRNA-1	CE4(130-262)	CE4+CBM18	CBM18+CE4	N	3
maker-NODE_161_length_49788_cov_32.801857-augustus-gene-0.0-mRNA-1	CE5(78-245)	CE5	N	N	2
maker-NODE_162_length_49691_cov_28.590227-augustus-gene-0.10-mRNA-1	AA11(20-223)	AA11	N	N	2
maker-NODE_163_length_49199_cov_30.839909-augustus-gene-0.4-mRNA-1	GT34(66-242)	GT34	N	N	2
maker-NODE_165_length_49100_cov_32.610459-augustus-gene-0.16-mRNA-1	GT39(62-300)	GT39	GT39	N	3
maker-NODE_16_length_121858_cov_26.817705-augustus-gene-0.1-mRNA-1	GH3(51-264)	GH3	GH3	N	3
maker-NODE_16_length_121858_cov_26.817705-augustus-gene-0.6-mRNA-1	GT34(116-380)	GT34	GT34	N	3
maker-NODE_171_length_46832_cov_31.711316-augustus-gene-0.12-mRNA-1	GH95(16-781)	GH95	GH95	N	3
maker-NODE_172_length_46829_cov_29.794977-augustus-gene-0.13-mRNA-1	GT3(18-654)	GT3	GT3	N	3
maker-NODE_177_length_46215_cov_28.200226-augustus-gene-0.4-mRNA-1	GH16(57-256)	GH16	GH16	N	3
maker-NODE_187_length_45373_cov_29.327764-augustus-gene-0.4-mRNA-1	AA6(6-198)	AA6	N	N	2
maker-NODE_18_length_119080_cov_32.377023-augustus-gene-0.48-mRNA-1	CE1(24-258)	N	N	N	1
maker-NODE_193_length_44402_cov_36.825409-augustus-gene-0.1-mRNA-1	GT4(364-523)	GT4	GT4	N	3
maker-NODE_1_length_234904_cov_31.360218-augustus-gene-0.27-mRNA-1	GH18(16-284)	GH18	N	N	2
maker-NODE_1_length_234904_cov_31.360218-augustus-gene-1.18-mRNA-1	GT32(116-195)	GT32	GT32	N	3
maker-NODE_200_length_43764_cov_28.940120-augustus-gene-0.1-mRNA-1	AA5(646-1149)	AA5	AA5_1	N	3
maker-NODE_208_length_42611_cov_32.338104-augustus-gene-0.15-mRNA-1	GH16(142-366)	GH16	N	N	2
maker-NODE_20_length_113784_cov_31.196160-augustus-gene-0.35-mRNA-1	GH47(43-516)	GH47	GH47	N	3
maker-NODE_217_length_41649_cov_29.609051-augustus-gene-0.13-mRNA-1	GT1(211-530)	GT1	GT1	N	3
maker-NODE_224_length_40954_cov_29.556372-augustus-gene-0.18-mRNA-1	GH18(27-285)	GH18	N	N	2
maker-NODE_227_length_40651_cov_29.588910-augustus-gene-0.21-mRNA-1	GT90(345-686)	GT90	GT90	N	3
maker-NODE_22_length_106063_cov_30.981857-augustus-gene-0.29-mRNA-1	CE10(445-678)	N	N	N	1
maker-NODE_238_length_40130_cov_28.564433-augustus-gene-0.22-mRNA-1	GH16(64-271)	GH16	N	N	2
maker-NODE_240_length_39859_cov_30.258155-augustus-gene-0.4-mRNA-1	GT62(95-358)	GT62	GT62	N	3
maker-NODE_245_length_39411_cov_26.750051-augustus-gene-0.9-mRNA-1	GH18(547-900)	GH18+CBM18+CBM50	CBM18+GH18	N	3
maker-NODE_248_length_38691_cov_31.035785-augustus-gene-0.12-mRNA-1	GH72(18-299)	GH72	GH72	N	3
maker-NODE_262_length_37375_cov_33.905659-augustus-gene-0.2-mRNA-1	CE10(122-451)	N	N	N	1
maker-NODE_279_length_35735_cov_33.485003-augustus-gene-0.4-mRNA-1	GH47(198-916)	GH47	GH47	N	3
maker-NODE_27_length_97605_cov_29.392222-augustus-gene-0.13-mRNA-1	GH115(19-628)	GH115	GH115	N	3
maker-NODE_27_length_97605_cov_29.392222-augustus-gene-0.5-mRNA-1	GH81(29-706)	GH81	GH81	N	3
maker-NODE_289_length_35008_cov_31.071472-augustus-gene-0.0-mRNA-1	GT22(83-514)	GT22	GT22	N	3
maker-NODE_28_length_96126_cov_28.822217-augustus-gene-0.24-mRNA-1	GT20(20-553)	GT20	GT20	N	3
maker-NODE_297_length_34285_cov_30.103138-augustus-gene-0.13-mRNA-1	AA7(31-466)	N	N	N	1
maker-NODE_29_length_95667_cov_34.350283-augustus-gene-0.11-mRNA-1	GH2(4-749)	GH2	GH2	N	3
maker-NODE_29_length_95667_cov_34.350283-augustus-gene-0.16-mRNA-1	GH76(96-519)	N	N	N	1
maker-NODE_2_length_190777_cov_31.566892-augustus-gene-0.6-mRNA-1	GT20(16-481)	GT20	GT20	N	3
maker-NODE_306_length_33486_cov_29.258881-augustus-gene-0.2-mRNA-1	CE5(47-240)	N	N	N	1
maker-NODE_308_length_33347_cov_37.431758-augustus-gene-0.8-mRNA-1	AA1_3(4-330)	AA1	AA1_3	N	3
maker-NODE_31_length_92627_cov_28.197589-augustus-gene-0.0-mRNA-1	GH31(347-935)	GH31	GH31	N	3
maker-NODE_320_length_32428_cov_34.952509-augustus-gene-0.13-mRNA-1	GH18(31-276)	GH18	N	N	2
maker-NODE_333_length_31535_cov_31.682342-augustus-gene-0.11-mRNA-1	AA3_3(8-614)	AA3	AA3_3	N	3
maker-NODE_336_length_31424_cov_29.051059-augustus-gene-0.4-mRNA-1	GH88(58-384)	GH88	N	N	2
maker-NODE_35_length_90154_cov_27.897175-augustus-gene-0.5-mRNA-1	GH13_25(1095-1548)	GH133	GH133+GH13_25	N	3
maker-NODE_363_length_29168_cov_25.271547-augustus-gene-0.0-mRNA-1	GH65(408-771)	GH65	GH65	N	3
maker-NODE_363_length_29168_cov_25.271547-augustus-gene-0.2-mRNA-1	AA3(219-761)	AA3	N	N	2
maker-NODE_36_length_88520_cov_30.676818-augustus-gene-0.28-mRNA-1	AA2(136-236)	N	AA2	N	2
maker-NODE_372_length_28380_cov_25.796269-augustus-gene-0.1-mRNA-1	GH3(27-238)	GH3	GH3	N	3
maker-NODE_374_length_28359_cov_25.369049-augustus-gene-0.2-mRNA-1	GT48(873-1652)	GT48	GT48	N	3
maker-NODE_394_length_27157_cov_32.112024-augustus-gene-0.1-mRNA-1	GT4(452-622)	N	GT4	N	2
maker-NODE_394_length_27157_cov_32.112024-augustus-gene-0.4-mRNA-1	GH18(32-329)	CBM1	CBM1+GH18	N	3
maker-NODE_399_length_26741_cov_28.342414-augustus-gene-0.0-mRNA-1	GH18(46-367)	GH18	GH18	N	3
maker-NODE_3_length_176318_cov_30.618777-augustus-gene-0.56-mRNA-1	AA2(62-242)	N	N	N	1
maker-NODE_405_length_25877_cov_21.475146-augustus-gene-0.8-mRNA-1	GH28(8-265)	GH28	N	N	2
maker-NODE_405_length_25877_cov_21.475146-augustus-gene-0.9-mRNA-1	GH28(53-372)	GH28	GH28	N	3
maker-NODE_406_length_25790_cov_30.349686-augustus-gene-0.0-mRNA-1	GH16(50-224)	N	N	N	1
maker-NODE_406_length_25790_cov_30.349686-augustus-gene-0.1-mRNA-1	GH5_7(75-347)	GH5	CBM1+GH5_7	N	3
maker-NODE_407_length_25784_cov_25.521768-augustus-gene-0.6-mRNA-1	GH47(143-590)	GH47	GH47	N	3
maker-NODE_40_length_85220_cov_29.082698-augustus-gene-0.8-mRNA-1	GT69(73-356)	GT69	GT69	N	3
maker-NODE_413_length_25330_cov_31.206007-augustus-gene-0.1-mRNA-1	GT8(30-232)	GT8	GT8	N	3
maker-NODE_423_length_24919_cov_31.594950-augustus-gene-0.3-mRNA-1	GH1(73-544)	GH1	GH1	N	3
maker-NODE_42_length_83770_cov_31.605107-augustus-gene-0.7-mRNA-1	GH95(28-772)	N	GH95	N	2
maker-NODE_433_length_24491_cov_25.507757-augustus-gene-0.5-mRNA-1	GH17(365-633)	GH17	GH17	N	3
maker-NODE_43_length_83637_cov_32.832296-augustus-gene-0.2-mRNA-1	CE10(155-392)	N	N	N	1
maker-NODE_444_length_23642_cov_36.613226-augustus-gene-0.3-mRNA-1	GT15(133-410)	GT15	GT15	N	3
maker-NODE_465_length_22662_cov_30.093277-augustus-gene-0.7-mRNA-1	GH12(182-327)	N	N	N	1
maker-NODE_473_length_22448_cov_31.283321-augustus-gene-0.0-mRNA-1	GH3(86-312)	N	GH3	N	2
maker-NODE_473_length_22448_cov_31.283321-augustus-gene-0.2-mRNA-1	CE9(18-409)	CE9	CE9	N	3
maker-NODE_474_length_22438_cov_25.518892-augustus-gene-0.1-mRNA-1	GH89(71-747)	N	GH89	N	2
maker-NODE_478_length_22319_cov_30.427496-augustus-gene-0.4-mRNA-1	GH18(557-903)	GH18+CBM18+CBM50	CBM18+GH18	N	3
maker-NODE_47_length_79825_cov_31.706279-augustus-gene-0.12-mRNA-1	GT50(137-401)	GT50	GT50	N	3
maker-NODE_496_length_21436_cov_29.432963-augustus-gene-0.1-mRNA-1	GH72(32-332)	GH72	GH72	N	3
maker-NODE_497_length_21372_cov_35.221558-augustus-gene-0.5-mRNA-1	GT90(620-884)	GT90	GT90	N	3
maker-NODE_49_length_78611_cov_29.974950-augustus-gene-0.0-mRNA-1	CE10(69-385)	N	N	N	1
maker-NODE_4_length_176087_cov_30.591987-augustus-gene-0.23-mRNA-1	GT62(84-347)	GT62	GT62	N	3
maker-NODE_504_length_20954_cov_30.609401-augustus-gene-0.0-mRNA-1	GH55(34-761)	GH55	GH55	N	3
maker-NODE_517_length_20085_cov_29.001102-augustus-gene-0.4-mRNA-1	CE10(114-257)	N	N	N	1
maker-NODE_521_length_19794_cov_25.293080-augustus-gene-0.2-mRNA-1	GT2(233-410)	N	GT2	N	2
maker-NODE_524_length_19629_cov_34.569531-augustus-gene-0.9-mRNA-1	GT15(117-413)	GT15	GT15	N	3
maker-NODE_53_length_76262_cov_31.542602-augustus-gene-0.11-mRNA-1	AA7(62-277)	N	N	N	1
maker-NODE_544_length_18462_cov_28.907336-augustus-gene-0.2-mRNA-1	GT39(61-305)	GT39	GT39	N	3
maker-NODE_546_length_18301_cov_34.282877-augustus-gene-0.6-mRNA-1	PL1_4(111-300)	PL1	PL1_4	N	3
maker-NODE_546_length_18301_cov_34.282877-augustus-gene-0.7-mRNA-1	GH95(33-782)	GH95	GH95	N	3
maker-NODE_553_length_18091_cov_30.902360-augustus-gene-0.0-mRNA-1	GH13_40(1-318)	GH13	GH13_40	N	3
maker-NODE_556_length_18043_cov_28.248326-augustus-gene-0.2-mRNA-1	GH71(46-434)+CBM24(543-611)	GH71+CBM24	CBM24+GH71	N	3
maker-NODE_560_length_17744_cov_25.667196-augustus-gene-0.2-mRNA-1	GH16(65-291)	N	N	N	1
maker-NODE_56_length_74484_cov_31.889600-augustus-gene-0.4-mRNA-1	GH3(128-374)	GH3	GH3	N	3
maker-NODE_57_length_74390_cov_31.153131-augustus-gene-0.10-mRNA-1	AA7(136-333)	N	N	N	1
maker-NODE_58_length_73770_cov_28.766359-augustus-gene-0.2-mRNA-1	GT21(51-364)	GT21	GT21	N	3
maker-NODE_648_length_14842_cov_22.369147-augustus-gene-0.1-mRNA-1	GH3(86-291)	GH3	GH3	N	3
maker-NODE_66_length_71769_cov_30.464853-augustus-gene-0.4-mRNA-1	AA2(95-340)	N	N	N	1
maker-NODE_681_length_13890_cov_26.716050-augustus-gene-0.0-mRNA-1	AA7(35-460)	AA7	N	N	2
maker-NODE_68_length_71103_cov_30.508764-augustus-gene-0.29-mRNA-1	GH16(119-264)	GH16+CBM18	CBM18+GH16	N	3
maker-NODE_769_length_11390_cov_30.028323-augustus-gene-0.1-mRNA-1	GH36(36-727)	GH36	GH36	N	3
maker-NODE_773_length_11206_cov_34.138911-augustus-gene-0.3-mRNA-1	GH3(150-396)	GH3	GH3	N	3
maker-NODE_801_length_10350_cov_16.739020-augustus-gene-0.1-mRNA-1	CE5(30-232)	CE5	N	N	2
maker-NODE_81_length_66750_cov_31.887741-augustus-gene-0.20-mRNA-1	GT1(161-503)	GT1	GT1	N	3
maker-NODE_83_length_65182_cov_30.177634-augustus-gene-0.5-mRNA-1	GH37(142-704)	GH37	GH37	N	3
maker-NODE_887_length_8435_cov_20.329923-augustus-gene-0.2-mRNA-1	GH18(30-283)	GH18	N	N	2
maker-NODE_8_length_142693_cov_31.579002-augustus-gene-0.17-mRNA-1	GH2(61-485)	GH2	GH2	N	3
maker-NODE_8_length_142693_cov_31.579002-augustus-gene-0.7-mRNA-1	GT2(107-320)	GT2	GT2	N	3
maker-NODE_914_length_7812_cov_26.249447-augustus-gene-0.1-mRNA-1	GT35(163-878)	GT35	GT35	N	3
maker-NODE_92_length_62810_cov_32.382975-augustus-gene-0.16-mRNA-1	GH128(42-279)	GH128	N	N	2
maker-NODE_95_length_61615_cov_25.893166-augustus-gene-0.24-mRNA-1	GH18(31-381)	GH18	GH18	N	3
