id	MainDescription 	type	AccessoryDescription	
AA1	Laccase / p-diphenol:oxygen oxidoreductase / ferroxidase (EC 1.10.3.2); ; ferroxidase (EC 1.10.3.-); Laccase-like multicopper oxidase (EC 1.10.3.-)	CAZYME	NA	
AA1_2	NA	CAZYME	NA	
AA1_3	NA	CAZYME	NA	
AA12	"The pyrroloquinoline quinone-dependent oxidoreductase activity was demonstrated for the CC1G_09525 protein of Coprinopsis cinerea, (EC 1.-.-.-)"	CAZYME	NA	
AA2	manganese peroxidase (EC 1.11.1.13); versatile peroxidase (EC 1.11.1.16); lignin peroxidase (EC 1.11.1.14); peroxidase (EC 1.11.1.-)	CAZYME	NA	
AA3	cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10); pyranose dehydrogenase (EC 1.1.99.29)	CAZYME	NA	
AA3_2	NA	CAZYME	NA	
AA5_1	NA	CAZYME	NA	
AA7	glucooligosaccharide oxidase (EC 1.1.3.-); chitooligosaccharide oxidase (EC 1.1.3.-)	CAZYME	NA	
AA9	"AA9 (formerly GH61) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of cellulose chains with oxidation of various carbons (C-1, C-4 and C-6) has been reported several times in the literature;"	CAZYME	NA	
abH01	NA	LED	NA	
abH02	NA	LED	NA	
abH03	NA	LED	NA	
abH04	NA	LED	NA	
abH05	Hormone sensitive lipases	LED	NA	
abH06	NA	LED	NA	
abH07	NA	LED	NA	
abH08	NA	LED	NA	
abH09	NA	LED	NA	
abH11	NA	LED	NA	
abH12	NA	LED	NA	
abH13	NA	LED	NA	
abH14	NA	LED	NA	
abH15	NA	LED	NA	
abH16	NA	LED	NA	
abH17	NA	LED	NA	
abH19	NA	LED	NA	
abH20	NA	LED	NA	
abH21	NA	LED	NA	
abH22	NA	LED	NA	
abH23	NA	LED	NA	
abH25	NA	LED	NA	
abH26	NA	LED	NA	
abH27	NA	LED	NA	
abH28	Prolyl endopeptidases	LED	NA	
abH29	NA	LED	NA	
abH30	NA	LED	NA	
abH31	NA	LED	NA	
abH32	NA	LED	NA	
abH33	NA	LED	NA	
abH34	NA	LED	NA	
abH35	Acyl-transferases	LED	NA	
abH36	NA	LED	NA	
abH38	NA	LED	NA	
B2C6F1_CRYGA	Unknown	VIRULENCE	NA	
B9WDE6_CANDC	Unknown	VIRULENCE	NA	
C0S1U9_PARBP	Unknown	VIRULENCE	NA	
C0SAT8_PARBP	Unknown	VIRULENCE	NA	
C4YPV8_CANAW	Unknown	VIRULENCE	NA	
C5G6Q4_AJEDR	Unknown	VIRULENCE	NA	
C7GMI1_YEAS2	CATALYTIC ACTIVITY: Thioredoxin + NADP(+) = thioredoxin disulfide + NADPH.	VIRULENCE	NA	
CARP_ARTBC	FUNCTION: Vacuolar aspartic endopeptidase which is probably also secreted and contributes to virulence (By similarity).	VIRULENCE	NA	
CARP_ASPFU	FUNCTION: Vacuolar aspartic endopeptidase which is probably also secreted and contributes to virulence.	VIRULENCE	NA	
CARP_TRIVH	FUNCTION: Vacuolar aspartic endopeptidase which is probably also secreted and contributes to virulence (By similarity).	VIRULENCE	NA	
CARP1_CANAL	CATALYTIC ACTIVITY: Preferential cleavage at the carboxyl of hydrophobic amino acids	VIRULENCE	NA	
CARP2_CANAL	CATALYTIC ACTIVITY: Preferential cleavage at the carboxyl of hydrophobic amino acids	VIRULENCE	NA	
CARP3_CANAL	CATALYTIC ACTIVITY: Preferential cleavage at the carboxyl of hydrophobic amino acids	VIRULENCE	NA	
CBM1	"Modules of approx. 40 residues found almost exclusively in fungi. The cellulose-binding function has been demonstrated in many cases, and appears to be mediated by three aromatic residues separated by about 10.4 angstrom and which form a flat surface. The only non-fungal occurence of CBM1 is in an algal non-hydrolytic polysaccharide-binding protein which is composed of four repeated CBM1 modules. Binding to chitin has been demonstrated in one case."	CAZYME	NA	
CBM13	"Modules of approx. 150 residues which always appear as a threefold internal repeat. The only apparent exception to this, xylanase II of Actinomadura sp. FC7 (GenBank U08894), is in fact not completely sequenced. These modules were first identified in several plant lectins such as ricin or agglutinin of Ricinus communis which bind galactose residues. The three-dimensional structure of a plant lectin has been determined and displays a pseudo-threefold symmetry in accord with the observed sequence threefold repeat. These modules have since been found in a number of other proteins of various functions including glycoside hydrolases and glycosyltransferases. While in the plant lectins this module binds mannose, binding to xylan has been demonstrated in the Streptomyces lividans xylanase A and arabinofuranosidase B. Binding to GalNAc has been shown for the corresponding module of GalNAc transferase 4. For the other proteins, the binding specificity of these modules has not been established. The pseudo three-fold symmetry of the CBM13 module has now been confirmed in the 3-D structure of the intact, two-domain, xylanase of Streptomyces olivaceoviridis."	CAZYME	NA	
CBM16	Carbohydrate-binding module 16. Binding to cellulose and glucomannan demonstrated [B. Bae et al (2008) J Biol Chem. 283:12415-25 (PMID: 18025086)]	CAZYME	NA	
CBM18	"Modules of approx. 40 residues. The chitin-binding function has been demonstrated in many cases. These modules are found attached to a number of chitinase catalytic domains, but also in non-catalytic proteins either in isolation or as multiple repeats."	CAZYME	NA	
CBM20	The granular starch-binding function has been demonstrated in several cases. Interact strongly with cyclodextrins. Often designated as starch-binding domains (SBD).	CAZYME	NA	
CBM24	"alpha-1,3-glucan (mutan)-binding function demonstrated in two cases (PMID:10636904)"	CAZYME	NA	
CBM32	"Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278)."	CAZYME	NA	
CBM35	"Modules of approx. 130 residues. A module that is conserved in three Cellvibrio xylan-degrading enzymes binds to xylan and the interaction is calcium dependent, while a module from a Cellvibrio mannanase binds to decorated soluble mannans and mannooligosaccharides. A module in a"	CAZYME	NA	
CBM42	Modules of approx. 160 residues found mostly at the C-terminus of GH54 catalytic domains. Binding to arabinofuranose (present in arabinoxylan) has been demonstrated.	CAZYME	NA	
CBM43	"Modules of approx. 90-100 residues found at the C-terminus of GH17 or GH72 enzymatic modules and also sometimes isolated. CBM43 modules sometimes carry a C-terminal membrane anchor. The beta-1,3-glucan binding function has been demonstrated with the olive pollen protein Ole e 10."	CAZYME	NA	
CBM50	"Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. These enzymes are not reported in the list below."	CAZYME	NA	
CBM6	"Modules of approx. 120 residues. The cellulose-binding function has been demonstrated in one case on amorphous cellulose and beta-1,4-xylan. Some of these modules also bind beta-1,3-glucan, beta-1,3-1,4-glucan, and beta-1,4-glucan."	CAZYME	NA	
CBM66	"The CBM66 module, derived from the Bacillus subtilis exo-acting beta-fructosidase SacC, targets the terminal fructoside residue of fructans."	CAZYME	NA	
CE1	acetyl xylan esterase (EC 3.1.1.72); cinnamoyl esterase (EC 3.1.1.-); feruloyl esterase (EC 3.1.1.73); carboxylesterase (EC 3.1.1.1); S-formylglutathione hydrolase (EC 3.1.2.12); diacylglycerol O-acyltransferase (EC 2.3.1.20); trehalose 6-O-mycolyltransferase (EC 2.3.1.122); acetylesterase (EC 3.1.1.6)	CAZYME	NA	
CE15	4-O-methyl-glucuronoyl methylesterase (EC 3.1.1.-)	CAZYME	NA	
CE16	acetylesterase (EC 3.1.1.6) active on various carbohydrate acetyl esters	CAZYME	NA	
CE3	acetyl xylan esterase (EC 3.1.1.72).	CAZYME	NA	
CE4	acetyl xylan esterase (EC 3.1.1.72); chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).	CAZYME	NA	
CE5	"acetyl xylan esterase (EC 3.1.1.72); cutinase (EC 3.1.1.74); 1,4-beta-xylosidase (EC 3.2.1.37)"	CAZYME	NA	
CEUL_OPHUL	FUNCTION: Has been implicated in the pathogenicity of this fungus on ELM. Accumulates at	VIRULENCE	NA	
CTSD_ARTBC	FUNCTION: Probable GPI-anchored aspartic-type endopeptidase which contributes to virulence (By similarity).	VIRULENCE	NA	
CTSD_ARTOC	FUNCTION: Secreted aspartic-type endopeptidase which is secreted and contributes to virulence (By similarity).	VIRULENCE	NA	
CTSD_ASPFU	FUNCTION: Secreted aspartic-type endopeptidase which is secreted and contributes to virulence.	VIRULENCE	NA	
CTSD_TRIVH	FUNCTION: Probable GPI-anchored aspartic-type endopeptidase which contributes to virulence (By similarity).	VIRULENCE	NA	
CUTI_BOTFU	FUNCTION: Catalyzes the hydrolysis of cutin	VIRULENCE	"cutin: a waxy, water-repellent substance occurring in the cuticle of plants and consisting of highly polymerized esters of fatty acids."	
CUTI_ERYGR	FUNCTION: Catalyzes the hydrolysis of cutin	VIRULENCE	NA	
CUTI_MONFR	FUNCTION: Catalyzes the hydrolysis of cutin	VIRULENCE	NA	
CUTI_PYRBR	FUNCTION: Catalyzes the hydrolysis of cutin	VIRULENCE	NA	
CUTI1_COLGL	FUNCTION: Catalyzes the hydrolysis of cutin	VIRULENCE	NA	
CUTI2_FUSSO	FUNCTION: Catalyzes the hydrolysis of cutin	VIRULENCE	"cutin: a waxy, water-repellent substance occurring in the cuticle of plants and consisting of highly polymerized esters of fatty acids."	
CXT1_CRYNJ	FUNCTION: Beta-1	VIRULENCE	"FUNCTION: Beta-1,2-xylosyltransferase that plays a key role in capsule polysaccharide synthesis by transferring xylose to alpha- 1,3-dimannoside in a beta-1,2-linkage. Also mediates glycosylation of glycosphingolipids; constitutes the unique xylosyltransferase responsible for adding xylose to glycosphingolipids."	
D1MGZ7_BEABA	SIMILARITY: Belongs to the peptidase S8 family.	VIRULENCE	NA	
D1MYV6_MAGGR	SIMILARITY: Contains 3 chitin-binding type-1 domains.	VIRULENCE	NA	
DPP4_ARTBC	FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline. Contributes to pathogenicity (By similarity).	VIRULENCE	NA	
DPP4_ASPFU	FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline. Contributes to pathogenicity (By similarity).	VIRULENCE	NA	
E9DY48_METAQ	Unknown	VIRULENCE	NA	
E9EJV1_METAR	Unknown	VIRULENCE	NA	
E9ETX3_METAR	Unknown	VIRULENCE	NA	
E9F9I5_METAR	Unknown	VIRULENCE	NA	
E9F9I6_METAR	Unknown	VIRULENCE	NA	
ECM14_ARTOC	FUNCTION: Probable carboxypeptidase that may be involved in cell wall organization and biogenesis (By similarity).	VIRULENCE	NA	
ELM_ASPFU	FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates and probably acts as a virulence factor (By similarity). Catalyzes the hydrolysis of elastin.	VIRULENCE	NA	
ERG2_USTMA	FUNCTION: Catalyzes the reaction which results in unsaturation at C-7 in the B ring of sterols.	VIRULENCE	NA	
F0X720_GROCL	Unknown	VIRULENCE	NA	
GEL1_ASPFU	FUNCTION: Splits internally a 1	VIRULENCE	NA	
GEL3_ASPFU	FUNCTION: Splits internally a 1	VIRULENCE	NA	
GH0	Glycoside hydrolases not yet assigned to a family.	CAZYME	NA	
GH1	"beta-glucosidase (EC 3.2.1.21); beta-galactosidase (EC 3.2.1.23); beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-D-fucosidase (EC 3.2.1.38); phlorizin hydrolase (EC 3.2.1.62); exo-beta-1,4-glucanase (EC 3.2.1.74); 6-phospho-beta-galactosidase (EC 3.2.1.85); 6-phospho-beta-glucosidase (EC 3.2.1.86); strictosidine beta-glucosidase (EC 3.2.1.105); lactase (EC 3.2.1.108); amygdalin beta-glucosidase (EC 3.2.1.117); prunasin beta-glucosidase (EC 3.2.1.118); vicianin hydrolase (EC 3.2.1.119); raucaffricine beta-glucosidase (EC 3.2.1.125); thioglucosidase (EC 3.2.1.147); beta-primeverosidase (EC 3.2.1.149); isoflavonoid 7-O-beta-apiosyl-beta-glucosidase (EC 3.2.1.161); ABA-specific beta-glucosidase (EC 3.2.1.175); DIMBOA beta-glucosidase (EC 3.2.1.182); beta-glycosidase (EC 3.2.1.-); hydroxyisourate hydrolase (EC 3.-.-.-)"	CAZYME	NA	
GH10	"endo-1,4-beta-xylanase (EC 3.2.1.8); endo-1,3-beta-xylanase (EC 3.2.1.32); tomatinase (EC 3.2.1.-); xylan endotransglycosylase (EC 2.4.2.-)"	CAZYME	NA	
GH105	"unsaturated rhamnogalacturonyl hydrolase (EC 3.2.1.172); d-4,5-unsaturated beta-glucuronyl hydrolase (EC 3.2.1.-); d-4,5-unsaturated alpha-galacturonidase (EC 3.2.1.-)"	CAZYME	NA	
GH11	"endo-beta-1,4-xylanase (EC 3.2.1.8); endo-beta-1,3-xylanase (EC 3.2.1.32)"	CAZYME	NA	
GH12	"endoglucanase (EC 3.2.1.4); xyloglucan hydrolase (EC 3.2.1.151); beta-1,3-1,4-glucanase (EC 3.2.1.73); xyloglucan endotransglycosylase (EC 2.4.1.207)"	CAZYME	NA	
GH125	"exo-alpha-1,6-mannosidase (EC 3.2.1.-)"	CAZYME	NA	
GH13_1	NA	CAZYME	NA	
GH132	"Activity on beta-1,3-glucan (curdlan) shown for the Aspergillus fumigatus Sun4 protein; activity on laminarioligosaccharides shown for Aspergillus fumigatus Sun4 protein and Candida albicans Sun41 protein; transglycosylation activity reported in PMID 23508952."	CAZYME	NA	
GH15	"glucoamylase (EC 3.2.1.3); glucodextranase (EC 3.2.1.70); alpha,alpha-trehalase (EC 3.2.1.28); dextran dextrinase (EC 2.4.1.2)"	CAZYME	NA	
GH16	"xyloglucan:xyloglucosyltransferase (EC 2.4.1.207); keratan-sulfate endo-1,4-beta-galactosidase (EC 3.2.1.103); endo-1,3-beta-glucanase (EC 3.2.1.39); endo-1,3(4)-beta-glucanase (EC 3.2.1.6); licheninase (EC 3.2.1.73); beta-agarase (EC 3.2.1.81); kappa;-carrageenase (EC 3.2.1.83); xyloglucanase (EC 3.2.1.151); endo-beta-1,3-galactanase (EC 3.2.1.181); beta-porphyranase (EC 3.2.1.178); hyaluronidase (EC 3.2.1.35); endo-beta-1,4-galactosidase (EC 3.2.1.-); chitin beta-1,6-glucanosyltransferase (EC 2.4.1.-); endo-beta-1,4-galactosidase (EC 3.2.1.-)"	CAZYME	NA	
GH17	"glucan endo-1,3-beta-glucosidase (EC 3.2.1.39); glucan 1,3-beta-glucosidase (EC 3.2.1.58); licheninase (EC 3.2.1.73); ABA-specific beta-glucosidase (EC 3.2.1.175); beta-1,3-glucanosyltransglycosylase (EC 2.4.1.-)"	CAZYME	NA	
GH18	chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17); endo-beta-N-acetylglucosaminidase (EC 3.2.1.96); peptidoglycan hydrolase with endo-beta-N-acetylglucosaminidase specificity (EC 3.2.1.-); Nod factor hydrolase (EC 3.2.1.-); xylanase inhibitor; concanavalin B; narbonin	CAZYME	NA	
GH2	beta-galactosidase (EC 3.2.1.23) ; beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); alpha-L-arabinofuranosidase (EC 3.2.1.55); mannosylglycoprotein endo-beta-mannosidase (EC 3.2.1.152); exo-beta-glucosaminidase (EC 3.2.1.165); alpha-L-arabinopyranosidase (EC 3.2.1.-); beta-galacturonidase (EC 3.2.1.-)	CAZYME	NA	
GH20	"beta-hexosaminidase (EC 3.2.1.52); lacto-N-biosidase (EC 3.2.1.140); beta-1,6-N-acetylglucosaminidase) (EC 3.2.1.-); beta-6-SO3-N-acetylglucosaminidase (EC 3.2.1.-)"	CAZYME	NA	
GH27	alpha-galactosidase (EC 3.2.1.22); alpha-N-acetylgalactosaminidase (EC 3.2.1.49); isomalto-dextranase (EC 3.2.1.94); beta-L-arabinopyranosidase (EC 3.2.1.88); galactan:galactan galactosyltransferase (EC 2.4.1.-)	CAZYME	NA	
GH28	"polygalacturonase (EC 3.2.1.15); alpha-L-rhamnosidase (EC 3.2.1.40); exo-polygalacturonase (EC 3.2.1.67); exo-polygalacturonosidase (EC 3.2.1.82); rhamnogalacturonase (EC 3.2.1.171); rhamnogalacturonan alpha-1,2-galacturonohydrolase (EC 3.2.1.173); endo-xylogalacturonan hydrolase (EC 3.2.1.-)"	CAZYME	NA	
GH3	"beta-glucosidase (EC 3.2.1.21); xylan 1,4-beta-xylosidase (EC 3.2.1.37); beta-glucosylceramidase (EC 3.2.1.45); beta-N-acetylhexosaminidase (EC 3.2.1.52); alpha-L-arabinofuranosidase (EC 3.2.1.55); glucan 1,3-beta-glucosidase (EC 3.2.1.58); glucan 1,4-beta-glucosidase (EC 3.2.1.74); isoprimeverose-producing oligoxyloglucan hydrolase (EC 3.2.1.120); coniferin beta-glucosidase (EC 3.2.1.126); exo-1,3-1,4-glucanase (EC 3.2.1.-); beta-N-acetylglucosaminide phosphorylases (EC 2.4.1.-)"	CAZYME	NA	
GH30_3	NA	CAZYME	NA	
GH30_5	NA	CAZYME	NA	
GH30_7	NA	CAZYME	NA	
GH31	"alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22); alpha-mannosidase (EC 3.2.1.24); alpha-1,3-glucosidase (EC 3.2.1.84); sucrase-isomaltase (EC 3.2.1.48) (EC 3.2.1.10); alpha-xylosidase (EC 3.2.1.177); alpha-glucan lyase (EC 4.2.2.13); isomaltosyltransferase (EC 2.4.1.-); oligosaccharide alpha-1,4-glucosyltransferase (EC 2.4.1.161); sulfoquinovosidase (EC 3.2.1.-)"	CAZYME	NA	
GH32	"invertase (EC 3.2.1.26); endo-inulinase (EC 3.2.1.7); beta-2,6-fructan 6-levanbiohydrolase (EC 3.2.1.64); endo-levanase (EC 3.2.1.65); exo-inulinase (EC 3.2.1.80); fructan beta-(2,1)-fructosidase/1-exohydrolase (EC 3.2.1.153); fructan beta-(2,6)-fructosidase/6-exohydrolase (EC 3.2.1.154); sucrose:sucrose 1-fructosyltransferase (EC 2.4.1.99); fructan:fructan 1-fructosyltransferase (EC 2.4.1.100); sucrose:fructan 6-fructosyltransferase (EC 2.4.1.10); fructan:fructan 6G-fructosyltransferase (EC 2.4.1.243); levan fructosyltransferase (EC 2.4.1.-); [retaining] sucrose:sucrose 6-fructosyltransferase (6-SST) (EC 2.4.1.-); cycloinulo-oligosaccharide fructanotransferase (EC 2.4.1.-)"	CAZYME	NA	
GH35	"beta-galactosidase (EC 3.2.1.23); exo-beta-glucosaminidase (EC 3.2.1.165); exo-beta-1,4-galactanase (EC 3.2.1.-); beta-1,3-galactosidase (EC 3.2.1.-)"	CAZYME	NA	
GH36	alpha-galactosidase (EC 3.2.1.22); alpha-N-acetylgalactosaminidase (EC 3.2.1.49); stachyose synthase (EC 2.4.1.67); raffinose synthase (EC 2.4.1.82)	CAZYME	NA	
GH37	"alpha,alpha-trehalase (EC 3.2.1.28)."	CAZYME	NA	
GH39	alpha-L-iduronidase (EC 3.2.1.76); beta-xylosidase (EC 3.2.1.37).	CAZYME	NA	
GH43_11	NA	CAZYME	NA	
GH43_13	NA	CAZYME	NA	
GH43_14	NA	CAZYME	NA	
GH43_24	NA	CAZYME	NA	
GH43_29	NA	CAZYME	NA	
GH43_30	NA	CAZYME	NA	
GH43_34	NA	CAZYME	NA	
GH45	endoglucanase (EC 3.2.1.4)	CAZYME	NA	
GH47	alpha-mannosidase (EC 3.2.1.113)	CAZYME	NA	
GH49	"dextranase (EC 3.2.1.11); isopullulanase (EC 3.2.1.57); dextran 1,6-alpha-isomaltotriosidase (EC 3.2.1.95)."	CAZYME	NA	
GH5	"endo-beta-1,4-glucanase / cellulase (EC 3.2.1.4); endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (EC 3.2.1.21); beta-mannosidase (EC 3.2.1.25); beta-glucosylceramidase (EC 3.2.1.45); glucan beta-1,3-glucosidase (EC 3.2.1.58); licheninase (EC 3.2.1.73); exo-beta-1,4-glucanase / cellodextrinase (EC 3.2.1.74); glucan endo-1,6-beta-glucosidase (EC 3.2.1.75); mannan endo-beta-1,4-mannosidase (EC 3.2.1.78); cellulose beta-1,4-cellobiosidase (EC 3.2.1.91); steryl beta-glucosidase (EC 3.2.1.104); endoglycoceramidase (EC 3.2.1.123); chitosanase (EC 3.2.1.132); beta-primeverosidase (EC 3.2.1.149); xyloglucan-specific endo-beta-1,4-glucanase (EC 3.2.1.151); endo-beta-1,6-galactanase (EC 3.2.1.164); hesperidin 6-O-alpha-L-rhamnosyl-beta-glucosidase (EC 3.2.1.168); beta-1,3-mannanase (EC 3.2.1.-); arabinoxylan-specific endo-beta-1,4-xylanase (EC 3.2.1.-); mannan transglycosylase (EC 2.4.1.-)"	CAZYME	NA	
GH5_15	NA	CAZYME	NA	
GH5_24	NA	CAZYME	NA	
