1433_CANAL,SIMILARITY: Belongs to the 14-3-3 family.
A5HEH7_9PEZI,COFACTOR: Iron (By similarity).
A5HF03_MAGGR,Unknown
A6N6J8_FUSOX,SIMILARITY: Contains 1 Zn(2)-C6 fungal-type DNA-binding domain.
A6QT49_AJECN,Unknown
A6QT98_AJECN,Unknown
A6QTV8_AJECN,SIMILARITY: Belongs to the thiolase family.
A6QU97_AJECN,Unknown
A6QUA9_AJECN,Unknown
A6QV09_AJECN,Unknown
A6QVE8_AJECN,SIMILARITY: Belongs to the TCP-1 chaperonin family.
A6QVF8_AJECN,CATALYTIC ACTIVITY: CTP + phosphatidate = diphosphate + CDP- diacylglycerol.
A6QVN0_AJECN,Unknown
A6QVZ5_AJECN,Unknown
A6QW18_AJECN,Unknown
A6QWB0_AJECN,CATALYTIC ACTIVITY: ATP + D-ribose 5-phosphate = AMP + 5-phospho- alpha-D-ribose 1-diphosphate.
A6QX12_AJECN,SIMILARITY: Belongs to the class-I aminoacyl-tRNA synthetase family.
A6QXG1_AJECN,FUNCTION: Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha-chain (By similarity).
A6QXG5_AJECN,Unknown
A6QZ55_AJECN,Unknown
A6QZZ4_AJECN,FUNCTION: Catalyzes the ferrous insertion into protoporphyrin IX (By similarity).
A6R0L4_AJECN,Unknown
A6R119_AJECN,Unknown
A6R120_AJECN,Unknown
A6R1W8_AJECN,Unknown
A6R2A6_AJECN,Unknown
A6R2R1_AJECN,Unknown
A6R380_AJECN,Unknown
A6R3N2_AJECN,SIMILARITY: Belongs to the GHMP kinase family.
A6R3U9_AJECN,Unknown
A6R615_AJECN,PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; N(2)- acetyl-L-ornithine from L-glutamate.
A6R6C9_AJECN,Unknown
A6R6N1_AJECN,Unknown
A6R757_AJECN,SIMILARITY: Contains 1 CRAL-TRIO domain.
A6R764_AJECN,Unknown
A6R7R9_AJECN,Unknown
A6R8B3_AJECN,Unknown
A6R963_AJECN,Unknown
A6R991_AJECN,Unknown
A6R9F0_AJECN,SIMILARITY: Belongs to the small GTPase superfamily. Rab family.
A6R9V5_AJECN,Unknown
A6RAG5_AJECN,Unknown
A6RAN8_AJECN,Unknown
A6RBC1_AJECN,FUNCTION: Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins (By similarity).
A6RBL1_AJECN,SIMILARITY: Belongs to the class-II pyridine nucleotide-disulfide oxidoreductase family.
A6RBU5_AJECN,Unknown
A6RBY7_AJECN,Unknown
A6RCI7_AJECN,SIMILARITY: Contains 1 PpiC domain.
A6RD56_AJECN,Unknown
A6RDX2_AJECN,Unknown
A6RE02_AJECN,Unknown
A6REW8_AJECN,FUNCTION: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex (By similarity).
A6RGA6_AJECN,Unknown
A6RGD8_AJECN,SIMILARITY: Contains 1 PCI domain.
A6RGS5_AJECN,Unknown
A6RGY2_AJECN,Unknown
A6RH34_AJECN,Unknown
A6ZIB7_MAGGR,SIMILARITY: Contains 1 FAD-binding FR-type domain.
A6ZIB8_MAGGR,SIMILARITY: Contains 1 FAD-binding FR-type domain.
A6ZIN5_RHYSE,Unknown
A6ZIN6_RHYSE,Unknown
A6ZKV8_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZKX4_YEAS7,CATALYTIC ACTIVITY: CTP + phosphatidate = diphosphate + CDP- diacylglycerol.
A6ZLA2_YEAS7,Unknown
A6ZLI2_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZLK4_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZLY0_YEAS7,FUNCTION: Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha-chain (By similarity).
A6ZM54_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZMD8_YEAS7,SIMILARITY: Contains 1 CRAL-TRIO domain.
A6ZMR5_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZMS0_YEAS7,SIMILARITY: Belongs to the GHMP kinase family.
A6ZND4_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZNE6_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZNF9_YEAS7,CATALYTIC ACTIVITY: S-adenosyl-L-methionine = (5-deoxy-5- adenosyl)(3-aminopropyl)-methylsulfonium salt + CO(2).
A6ZNQ8_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZP46_YEAS7,CATALYTIC ACTIVITY: D-erythro-1-(imidazol-4-yl)glycerol 3- phosphate = 3-(imidazol-4-yl)-2-oxopropyl phosphate + H(2)O.
A6ZPW0_YEAS7,SIMILARITY: Belongs to the TCP-1 chaperonin family.
A6ZPY5_YEAS7,SIMILARITY: Contains 1 PpiC domain.
A6ZQY7_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZR07_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZR23_YEAS7,PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; N(2)- acetyl-L-ornithine from L-glutamate.
A6ZRC1_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZRG8_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZRP5_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZSC4_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZTD6_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZTU6_YEAS7,SIMILARITY: Belongs to the class-I aminoacyl-tRNA synthetase family.
A6ZUC1_YEAS7,COFACTOR: Iron (By similarity).
A6ZUV1_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZUW0_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZUW8_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZVP1_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZVS7_YEAS7,SIMILARITY: Belongs to the eukaryotic-type primase small subunit family.
A6ZVT6_YEAS7,SIMILARITY: Belongs to the bZIP family.
A6ZWF3_YEAS7,SIMILARITY: Belongs to the class-I aminoacyl-tRNA synthetase family.
A6ZWJ8_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZWK4_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZWL9_YEAS7,SIMILARITY: Belongs to the thiolase family.
A6ZX34_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZX43_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZX50_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZXC8_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZXD7_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZXP0_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZXS0_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZYE8_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZYG7_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZYI7_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZYV3_YEAS7,CATALYTIC ACTIVITY: Thioredoxin + NADP(+) = thioredoxin disulfide + NADPH.
A6ZYW4_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZZ72_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZZE5_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZZL3_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A6ZZW2_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A7A0Q7_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A7A185_YEAS7,FUNCTION: Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins (By similarity).
A7A1H6_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A7A1M1_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A7A201_YEAS7,SIMILARITY: Belongs to the small GTPase superfamily. Rab family.
A7A222_YEAS7,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A7A233_YEAS7,SIMILARITY: Belongs to the small GTPase superfamily. Rab family.
A7A2C1_YEAS7,FUNCTION: Catalyzes the ferrous insertion into protoporphyrin IX (By similarity).
A7BHG9_ERYGR,Unknown
A7BHH0_BLUGR,Unknown
A7BHH1_BLUGR,Unknown
A7BHH2_BLUGR,Unknown
A7BHH3_BLUGR,Unknown
A7BHH4_BLUGR,Unknown
A7BHH5_BLUGR,Unknown
A7BHH6_BLUGR,Unknown
A7BHH7_BLUGR,Unknown
A7BHH8_BLUGR,Unknown
A7BHH9_BLUGR,Unknown
A7BHI0_BLUGR,Unknown
A7BHI1_BLUGR,Unknown
A7BHI2_BLUGR,Unknown
A7BHI3_BLUGR,Unknown
A7BHI4_BLUGR,Unknown
A7BHI5_BLUGR,Unknown
A7BHI6_BLUGR,Unknown
A7BHI7_BLUGR,Unknown
A7BHI8_BLUGR,Unknown
A7BHI9_BLUGR,Unknown
A7BHJ0_BLUGR,Unknown
A7BHJ1_BLUGR,Unknown
A7BHJ2_BLUGR,Unknown
A7BHJ3_BLUGR,Unknown
A7BHJ4_BLUGR,Unknown
A7BHJ5_BLUGR,Unknown
A7J0U6_MAGGR,Unknown
A7J0U7_MAGGR,Unknown
A7J0U8_MAGGR,Unknown
A7J0U9_MAGGR,Unknown
A7J0V0_MAGGR,COFACTOR: Binds 1 zinc ion per subunit (By similarity).
A7ULH9_CANGY,Unknown
A7XLC8_PICAN,Unknown
A8QJI7_FUSOX,SIMILARITY: Contains 1 Zn(2)-C6 fungal-type DNA-binding domain.
A9YDN6_MAGGR,SUBCELLULAR LOCATION: Nucleus (By similarity).
A9YLC3_CANPA,Unknown
A9Z1V6_PHAND,Unknown
ALA1_CANAL,FUNCTION: May play a role in adhesion and pathogenesis.
ALO_CANAL,CATALYTIC ACTIVITY: D-arabinono-1,4-lactone + O(2) = dehydro-D- arabinono-1,4-lactone + H(2)O(2).
ALS3_CANAL,FUNCTION: May play a role in adhesion and pathogenesis.
ARGJ_AJECN,FUNCTION: Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis: the synthesis of acetylglutamate from glutamate and acetyl-CoA, and of ornithine by transacetylation between acetylornithine and glutamate (By similarity).
AVR4_CLAFU,FUNCTION: This necrosis-inducing peptide induces a hypersensitive response on Cf-4 tomato genotypes. Race-specific elicitors are compounds which only induce defense responses in genotypes of host plants which are resistant to the pathogenic race that produces the elicitor, but not in susceptible genotypes.
AVR9_CLAFU,FUNCTION: This necrosis-inducing peptide induces a hypersensitive response on Cf-9 tomato genotypes. Race-specific elicitors are compounds which only induce defense responses in genotypes of host plants which are resistant to the pathogenic race that produces the elicitor, but not in susceptible genotypes.
B0B5Z8_CLAPU,SIMILARITY: Belongs to the small GTPase superfamily. Rho family.
B0B5Z9_CLAPU,CATALYTIC ACTIVITY: ATP + a protein = ADP + a phosphoprotein.
B0BER8_BOTFU,Unknown
B0BER9_CLAPU,SIMILARITY: Contains 1 FAD-binding FR-type domain.
B0BES1_BOTFU,SIMILARITY: Contains 1 FAD-binding FR-type domain.
B0BES2_BOTFU,SIMILARITY: Contains 1 FAD-binding FR-type domain.
B0CVW9_LACBS,Unknown
B0FMA4_9PEZI,Unknown
B0FTU3_9ASCO,Unknown
B0FTU4_9ASCO,Unknown
B2AN09_PODAN,Unknown
B2C6F0_CRYGA,Unknown
B2C6F1_CRYGA,Unknown
B2CG58_9PEZI,Unknown
B2G3U5_ZYGRO,Unknown
B2G3V4_ZYGRO,Unknown
B2G3Z3_ZYGRO,Unknown
B2G456_ZYGRO,Unknown
B2G4L1_ZYGRO,Unknown
B3VBK9_CLAFU,Unknown
B5MGN6_CYBMR,Unknown
B6S6L8_CANTR,Unknown
B8LZ89_TALSN,Unknown
B8N1N9_ASPFN,Unknown
B8N1P0_ASPFN,Unknown
B8XH68_CANPA,Unknown
B8XH69_CANPA,Unknown
B8XH70_9ASCO,Unknown
B8XH72_9ASCO,Unknown
B8XH74_CANPA,Unknown
B8XH77_CANAL,Unknown
B8XH78_9ASCO,Unknown
B8XH79_9ASCO,Unknown
B8YPH6_CANAL,SIMILARITY: Belongs to the peptidase A1 family.
B8YPH7_CANAL,SIMILARITY: Belongs to the peptidase A1 family.
B8YPH8_CANAL,SIMILARITY: Belongs to the peptidase A1 family.
B8YPH9_CANAL,SIMILARITY: Belongs to the peptidase A1 family.
B9A5A2_CYBJA,Unknown
B9W825_CANDC,Unknown
B9W890_CANDC,Unknown
B9WAE0_CANDC,Unknown
B9WBB6_CANDC,Unknown
B9WDE6_CANDC,Unknown
B9WDI5_CANDC,Unknown
B9WDJ7_CANDC,Unknown
B9WDV7_CANDC,Unknown
B9WEI2_CANDC,Unknown
B9WFK6_CANDC,FUNCTION: Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins (By similarity).
B9WGZ2_CANDC,SIMILARITY: Contains 1 CRAL-TRIO domain.
B9WHL1_CANDC,Unknown
B9WI74_CANDC,Unknown
B9WJ72_CANDC,Unknown
B9WJB5_CANDC,Unknown
B9WJD2_CANDC,Unknown
B9WKQ7_CANDC,Unknown
B9WL38_CANDC,SIMILARITY: Contains 1 F-box domain.
B9WMS9_CANDC,FUNCTION: Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha-chain (By similarity).
B9WMV3_CANDC,Unknown
B9WZW9_MAGOR,Unknown
B9ZUL0_LEPMC,Unknown
BIG1_CANAL,FUNCTION: Required for normal beta-1,6-glucan synthesis, for hyphal morphogenesis, adhesion and virulence.
BOT2_BOTFU,FUNCTION: Presilphiperfolan-8-beta-ol synthase, which catalyzes the cyclization of farnesyl diphosphate (FPP) to presilphiperfolan-8-beta-ol (PSP), the committed step in the biosynthesis of the terpenoid virulence factor botrydial. Botrydial is necessary for colonization of plant tissue by the T4 strain. It is a strain-dependent virulence factor since highly aggressive strains like SAS56 or B05 still retain substantial virulence when botrydial synthesis is impaired.
BUD4_CANAL,FUNCTION: Required for establishment of the axial budding pattern in yeast cells. May be involved in the selection of future sites of septation in hyphal cells. Contributes to morphogenesis and is important for induction of hyphal growth. Also plays a role in epithelial adherence, and is involved in intestinal colonization and systemic infection. The role in adhesion is probably minor compared with its role in morphogenesis.
BUR1_CANAL,FUNCTION: Serine/threonine-protein kinase involved in transcription regulation. Phosphorylates the UBC2/RAD6 ubiquitin- conjugating enzyme (E2), leading to monoubiquitination of histone H2B and the silencing of telomeric-associated genes. Also required for histone H3 methylation. Necessary for the recovery from pheromone-induced growth arrest in the cell cycle G1 phase (By similarity). Required for pseudohyphal growth and virulence in mice.
C0NZ22_AJECG,Unknown
C0RXV2_PARBP,Unknown
C0RXY7_PARBP,FUNCTION: Catalyzes the ferrous insertion into protoporphyrin IX (By similarity).
C0RYV5_PARBP,FUNCTION: Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins (By similarity).
C0RZ68_PARBP,Unknown
C0RZC0_PARBP,COFACTOR: Iron (By similarity).
C0RZC6_PARBP,Unknown
C0RZJ1_PARBP,Unknown
C0S102_PARBP,Unknown
C0S1C3_PARBP,Unknown
C0S1P0_PARBP,SIMILARITY: Belongs to the GHMP kinase family.
C0S1U9_PARBP,Unknown
C0S2E8_PARBP,Unknown
C0S2X7_PARBP,FUNCTION: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex (By similarity).
C0S3Q8_PARBP,SIMILARITY: Belongs to the class-I aminoacyl-tRNA synthetase family.
C0S4G1_PARBP,Unknown
C0S4X8_PARBP,SIMILARITY: Belongs to the class-II pyridine nucleotide-disulfide oxidoreductase family.
C0S5R1_PARBP,Unknown
C0S5Z6_PARBP,Unknown
C0S637_PARBP,SIMILARITY: Contains 1 PCI domain.
C0S684_PARBP,Unknown
C0S6J0_PARBP,CATALYTIC ACTIVITY: ATP + D-ribose 5-phosphate = AMP + 5-phospho- alpha-D-ribose 1-diphosphate.
C0S6P3_PARBP,Unknown
C0S6R9_PARBP,Unknown
C0S733_PARBP,SIMILARITY: Belongs to the TCP-1 chaperonin family.
C0S744_PARBP,CATALYTIC ACTIVITY: CTP + phosphatidate = diphosphate + CDP- diacylglycerol.
C0S860_PARBP,Unknown
C0S8A8_PARBP,Unknown
C0S8M8_PARBP,Unknown
C0S981_PARBP,Unknown
C0S9K6_PARBP,Unknown
C0S9W9_PARBP,PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; N(2)- acetyl-L-ornithine from L-glutamate.
C0SA80_PARBP,Unknown
C0SAS5_PARBP,Unknown
C0SAT8_PARBP,Unknown
C0SB59_PARBP,Unknown
C0SBR4_PARBP,Unknown
C0SC60_PARBP,Unknown
C0SCD5_PARBP,Unknown
C0SDH1_PARBP,Unknown
C0SFH7_PARBP,Unknown
C0SGP6_PARBP,Unknown
C0SGS6_PARBP,Unknown
C0SGZ0_PARBP,Unknown
C0SH50_PARBP,SIMILARITY: Belongs to the eukaryotic-type primase small subunit family.
C0SH81_PARBP,Unknown
C0SHD8_PARBP,Unknown
C0SHF9_PARBP,SIMILARITY: Belongs to the thiolase family.
C0SHQ9_PARBP,SIMILARITY: Contains 1 PpiC domain.
C0SI36_PARBP,FUNCTION: Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha-chain (By similarity).
C0SI39_PARBP,Unknown
C0SIA5_PARBP,SIMILARITY: Contains 1 CRAL-TRIO domain.
C0SIB1_PARBP,Unknown
C0SIG5_PARBP,SIMILARITY: Belongs to the DEAD box helicase family.
C0SJH4_PARBP,Unknown
C0SJI3_PARBP,Unknown
C0SJJ7_PARBP,Unknown
C1FYE5_PARBD,SIMILARITY: Belongs to the class-I aminoacyl-tRNA synthetase family.
C1FYY1_PARBD,Unknown
C1G014_PARBD,Unknown
C1G0P8_PARBD,FUNCTION: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex (By similarity).
